Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 1.49904E-16 5.47618E-07 5.40467E-09 1.63503E-24 2.79872E-13 1.09613E-14 3.60612E-25 7.81460E-10 1.87694E-11 4.99460E-06 9.99590E-05 1.15389E-23 3.32695E-14 1.41906E-17 1.25056E-14 7.23602E-14 2.75488E-17 1.92255E-14 2.26955E-05 6.92705E-17 4.82360E-14 2.91974E-19 2.74600E-16 3.59964E-14 4.10249E-08 9.99995E-02 2.16738E-12 9.51765E-12 1.25182E-10 2.99999E-04 1.22181E-04 9.99733E-01 1.28197E-04
2 1.49931E-16 5.47618E-07 5.40467E-09 1.63551E-24 2.79872E-13 1.09621E-14 3.60718E-25 7.81459E-10 1.87711E-11 4.99460E-06 9.99590E-05 1.15423E-23 3.32757E-14 1.41946E-17 1.25056E-14 7.23666E-14 2.75541E-17 1.92256E-14 2.26955E-05 6.92840E-17 4.82400E-14 2.92031E-19 2.74623E-16 3.59999E-14 4.10264E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22193E-04 9.99733E-01 1.28197E-04
3 1.49934E-16 5.47618E-07 5.40467E-09 1.63557E-24 2.79872E-13 1.09623E-14 3.60732E-25 7.81459E-10 1.87713E-11 4.99460E-06 9.99590E-05 1.15427E-23 3.32765E-14 1.41951E-17 1.25056E-14 7.23674E-14 2.75548E-17 1.92256E-14 2.26955E-05 6.92857E-17 4.82405E-14 2.92038E-19 2.74626E-16 3.60004E-14 4.10265E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22195E-04 9.99733E-01 1.28197E-04
4 1.49936E-16 5.47618E-07 5.40467E-09 1.63560E-24 2.79872E-13 1.09623E-14 3.60738E-25 7.81459E-10 1.87714E-11 4.99460E-06 9.99590E-05 1.15429E-23 3.32769E-14 1.41954E-17 1.25056E-14 7.23678E-14 2.75551E-17 1.92256E-14 2.26955E-05 6.92865E-17 4.82407E-14 2.92042E-19 2.74628E-16 3.60006E-14 4.10266E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22195E-04 9.99733E-01 1.28197E-04
5 1.49939E-16 5.47618E-07 5.40467E-09 1.63566E-24 2.79872E-13 1.09624E-14 3.60751E-25 7.81459E-10 1.87716E-11 4.99460E-06 9.99590E-05 1.15434E-23 3.32777E-14 1.41959E-17 1.25056E-14 7.23685E-14 2.75558E-17 1.92256E-14 2.26955E-05 6.92882E-17 4.82412E-14 2.92049E-19 2.74631E-16 3.60010E-14 4.10266E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22197E-04 9.99733E-01 1.28197E-04
6 1.49942E-16 5.47618E-07 5.40467E-09 1.63572E-24 2.79872E-13 1.09625E-14 3.60765E-25 7.81459E-10 1.87718E-11 4.99460E-06 9.99590E-05 1.15438E-23 3.32785E-14 1.41964E-17 1.25056E-14 7.23693E-14 2.75565E-17 1.92256E-14 2.26955E-05 6.92899E-17 4.82416E-14 2.92056E-19 2.74634E-16 3.60015E-14 4.10267E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22198E-04 9.99733E-01 1.28197E-04
7 1.49944E-16 5.47618E-07 5.40467E-09 1.63575E-24 2.79872E-13 1.09626E-14 3.60771E-25 7.81459E-10 1.87719E-11 4.99460E-06 9.99590E-05 1.15440E-23 3.32789E-14 1.41967E-17 1.25056E-14 7.23697E-14 2.75568E-17 1.92256E-14 2.26955E-05 6.92908E-17 4.82419E-14 2.92060E-19 2.74635E-16 3.60017E-14 4.10267E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22199E-04 9.99733E-01 1.28197E-04
8 1.49947E-16 5.47618E-07 5.40467E-09 1.63581E-24 2.79872E-13 1.09627E-14 3.60784E-25 7.81459E-10 1.87722E-11 4.99460E-06 9.99590E-05 1.15444E-23 3.32797E-14 1.41972E-17 1.25056E-14 7.23705E-14 2.75575E-17 1.92256E-14 2.26955E-05 6.92925E-17 4.82423E-14 2.92067E-19 2.74638E-16 3.60021E-14 4.10268E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22201E-04 9.99733E-01 1.28197E-04
9 1.49949E-16 5.47618E-07 5.40467E-09 1.63584E-24 2.79872E-13 1.09627E-14 3.60791E-25 7.81459E-10 1.87723E-11 4.99460E-06 9.99590E-05 1.15446E-23 3.32800E-14 1.41974E-17 1.25056E-14 7.23709E-14 2.75578E-17 1.92256E-14 2.26955E-05 6.92933E-17 4.82425E-14 2.92071E-19 2.74639E-16 3.60024E-14 4.10269E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22201E-04 9.99733E-01 1.28197E-04
10 1.49952E-16 5.47618E-07 5.40467E-09 1.63590E-24 2.79872E-13 1.09629E-14 3.60804E-25 7.81459E-10 1.87725E-11 4.99460E-06 9.99590E-05 1.15451E-23 3.32808E-14 1.41979E-17 1.25056E-14 7.23717E-14 2.75585E-17 1.92256E-14 2.26955E-05 6.92950E-17 4.82430E-14 2.92078E-19 2.74642E-16 3.60028E-14 4.10269E-08 9.99995E-02 2.16738E-12 9.51766E-12 1.25183E-10 2.99999E-04 1.22203E-04 9.99733E-01 1.28197E-04
