Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total
1 0.00000E+00 4.60671E-22 1.92297E-22 2.23849E-26 1.34937E-33 1.83047E-27 2.79007E-28 6.52993E-22
2 0.00000E+00 4.60671E-22 1.92297E-22 2.23857E-26 1.34951E-33 1.83065E-27 2.79035E-28 6.52993E-22
3 0.00000E+00 4.60671E-22 1.92297E-22 2.23858E-26 1.34952E-33 1.83067E-27 2.79038E-28 6.52993E-22
4 0.00000E+00 4.60671E-22 1.92297E-22 2.23858E-26 1.34953E-33 1.83068E-27 2.79040E-28 6.52993E-22
5 0.00000E+00 4.60671E-22 1.92297E-22 2.23858E-26 1.34955E-33 1.83070E-27 2.79043E-28 6.52993E-22
6 0.00000E+00 4.60671E-22 1.92297E-22 2.23859E-26 1.34956E-33 1.83072E-27 2.79046E-28 6.52992E-22
7 0.00000E+00 4.60671E-22 1.92297E-22 2.23859E-26 1.34957E-33 1.83074E-27 2.79048E-28 6.52992E-22
8 0.00000E+00 4.60671E-22 1.92297E-22 2.23859E-26 1.34959E-33 1.83076E-27 2.79052E-28 6.52992E-22
9 0.00000E+00 4.60671E-22 1.92297E-22 2.23860E-26 1.34960E-33 1.83077E-27 2.79053E-28 6.52992E-22
10 0.00000E+00 4.60671E-22 1.92297E-22 2.23860E-26 1.34961E-33 1.83079E-27 2.79057E-28 6.52992E-22
11 0.00000E+00 4.60671E-22 1.92297E-22 2.23860E-26 1.34963E-33 1.83081E-27 2.79060E-28 6.52992E-22
12 0.00000E+00 4.60671E-22 1.92297E-22 2.23860E-26 1.34964E-33 1.83082E-27 2.79062E-28 6.52992E-22
13 0.00000E+00 4.60671E-22 1.92297E-22 2.23861E-26 1.34965E-33 1.83085E-27 2.79065E-28 6.52992E-22
14 0.00000E+00 4.60671E-22 1.92297E-22 2.23861E-26 1.34966E-33 1.83086E-27 2.79067E-28 6.52992E-22
15 0.00000E+00 4.60671E-22 1.92297E-22 2.23861E-26 1.34968E-33 1.83088E-27 2.79070E-28 6.52992E-22
16 0.00000E+00 4.60671E-22 1.92297E-22 2.23861E-26 1.34970E-33 1.83090E-27 2.79074E-28 6.52992E-22
17 0.00000E+00 4.60671E-22 1.92297E-22 2.23862E-26 1.34970E-33 1.83091E-27 2.79075E-28 6.52992E-22
18 0.00000E+00 4.60671E-22 1.92297E-22 2.23862E-26 1.34972E-33 1.83094E-27 2.79079E-28 6.52992E-22
19 0.00000E+00 4.60671E-22 1.92297E-22 2.23862E-26 1.34973E-33 1.83095E-27 2.79080E-28 6.52992E-22
20 0.00000E+00 4.60671E-22 1.92297E-22 2.23862E-26 1.34975E-33 1.83097E-27 2.79084E-28 6.52992E-22
21 0.00000E+00 4.60671E-22 1.92297E-22 2.23862E-26 1.34975E-33 1.83098E-27 2.79085E-28 6.52992E-22
22 0.00000E+00 4.60671E-22 1.92297E-22 2.23863E-26 1.34977E-33 1.83100E-27 2.79089E-28 6.52992E-22
23 0.00000E+00 4.60671E-22 1.92297E-22 2.23863E-26 1.34979E-33 1.83103E-27 2.79092E-28 6.52992E-22
24 0.00000E+00 4.60671E-22 1.92297E-22 2.23863E-26 1.34980E-33 1.83104E-27 2.79094E-28 6.52992E-22
25 0.00000E+00 4.60671E-22 1.92297E-22 2.23863E-26 1.34981E-33 1.83106E-27 2.79097E-28 6.52992E-22
26 0.00000E+00 4.60671E-22 1.92297E-22 2.23863E-26 1.34982E-33 1.83107E-27 2.79099E-28 6.52992E-22
27 0.00000E+00 4.60671E-22 1.92297E-22 2.23864E-26 1.34984E-33 1.83109E-27 2.79102E-28 6.52992E-22
28 0.00000E+00 4.60671E-22 1.92297E-22 2.23864E-26 1.34985E-33 1.83111E-27 2.79106E-28 6.52992E-22
29 0.00000E+00 4.60671E-22 1.92297E-22 2.23864E-26 1.34986E-33 1.83113E-27 2.79108E-28 6.52992E-22
30 0.00000E+00 4.60671E-22 1.92297E-22 2.23864E-26 1.34988E-33 1.83115E-27 2.79111E-28 6.52992E-22
31 0.00000E+00 4.60671E-22 1.92297E-22 2.23864E-26 1.34989E-33 1.83116E-27 2.79113E-28 6.52992E-22
32 0.00000E+00 4.60671E-22 1.92297E-22 2.23865E-26 1.34990E-33 1.83118E-27 2.79116E-28 6.52992E-22
