Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total
1 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95756E-28 7.00000E-26 3.40276E-29 -4.03736E-25 0.00000E+00 6.53331E-22
2 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95775E-28 7.00000E-26 3.40308E-29 -4.03736E-25 0.00000E+00 6.53331E-22
3 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95777E-28 7.00000E-26 3.40312E-29 -4.03736E-25 0.00000E+00 6.53331E-22
4 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95779E-28 7.00000E-26 3.40314E-29 -4.03736E-25 0.00000E+00 6.53331E-22
5 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95781E-28 7.00000E-26 3.40318E-29 -4.03736E-25 0.00000E+00 6.53331E-22
6 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95783E-28 7.00000E-26 3.40321E-29 -4.03736E-25 0.00000E+00 6.53331E-22
7 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95785E-28 7.00000E-26 3.40323E-29 -4.03736E-25 0.00000E+00 6.53331E-22
8 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95787E-28 7.00000E-26 3.40327E-29 -4.03736E-25 0.00000E+00 6.53331E-22
9 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95788E-28 7.00000E-26 3.40329E-29 -4.03736E-25 0.00000E+00 6.53331E-22
10 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95791E-28 7.00000E-26 3.40333E-29 -4.03736E-25 0.00000E+00 6.53331E-22
11 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95793E-28 7.00000E-26 3.40337E-29 -4.03736E-25 0.00000E+00 6.53331E-22
12 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95794E-28 7.00000E-26 3.40339E-29 -4.03736E-25 0.00000E+00 6.53331E-22
13 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95797E-28 7.00000E-26 3.40343E-29 -4.03736E-25 0.00000E+00 6.53331E-22
14 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95798E-28 7.00000E-26 3.40345E-29 -4.03736E-25 0.00000E+00 6.53331E-22
15 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95800E-28 7.00000E-26 3.40349E-29 -4.03736E-25 0.00000E+00 6.53331E-22
16 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95803E-28 7.00000E-26 3.40353E-29 -4.03736E-25 0.00000E+00 6.53331E-22
17 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95804E-28 7.00000E-26 3.40355E-29 -4.03736E-25 0.00000E+00 6.53331E-22
18 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95806E-28 7.00000E-26 3.40359E-29 -4.03736E-25 0.00000E+00 6.53331E-22
19 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95807E-28 7.00000E-26 3.40361E-29 -4.03736E-25 0.00000E+00 6.53331E-22
20 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95810E-28 7.00000E-26 3.40364E-29 -4.03736E-25 0.00000E+00 6.53331E-22
21 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95811E-28 7.00000E-26 3.40366E-29 -4.03736E-25 0.00000E+00 6.53331E-22
22 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95813E-28 7.00000E-26 3.40370E-29 -4.03736E-25 0.00000E+00 6.53331E-22
23 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95816E-28 7.00000E-26 3.40374E-29 -4.03736E-25 0.00000E+00 6.53331E-22
24 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95817E-28 7.00000E-26 3.40376E-29 -4.03736E-25 0.00000E+00 6.53331E-22
25 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95819E-28 7.00000E-26 3.40380E-29 -4.03736E-25 0.00000E+00 6.53331E-22
26 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95820E-28 7.00000E-26 3.40382E-29 -4.03736E-25 0.00000E+00 6.53331E-22
27 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95823E-28 7.00000E-26 3.40386E-29 -4.03736E-25 0.00000E+00 6.53331E-22
28 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95825E-28 7.00000E-26 3.40390E-29 -4.03736E-25 0.00000E+00 6.53331E-22
29 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95826E-28 7.00000E-26 3.40392E-29 -4.03736E-25 0.00000E+00 6.53331E-22
30 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95829E-28 7.00000E-26 3.40396E-29 -4.03736E-25 0.00000E+00 6.53331E-22
31 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95830E-28 7.00000E-26 3.40398E-29 -4.03736E-25 0.00000E+00 6.53331E-22
32 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95832E-28 7.00000E-26 3.40402E-29 -4.03736E-25 0.00000E+00 6.53331E-22
33 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95835E-28 7.00000E-26 3.40406E-29 -4.03736E-25 0.00000E+00 6.53331E-22
34 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95836E-28 7.00000E-26 3.40407E-29 -4.03736E-25 0.00000E+00 6.53331E-22
35 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95838E-28 7.00000E-26 3.40411E-29 -4.03736E-25 0.00000E+00 6.53331E-22
36 4.60450E-22 1.52381E-22 1.30135E-31 4.06359E-23 1.97187E-25 1.95840E-28 7.00000E-26 3.40413E-29 -4.03736E-25 0.00000E+00 6.53331E-22
37 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95842E-28 7.00000E-26 3.40417E-29 -4.03736E-25 0.00000E+00 6.53331E-22
38 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95844E-28 7.00000E-26 3.40421E-29 -4.03736E-25 0.00000E+00 6.53331E-22
39 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95846E-28 7.00000E-26 3.40423E-29 -4.03736E-25 0.00000E+00 6.53331E-22
40 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95848E-28 7.00000E-26 3.40427E-29 -4.03736E-25 0.00000E+00 6.53331E-22
41 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95849E-28 7.00000E-26 3.40429E-29 -4.03736E-25 0.00000E+00 6.53331E-22
42 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95852E-28 7.00000E-26 3.40433E-29 -4.03736E-25 0.00000E+00 6.53331E-22
43 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95853E-28 7.00000E-26 3.40435E-29 -4.03736E-25 0.00000E+00 6.53331E-22
44 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95855E-28 7.00000E-26 3.40439E-29 -4.03736E-25 0.00000E+00 6.53331E-22
45 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95858E-28 7.00000E-26 3.40443E-29 -4.03736E-25 0.00000E+00 6.53331E-22
46 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95859E-28 7.00000E-26 3.40445E-29 -4.03736E-25 0.00000E+00 6.53331E-22
47 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95861E-28 7.00000E-26 3.40449E-29 -4.03736E-25 0.00000E+00 6.53331E-22
48 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95862E-28 7.00000E-26 3.40451E-29 -4.03736E-25 0.00000E+00 6.53331E-22
49 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95865E-28 7.00000E-26 3.40454E-29 -4.03736E-25 0.00000E+00 6.53331E-22
50 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95867E-28 7.00000E-26 3.40458E-29 -4.03736E-25 0.00000E+00 6.53331E-22
51 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95868E-28 7.00000E-26 3.40460E-29 -4.03736E-25 0.00000E+00 6.53331E-22
52 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95871E-28 7.00000E-26 3.40464E-29 -4.03736E-25 0.00000E+00 6.53331E-22
53 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95872E-28 7.00000E-26 3.40466E-29 -4.03736E-25 0.00000E+00 6.53331E-22
54 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95874E-28 7.00000E-26 3.40470E-29 -4.03736E-25 0.00000E+00 6.53331E-22
55 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95877E-28 7.00000E-26 3.40474E-29 -4.03736E-25 0.00000E+00 6.53331E-22
56 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95878E-28 7.00000E-26 3.40476E-29 -4.03736E-25 0.00000E+00 6.53331E-22
57 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95880E-28 7.00000E-26 3.40480E-29 -4.03736E-25 0.00000E+00 6.53331E-22
58 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95881E-28 7.00000E-26 3.40482E-29 -4.03736E-25 0.00000E+00 6.53331E-22
59 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95884E-28 7.00000E-26 3.40486E-29 -4.03736E-25 0.00000E+00 6.53331E-22
60 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95885E-28 7.00000E-26 3.40488E-29 -4.03736E-25 0.00000E+00 6.53331E-22
61 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95887E-28 7.00000E-26 3.40492E-29 -4.03736E-25 0.00000E+00 6.53331E-22
62 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95890E-28 7.00000E-26 3.40496E-29 -4.03736E-25 0.00000E+00 6.53331E-22
63 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95891E-28 7.00000E-26 3.40497E-29 -4.03736E-25 0.00000E+00 6.53331E-22
64 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95893E-28 7.00000E-26 3.40501E-29 -4.03736E-25 0.00000E+00 6.53331E-22
65 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95895E-28 7.00000E-26 3.40503E-29 -4.03736E-25 0.00000E+00 6.53331E-22
66 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95897E-28 7.00000E-26 3.40507E-29 -4.03736E-25 0.00000E+00 6.53331E-22
67 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95899E-28 7.00000E-26 3.40511E-29 -4.03736E-25 0.00000E+00 6.53331E-22
68 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95901E-28 7.00000E-26 3.40513E-29 -4.03736E-25 0.00000E+00 6.53331E-22
69 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95903E-28 7.00000E-26 3.40517E-29 -4.03736E-25 0.00000E+00 6.53331E-22
70 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95904E-28 7.00000E-26 3.40519E-29 -4.03736E-25 0.00000E+00 6.53331E-22
71 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95907E-28 7.00000E-26 3.40523E-29 -4.03736E-25 0.00000E+00 6.53331E-22
72 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95909E-28 7.00000E-26 3.40527E-29 -4.03736E-25 0.00000E+00 6.53330E-22
73 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95910E-28 7.00000E-26 3.40529E-29 -4.03736E-25 0.00000E+00 6.53330E-22
74 4.60450E-22 1.52381E-22 1.30134E-31 4.06359E-23 1.97187E-25 1.95913E-28 7.00000E-26 3.40533E-29 -4.03735E-25 0.00000E+00 6.53330E-22
