Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 2.23691E-18 0.00000E+00 9.69525E-06 1.90165E-05 1.23132E-05 0.00000E+00 3.86713E-21 6.76217E-09 2.67723E-09 7.79378E-11 3.04190E-13 1.01908E-14 2.27140E-15 5.13665E-16 1.27431E-16 2.88763E-17 6.72889E-18 1.45522E-18 3.22312E-19 6.67835E-20 1.52460E-20 3.17744E-21 5.01468E-22 1.03640E-22 1.64097E-23 1.94577E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 8.02745E-26 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.75912E-26 0.00000E+00 0.00000E+00 6.94198E-25 5.09147E-02 8.83795E-04 2.87250E-10 7.78457E-17 4.26058E-18 0.00000E+00 0.00000E+00 0.00000E+00 9.91664E-19 2.01763E-18 5.15292E-18 0.00000E+00 5.68769E-21 0.00000E+00 0.00000E+00 4.92708E-19 3.35213E-19 0.00000E+00 0.00000E+00 2.04394E-27 0.00000E+00 3.13323E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 7.03777E-02 5.02655E-06 4.66597E-15 0.00000E+00 1.59004E-19 0.00000E+00 6.69156E-19 0.00000E+00 4.82015E-20 0.00000E+00 4.46471E-22 2.01911E-19 1.16636E-18 2.10569E-22 2.61394E-18 1.99648E-20 6.76779E-19 5.69494E-25 0.00000E+00 2.29419E-21 2.76133E-19 0.00000E+00 3.93341E-20 1.43819E-31 0.00000E+00
2 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 5.88215E-18 0.00000E+00 9.69561E-06 1.90172E-05 1.23136E-05 0.00000E+00 0.00000E+00 6.76217E-09 2.67723E-09 7.79379E-11 3.04195E-13 1.01918E-14 2.27162E-15 5.13715E-16 1.27444E-16 2.88791E-17 6.72955E-18 1.45536E-18 3.22344E-19 6.67896E-20 1.52474E-20 3.17790E-21 5.01784E-22 1.03629E-22 1.63510E-23 2.10147E-24 3.11606E-25 2.98581E-25 2.07098E-25 2.99691E-25 2.38400E-25 5.90194E-25 6.16094E-25 3.12212E-25 3.50885E-25 2.26889E-25 1.63124E-25 0.00000E+00 0.00000E+00 0.00000E+00 5.08658E-26 0.00000E+00 5.12368E-25 1.30055E-25 2.59377E-25 7.54555E-25 4.54712E-25 3.80244E-25 5.09197E-02 8.83881E-04 2.87278E-10 1.30809E-16 1.59988E-17 2.66326E-22 0.00000E+00 0.00000E+00 0.00000E+00 1.12232E-18 0.00000E+00 0.00000E+00 0.00000E+00 4.90260E-22 0.00000E+00 1.53948E-19 0.00000E+00 0.00000E+00 2.30075E-19 1.37498E-26 0.00000E+00 1.03074E-24 1.25649E-21 3.24074E-28 0.00000E+00 0.00000E+00 0.00000E+00 1.03982E-17 7.03846E-02 5.02704E-06 5.03026E-15 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.83705E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.81862E-20 0.00000E+00 0.00000E+00 0.00000E+00 6.70850E-19 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 1.74913E-17 4.37698E-20 9.69563E-06 1.90172E-05 1.23136E-05 0.00000E+00 2.87839E-21 6.76218E-09 2.67723E-09 7.79379E-11 3.04196E-13 1.01919E-14 2.27165E-15 5.13721E-16 1.27445E-16 2.88795E-17 6.72963E-18 1.45538E-18 3.22349E-19 6.67908E-20 1.52481E-20 3.17798E-21 5.01864E-22 1.03737E-22 1.66224E-23 1.99626E-24 1.14909E-25 0.00000E+00 0.00000E+00 0.00000E+00 6.79556E-26 9.84498E-26 2.96713E-25 2.52890E-25 1.02943E-25 3.50532E-25 4.79627E-27 1.62367E-25 0.00000E+00 0.00000E+00 6.82914E-25 4.48502E-25 0.00000E+00 0.00000E+00 0.00000E+00 3.65022E-26 6.84857E-25 0.00000E+00 5.09203E-02 8.83891E-04 2.87281E-10 9.47593E-17 1.53635E-17 9.54334E-22 1.71676E-19 2.62008E-18 2.06533E-18 0.00000E+00 5.16224E-18 1.47488E-24 4.79566E-20 2.31523E-21 4.99220E-20 1.92107E-18 2.63713E-18 7.03637E-23 1.87332E-18 0.00000E+00 2.11001E-20 2.87211E-24 5.84961E-21 3.72899E-27 1.14881E-18 8.29404E-19 5.29301E-66 0.00000E+00 7.03854E-02 5.02710E-06 4.97779E-15 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.36291E-18 1.85288E-20 0.00000E+00 9.07831E-23 0.00000E+00 1.43996E-20 1.24956E-22 3.08320E-19 1.58025E-20 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.11285E-20 0.00000E+00 0.00000E+00 0.00000E+00 5.20756E-18
4 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 0.00000E+00 1.80788E-19 9.69564E-06 1.90173E-05 1.23137E-05 0.00000E+00 3.97084E-22 6.76218E-09 2.67723E-09 7.79379E-11 3.04196E-13 1.01920E-14 2.27166E-15 5.13725E-16 1.27446E-16 2.88797E-17 6.72968E-18 1.45539E-18 3.22350E-19 6.67915E-20 1.52480E-20 3.17813E-21 5.01460E-22 1.03510E-22 1.64958E-23 2.31695E-24 4.11167E-25 3.54117E-25 3.86529E-25 5.02650E-25 4.95480E-25 3.98545E-25 4.56656E-25 1.79078E-25 2.97975E-25 3.05043E-25 7.33880E-25 1.85641E-25 4.95985E-25 1.63780E-25 4.65491E-25 3.54773E-25 7.76189E-25 6.38435E-25 5.52859E-25 0.00000E+00 0.00000E+00 8.19658E-25 5.09206E-02 8.83897E-04 2.87282E-10 0.00000E+00 0.00000E+00 1.83453E-22 1.10736E-19 5.74458E-18 0.00000E+00 0.00000E+00 0.00000E+00 7.64627E-25 5.80846E-21 0.00000E+00 2.55347E-19 2.20917E-19 2.48848E-18 0.00000E+00 0.00000E+00 9.59492E-27 0.00000E+00 6.19780E-24 4.38633E-21 0.00000E+00 0.00000E+00 2.56016E-19 0.00000E+00 0.00000E+00 7.03859E-02 5.02713E-06 5.25144E-15 2.99240E-17 1.05085E-20 0.00000E+00 1.29511E-18 0.00000E+00 1.33143E-20 0.00000E+00 4.52003E-22 3.72694E-20 5.13725E-19 2.25458E-22 0.00000E+00 1.52532E-20 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.59701E-24 0.00000E+00 1.23982E-31 1.04897E-17
5 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 1.75996E-18 9.59238E-20 9.69566E-06 1.90173E-05 1.23137E-05 0.00000E+00 0.00000E+00 6.76218E-09 2.67723E-09 7.79379E-11 3.04197E-13 1.01921E-14 2.27169E-15 5.13731E-16 1.27448E-16 2.88800E-17 6.72976E-18 1.45541E-18 3.22354E-19 6.67919E-20 1.52482E-20 3.17779E-21 5.01565E-22 1.03428E-22 1.62704E-23 2.09663E-24 2.72428E-25 1.07437E-25 3.15847E-25 2.17902E-25 2.03564E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.53733E-26 8.18724E-25 7.60664E-25 4.78163E-25 0.00000E+00 9.06117E-25 5.09212E-02 8.83908E-04 2.87286E-10 1.34306E-16 2.50688E-17 7.11686E-22 0.00000E+00 0.00000E+00 4.43210E-19 0.00000E+00 1.22358E-17 1.46847E-24 0.00000E+00 1.51131E-21 3.94003E-20 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.26484E-24 7.91860E-21 0.00000E+00 0.00000E+00 5.16928E-19 2.44721E-67 4.39144E-18 7.03867E-02 5.02719E-06 4.78307E-15 1.40675E-17 0.00000E+00 0.00000E+00 0.00000E+00 1.56972E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.95464E-19 0.00000E+00 4.54384E-28 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
6 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 6.81094E-19 4.19295E-20 9.69568E-06 1.90173E-05 1.23137E-05 0.00000E+00 0.00000E+00 6.76218E-09 2.67723E-09 7.79379E-11 3.04198E-13 1.01922E-14 2.27172E-15 5.13737E-16 1.27449E-16 2.88804E-17 6.72984E-18 1.45543E-18 3.22358E-19 6.67928E-20 1.52485E-20 3.17809E-21 5.01954E-22 1.03994E-22 1.70883E-23 2.61059E-24 6.70065E-25 4.53374E-25 2.24971E-25 3.31801E-25 0.00000E+00 1.55702E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.30999E-24 5.68207E-25 5.09219E-02 8.83918E-04 2.87289E-10 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.88005E-18 0.00000E+00 0.00000E+00 0.00000E+00 4.85282E-25 0.00000E+00 0.00000E+00 0.00000E+00 2.96303E-19 1.87300E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.99487E-21 0.00000E+00 0.00000E+00 6.72862E-20 0.00000E+00 0.00000E+00 7.03876E-02 5.02725E-06 5.10312E-15 0.00000E+00 1.81517E-19 0.00000E+00 1.10030E-18 0.00000E+00 5.96629E-20 0.00000E+00 6.38997E-22 1.43281E-19 1.35610E-18 1.24025E-22 3.07727E-18 1.97928E-20 0.00000E+00 0.00000E+00 2.11099E-27 7.82306E-22 4.03188E-19 4.30958E-25 2.98526E-19 1.64811E-31 0.00000E+00
7 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 2.74805E-17 1.77094E-19 9.69569E-06 1.90173E-05 1.23137E-05 0.00000E+00 3.23064E-22 6.76218E-09 2.67723E-09 7.79379E-11 3.04198E-13 1.01923E-14 2.27173E-15 5.13740E-16 1.27450E-16 2.88805E-17 6.72988E-18 1.45544E-18 3.22360E-19 6.67930E-20 1.52481E-20 3.17823E-21 5.01626E-22 1.03622E-22 1.64826E-23 2.18892E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.55566E-25 2.69349E-25 1.31266E-26 4.24798E-25 1.15994E-25 1.93265E-25 5.53364E-25 6.19502E-25 6.49264E-25 5.55711E-25 0.00000E+00 3.84712E-26 5.09222E-02 8.83924E-04 2.87292E-10 0.00000E+00 0.00000E+00 1.12605E-21 9.63566E-20 0.00000E+00 0.00000E+00 2.00154E-18 0.00000E+00 1.20720E-24 0.00000E+00 2.77555E-21 1.30642E-19 0.00000E+00 1.43223E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.53677E-24 4.90580E-21 0.00000E+00 0.00000E+00 2.38916E-19 0.00000E+00 0.00000E+00 7.03880E-02 5.02728E-06 4.24617E-15 0.00000E+00 1.76686E-20 2.79013E-18 0.00000E+00 2.35814E-18 0.00000E+00 0.00000E+00 4.98118E-22 0.00000E+00 0.00000E+00 0.00000E+00 2.03119E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.33838E-21 0.00000E+00 0.00000E+00 1.26049E-19 0.00000E+00 0.00000E+00
8 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 4.14986E-17 0.00000E+00 9.69570E-06 1.90174E-05 1.23137E-05 6.46921E-20 0.00000E+00 6.76218E-09 2.67723E-09 7.79379E-11 3.04199E-13 1.01924E-14 2.27176E-15 5.13747E-16 1.27451E-16 2.88809E-17 6.72996E-18 1.45545E-18 3.22363E-19 6.67939E-20 1.52488E-20 3.17800E-21 5.01638E-22 1.03945E-22 1.67379E-23 2.41409E-24 5.81611E-25 5.57983E-25 4.09147E-25 1.74080E-25 3.16857E-25 5.53642E-25 3.00146E-25 7.27014E-27 1.27278E-25 4.44892E-25 4.52112E-25 5.68131E-25 1.21068E-25 3.10748E-25 3.68556E-26 5.08127E-25 4.29645E-26 8.01155E-25 1.35103E-25 4.90583E-25 1.08724E-24 1.87348E-24 5.09228E-02 8.83934E-04 2.87295E-10 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.00758E-19 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 9.87654E-22 0.00000E+00 0.00000E+00 1.81927E-19 0.00000E+00 1.97994E-18 7.03889E-02 5.02734E-06 5.03243E-15 6.83047E-18 3.98635E-20 3.03238E-18 0.00000E+00 0.00000E+00 2.26052E-20 0.00000E+00 5.38184E-23 2.18905E-20 0.00000E+00 2.28974E-22 6.33581E-19 4.30994E-20 0.00000E+00 9.53802E-25 0.00000E+00 1.54228E-21 7.72706E-19 0.00000E+00 2.08000E-19 6.74557E-32 1.38608E-17
9 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 2.56405E-17 0.00000E+00 9.69571E-06 1.90174E-05 1.23137E-05 2.87032E-20 4.42878E-21 6.76218E-09 2.67723E-09 7.79379E-11 3.04199E-13 1.01924E-14 2.27177E-15 5.13750E-16 1.27452E-16 2.88811E-17 6.73000E-18 1.45546E-18 3.22365E-19 6.67939E-20 1.52478E-20 3.17768E-21 5.01429E-22 1.03216E-22 1.65489E-23 2.00717E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.04978E-26 2.17397E-25 1.49593E-25 2.93229E-25 3.19886E-25 1.33740E-25 0.00000E+00 5.35163E-26 0.00000E+00 9.02709E-26 9.40070E-26 3.55227E-25 3.25364E-25 1.29828E-25 5.60912E-25 6.20638E-25 8.31422E-25 3.91628E-25 5.09231E-02 8.83940E-04 2.87297E-10 1.57968E-16 1.36694E-17 6.64252E-22 1.73920E-19 0.00000E+00 4.77832E-19 2.04558E-18 8.70792E-18 0.00000E+00 0.00000E+00 4.66633E-22 1.30979E-19 0.00000E+00 2.24771E-18 0.00000E+00 2.00334E-18 5.46365E-27 0.00000E+00 1.42232E-24 5.14879E-21 0.00000E+00 0.00000E+00 3.73542E-19 0.00000E+00 2.84349E-18 7.03893E-02 5.02738E-06 4.28780E-15 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 8.57536E-18 4.38869E-20 0.00000E+00 5.63517E-24 0.00000E+00 1.40099E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.96864E-25 0.00000E+00 2.83723E-22 0.00000E+00 0.00000E+00 3.03608E-19 8.12020E-32 0.00000E+00
10 9.99733E+02 3.62696E-67 8.41980E-02 1.57610E-02 2.99902E-01 6.59659E-05 3.14424E-05 0.00000E+00 0.00000E+00 9.69573E-06 1.90174E-05 1.23138E-05 2.54871E-20 5.80028E-23 6.76218E-09 2.67723E-09 7.79379E-11 3.04200E-13 1.01926E-14 2.27180E-15 5.13756E-16 1.27454E-16 2.88814E-17 6.73009E-18 1.45548E-18 3.22369E-19 6.67951E-20 1.52487E-20 3.17799E-21 5.01731E-22 1.03376E-22 1.63625E-23 1.70000E-24 3.61488E-26 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.71419E-25 0.00000E+00 3.20946E-25 1.50401E-25 8.18396E-26 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.62497E-26 5.16735E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.48704E-25 5.09237E-02 8.83951E-04 2.87300E-10 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.20673E-25 0.00000E+00 1.08273E-21 0.00000E+00 0.00000E+00 2.48138E-18 0.00000E+00 0.00000E+00 2.27902E-27 0.00000E+00 4.00060E-25 6.00120E-22 0.00000E+00 0.00000E+00 2.47942E-19 0.00000E+00 0.00000E+00 7.03902E-02 5.02744E-06 4.62000E-15 0.00000E+00 0.00000E+00 0.00000E+00 1.25361E-19 5.31598E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.18334E-20 0.00000E+00 0.00000E+00 0.00000E+00 7.23620E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.05902E-31 0.00000E+00
