Particle,n_H,n_g,T_gas,T_dust,chi,F_X
1,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
2,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
3,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
4,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
5,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
6,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
7,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
8,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,1.00000E+01,0.00000E+00
9,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
10,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
11,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
12,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
13,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
14,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
15,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
16,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
17,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
18,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
19,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
20,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
21,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
22,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
23,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
24,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
25,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
26,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
27,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
28,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
29,1.00000E+03,2.00000E-09,9.10508E+01,2.09745E+01,9.99999E+00,0.00000E+00
30,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
31,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
32,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
33,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
34,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
35,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
36,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
37,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
38,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
39,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
40,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
41,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99999E+00,0.00000E+00
42,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
43,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
44,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
45,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
46,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
47,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
48,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
49,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
50,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
51,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
52,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
53,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
54,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
55,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
56,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
57,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
58,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
59,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
60,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
61,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
62,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
63,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
64,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
65,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
66,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
67,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
68,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
69,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
70,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
71,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
72,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
73,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
74,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99998E+00,0.00000E+00
75,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
76,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
77,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
78,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
79,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
80,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
81,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
82,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
83,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
84,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
85,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
86,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
87,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
88,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
89,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
90,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
91,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
92,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
93,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99997E+00,0.00000E+00
94,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99996E+00,0.00000E+00
95,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99996E+00,0.00000E+00
96,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99996E+00,0.00000E+00
97,1.00000E+03,2.00000E-09,9.10507E+01,2.09745E+01,9.99995E+00,0.00000E+00
98,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99995E+00,0.00000E+00
99,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99995E+00,0.00000E+00
100,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99995E+00,0.00000E+00
101,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99994E+00,0.00000E+00
102,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99994E+00,0.00000E+00
103,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99994E+00,0.00000E+00
104,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99993E+00,0.00000E+00
105,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99993E+00,0.00000E+00
106,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99993E+00,0.00000E+00
107,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99992E+00,0.00000E+00
108,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99992E+00,0.00000E+00
109,1.00000E+03,2.00000E-09,9.10506E+01,2.09745E+01,9.99992E+00,0.00000E+00
110,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99992E+00,0.00000E+00
111,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99991E+00,0.00000E+00
112,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99991E+00,0.00000E+00
113,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99991E+00,0.00000E+00
114,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99990E+00,0.00000E+00
115,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99990E+00,0.00000E+00
116,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99990E+00,0.00000E+00
117,1.00000E+03,2.00000E-09,9.10505E+01,2.09745E+01,9.99989E+00,0.00000E+00
118,1.00000E+03,2.00000E-09,9.10505E+01,2.09744E+01,9.99989E+00,0.00000E+00
119,1.00000E+03,2.00000E-09,9.10505E+01,2.09744E+01,9.99989E+00,0.00000E+00
120,1.00000E+03,2.00000E-09,9.10505E+01,2.09744E+01,9.99989E+00,0.00000E+00
121,1.00000E+03,2.00000E-09,9.10505E+01,2.09744E+01,9.99988E+00,0.00000E+00
