Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 5.74340E-13 9.51293E-11 4.31313E-09 1.42269E-15 8.53812E-08 5.74159E-14 1.60050E-15 1.30829E-09 5.60111E-09 4.99569E-06 2.78783E-05 3.19452E-14 1.20412E-08 4.22355E-09 1.24636E-10 7.67931E-10 6.99443E-11 2.42366E-06 5.91458E-06 1.40878E-09 4.19669E-10 1.99400E-11 5.60265E-08 4.46164E-10 2.83125E-05 1.00000E-01 9.37275E-10 4.37498E-05 4.35704E-06 2.49218E-04 1.41781E-02 9.71629E-01 3.88715E-05
2 5.73414E-13 9.46452E-11 4.32063E-09 1.49181E-15 8.68145E-08 5.61010E-14 1.68450E-15 1.27697E-09 5.47363E-09 4.99568E-06 2.75561E-05 3.32580E-14 1.20084E-08 4.31165E-09 1.24461E-10 7.66914E-10 7.11573E-11 2.49996E-06 5.78075E-06 1.44825E-09 4.23890E-10 2.04411E-11 5.76679E-08 4.48343E-10 2.84261E-05 1.00000E-01 9.34104E-10 4.39566E-05 4.40155E-06 2.48886E-04 1.43453E-02 9.71294E-01 3.84171E-05
3 5.73339E-13 9.45442E-11 4.32148E-09 1.50605E-15 8.70162E-08 5.58582E-14 1.70192E-15 1.27075E-09 5.44916E-09 4.99568E-06 2.74906E-05 3.34927E-14 1.20039E-08 4.32986E-09 1.24428E-10 7.66485E-10 7.14241E-11 2.51575E-06 5.75413E-06 1.45675E-09 4.25133E-10 2.05291E-11 5.80165E-08 4.48960E-10 2.84481E-05 1.00000E-01 9.33934E-10 4.39999E-05 4.41087E-06 2.48817E-04 1.43763E-02 9.71232E-01 3.83253E-05
4 5.73339E-13 9.45442E-11 4.32148E-09 1.50605E-15 8.70162E-08 5.58582E-14 1.70192E-15 1.27075E-09 5.44916E-09 4.99568E-06 2.74906E-05 3.34927E-14 1.20039E-08 4.32986E-09 1.24428E-10 7.66485E-10 7.14241E-11 2.51575E-06 5.75413E-06 1.45675E-09 4.25133E-10 2.05291E-11 5.80165E-08 4.48960E-10 2.84481E-05 1.00000E-01 9.33934E-10 4.39999E-05 4.41087E-06 2.48817E-04 1.43763E-02 9.71232E-01 3.83253E-05
5 5.72714E-13 9.44575E-11 4.32565E-09 1.52061E-15 8.76618E-08 5.55305E-14 1.71929E-15 1.26461E-09 5.42059E-09 4.99567E-06 2.74329E-05 3.39087E-14 1.19880E-08 4.34628E-09 1.24390E-10 7.67160E-10 7.15910E-11 2.53069E-06 5.72807E-06 1.46305E-09 4.24403E-10 2.06894E-11 5.83005E-08 4.48689E-10 2.84674E-05 1.00000E-01 9.31521E-10 4.40379E-05 4.41859E-06 2.48754E-04 1.44219E-02 9.71141E-01 3.82418E-05
6 5.72714E-13 9.44575E-11 4.32565E-09 1.52061E-15 8.76618E-08 5.55305E-14 1.71929E-15 1.26461E-09 5.42059E-09 4.99567E-06 2.74329E-05 3.39087E-14 1.19880E-08 4.34628E-09 1.24390E-10 7.67160E-10 7.15910E-11 2.53069E-06 5.72807E-06 1.46305E-09 4.24403E-10 2.06894E-11 5.83005E-08 4.48689E-10 2.84674E-05 1.00000E-01 9.31521E-10 4.40379E-05 4.41859E-06 2.48754E-04 1.44219E-02 9.71141E-01 3.82418E-05
7 5.72634E-13 9.43560E-11 4.32651E-09 1.53518E-15 8.78664E-08 5.52884E-14 1.73714E-15 1.25840E-09 5.39613E-09 4.99567E-06 2.73671E-05 3.41488E-14 1.19833E-08 4.36467E-09 1.24356E-10 7.66727E-10 7.18599E-11 2.54677E-06 5.70147E-06 1.47167E-09 4.25649E-10 2.07785E-11 5.86545E-08 4.49304E-10 2.84892E-05 1.00000E-01 9.31345E-10 4.40815E-05 4.42799E-06 2.48685E-04 1.44533E-02 9.71078E-01 3.81498E-05
8 5.72634E-13 9.43560E-11 4.32651E-09 1.53518E-15 8.78664E-08 5.52884E-14 1.73714E-15 1.25840E-09 5.39613E-09 4.99567E-06 2.73671E-05 3.41488E-14 1.19833E-08 4.36467E-09 1.24356E-10 7.66727E-10 7.18599E-11 2.54677E-06 5.70147E-06 1.47167E-09 4.25649E-10 2.07785E-11 5.86545E-08 4.49304E-10 2.84892E-05 1.00000E-01 9.31345E-10 4.40815E-05 4.42799E-06 2.48685E-04 1.44533E-02 9.71078E-01 3.81498E-05
9 5.72551E-13 9.42545E-11 4.32737E-09 1.54992E-15 8.80718E-08 5.50466E-14 1.75520E-15 1.25219E-09 5.37169E-09 4.99567E-06 2.73013E-05 3.43909E-14 1.19785E-08 4.38315E-09 1.24321E-10 7.66291E-10 7.21299E-11 2.56297E-06 5.67489E-06 1.48036E-09 4.26900E-10 2.08681E-11 5.90112E-08 4.49918E-10 2.85110E-05 1.00000E-01 9.31166E-10 4.41252E-05 4.43743E-06 2.48615E-04 1.44847E-02 9.71015E-01 3.80577E-05
10 5.72551E-13 9.42545E-11 4.32737E-09 1.54992E-15 8.80718E-08 5.50466E-14 1.75520E-15 1.25219E-09 5.37169E-09 4.99567E-06 2.73013E-05 3.43909E-14 1.19785E-08 4.38315E-09 1.24321E-10 7.66291E-10 7.21299E-11 2.56297E-06 5.67489E-06 1.48036E-09 4.26900E-10 2.08681E-11 5.90112E-08 4.49918E-10 2.85110E-05 1.00000E-01 9.31166E-10 4.41252E-05 4.43743E-06 2.48615E-04 1.44847E-02 9.71015E-01 3.80577E-05
11 5.72466E-13 9.41528E-11 4.32824E-09 1.56482E-15 8.82779E-08 5.48050E-14 1.77348E-15 1.24599E-09 5.34725E-09 4.99567E-06 2.72354E-05 3.46350E-14 1.19735E-08 4.40172E-09 1.24286E-10 7.65851E-10 7.24011E-11 2.57931E-06 5.64834E-06 1.48910E-09 4.28156E-10 2.09582E-11 5.93706E-08 4.50531E-10 2.85327E-05 1.00000E-01 9.30984E-10 4.41690E-05 4.44691E-06 2.48544E-04 1.45163E-02 9.70952E-01 3.79656E-05
12 5.72466E-13 9.41528E-11 4.32824E-09 1.56482E-15 8.82779E-08 5.48050E-14 1.77348E-15 1.24599E-09 5.34725E-09 4.99567E-06 2.72354E-05 3.46350E-14 1.19735E-08 4.40172E-09 1.24286E-10 7.65851E-10 7.24011E-11 2.57931E-06 5.64834E-06 1.48910E-09 4.28156E-10 2.09582E-11 5.93706E-08 4.50531E-10 2.85327E-05 1.00000E-01 9.30984E-10 4.41690E-05 4.44691E-06 2.48544E-04 1.45163E-02 9.70952E-01 3.79656E-05
