Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
1 5.17833E-57 1.66552E-19 5.82568E-17 7.76970E-21 1.06506E-18 3.86692E-18 1.26445E-17 7.60076E-17
2 4.65569E-57 1.64622E-19 5.81699E-17 7.79980E-21 1.08112E-18 3.89374E-18 1.27316E-17 7.60488E-17
3 4.64425E-57 1.64230E-19 5.81534E-17 7.80568E-21 1.08444E-18 3.90203E-18 1.27587E-17 7.60706E-17
4 4.64425E-57 1.64230E-19 5.81534E-17 7.80568E-21 1.08444E-18 3.90203E-18 1.27587E-17 7.60706E-17
5 4.21606E-57 1.63881E-19 5.81311E-17 7.81041E-21 1.08755E-18 3.89598E-18 1.27384E-17 7.60247E-17
6 4.21606E-57 1.63881E-19 5.81311E-17 7.81041E-21 1.08755E-18 3.89598E-18 1.27384E-17 7.60247E-17
7 4.20563E-57 1.63488E-19 5.81144E-17 7.81627E-21 1.09091E-18 3.90433E-18 1.27657E-17 7.60466E-17
8 4.20563E-57 1.63488E-19 5.81144E-17 7.81627E-21 1.09091E-18 3.90433E-18 1.27657E-17 7.60466E-17
9 4.19520E-57 1.63094E-19 5.80976E-17 7.82212E-21 1.09428E-18 3.91271E-18 1.27931E-17 7.60686E-17
10 4.19520E-57 1.63094E-19 5.80976E-17 7.82212E-21 1.09428E-18 3.91271E-18 1.27931E-17 7.60686E-17
11 4.18477E-57 1.62700E-19 5.80808E-17 7.82795E-21 1.09767E-18 3.92112E-18 1.28206E-17 7.60907E-17
12 4.18477E-57 1.62700E-19 5.80808E-17 7.82795E-21 1.09767E-18 3.92112E-18 1.28206E-17 7.60907E-17
13 4.17433E-57 1.62306E-19 5.80639E-17 7.83378E-21 1.10107E-18 3.92957E-18 1.28482E-17 7.61128E-17
14 4.17433E-57 1.62306E-19 5.80639E-17 7.83378E-21 1.10107E-18 3.92957E-18 1.28482E-17 7.61128E-17
15 3.78874E-57 1.61958E-19 5.80414E-17 7.83843E-21 1.10424E-18 3.92339E-18 1.28274E-17 7.60662E-17
16 3.78874E-57 1.61958E-19 5.80414E-17 7.83843E-21 1.10424E-18 3.92339E-18 1.28274E-17 7.60662E-17
17 3.77923E-57 1.61562E-19 5.80244E-17 7.84426E-21 1.10768E-18 3.93189E-18 1.28552E-17 7.60885E-17
18 3.77923E-57 1.61562E-19 5.80244E-17 7.84426E-21 1.10768E-18 3.93189E-18 1.28552E-17 7.60885E-17
