Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
1 3.08960E-19 5.77214E-18 6.91315E-17 1.49116E-18 4.30338E-20 7.18338E-24 2.21359E-23 1.39198E-19 -8.92024E-19 0.00000E+00 7.59940E-17
2 3.08981E-19 5.77587E-18 6.91607E-17 1.49189E-18 4.31794E-20 7.26808E-24 2.21359E-23 1.41155E-19 -8.90945E-19 0.00000E+00 7.60308E-17
3 3.08980E-19 5.77550E-18 6.91532E-17 1.49173E-18 4.32103E-20 7.28379E-24 2.21359E-23 1.41552E-19 -8.90945E-19 0.00000E+00 7.60233E-17
4 3.08980E-19 5.77550E-18 6.91532E-17 1.49173E-18 4.32103E-20 7.28379E-24 2.21359E-23 1.41552E-19 -8.90945E-19 0.00000E+00 7.60233E-17
5 3.09002E-19 5.78068E-18 6.92122E-17 1.49308E-18 4.32375E-20 7.30691E-24 2.21359E-23 1.41952E-19 -8.89865E-19 0.00000E+00 7.60903E-17
6 3.09002E-19 5.78068E-18 6.92122E-17 1.49308E-18 4.32375E-20 7.30691E-24 2.21359E-23 1.41952E-19 -8.89865E-19 0.00000E+00 7.60903E-17
7 3.09001E-19 5.78031E-18 6.92047E-17 1.49292E-18 4.32687E-20 7.32279E-24 2.21359E-23 1.42351E-19 -8.89865E-19 0.00000E+00 7.60827E-17
8 3.09001E-19 5.78031E-18 6.92047E-17 1.49292E-18 4.32687E-20 7.32279E-24 2.21359E-23 1.42351E-19 -8.89865E-19 0.00000E+00 7.60827E-17
9 3.08999E-19 5.77994E-18 6.91971E-17 1.49277E-18 4.32999E-20 7.33873E-24 2.21359E-23 1.42752E-19 -8.89865E-19 0.00000E+00 7.60750E-17
10 3.08999E-19 5.77994E-18 6.91971E-17 1.49277E-18 4.32999E-20 7.33873E-24 2.21359E-23 1.42752E-19 -8.89865E-19 0.00000E+00 7.60750E-17
11 3.08998E-19 5.77956E-18 6.91895E-17 1.49261E-18 4.33312E-20 7.35473E-24 2.21359E-23 1.43153E-19 -8.89865E-19 0.00000E+00 7.60673E-17
12 3.08998E-19 5.77956E-18 6.91895E-17 1.49261E-18 4.33312E-20 7.35473E-24 2.21359E-23 1.43153E-19 -8.89865E-19 0.00000E+00 7.60673E-17
13 3.08996E-19 5.77918E-18 6.91819E-17 1.49245E-18 4.33625E-20 7.37081E-24 2.21359E-23 1.43556E-19 -8.89865E-19 0.00000E+00 7.60596E-17
14 3.08996E-19 5.77918E-18 6.91819E-17 1.49245E-18 4.33625E-20 7.37081E-24 2.21359E-23 1.43556E-19 -8.89865E-19 0.00000E+00 7.60596E-17
15 3.09016E-19 5.78436E-18 6.92395E-17 1.49377E-18 4.33898E-20 7.39427E-24 2.21359E-23 1.43960E-19 -8.88787E-19 0.00000E+00 7.61253E-17
16 3.09016E-19 5.78436E-18 6.92395E-17 1.49377E-18 4.33898E-20 7.39427E-24 2.21359E-23 1.43960E-19 -8.88787E-19 0.00000E+00 7.61253E-17
17 3.09014E-19 5.78398E-18 6.92318E-17 1.49361E-18 4.34212E-20 7.41051E-24 2.21359E-23 1.44365E-19 -8.88787E-19 0.00000E+00 7.61175E-17
18 3.09014E-19 5.78398E-18 6.92318E-17 1.49361E-18 4.34212E-20 7.41051E-24 2.21359E-23 1.44365E-19 -8.88787E-19 0.00000E+00 7.61175E-17
19 3.09012E-19 5.78360E-18 6.92241E-17 1.49345E-18 4.34527E-20 7.42683E-24 2.21359E-23 1.44772E-19 -8.88787E-19 0.00000E+00 7.61096E-17
20 3.09012E-19 5.78360E-18 6.92241E-17 1.49345E-18 4.34527E-20 7.42683E-24 2.21359E-23 1.44772E-19 -8.88787E-19 0.00000E+00 7.61096E-17
21 3.09009E-19 5.78321E-18 6.92163E-17 1.49328E-18 4.34843E-20 7.44321E-24 2.21359E-23 1.45180E-19 -8.88787E-19 0.00000E+00 7.61017E-17
22 3.09009E-19 5.78321E-18 6.92163E-17 1.49328E-18 4.34843E-20 7.44321E-24 2.21359E-23 1.45180E-19 -8.88787E-19 0.00000E+00 7.61017E-17
23 3.09006E-19 5.78282E-18 6.92085E-17 1.49312E-18 4.35158E-20 7.45967E-24 2.21359E-23 1.45589E-19 -8.88787E-19 0.00000E+00 7.60938E-17
24 3.09006E-19 5.78282E-18 6.92085E-17 1.49312E-18 4.35158E-20 7.45967E-24 2.21359E-23 1.45589E-19 -8.88787E-19 0.00000E+00 7.60938E-17
25 3.09026E-19 5.78799E-18 6.92709E-17 1.49454E-18 4.35445E-20 7.48413E-24 2.21359E-23 1.46012E-19 -8.87708E-19 0.00000E+00 7.61643E-17
26 3.09026E-19 5.78799E-18 6.92709E-17 1.49454E-18 4.35445E-20 7.48413E-24 2.21359E-23 1.46012E-19 -8.87708E-19 0.00000E+00 7.61643E-17
27 3.09022E-19 5.78760E-18 6.92630E-17 1.49438E-18 4.35761E-20 7.50076E-24 2.21359E-23 1.46424E-19 -8.87708E-19 0.00000E+00 7.61563E-17
