Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 3.07256E+05 8.01452E-38 3.11764E+00 5.69825E+00 5.19378E+01 2.02304E+01 6.64139E+00 8.99170E-09 1.60462E-17 1.03523E+00 3.03857E+00 4.87939E+00 9.30760E-08 0.00000E+00 3.07802E-01 1.16146E+00 2.52865E+00 3.18958E+00 2.61139E+00 1.68969E+00 9.89603E-01 5.62534E-01 3.21537E-01 1.86353E-01 1.10150E-01 6.62822E-02 4.04735E-02 2.50608E-02 1.57479E-02 1.00044E-02 6.41950E-03 4.15572E-03 2.71032E-03 1.77856E-03 1.17822E-03 7.78396E-04 5.16760E-04 3.44041E-04 2.29917E-04 1.54146E-04 1.03671E-04 6.98734E-05 4.71481E-05 3.19010E-05 2.15478E-05 1.45556E-05 9.80466E-06 6.57629E-06 4.37594E-06 2.87479E-06 1.85193E-06 1.15396E-06 6.80438E-07 3.60684E-07 1.44623E-07 1.47699E+02 4.84282E+02 3.41262E+02 1.20058E+02 2.27680E+01 3.00977E-01 1.03515E+00 8.31146E-01 2.12846E+00 3.67190E-01 9.00553E-02 1.02417E-03 8.94282E-02 3.60606E-03 3.14256E-03 1.04550E-02 1.62606E-03 1.35304E-03 4.57665E-04 3.40045E-06 4.15381E-04 1.21942E-05 1.13876E-05 8.06562E-06 4.70610E-05 6.99207E-06 5.77134E-42 2.00309E-06 1.14948E+03 1.35141E+03 6.55577E+02 1.71241E+02 2.83159E+00 3.59180E+00 2.39208E+01 2.04895E+00 1.61634E+00 6.63596E-01 1.04865E-02 1.38755E-02 1.11570E-01 5.01858E-02 8.79321E-03 7.87648E-03 3.18629E-03 4.44468E-05 5.97609E-04 5.74382E-05 5.07646E-04 2.09153E-04 3.88344E-05 2.56570E-05 1.38427E-05
2 3.07150E+05 7.91364E-38 3.08179E+00 5.63222E+00 5.18731E+01 2.02002E+01 6.63133E+00 8.90403E-09 0.00000E+00 1.03942E+00 3.05081E+00 4.89891E+00 9.17234E-08 7.21645E-16 3.07594E-01 1.15747E+00 2.52034E+00 3.19504E+00 2.62986E+00 1.70840E+00 1.00313E+00 5.71101E-01 3.26733E-01 1.89460E-01 1.12019E-01 6.74152E-02 4.11674E-02 2.54900E-02 1.60163E-02 1.01736E-02 6.52718E-03 4.22472E-03 2.75481E-03 1.80738E-03 1.19704E-03 7.90646E-04 5.24762E-04 3.49278E-04 2.33355E-04 1.56408E-04 1.05163E-04 7.08601E-05 4.78013E-05 3.23348E-05 2.18356E-05 1.47468E-05 9.93149E-06 6.66020E-06 4.43109E-06 2.91064E-06 1.87482E-06 1.16811E-06 6.88737E-07 3.65061E-07 1.46371E-07 1.49595E+02 4.90285E+02 3.45164E+02 1.21266E+02 2.29519E+01 3.02757E-01 1.04091E+00 8.35192E-01 2.13947E+00 3.68644E-01 9.02757E-02 1.02550E-03 8.95569E-02 3.60948E-03 3.14331E-03 1.04558E-02 1.62494E-03 1.34928E-03 4.56627E-04 3.39119E-06 4.14039E-04 1.21567E-05 1.13438E-05 8.00926E-06 4.68311E-05 6.95685E-06 5.73099E-42 1.98891E-06 1.16406E+03 1.36759E+03 6.62662E+02 1.72816E+02 2.84845E+00 3.61118E+00 2.40850E+01 2.05834E+00 1.62211E+00 6.65852E-01 1.04995E-02 1.38850E-02 1.11725E-01 5.01663E-02 8.79201E-03 7.86329E-03 3.18182E-03 4.43524E-05 5.94685E-04 5.72632E-05 5.05743E-04 2.08045E-04 3.86631E-05 2.55050E-05 1.37568E-05
3 3.07131E+05 7.89493E-38 3.07447E+00 5.61881E+00 5.18588E+01 2.01945E+01 6.62947E+00 8.89916E-09 0.00000E+00 1.04022E+00 3.05316E+00 4.90269E+00 9.15749E-08 9.84456E-16 3.07568E-01 1.15678E+00 2.51893E+00 3.19631E+00 2.63359E+00 1.71213E+00 1.00583E+00 5.72813E-01 3.27776E-01 1.90088E-01 1.12399E-01 6.76472E-02 4.13104E-02 2.55791E-02 1.60725E-02 1.02094E-02 6.55022E-03 4.23966E-03 2.76456E-03 1.81379E-03 1.20130E-03 7.93458E-04 5.26630E-04 3.50522E-04 2.34186E-04 1.56966E-04 1.05538E-04 7.11129E-05 4.79719E-05 3.24502E-05 2.19135E-05 1.47994E-05 9.96691E-06 6.68396E-06 4.44690E-06 2.92103E-06 1.88151E-06 1.17229E-06 6.91200E-07 3.66367E-07 1.46895E-07 1.49918E+02 4.91346E+02 3.45910E+02 1.21527E+02 2.30013E+01 3.03395E-01 1.04310E+00 8.36952E-01 2.14404E+00 3.69421E-01 9.04660E-02 1.02762E-03 8.97453E-02 3.61696E-03 3.14982E-03 1.04777E-02 1.62831E-03 1.35206E-03 4.57574E-04 3.39810E-06 4.14895E-04 1.21815E-05 1.13669E-05 8.02546E-06 4.69273E-05 6.97107E-06 5.74257E-42 1.99295E-06 1.16658E+03 1.37055E+03 6.64093E+02 1.73188E+02 2.85446E+00 3.61880E+00 2.41367E+01 2.06269E+00 1.62555E+00 6.67259E-01 1.05213E-02 1.39138E-02 1.11960E-01 5.02711E-02 8.81027E-03 7.87968E-03 3.18843E-03 4.44545E-05 5.95872E-04 5.73899E-05 5.06787E-04 2.08470E-04 3.87451E-05 2.55581E-05 1.37853E-05
4 3.07131E+05 7.89493E-38 3.07447E+00 5.61881E+00 5.18588E+01 2.01945E+01 6.62947E+00 8.89916E-09 0.00000E+00 1.04022E+00 3.05316E+00 4.90269E+00 9.15749E-08 9.84456E-16 3.07568E-01 1.15678E+00 2.51893E+00 3.19631E+00 2.63359E+00 1.71213E+00 1.00583E+00 5.72813E-01 3.27776E-01 1.90088E-01 1.12399E-01 6.76472E-02 4.13104E-02 2.55791E-02 1.60725E-02 1.02094E-02 6.55022E-03 4.23966E-03 2.76456E-03 1.81379E-03 1.20130E-03 7.93458E-04 5.26630E-04 3.50522E-04 2.34186E-04 1.56966E-04 1.05538E-04 7.11129E-05 4.79719E-05 3.24502E-05 2.19135E-05 1.47994E-05 9.96691E-06 6.68396E-06 4.44690E-06 2.92103E-06 1.88151E-06 1.17229E-06 6.91200E-07 3.66367E-07 1.46895E-07 1.49918E+02 4.91346E+02 3.45910E+02 1.21527E+02 2.30013E+01 3.03395E-01 1.04310E+00 8.36952E-01 2.14404E+00 3.69421E-01 9.04660E-02 1.02762E-03 8.97453E-02 3.61696E-03 3.14982E-03 1.04777E-02 1.62831E-03 1.35206E-03 4.57574E-04 3.39810E-06 4.14895E-04 1.21815E-05 1.13669E-05 8.02546E-06 4.69273E-05 6.97107E-06 5.74257E-42 1.99295E-06 1.16658E+03 1.37055E+03 6.64093E+02 1.73188E+02 2.85446E+00 3.61880E+00 2.41367E+01 2.06269E+00 1.62555E+00 6.67259E-01 1.05213E-02 1.39138E-02 1.11960E-01 5.02711E-02 8.81027E-03 7.87968E-03 3.18843E-03 4.44545E-05 5.95872E-04 5.73899E-05 5.06787E-04 2.08470E-04 3.87451E-05 2.55581E-05 1.37853E-05
5 3.07102E+05 7.81746E-38 3.06817E+00 5.60688E+00 5.18496E+01 2.01868E+01 6.62666E+00 8.83101E-09 5.42101E-17 1.04095E+00 3.05527E+00 4.90595E+00 9.08049E-08 0.00000E+00 3.07481E-01 1.15561E+00 2.51628E+00 3.19674E+00 2.63737E+00 1.71622E+00 1.00882E+00 5.74702E-01 3.28907E-01 1.90751E-01 1.12789E-01 6.78774E-02 4.14477E-02 2.56615E-02 1.61219E-02 1.02392E-02 6.56814E-03 4.25044E-03 2.77100E-03 1.81760E-03 1.20352E-03 7.94731E-04 5.27337E-04 3.50898E-04 2.34372E-04 1.57046E-04 1.05563E-04 7.11098E-05 4.79570E-05 3.24319E-05 2.18959E-05 1.47843E-05 9.95473E-06 6.67459E-06 4.43996E-06 2.91607E-06 1.87809E-06 1.17004E-06 6.89817E-07 3.65609E-07 1.46582E-07 1.50548E+02 4.93199E+02 3.46887E+02 1.21704E+02 2.29898E+01 3.02641E-01 1.04015E+00 8.34004E-01 2.13689E+00 3.67781E-01 8.99278E-02 1.02049E-03 8.91226E-02 3.59057E-03 3.12461E-03 1.03910E-02 1.61375E-03 1.33720E-03 4.52763E-04 3.36136E-06 4.10142E-04 1.20455E-05 1.12310E-05 7.90493E-06 4.63148E-05 6.87940E-06 5.65633E-42 1.96276E-06 1.17132E+03 1.37515E+03 6.65554E+02 1.73292E+02 2.84748E+00 3.60793E+00 2.40959E+01 2.05480E+00 1.61760E+00 6.63915E-01 1.04475E-02 1.38086E-02 1.11177E-01 4.98338E-02 8.73628E-03 7.80115E-03 3.15762E-03 4.39539E-05 5.88229E-04 5.67109E-05 5.00730E-04 2.05674E-04 3.82480E-05 2.51957E-05 1.35863E-05
6 3.07102E+05 7.81746E-38 3.06817E+00 5.60688E+00 5.18496E+01 2.01868E+01 6.62666E+00 8.83101E-09 5.42101E-17 1.04095E+00 3.05527E+00 4.90595E+00 9.08049E-08 0.00000E+00 3.07481E-01 1.15561E+00 2.51628E+00 3.19674E+00 2.63737E+00 1.71622E+00 1.00882E+00 5.74702E-01 3.28907E-01 1.90751E-01 1.12789E-01 6.78774E-02 4.14477E-02 2.56615E-02 1.61219E-02 1.02392E-02 6.56814E-03 4.25044E-03 2.77100E-03 1.81760E-03 1.20352E-03 7.94731E-04 5.27337E-04 3.50898E-04 2.34372E-04 1.57046E-04 1.05563E-04 7.11098E-05 4.79570E-05 3.24319E-05 2.18959E-05 1.47843E-05 9.95473E-06 6.67459E-06 4.43996E-06 2.91607E-06 1.87809E-06 1.17004E-06 6.89817E-07 3.65609E-07 1.46582E-07 1.50548E+02 4.93199E+02 3.46887E+02 1.21704E+02 2.29898E+01 3.02641E-01 1.04015E+00 8.34004E-01 2.13689E+00 3.67781E-01 8.99278E-02 1.02049E-03 8.91226E-02 3.59057E-03 3.12461E-03 1.03910E-02 1.61375E-03 1.33720E-03 4.52763E-04 3.36136E-06 4.10142E-04 1.20455E-05 1.12310E-05 7.90493E-06 4.63148E-05 6.87940E-06 5.65633E-42 1.96276E-06 1.17132E+03 1.37515E+03 6.65554E+02 1.73292E+02 2.84748E+00 3.60793E+00 2.40959E+01 2.05480E+00 1.61760E+00 6.63915E-01 1.04475E-02 1.38086E-02 1.11177E-01 4.98338E-02 8.73628E-03 7.80115E-03 3.15762E-03 4.39539E-05 5.88229E-04 5.67109E-05 5.00730E-04 2.05674E-04 3.82480E-05 2.51957E-05 1.35863E-05
7 3.07082E+05 7.79855E-38 3.06082E+00 5.59343E+00 5.18352E+01 2.01810E+01 6.62478E+00 8.82615E-09 2.55872E-17 1.04175E+00 3.05761E+00 4.90971E+00 9.06560E-08 1.09591E-15 3.07454E-01 1.15492E+00 2.51486E+00 3.19800E+00 2.64111E+00 1.71998E+00 1.01154E+00 5.76432E-01 3.29962E-01 1.91386E-01 1.13173E-01 6.81121E-02 4.15924E-02 2.57516E-02 1.61788E-02 1.02754E-02 6.59144E-03 4.26555E-03 2.78087E-03 1.82409E-03 1.20782E-03 7.97573E-04 5.29224E-04 3.52155E-04 2.35212E-04 1.57609E-04 1.05941E-04 7.13648E-05 4.81291E-05 3.25482E-05 2.19744E-05 1.48373E-05 9.99043E-06 6.69853E-06 4.45589E-06 2.92653E-06 1.88483E-06 1.17424E-06 6.92297E-07 3.66924E-07 1.47110E-07 1.50876E+02 4.94271E+02 3.47640E+02 1.21968E+02 2.30396E+01 3.03282E-01 1.04235E+00 8.35770E-01 2.14148E+00 3.68561E-01 9.01184E-02 1.02262E-03 8.93110E-02 3.59805E-03 3.13112E-03 1.04129E-02 1.61711E-03 1.33998E-03 4.53706E-04 3.36824E-06 4.10995E-04 1.20702E-05 1.12541E-05 7.92100E-06 4.64104E-05 6.89352E-06 5.66782E-42 1.96677E-06 1.17386E+03 1.37814E+03 6.66998E+02 1.73668E+02 2.85351E+00 3.61558E+00 2.41479E+01 2.05916E+00 1.62105E+00 6.65324E-01 1.04693E-02 1.38374E-02 1.11413E-01 4.99383E-02 8.75451E-03 7.81749E-03 3.16421E-03 4.40555E-05 5.89408E-04 5.68370E-05 5.01768E-04 2.06096E-04 3.83295E-05 2.52483E-05 1.36146E-05
8 3.07082E+05 7.79855E-38 3.06082E+00 5.59343E+00 5.18352E+01 2.01810E+01 6.62478E+00 8.82615E-09 2.55872E-17 1.04175E+00 3.05761E+00 4.90971E+00 9.06560E-08 1.09591E-15 3.07454E-01 1.15492E+00 2.51486E+00 3.19800E+00 2.64111E+00 1.71998E+00 1.01154E+00 5.76432E-01 3.29962E-01 1.91386E-01 1.13173E-01 6.81121E-02 4.15924E-02 2.57516E-02 1.61788E-02 1.02754E-02 6.59144E-03 4.26555E-03 2.78087E-03 1.82409E-03 1.20782E-03 7.97573E-04 5.29224E-04 3.52155E-04 2.35212E-04 1.57609E-04 1.05941E-04 7.13648E-05 4.81291E-05 3.25482E-05 2.19744E-05 1.48373E-05 9.99043E-06 6.69853E-06 4.45589E-06 2.92653E-06 1.88483E-06 1.17424E-06 6.92297E-07 3.66924E-07 1.47110E-07 1.50876E+02 4.94271E+02 3.47640E+02 1.21968E+02 2.30396E+01 3.03282E-01 1.04235E+00 8.35770E-01 2.14148E+00 3.68561E-01 9.01184E-02 1.02262E-03 8.93110E-02 3.59805E-03 3.13112E-03 1.04129E-02 1.61711E-03 1.33998E-03 4.53706E-04 3.36824E-06 4.10995E-04 1.20702E-05 1.12541E-05 7.92100E-06 4.64104E-05 6.89352E-06 5.66782E-42 1.96677E-06 1.17386E+03 1.37814E+03 6.66998E+02 1.73668E+02 2.85351E+00 3.61558E+00 2.41479E+01 2.05916E+00 1.62105E+00 6.65324E-01 1.04693E-02 1.38374E-02 1.11413E-01 4.99383E-02 8.75451E-03 7.81749E-03 3.16421E-03 4.40555E-05 5.89408E-04 5.68370E-05 5.01768E-04 2.06096E-04 3.83295E-05 2.52483E-05 1.36146E-05
9 3.07062E+05 7.77956E-38 3.05347E+00 5.57996E+00 5.18208E+01 2.01751E+01 6.62290E+00 8.82127E-09 0.00000E+00 1.04255E+00 3.05995E+00 4.91347E+00 9.05065E-08 0.00000E+00 3.07428E-01 1.15424E+00 2.51344E+00 3.19925E+00 2.64486E+00 1.72374E+00 1.01427E+00 5.78170E-01 3.31022E-01 1.92024E-01 1.13560E-01 6.83481E-02 4.17379E-02 2.58423E-02 1.62360E-02 1.03118E-02 6.61488E-03 4.28075E-03 2.79079E-03 1.83061E-03 1.21215E-03 8.00430E-04 5.31122E-04 3.53418E-04 2.36057E-04 1.58175E-04 1.06322E-04 7.16213E-05 4.83020E-05 3.26652E-05 2.20534E-05 1.48906E-05 1.00263E-05 6.72260E-06 4.47191E-06 2.93706E-06 1.89162E-06 1.17847E-06 6.94791E-07 3.68247E-07 1.47640E-07 1.51205E+02 4.95348E+02 3.48396E+02 1.22233E+02 2.30895E+01 3.03926E-01 1.04456E+00 8.37543E-01 2.14608E+00 3.69344E-01 9.03097E-02 1.02475E-03 8.95003E-02 3.60555E-03 3.13765E-03 1.04349E-02 1.62049E-03 1.34276E-03 4.54654E-04 3.37515E-06 4.11850E-04 1.20950E-05 1.12772E-05 7.93712E-06 4.65065E-05 6.90770E-06 5.67935E-42 1.97079E-06 1.17642E+03 1.38114E+03 6.68449E+02 1.74045E+02 2.85957E+00 3.62326E+00 2.42001E+01 2.06354E+00 1.62452E+00 6.66739E-01 1.04912E-02 1.38663E-02 1.11649E-01 5.00433E-02 8.77282E-03 7.83390E-03 3.17083E-03 4.41576E-05 5.90592E-04 5.69637E-05 5.02811E-04 2.06520E-04 3.84114E-05 2.53012E-05 1.36430E-05
10 3.07062E+05 7.77956E-38 3.05347E+00 5.57996E+00 5.18208E+01 2.01751E+01 6.62290E+00 8.82127E-09 0.00000E+00 1.04255E+00 3.05995E+00 4.91347E+00 9.05065E-08 0.00000E+00 3.07428E-01 1.15424E+00 2.51344E+00 3.19925E+00 2.64486E+00 1.72374E+00 1.01427E+00 5.78170E-01 3.31022E-01 1.92024E-01 1.13560E-01 6.83481E-02 4.17379E-02 2.58423E-02 1.62360E-02 1.03118E-02 6.61488E-03 4.28075E-03 2.79079E-03 1.83061E-03 1.21215E-03 8.00430E-04 5.31122E-04 3.53418E-04 2.36057E-04 1.58175E-04 1.06322E-04 7.16213E-05 4.83020E-05 3.26652E-05 2.20534E-05 1.48906E-05 1.00263E-05 6.72260E-06 4.47191E-06 2.93706E-06 1.89162E-06 1.17847E-06 6.94791E-07 3.68247E-07 1.47640E-07 1.51205E+02 4.95348E+02 3.48396E+02 1.22233E+02 2.30895E+01 3.03926E-01 1.04456E+00 8.37543E-01 2.14608E+00 3.69344E-01 9.03097E-02 1.02475E-03 8.95003E-02 3.60555E-03 3.13765E-03 1.04349E-02 1.62049E-03 1.34276E-03 4.54654E-04 3.37515E-06 4.11850E-04 1.20950E-05 1.12772E-05 7.93712E-06 4.65065E-05 6.90770E-06 5.67935E-42 1.97079E-06 1.17642E+03 1.38114E+03 6.68449E+02 1.74045E+02 2.85957E+00 3.62326E+00 2.42001E+01 2.06354E+00 1.62452E+00 6.66739E-01 1.04912E-02 1.38663E-02 1.11649E-01 5.00433E-02 8.77282E-03 7.83390E-03 3.17083E-03 4.41576E-05 5.90592E-04 5.69637E-05 5.02811E-04 2.06520E-04 3.84114E-05 2.53012E-05 1.36430E-05
