Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 7.61033E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11880E-27 7.53361E-05 0.00000E+00 1.13857E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84453E-12 9.99996E-02 6.59641E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
2 7.61033E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11881E-27 7.53360E-05 0.00000E+00 1.13857E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84453E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
3 7.61033E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11881E-27 7.53360E-05 0.00000E+00 1.13857E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84453E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
4 7.61033E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11881E-27 7.53360E-05 0.00000E+00 1.13857E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84453E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
5 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13857E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84453E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
6 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13857E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
7 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13857E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
8 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13858E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
9 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13858E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
10 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13858E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
11 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13858E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04083E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
12 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13858E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04084E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
13 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13858E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04084E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
14 7.61034E-23 4.29671E-07 1.67428E-13 0.00000E+00 1.95444E-19 2.70763E-15 0.00000E+00 1.83233E-08 1.01561E-14 5.00000E-06 1.00000E-04 0.00000E+00 4.28004E-22 2.94393E-30 1.07107E-16 1.56712E-16 0.00000E+00 9.11882E-27 7.53360E-05 0.00000E+00 1.13858E-22 0.00000E+00 3.96022E-23 3.14070E-22 1.84454E-12 9.99996E-02 6.59642E-14 4.04084E-18 6.34065E-15 2.99982E-04 1.54934E-09 9.99925E-01 1.80784E-04
