Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
1 3.34370E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92902E-44 1.59080E-29 4.81108E-29 5.10108E-21
2 3.34363E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93477E-44 1.59080E-29 4.81108E-29 5.10108E-21
3 3.34363E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92732E-44 1.59080E-29 4.81108E-29 5.10108E-21
4 3.34362E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93047E-44 1.59080E-29 4.81108E-29 5.10108E-21
5 3.34361E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92950E-44 1.59080E-29 4.81108E-29 5.10108E-21
6 3.34361E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92878E-44 1.59080E-29 4.81108E-29 5.10108E-21
7 3.34360E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92776E-44 1.59080E-29 4.81108E-29 5.10108E-21
8 3.34359E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93739E-44 1.59080E-29 4.81108E-29 5.10108E-21
9 3.34359E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93189E-44 1.59080E-29 4.81108E-29 5.10108E-21
10 3.34358E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93373E-44 1.59080E-29 4.81108E-29 5.10108E-21
11 3.34357E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92651E-44 1.59080E-29 4.81108E-29 5.10108E-21
12 3.34357E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93933E-44 1.59080E-29 4.81108E-29 5.10108E-21
13 3.34356E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.95312E-44 1.59080E-29 4.81108E-29 5.10108E-21
14 3.34356E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.95112E-44 1.59080E-29 4.81108E-29 5.10108E-21
15 3.34355E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92612E-44 1.59080E-29 4.81108E-29 5.10108E-21
16 3.34354E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93172E-44 1.59080E-29 4.81108E-29 5.10108E-21
17 3.34354E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.94048E-44 1.59080E-29 4.81108E-29 5.10108E-21
18 3.34353E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.94982E-44 1.59080E-29 4.81108E-29 5.10108E-21
19 3.34353E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92503E-44 1.59080E-29 4.81108E-29 5.10108E-21
20 3.34352E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.95525E-44 1.59080E-29 4.81108E-29 5.10108E-21
21 3.34352E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93266E-44 1.59080E-29 4.81108E-29 5.10108E-21
22 3.34351E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93703E-44 1.59080E-29 4.81108E-29 5.10108E-21
