Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
1 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
2 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
3 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
4 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
5 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
6 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
7 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
8 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
9 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42668E-24 0.00000E+00 5.10093E-21
10 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
11 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
12 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
13 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
14 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
15 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
16 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
17 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
18 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
19 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
20 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
21 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
22 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
23 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
24 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
25 5.07295E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86580E-26 2.48232E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
