Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 2.64871E-17 5.68306E-20 2.60787E-10 7.46662E-10 8.37085E-10 6.16932E-24 9.58772E-27 2.87214E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13291E-23 1.44208E-25 5.77505E-26 2.78344E-26 1.30492E-26 6.84255E-27 3.49666E-27 1.91575E-27 1.03975E-27 5.74067E-28 3.11795E-28 1.68565E-28 9.35084E-29 5.08151E-29 2.78456E-29 1.49962E-29 8.15111E-30 4.25130E-30 2.29320E-30 1.12999E-30 6.65457E-31 4.12655E-31 3.17153E-31 1.89656E-31 2.53621E-31 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.16125E-31 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21324E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68728E-19 6.28052E-19 1.32934E-19 1.30376E-20 8.81915E-21 2.31647E-22 3.60797E-21 5.40885E-22 1.99364E-22 1.79216E-23 1.61366E-22 4.34448E-23 3.59836E-39 3.45865E-23 7.15995E-07 4.34432E-07 1.15191E-08 3.67566E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94859E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48194E-18 1.23811E-19 1.29259E-19 2.05820E-21 2.54073E-21 1.47354E-21 3.13794E-21 8.30784E-22 3.83295E-22 9.77884E-23 0.00000E+00
2 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 0.00000E+00 0.00000E+00 2.60787E-10 7.46663E-10 8.37085E-10 7.26045E-24 1.23209E-25 2.87214E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44208E-25 5.77503E-26 2.78344E-26 1.30492E-26 6.84275E-27 3.49677E-27 1.91575E-27 1.03977E-27 5.73985E-28 3.11926E-28 1.68588E-28 9.34543E-29 5.09951E-29 2.79106E-29 1.49763E-29 8.07046E-30 4.32723E-30 2.20861E-30 1.20997E-30 7.53279E-31 4.17831E-31 2.90839E-31 1.80532E-31 6.75038E-32 0.00000E+00 1.39630E-31 0.00000E+00 0.00000E+00 6.06668E-33 1.01749E-31 4.38029E-32 1.69253E-31 4.30205E-31 0.00000E+00 0.00000E+00 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21325E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68727E-19 6.28054E-19 1.32945E-19 1.30376E-20 8.80989E-21 2.31647E-22 3.60801E-21 5.40885E-22 1.99322E-22 1.79216E-23 1.59515E-22 3.47699E-23 3.59836E-39 0.00000E+00 7.15996E-07 4.34432E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94859E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48184E-18 1.23811E-19 1.29276E-19 2.05820E-21 2.54073E-21 1.47356E-21 3.13271E-21 8.30784E-22 3.84729E-22 9.77892E-23 0.00000E+00
3 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 2.76450E-17 1.13820E-19 2.60787E-10 7.46663E-10 8.37085E-10 1.03343E-23 0.00000E+00 2.87214E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44208E-25 5.77502E-26 2.78342E-26 1.30491E-26 6.84250E-27 3.49675E-27 1.91568E-27 1.03967E-27 5.74035E-28 3.11877E-28 1.68536E-28 9.34882E-29 5.08533E-29 2.77823E-29 1.48375E-29 7.96223E-30 4.21215E-30 2.08737E-30 1.05613E-30 4.82084E-31 2.08217E-31 8.54631E-32 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 8.14548E-32 1.32901E-31 2.46772E-31 1.19648E-32 0.00000E+00 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21325E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68727E-19 6.28057E-19 1.32908E-19 1.30376E-20 8.86508E-21 2.31647E-22 3.60792E-21 5.40885E-22 1.99307E-22 1.79216E-23 1.56497E-22 3.93799E-23 3.59836E-39 6.12889E-23 7.15996E-07 4.34432E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94859E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48197E-18 1.23813E-19 1.29237E-19 2.05820E-21 2.54073E-21 1.47359E-21 3.17179E-21 8.30785E-22 3.91958E-22 9.77956E-23 2.17135E-22
4 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 0.00000E+00 0.00000E+00 2.60787E-10 7.46663E-10 8.37085E-10 7.12030E-24 1.10454E-25 2.87214E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44208E-25 5.77503E-26 2.78343E-26 1.30493E-26 6.84260E-27 3.49680E-27 1.91592E-27 1.03980E-27 5.74135E-28 3.12060E-28 1.68589E-28 9.35599E-29 5.09875E-29 2.78633E-29 1.50652E-29 8.15203E-30 4.27585E-30 2.24265E-30 1.16230E-30 5.84544E-31 3.79793E-31 2.01765E-31 8.99650E-32 1.39726E-31 0.00000E+00 9.19632E-33 0.00000E+00 0.00000E+00 0.00000E+00 2.14380E-32 3.94695E-32 1.06829E-31 5.22288E-32 2.35084E-32 1.71913E-31 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21324E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68726E-19 6.28056E-19 1.32900E-19 1.30376E-20 8.81179E-21 2.31647E-22 3.60785E-21 5.40884E-22 1.99316E-22 1.79216E-23 1.57161E-22 3.51277E-23 3.59835E-39 1.59491E-23 7.15996E-07 4.34432E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94859E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48190E-18 1.23812E-19 1.29291E-19 2.05820E-21 2.54073E-21 1.47350E-21 3.15098E-21 8.30784E-22 3.82513E-22 9.77879E-23 2.10311E-22
5 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 0.00000E+00 3.63562E-20 2.60787E-10 7.46663E-10 8.37085E-10 6.75235E-24 0.00000E+00 2.87214E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44208E-25 5.77506E-26 2.78343E-26 1.30490E-26 6.84257E-27 3.49663E-27 1.91568E-27 1.03954E-27 5.73979E-28 3.11767E-28 1.68435E-28 9.35647E-29 5.08492E-29 2.77299E-29 1.49404E-29 8.02641E-30 4.16348E-30 2.23586E-30 1.08873E-30 5.77370E-31 3.99053E-31 1.21791E-31 1.33347E-31 7.41483E-33 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.46455E-32 1.47394E-31 0.00000E+00 2.70124E-31 2.34843E-32 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21325E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68728E-19 6.28060E-19 1.32868E-19 1.30376E-20 8.85883E-21 2.31647E-22 3.60797E-21 5.40885E-22 1.99346E-22 1.79216E-23 1.60101E-22 4.10262E-23 3.59836E-39 0.00000E+00 7.15996E-07 4.34432E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94859E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48197E-18 1.23811E-19 1.29333E-19 2.05820E-21 2.54073E-21 1.47354E-21 3.13123E-21 8.30784E-22 3.81511E-22 9.77862E-23 0.00000E+00
6 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 6.72205E-18 0.00000E+00 2.60787E-10 7.46663E-10 8.37085E-10 5.68525E-24 0.00000E+00 2.87214E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44209E-25 5.77507E-26 2.78347E-26 1.30492E-26 6.84278E-27 3.49684E-27 1.91584E-27 1.03974E-27 5.74099E-28 3.11889E-28 1.68551E-28 9.35790E-29 5.09785E-29 2.78434E-29 1.50944E-29 8.21732E-30 4.37128E-30 2.31632E-30 1.07472E-30 5.66560E-31 4.31553E-31 2.18063E-31 2.05689E-31 7.36668E-33 0.00000E+00 3.82297E-32 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.03122E-31 1.66172E-31 8.54631E-33 0.00000E+00 0.00000E+00 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21324E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68730E-19 6.28056E-19 1.32895E-19 1.30376E-20 8.82914E-21 2.31647E-22 3.60799E-21 5.40884E-22 1.99298E-22 1.79216E-23 1.61069E-22 3.74049E-23 3.59836E-39 0.00000E+00 7.15996E-07 4.34433E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94858E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48200E-18 1.23811E-19 1.29308E-19 2.05820E-21 2.54073E-21 1.47356E-21 3.14137E-21 8.30784E-22 3.81598E-22 9.77895E-23 0.00000E+00
7 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 4.99538E-18 0.00000E+00 2.60787E-10 7.46663E-10 8.37085E-10 3.62982E-24 5.88611E-26 2.87215E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44208E-25 5.77505E-26 2.78345E-26 1.30492E-26 6.84254E-27 3.49652E-27 1.91570E-27 1.03960E-27 5.73888E-28 3.11818E-28 1.68536E-28 9.36497E-29 5.09003E-29 2.78349E-29 1.49951E-29 8.09151E-30 4.34158E-30 2.36389E-30 1.19230E-30 5.48481E-31 3.84584E-31 2.22758E-31 2.33134E-31 1.34984E-31 0.00000E+00 0.00000E+00 0.00000E+00 6.47594E-33 0.00000E+00 4.34538E-32 0.00000E+00 0.00000E+00 4.59455E-32 0.00000E+00 4.91594E-32 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21324E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68730E-19 6.28048E-19 1.32892E-19 1.30376E-20 8.80191E-21 2.31647E-22 3.60781E-21 5.40884E-22 1.99324E-22 1.79216E-23 1.54340E-22 3.56770E-23 3.59834E-39 0.00000E+00 7.15996E-07 4.34433E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94858E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48198E-18 1.23812E-19 1.29250E-19 2.05820E-21 2.54073E-21 1.47354E-21 3.15528E-21 8.30784E-22 3.86859E-22 9.77898E-23 0.00000E+00
8 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 1.26127E-17 8.90311E-20 2.60787E-10 7.46663E-10 8.37085E-10 8.90552E-24 0.00000E+00 2.87215E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44209E-25 5.77506E-26 2.78344E-26 1.30493E-26 6.84266E-27 3.49693E-27 1.91566E-27 1.03966E-27 5.73929E-28 3.11872E-28 1.68569E-28 9.36305E-29 5.10562E-29 2.79657E-29 1.51695E-29 8.24192E-30 4.44784E-30 2.49081E-30 1.40111E-30 8.43317E-31 5.20844E-31 3.68166E-31 2.38238E-31 1.95289E-31 6.69261E-33 7.85539E-32 0.00000E+00 0.00000E+00 1.36621E-32 1.04024E-31 1.99623E-31 2.27500E-32 4.19010E-32 2.02223E-32 2.99025E-31 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21325E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68727E-19 6.28048E-19 1.32918E-19 1.30376E-20 8.79794E-21 2.31647E-22 3.60785E-21 5.40885E-22 1.99310E-22 1.79216E-23 1.52943E-22 3.72635E-23 3.59835E-39 0.00000E+00 7.15996E-07 4.34433E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94859E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48192E-18 1.23811E-19 1.29272E-19 2.05820E-21 2.54073E-21 1.47356E-21 3.13244E-21 8.30784E-22 3.89192E-22 9.77906E-23 1.38139E-22
9 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 0.00000E+00 0.00000E+00 2.60787E-10 7.46663E-10 8.37086E-10 8.87987E-24 0.00000E+00 2.87215E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44208E-25 5.77505E-26 2.78346E-26 1.30492E-26 6.84285E-27 3.49703E-27 1.91592E-27 1.03970E-27 5.74175E-28 3.11991E-28 1.68682E-28 9.37306E-29 5.10974E-29 2.80229E-29 1.52143E-29 8.12656E-30 4.39873E-30 2.33793E-30 1.27954E-30 6.53853E-31 3.30466E-31 2.23769E-31 3.74882E-31 1.66015E-31 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 9.94622E-32 6.04501E-32 9.11807E-32 1.16928E-31 0.00000E+00 0.00000E+00 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21325E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68727E-19 6.28060E-19 1.32927E-19 1.30376E-20 8.80376E-21 2.31647E-22 3.60787E-21 5.40886E-22 1.99336E-22 1.79216E-23 1.55156E-22 3.89801E-23 3.59835E-39 0.00000E+00 7.15996E-07 4.34433E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94858E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48197E-18 1.23813E-19 1.29287E-19 2.05820E-21 2.54073E-21 1.47355E-21 3.16309E-21 8.30785E-22 3.88339E-22 9.77917E-23 0.00000E+00
10 9.99925E+02 5.11572E-67 6.56679E-02 3.43321E-02 2.97357E-01 1.35444E-03 1.27052E-03 0.00000E+00 0.00000E+00 2.60787E-10 7.46663E-10 8.37086E-10 7.82207E-24 9.73112E-26 2.87215E-15 1.13570E-15 3.28863E-17 1.05460E-19 4.13292E-23 1.44208E-25 5.77506E-26 2.78345E-26 1.30491E-26 6.84275E-27 3.49686E-27 1.91581E-27 1.03969E-27 5.74005E-28 3.11916E-28 1.68577E-28 9.36681E-29 5.10563E-29 2.80434E-29 1.50962E-29 8.22468E-30 4.42155E-30 2.43288E-30 1.25137E-30 6.35316E-31 4.19419E-31 2.09180E-31 2.30221E-31 2.40236E-31 2.03186E-32 8.35372E-32 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.36131E-32 0.00000E+00 0.00000E+00 7.22103E-32 2.13610E-31 8.50539E-32 1.02901E-07 2.52568E-07 3.17029E-08 1.86501E-10 4.60831E-13 7.77837E-15 1.94511E-14 6.32973E-15 1.62529E-15 6.80530E-16 3.21324E-17 1.02006E-18 5.96347E-18 2.41359E-18 8.68728E-19 6.28055E-19 1.32900E-19 1.30376E-20 8.82237E-21 2.31647E-22 3.60802E-21 5.40885E-22 1.99358E-22 1.79216E-23 1.64026E-22 4.07629E-23 3.59836E-39 0.00000E+00 7.15996E-07 4.34433E-07 1.15191E-08 3.67565E-11 7.14373E-14 5.14477E-14 1.00969E-13 9.27935E-15 3.56656E-16 5.94859E-16 9.19981E-18 6.59184E-18 1.50491E-17 1.23186E-18 1.48192E-18 1.23811E-19 1.29272E-19 2.05820E-21 2.54073E-21 1.47357E-21 3.14174E-21 8.30784E-22 3.85534E-22 9.77892E-23 2.00385E-22
