Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10031E-24 1.89582E-20 2.08914E-06 7.47931E-24 3.95681E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12977E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70284E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
2 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47932E-24 3.95683E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
3 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
4 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
5 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
6 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
7 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
8 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19599E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16037E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
9 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19598E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16038E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
10 1.45162E-18 1.10873E-09 1.60800E-11 0.00000E+00 2.75523E-16 2.19598E-14 0.00000E+00 5.60061E-10 6.70802E-13 4.99998E-06 9.99998E-05 0.00000E+00 1.05434E-17 2.32055E-23 6.61130E-16 2.05941E-14 1.10032E-24 1.89582E-20 2.08914E-06 7.47933E-24 3.95683E-18 2.16038E-28 1.27374E-18 1.30491E-17 2.12978E-10 1.00000E-01 2.12599E-12 1.11314E-14 2.70285E-12 2.99999E-04 2.32989E-07 9.99997E-01 1.07091E-04
