Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
1 4.32841E-49 6.00802E-19 7.21057E-17 6.09922E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
2 4.32837E-49 6.00802E-19 7.21057E-17 6.09925E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
3 4.32836E-49 6.00802E-19 7.21057E-17 6.09925E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
4 4.32836E-49 6.00802E-19 7.21057E-17 6.09925E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
5 4.32836E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
6 4.32836E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
7 4.32835E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
8 4.32835E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82179E-33 1.20379E-22 3.93293E-22 7.27070E-17
9 4.32834E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82180E-33 1.20379E-22 3.93293E-22 7.27070E-17
10 4.32834E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82180E-33 1.20379E-22 3.93293E-22 7.27070E-17
11 4.32833E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82180E-33 1.20379E-22 3.93293E-22 7.27070E-17
12 4.32833E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82180E-33 1.20379E-22 3.93293E-22 7.27070E-17
13 4.32833E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82180E-33 1.20379E-22 3.93293E-22 7.27070E-17
14 4.32833E-49 6.00802E-19 7.21057E-17 6.09926E-26 5.82180E-33 1.20379E-22 3.93293E-22 7.27070E-17
15 4.32832E-49 6.00802E-19 7.21057E-17 6.09927E-26 5.82180E-33 1.20379E-22 3.93293E-22 7.27070E-17
