Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
1 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
2 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
3 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
4 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
5 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
6 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
7 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
8 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
9 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
10 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
11 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
12 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
13 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
14 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
15 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
16 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18044E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
17 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
18 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15076E-24 -1.04457E-18 0.00000E+00 7.27650E-17
19 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15075E-24 -1.04457E-18 0.00000E+00 7.27650E-17
20 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15075E-24 -1.04457E-18 0.00000E+00 7.27650E-17
21 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15075E-24 -1.04457E-18 0.00000E+00 7.27650E-17
22 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15075E-24 -1.04457E-18 0.00000E+00 7.27650E-17
23 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15075E-24 -1.04457E-18 0.00000E+00 7.27650E-17
24 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15075E-24 -1.04457E-18 0.00000E+00 7.27650E-17
25 6.11766E-17 9.18573E-19 1.14661E-17 2.45042E-19 3.23715E-21 1.18045E-28 2.21359E-23 2.15075E-24 -1.04457E-18 0.00000E+00 7.27650E-17
