Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 4.46992E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70894E-18 2.99227E-23 5.74410E-16 8.02507E-15 2.79006E-24 3.78393E-21 1.28202E-06 2.85579E-23 5.98095E-18 1.11860E-27 1.38958E-18 2.69400E-17 3.05739E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
2 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70894E-18 2.99227E-23 5.74410E-16 8.02507E-15 2.79008E-24 3.78393E-21 1.28202E-06 2.85579E-23 5.98098E-18 1.11860E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
3 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99227E-23 5.74410E-16 8.02507E-15 2.79008E-24 3.78393E-21 1.28202E-06 2.85580E-23 5.98099E-18 1.11860E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
4 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99227E-23 5.74410E-16 8.02507E-15 2.79008E-24 3.78393E-21 1.28202E-06 2.85580E-23 5.98099E-18 1.11860E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
5 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99227E-23 5.74410E-16 8.02507E-15 2.79008E-24 3.78393E-21 1.28202E-06 2.85580E-23 5.98099E-18 1.11861E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
6 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99227E-23 5.74410E-16 8.02507E-15 2.79008E-24 3.78393E-21 1.28202E-06 2.85580E-23 5.98099E-18 1.11861E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
7 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99228E-23 5.74410E-16 8.02507E-15 2.79008E-24 3.78394E-21 1.28202E-06 2.85580E-23 5.98099E-18 1.11861E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
8 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99228E-23 5.74410E-16 8.02507E-15 2.79008E-24 3.78394E-21 1.28202E-06 2.85580E-23 5.98099E-18 1.11861E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
9 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99228E-23 5.74410E-16 8.02507E-15 2.79009E-24 3.78394E-21 1.28202E-06 2.85580E-23 5.98100E-18 1.11861E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
10 4.46993E-19 1.35148E-09 2.72024E-11 0.00000E+00 1.43891E-16 4.27791E-15 0.00000E+00 3.21943E-10 4.02136E-13 4.99997E-06 9.99997E-05 0.00000E+00 8.70895E-18 2.99228E-23 5.74410E-16 8.02507E-15 2.79009E-24 3.78394E-21 1.28202E-06 2.85580E-23 5.98100E-18 1.11861E-27 1.38958E-18 2.69401E-17 3.05741E-10 1.00000E-01 2.03367E-12 9.18658E-15 1.95018E-12 3.00000E-04 4.34774E-07 9.99998E-01 1.06283E-04
