Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
1 No No No No No No No ----Yes----
2 No No No No No No No ----Yes----
3 No No No No No No No ----Yes----
4 No No No No No No No ----Yes----
5 No No No No No No No ----Yes----
6 No No No No No No No ----Yes----
7 No No No No No No No ----Yes----
8 No No No No No No No ----Yes----
9 No No No No No No No ----Yes----
10 No No No No No No No ----Yes----
11 No No No No No No No ----Yes----
12 No No No No No No No ----Yes----
13 No No No No No No No ----Yes----
14 No No No No No No No ----Yes----
15 No No No No No No No ----Yes----
16 No No No No No No No ----Yes----
17 No No No No No No No ----Yes----
18 No No No No No No No ----Yes----
19 No No No No No No No ----Yes----
20 No No No No No No No ----Yes----
21 No No No No No No No ----Yes----
22 No No No No No No No ----Yes----
23 No No No No No No No ----Yes----
24 No No No No No No No ----Yes----
25 No No No No No No No ----Yes----
26 No No No No No No No ----Yes----
27 No No No No No No No ----Yes----
28 No No No No No No No ----Yes----
29 No No No No No No No ----Yes----
30 No No No No No No No ----Yes----
31 No No No No No No No ----Yes----
32 No No No No No No No ----Yes----
33 No No No No No No No ----Yes----
34 No No No No No No No ----Yes----
35 No No No No No No No ----Yes----
36 No No No No No No No ----Yes----
37 No No No No No No No ----Yes----
38 No No No No No No No ----Yes----
39 No No No No No No No ----Yes----
40 No No No No No No No ----Yes----
41 No No No No No No No ----Yes----
42 No No No No No No No ----Yes----
43 No No No No No No No ----Yes----
44 No No No No No No No ----Yes----
45 No No No No No No No ----Yes----
46 No No No No No No No ----Yes----
47 No No No No No No No ----Yes----
48 No No No No No No No ----Yes----
49 No No No No No No No ----Yes----
50 No No No No No No No ----Yes----
51 No No No No No No No ----Yes----
52 No No No No No No No ----Yes----
53 No No No No No No No ----Yes----
54 No No No No No No No ----Yes----
55 No No No No No No No ----Yes----
56 No No No No No No No ----Yes----
57 No No No No No No No ----Yes----
58 No No No No No No No ----Yes----
59 No No No No No No No ----Yes----
60 No No No No No No No ----Yes----
61 No No No No No No No ----Yes----
62 No No No No No No No ----Yes----
63 No No No No No No No ----Yes----
64 No No No No No No No ----Yes----
65 No No No No No No No ----Yes----
66 No No No No No No No ----Yes----
67 No No No No No No No ----Yes----
68 No No No No No No No ----Yes----
69 No No No No No No No ----Yes----
70 No No No No No No No ----Yes----
71 No No No No No No No ----Yes----
72 No No No No No No No ----Yes----
73 No No No No No No No ----Yes----
74 No No No No No No No ----Yes----
75 No No No No No No No ----Yes----
76 No No No No No No No ----Yes----
77 No No No No No No No ----Yes----
78 No No No No No No No ----Yes----
79 No No No No No No No ----Yes----
80 No No No No No No No ----Yes----
81 No No No No No No No ----Yes----
82 No No No No No No No ----Yes----
83 No No No No No No No ----Yes----
84 No No No No No No No ----Yes----
85 No No No No No No No ----Yes----
86 No No No No No No No ----Yes----
87 No No No No No No No ----Yes----
88 No No No No No No No ----Yes----
89 No No No No No No No ----Yes----
90 No No No No No No No ----Yes----
91 No No No No No No No ----Yes----
92 No No No No No No No ----Yes----
93 No No No No No No No ----Yes----
94 No No No No No No No ----Yes----
95 No No No No No No No ----Yes----
96 No No No No No No No ----Yes----
97 No No No No No No No ----Yes----
98 No No No No No No No ----Yes----
99 No No No No No No No ----Yes----
100 No No No No No No No ----Yes----
101 No No No No No No No ----Yes----
102 No No No No No No No ----Yes----
103 No No No No No No No ----Yes----
104 No No No No No No No ----Yes----
105 No No No No No No No ----Yes----
106 No No No No No No No ----Yes----
107 No No No No No No No ----Yes----
108 No No No No No No No ----Yes----
109 No No No No No No No ----Yes----
110 No No No No No No No ----Yes----
111 No No No No No No No ----Yes----
112 No No No No No No No ----Yes----
113 No No No No No No No ----Yes----
114 No No No No No No No ----Yes----
115 No No No No No No No ----Yes----
116 No No No No No No No ----Yes----
117 No No No No No No No ----Yes----
118 No No No No No No No ----Yes----
119 No No No No No No No ----Yes----
120 No No No No No No No ----Yes----
121 No No No No No No No ----Yes----
122 No No No No No No No ----Yes----
123 No No No No No No No ----Yes----
124 No No No No No No No ----Yes----
125 No No No No No No No ----Yes----
126 No No No No No No No ----Yes----
127 No No No No No No No ----Yes----
128 No No No No No No No ----Yes----
129 No No No No No No No ----Yes----
130 No No No No No No No ----Yes----
131 No No No No No No No ----Yes----
132 No No No No No No No ----Yes----
133 No No No No No No No ----Yes----
134 No No No No No No No ----Yes----
135 No No No No No No No ----Yes----
136 No No No No No No No ----Yes----
137 No No No No No No No ----Yes----
138 No No No No No No No ----Yes----
139 No No No No No No No ----Yes----
140 No No No No No No No ----Yes----
141 No No No No No No No ----Yes----
142 No No No No No No No ----Yes----
143 No No No No No No No ----Yes----
144 No No No No No No No ----Yes----
145 No No No No No No No ----Yes----
146 No No No No No No No ----Yes----
147 No No No No No No No ----Yes----
148 No No No No No No No ----Yes----
149 No No No No No No No ----Yes----
150 No No No No No No No ----Yes----
151 No No No No No No No ----Yes----
152 No No No No No No No ----Yes----
153 No No No No No No No ----Yes----
154 No No No No No No No ----Yes----
155 No No No No No No No ----Yes----
156 No No No No No No No ----Yes----
157 No No No No No No No ----Yes----
158 No No No No No No No ----Yes----
159 No No No No No No No ----Yes----
160 No No No No No No No ----Yes----
161 No No No No No No No ----Yes----
162 No No No No No No No ----Yes----
163 No No No No No No No ----Yes----
164 No No No No No No No ----Yes----
165 No No No No No No No ----Yes----
