Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
1 7.75216E-17 1.71439E-18 2.06338E-17 4.57266E-19 4.64711E-21 2.20279E-28 2.21359E-23 4.20978E-25 -4.27740E-19 0.00000E+00 9.99041E-17
2 7.75216E-17 1.71439E-18 2.06338E-17 4.57266E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
3 7.75216E-17 1.71439E-18 2.06338E-17 4.57266E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
4 7.75216E-17 1.71439E-18 2.06338E-17 4.57266E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
5 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
6 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
7 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
8 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
9 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
10 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
11 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
