Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 3.16227E+05 1.84351E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66517E-12 4.36683E-28 1.13710E-05 3.30448E-05 5.22673E-05 1.49969E-13 6.84627E-24 1.08133E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03321E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48250E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29053E-11 8.33594E-11 7.40834E-11 6.52263E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50613E-03 1.88861E-02 7.01357E-03 9.05615E-04 4.96216E-05 2.36121E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37079E-09 7.56498E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09140E-13 1.40258E-11 2.53026E-12 1.18638E-12 1.10568E-12 6.74418E-13 2.19494E-13 1.65436E-13 1.94209E-14 5.36935E-02 4.01613E-02 8.49686E-03 7.01078E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16621E-06 5.14629E-07 3.01454E-07 8.57483E-09 7.17885E-09 1.35992E-08 5.86202E-09 1.85516E-09 3.29082E-10 2.03063E-10 6.72572E-12 4.36369E-11 5.94776E-12 1.09426E-11 4.80246E-12 1.69447E-12 3.27751E-13 2.12973E-13
2 3.16227E+05 1.84349E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66516E-12 4.36680E-28 1.13711E-05 3.30450E-05 5.22676E-05 1.49970E-13 6.84628E-24 1.08133E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03321E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48250E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52263E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50614E-03 1.88861E-02 7.01357E-03 9.05615E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37079E-09 7.56497E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09139E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74417E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36935E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16621E-06 5.14629E-07 3.01454E-07 8.57483E-09 7.17885E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29082E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
3 3.16227E+05 1.84348E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66516E-12 4.36680E-28 1.13711E-05 3.30450E-05 5.22676E-05 1.49970E-13 6.84627E-24 1.08133E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03321E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48250E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52263E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50614E-03 1.88861E-02 7.01357E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56497E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74417E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14629E-07 3.01454E-07 8.57483E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29082E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
4 3.16227E+05 1.84348E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66516E-12 4.36680E-28 1.13711E-05 3.30450E-05 5.22676E-05 1.49970E-13 6.84627E-24 1.08133E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03321E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48250E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52263E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50614E-03 1.88861E-02 7.01357E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56497E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74417E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14629E-07 3.01454E-07 8.57483E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29082E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
5 3.16227E+05 1.84347E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66516E-12 4.36679E-28 1.13711E-05 3.30451E-05 5.22677E-05 1.49970E-13 6.84627E-24 1.08133E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03321E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48251E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52263E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50614E-03 1.88861E-02 7.01357E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56497E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74417E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14628E-07 3.01454E-07 8.57483E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29082E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
6 3.16227E+05 1.84347E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66516E-12 4.36679E-28 1.13711E-05 3.30451E-05 5.22677E-05 1.49970E-13 6.84627E-24 1.08133E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03321E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48251E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52263E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50614E-03 1.88861E-02 7.01357E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56497E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74417E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14628E-07 3.01454E-07 8.57483E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29082E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
7 3.16227E+05 1.84347E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66516E-12 4.36678E-28 1.13711E-05 3.30451E-05 5.22677E-05 1.49970E-13 6.84627E-24 1.08134E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03322E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48251E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52264E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50614E-03 1.88861E-02 7.01358E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56496E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74417E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14628E-07 3.01454E-07 8.57483E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29082E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
8 3.16227E+05 1.84347E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66516E-12 4.36678E-28 1.13711E-05 3.30451E-05 5.22677E-05 1.49970E-13 6.84627E-24 1.08134E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03322E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48251E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52264E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50614E-03 1.88861E-02 7.01358E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56496E-10 2.25361E-10 1.76742E-10 1.70359E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74417E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14628E-07 3.01454E-07 8.57483E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29082E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
9 3.16227E+05 1.84346E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66515E-12 4.36678E-28 1.13711E-05 3.30451E-05 5.22677E-05 1.49970E-13 6.84627E-24 1.08134E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03322E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48251E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52264E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50615E-03 1.88861E-02 7.01358E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56496E-10 2.25361E-10 1.76742E-10 1.70358E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74416E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14628E-07 3.01454E-07 8.57482E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29081E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
10 3.16227E+05 1.84346E-64 1.14212E+01 2.02015E+01 6.04128E+01 2.66730E+01 7.78241E+00 2.66515E-12 4.36678E-28 1.13711E-05 3.30451E-05 5.22677E-05 1.49970E-13 6.84627E-24 1.08134E-11 3.21992E-11 5.28715E-11 7.23838E-11 9.03322E-11 1.06369E-10 1.20213E-10 1.31660E-10 1.40582E-10 1.46935E-10 1.50747E-10 1.52120E-10 1.51216E-10 1.48251E-10 1.43476E-10 1.37173E-10 1.29636E-10 1.21162E-10 1.12038E-10 1.02537E-10 9.29054E-11 8.33595E-11 7.40834E-11 6.52264E-11 5.69031E-11 4.91955E-11 4.21552E-11 3.58067E-11 3.01518E-11 2.51734E-11 2.08395E-11 1.71075E-11 1.39276E-11 1.12455E-11 9.00596E-12 7.15406E-12 5.63731E-12 4.40668E-12 3.41737E-12 2.62927E-12 2.00705E-12 7.50615E-03 1.88861E-02 7.01358E-03 9.05616E-04 4.96216E-05 2.36122E-06 6.14800E-06 2.47142E-06 1.32349E-06 3.60600E-07 2.32282E-08 1.17203E-09 1.94409E-08 3.15585E-09 1.37078E-09 7.56496E-10 2.25361E-10 1.76742E-10 1.70358E-11 9.09138E-13 1.40258E-11 2.53026E-12 1.18637E-12 1.10568E-12 6.74416E-13 2.19494E-13 1.65436E-13 1.94208E-14 5.36936E-02 4.01614E-02 8.49687E-03 7.01079E-04 1.70843E-05 1.35274E-05 2.63824E-05 3.16620E-06 5.14628E-07 3.01454E-07 8.57482E-09 7.17884E-09 1.35992E-08 5.86201E-09 1.85516E-09 3.29081E-10 2.03062E-10 6.72571E-12 4.36368E-11 5.94775E-12 1.09426E-11 4.80245E-12 1.69446E-12 3.27750E-13 2.12973E-13
