Particle,n_H,n_g,T_gas,T_dust,chi,F_X
1,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
2,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
3,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
4,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
5,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
6,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
7,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
8,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,1.00000E+05,0.00000E+00
9,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
10,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
11,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
12,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
13,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
14,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
15,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
16,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
17,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
18,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
19,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
20,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
21,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
22,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
23,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
24,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
25,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
26,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
27,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
28,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
29,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
30,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
31,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
32,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
33,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
34,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
35,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
36,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
37,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
38,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
39,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
40,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99999E+04,0.00000E+00
41,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
42,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
43,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
44,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
45,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
46,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
47,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
48,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
49,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
50,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
51,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
52,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
