Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,91.0508,1000.0,0.00012218100000000001,4.1024900000000006e-08,10.0,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,91.0507,1000.0,0.000122228,4.10278e-08,10.0,-3.180155766e+19,9999998976.0,1222279874.838528,410277.9579875328,9999998976000.0,75767969749.67194,25436735.915974658,619999997952000.0,619999997952.0
61,91.0507,1000.0,0.000122263,4.1028599999999995e-08,10.0,-3.180155718e+19,19999997952.0,2445259749.6053762,820571.915973427,19999997952000.0,134446079749.61153,45130284.915973336,1099999997952000.0,1099999997952.0
91,91.0507,1000.0,0.000122299,4.1029300000000006e-08,10.0,-3.18015567e+19,19999997952.0,2445979749.531648,820585.9159719937,19999997952000.0,193141399749.55823,64824197.91597242,1579999997952000.0,1579999997952.0
121,91.0505,1000.0,0.000122646,4.1033300000000004e-08,10.0,-3.180155208e+19,150000001024.0,18396900125.5895,6154995.0420181,150000001024000.0,758990690000.2856,254390087.00000256,6200000000000000.0,6200000000000.0
151,91.0502,1000.0,0.000123006,4.1035900000000006e-08,10.0,-3.18015473e+19,160000000000.0,19680960000.0,6565744.000000001,160000000000000.0,1346125630251.8557,450535984.0840417,1.0980000002048e+16,10980000002048.0
181,91.05,1000.0,0.000123368,4.10381e-08,10.0,-3.180154253e+19,160000000000.0,19738880000.0,6566096.0,160000000000000.0,1933754220126.257,646282801.0420232,1.5750000001024e+16,15750000001024.0
211,91.0475,1000.0,0.00012699,4.1051599999999994e-08,10.0,-3.180149626e+19,1590000001024.0,201914100130.03775,65272044.04203683,1590000001024000.0,7727836070260.113,2545466647.084075,6.2020000002048e+16,62020000002048.0
241,91.045,1000.0,0.000130953,4.10614e-08,10.0,-3.180144856e+19,1590000001024.0,208215270134.0959,65287626.042046875,1590000001024000.0,13881943790000.186,4503877756.000002,1.0972e+17,109720000000000.0
271,91.0425,1000.0,0.00013517,4.10698e-08,10.0,-3.180140086e+19,1589999996928.0,214920299584.75775,65300981.873833574,1589999996928000.0,20231270119722.92,6462719277.915892,1.57419999997952e+17,157419999997952.0
301,91.0183,1000.0,0.000196506,4.11275e-08,10.0,-3.180093815e+19,15899999997952.0,3124445399597.5557,653927249.915771,1.5899999997952e+16,95697614059798.25,25481086150.95789,6.20129999998976e+17,620129999998976.0
331,90.9933,1000.0,0.000368418,4.115019999999999e-08,10.0,-3.180046112e+19,15900000002048.0,5857846200754.5205,654288180.0842755,1.5900000002048e+16,223362067479990.9,45108062489.0,1.09716e+18,1097160000000000.0
361,90.9683,1000.0,0.00104404,4.10424e-08,10.0,-3.17999841e+19,15900000002048.0,16600236002138.193,652574160.0840548,1.5900000002048e+16,531160571142194.4,64719582231.08406,1.574180000002048e+18,1574180000002048.0
391,90.2127,1000.0,0.07430410000000001,3.93335e-08,10.0,-3.179535697e+19,159010000003072.0,1.1815094941228264e+16,6254419835.120832,1.59010000003072e+17,2.0242972765773075e+17,245642657576.04083,6.201310000001024e+18,6201310000001024.0
421,90.8621,1000.0,0.108525,4.1081199999999993e-08,10.0,-3.179058674e+19,159010000003072.0,1.7256560250333388e+16,6532321612.126201,1.59010000003072e+17,6.449561604488795e+17,437554020484.0846,1.0971540000002048e+19,1.0971540000002048e+16
451,91.5074,1000.0,0.136043,4.27767e-08,10.0,-3.178581651e+19,159000000000000.0,2.1630837e+16,6801495300.0,1.59e+17,1.2324398018485082e+18,637725205865.9562,1.5741769999998976e+19,1.5741769999998976e+16
481,95.0789,1000.0,0.27455300000000005,5.87172e-08,10.0,-3.173954524e+19,1590080000000000.0,4.3656123424000006e+17,93365045376.0,1.59008e+18,1.1417013422198706e+19,2999342047533.003,6.201304e+19,6.201304e+16
511,96.3903,1000.0,0.335901,7.601339999999999e-08,10.0,-3.16918429e+19,1590080000000000.0,5.3410946208e+17,120867387071.99998,1.59008e+18,2.61783100644394e+19,6219395631840.157,1.0971538000000205e+20,1.0971538000000205e+17
541,96.2741,1000.0,0.372051,9.55007e-08,10.0,-3.164414056e+19,1590080000000000.0,5.9159085408e+17,151853753056.0,1.59008e+18,4.315517221444872e+19,10316005675199.008,1.5741772e+20,1.5741772e+17
571,77.3482,1000.0,0.47203,5.13572e-07,10.0,-3.118142789e+19,1.5900780000002048e+16,7.505645183400967e+18,8166195386161.052,1.5900780000002048e+19,2.470160774888892e+20,134223646920015.58,6.201303900000012e+20,6.20130390000001e+17
601,50.9339,1000.0,0.49084300000000003,2.02575e-06,10.0,-3.070440452e+19,1.5900769999998976e+16,7.804781649109498e+18,32210984827497.926,1.5900769999998976e+19,4.777686434232687e+20,683983980879424.9,1.0971537600000005e+21,1.09715376e+18
631,38.9142,1000.0,0.496305,6.47747e-06,10.0,-3.022738114e+19,1.5900780000002048e+16,7.891636617901016e+18,102996825426613.27,1.5900780000002048e+19,7.135267636567097e+20,2569367528214439.0,1.574177140000003e+21,1.574177140000002e+18
661,10.0,1000.0,0.495421,9.21857e-05,10.0,-2.560025441e+19,1.5900779000000102e+17,7.877579832959051e+19,1.4658244426603094e+16,1.5900779000000102e+20,3.009283672933259e+21,3.3357129571054554e+17,6.201303870000005e+21,6.201303870000001e+18
691,10.8505,1000.0,0.495867,8.4339e-05,10.0,-2.083002067e+19,1.5900779000000102e+17,7.884671580393051e+19,1.3410558000810086e+16,1.5900779000000102e+20,5.374677534511319e+21,7.456712637699432e+17,1.0971537610000015e+22,1.097153761e+19
