Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,1149.67,316228.0,0.0141781,2.83125e-05,10.0,-1.005653573e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1145.46,316228.0,0.014870600000000001,2.8745100000000004e-05,10.0,-1.005653553e+17,100000000.0,470250009680.00006,909000548.2800001,31622800000000.0,9205561518560.0,18058765988.12,632456000000000.0,2000000000.0
61,1141.25,316228.0,0.015447,2.9060799999999998e-05,10.0,-1.005653538e+17,100000000.0,488477391600.0,918983866.24,31622800000000.0,16402389022360.0,31773605970.920002,1106798000000000.0,3500000000.0
91,1138.1,316228.0,0.0160506,2.93823e-05,10.0,-1.005653523e+17,100000000.0,507564913680.00006,929150596.44,31622800000000.0,23879568459560.0,45640168985.83999,1581140000000000.0,5000000000.0
121,117.99600000000001,316228.0,0.148551,8.67577e-06,10.0,-1.005653377e+17,500000000.0,23487992814000.0,1371760697.78,158114000000000.0,362937563538000.0,96092463880.55598,6198068800000000.0,19600000000.0
151,88.3472,316228.0,0.35984299999999997,1.08255e-05,10.0,-1.005653226e+17,500000000.0,56896216101999.99,1711663107.0,158114000000000.0,1664900733386000.0,143317680812.01996,1.09731116e+16,34700000000.0
181,75.5584,316228.0,0.423162,1.1864300000000001e-05,10.0,-1.005653075e+17,500000000.0,66907836468000.0,1875911930.2000003,158114000000000.0,3568599396586400.0,197646274181.17996,1.57481544e+16,49800000000.0
211,59.6757,316228.0,0.479055,1.3483499999999999e-05,10.0,-1.005651612e+17,5000000000.0,757453022700000.0,21319301190.0,1581140000000000.0,2.5207663762644e+16,802800732963.46,6.20123108e+16,196100000000.0
241,56.7867,316228.0,0.48371899999999995,1.38607e-05,10.0,-1.005650103e+17,5100000000.0,780124008853200.0,22354021341.96,1612762800000000.0,4.81998386793484e+16,1460673697603.78,1.09731116e+17,347000000000.0
271,53.8979,316228.0,0.485544,1.42265e-05,10.0,-1.005648595e+17,5000000000.0,767713040160000.0,22494088210.0,1581140000000000.0,7.13136316277044e+16,2134774370081.5403,1.574182984e+17,497800000000.0
301,49.8437,316228.0,0.490724,1.5042000000000001e-05,10.0,-1.005633963e+17,50300000000.0,7805587654321600.0,239262089272.80002,1.59062684e+16,2.9753318483960723e+17,8981608986519.18,6.20123108e+17,1961000000000.0
331,49.83,316228.0,0.492546,1.5264300000000002e-05,10.0,-1.005618878e+17,50300000000.0,7834568875346400.0,242798052738.12006,1.59062684e+16,5.321224882847589e+17,16214532749637.852,1.097153046e+18,3469500000000.0
361,45.7775,316228.0,0.493392,1.59486e-05,10.0,-1.005603793e+17,50300000000.0,7848025578412800.0,253682712204.24,1.59062684e+16,7.672702833288684e+17,23762182708037.168,1.574182984e+18,4978000000000.0
391,45.6557,316228.0,0.49638999999999994,1.69864e-05,10.0,-1.005457471e+17,502800000000.0,7.892573122737598e+16,2700828060437.76,1.589994384e+17,3.0595417068442906e+18,100295662482370.73,6.2012943256e+18,19610200000000.0
421,45.5306,316228.0,0.497213,1.77073e-05,10.0,-1.005306622e+17,502900000000.0,7.90723110324356e+16,2816010709986.76,1.590310612e+17,5.429751482569229e+18,183169221303918.28,1.0971562082799997e+19,34695100000000.0
451,43.4029,316228.0,0.497597,1.85866e-05,10.0,-1.005155774e+17,502900000000.0,7.91333789599364e+16,2955846722099.9194,1.590310612e+17,7.802552492443607e+18,270202699720509.8,1.5741798217199989e+19,49779900000000.0
481,42.2648,316228.0,0.49871400000000005,2.2849e-05,10.0,-1.003692548e+17,5028300000000.0,7.929997714214136e+17,36331949328087.6,1.5900892524e+18,3.086191176685828e+19,1238303906146238.2,6.201310136999995e+19,196102500000000.0
511,42.0749,316228.0,0.499032,2.6274899999999998e-05,10.0,-1.002184068e+17,5028300000000.0,7.935054198036768e+17,41779436097884.76,1.5900892524e+18,5.466035589140228e+19,2417455269523058.5,1.0971546271400005e+20,346950500000000.0
541,41.8679,316228.0,0.499205,2.9411e-05,10.0,-1.000675588e+17,5028200000000.0,7.93764718984468e+17,46765184944165.59,1.5900576296e+18,7.84698987611043e+19,3749529407804955.5,1.5741782405800018e+20,497798500000000.0
571,26.5955,316228.0,0.499745,3.38303e-05,10.0,-9.860433283e+16,50282680000000.0,7.946340963730585e+18,537928540966482.5,1.590079133104e+19,3.096176626025268e+20,2.1256774377638256e+16,6.201308460991602e+20,1961024470000000.0
