Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,108.131,100000.0,0.0123081,2.9913799999999997e-06,9.9997,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,71.9894,97950.1,0.43483,4.4055000000000004e-06,9.9997,-3.180155766e+19,9999998976.0,425916376216158.7,4315191213.624375,979500899699097.6,2.2233204874366784e+16,249973489095.25952,6.149230480016752e+16,619999997952.0
61,68.5137,95900.1,0.44978199999999996,4.48225e-06,9.9997,-3.180155718e+19,19999997952.0,862682687225283.6,8596963584.17084,1918001803596595.2,4.289205625094959e+16,457348835204.84375,1.0800473780359658e+17,1099999997952.0
91,67.0683,93850.2,0.45518100000000006,4.46888e-06,9.9997,-3.18015567e+19,19999997952.0,854376470235840.5,8388104776.577983,1877003807794790.2,6.350925790260842e+16,661246283772.805,1.5352705480709485e+17,1579999997952.0
121,62.8573,91800.3,0.47042,4.6653899999999996e-06,9.9997,-3.180155208e+19,150000001024.0,6477704613121130.0,64242630681.11302,1.3770045094003508e+16,2.6290012496226416e+17,2631314023004.544,5.820824139976909e+17,6200000000000.0
151,61.5339,89750.3,0.47538199999999997,4.690899999999999e-06,9.9997,-3.18015473e+19,160000000000.0,6826508338336000.0,67361549163.19999,1.4360048e+16,4.681776703688093e+17,4662585289350.357,1.0158257471834587e+18,10980000002048.0
181,60.7977,87700.4,0.478091,4.68039e-06,9.9997,-3.180154253e+19,160000000000.0,6708603509824000.0,65675532024.96,1.4032064e+16,6.699188834797198e+17,6647358476664.16,1.4388735940895255e+18,15750000001024.0
211,56.8346,85650.5,0.487468,5.1021199999999995e-06,9.9997,-3.180149626e+19,1590000001024.0,6.638548595781392e+16,694828615652.8871,1.3618429508770611e+17,2.6107570210673444e+18,26412900244222.496,5.446343280175134e+18,62020000002048.0
241,55.4912,83600.5,0.49013199999999996,5.2878e-06,9.9997,-3.180144856e+19,1590000001024.0,6.515069566489869e+16,702879731453.6721,1.3292479508560691e+17,4.583968563666335e+18,47425973440872.25,9.48135051599965e+18,109720000000000.0
271,54.8732,81550.6,0.491454,5.404869999999999e-06,9.9997,-3.180140086e+19,1589999996928.0,6.3724605906995256e+16,700824921006.9333,1.2966545374947656e+17,6.516658609891674e+18,68492521038645.3,1.3418576090832847e+19,157419999997952.0
301,51.8316,79500.7,0.49555699999999997,6.83438e-06,9.9997,-3.180093815e+19,15899999997952.0,6.264143413187246e+17,8639074104536.644,1.2640611298371825e+18,2.4916111912491614e+19,299017501480357.9,5.064861585691831e+19,620129999998976.0
331,50.2809,77450.8,0.496672,7.97006e-06,9.9997,-3.180046112e+19,15900000002048.0,6.116355355066218e+17,9814871617727.406,1.2314677201586194e+18,4.348371019846397e+19,576959194089727.5,8.806759175099983e+19,1097160000000000.0
361,49.1258,75400.8,0.497246,9.00523e-06,9.9997,-3.17999841e+19,15900000002048.0,5.961346646059052e+17,10796124585716.195,1.198872720154421e+18,6.159424547732973e+19,887062186096567.2,1.2450792095615417e+20,1574180000002048.0
391,41.318999999999996,73350.9,0.49899899999999997,2.26768e-05,9.9997,-3.179535697e+19,159010000003072.0,5.820088114476832e+18,264491460212081.03,1.1663526609225333e+19,2.329757186729525e+20,6276028593852636.0,4.683547915530743e+20,6201310000001024.0
421,34.0153,71301.0,0.499454,3.96725e-05,9.9997,-3.179058674e+19,159010000003072.0,5.662595690791939e+18,449789825575414.75,1.1337572010219037e+19,4.051475126757431e+20,1.7111370017148846e+16,8.132031128341448e+20,1.0971540000002048e+16
451,24.6088,69251.0,0.49968199999999996,4.51325e-05,9.9997,-3.178581651e+19,159000000000000.0,5.501953030938e+18,496949850442500.0,1.1010909e+19,5.725417303909237e+20,3.211132188009591e+16,1.1482727874619286e+21,1.5741769999998976e+16
481,10.0,67201.1,0.499989,4.6178e-06,9.9997,-3.173954524e+19,1590080000000000.0,5.342638713762404e+19,493435596631366.44,1.0685512508800002e+20,2.1493618283763091e+21,6.1576786136742616e+16,4.302180388835999e+21,6.201304e+16
511,10.0,65151.2,0.499988,2.47761e-07,9.9997,-3.16918429e+19,1590080000000000.0,5.179656690055885e+19,25666954430605.06,1.03595620096e+20,3.7268900234956825e+21,6.788204058959982e+16,7.457306814080133e+21,1.0971538000000205e+17
541,10.1311,63101.2,0.49998400000000004,4.0895300000000005e-09,9.9997,-3.164414056e+19,1590080000000000.0,5.016637267270247e+19,410326902533.2749,1.00335956096e+20,5.255516650637956e+21,6.801860189023956e+16,1.0514646617697e+22,1.5741772e+17
571,11.1221,61051.3,0.49998400000000004,2.43184e-09,9.9997,-3.118142789e+19,1.5900780000002048e+16,4.8536611279442235e+20,2360740999187.95,9.707632900141251e+20,1.9601800903553326e+22,6.80875985964549e+16,3.920813331510207e+22,6.20130390000001e+17
601,11.4971,59001.4,0.49998400000000004,2.54895e-09,9.9997,-3.070440452e+19,1.5900769999998976e+16,4.690688348559126e+20,2391342536173.1143,9.381676910779396e+20,3.3910176576948505e+22,6.815906433753011e+16,6.782580042724001e+22,1.09715376e+18
631,13.0038,56951.4,0.49998400000000004,2.7527399999999997e-09,9.9997,-3.022738114e+19,1.5900780000002048e+16,4.527713518991449e+20,2492803392162.253,9.055716820921166e+20,4.772961114815013e+22,6.823127331168401e+16,9.546560200878313e+22,1.574177140000002e+18
661,13.9712,54901.5,0.49998400000000004,2.91344e-09,9.9997,-2.560025441e+19,1.5900779000000102e+17,4.364743415083605e+21,25433649987281.945,8.729766182685057e+21,1.7696497383474235e+23,6.896529212412356e+16,3.5394459870986214e+23,6.201303870000001e+18
691,15.0752,52851.6,0.49998400000000004,3.1100300000000003e-09,9.9997,-2.083002067e+19,1.5900779000000102e+17,4.2017735959242033e+21,26136120228911.63,8.403816113964053e+21,3.0538120017373123e+23,6.974026653882287e+16,6.10785304622788e+23,1.097153761e+19
721,15.4337,50801.6,0.499983,3.27908e-09,9.9997,-1.605978693e+19,1.5900779000000102e+17,4.03878774877957e+21,26487916851709.18,8.077850144464051e+21,4.289081472544382e+23,7.0531535231349416e+16,8.578473493870304e+23,1.574177135e+19
751,15.9212,48751.7,0.499983,3.47196e-09,9.9997,1.733184926e+19,1.5900778999999898e+17,3.875818255570187e+21,26914286986976.492,7.75190007574295e+21,1.263283148501379e+24,7.613088921362326e+16,2.526654091310138e+24,4.913340753999998e+19
781,15.9212,46701.8,0.499982,3.64998e-09,9.9997,2.2102083e+19,1.5900779000000102e+17,3.7128413364108976e+21,27104569006630.336,7.425950007022048e+21,1.3770316208153636e+24,7.69412361743191e+16,2.7541588455765203e+24,5.390364127999992e+19
811,15.9212,44651.8,0.499982,3.846199999999999e-09,9.9997,2.687231674e+19,1.5900778999999693e+17,3.5498642190482565e+21,27307958605116.586,7.099984037521863e+21,1.4858907483045371e+24,7.77574908690878e+16,2.9718849386942195e+24,5.8673875019999855e+19
841,15.9212,42601.9,0.49998100000000006,4.0635e-09,9.9997,3.035458737e+19,1.5900769999998976e+16,3.386886360742224e+20,2752627145206.7236,6.774030134629564e+20,1.5622508221053283e+24,7.835735469476726e+16,3.1246106517979417e+24,6.215614564999982e+19
871,15.9212,40552.0,0.49998100000000006,4.305380000000001e-09,9.9997,3.083161075e+19,1.5900780000002048e+16,3.2239196391986096e+20,2776145320764.7705,6.44808430560083e+20,1.5721588850461333e+24,7.844029363622165e+16,3.1444275307209507e+24,6.263316902999987e+19
901,15.9212,38502.1,0.49998000000000004,4.57615e-09,9.9997,3.130863412e+19,1.5900779999997952e+16,3.060944665505278e+20,2801580449428.3726,6.122134216379211e+20,1.5815780159047634e+24,7.852396707049464e+16,3.163266544711324e+24,6.311019239999991e+19
931,15.9212,36452.1,0.499979,4.88116e-09,9.9997,3.165686119e+19,1590080000000000.0,2.8979660387141472e+19,282920600855.83484,5.7961755168e+19,1.5881432688777655e+24,7.858555104749197e+16,3.1763975912392397e+24,6.345841946999994e+19
961,15.9212,34402.2,0.499978,5.2271800000000006e-09,9.9997,3.170456352e+19,1590070000001024.0,2.7349749635082224e+19,285936709810.2499,5.4701906154035225e+19,1.5889873965223248e+24,7.85940847505291e+16,3.178085919327564e+24,6.350612179999993e+19
991,15.9212,32352.3,0.49997700000000006,5.62282e-09,9.9997,3.175226586e+19,1590080000000000.0,2.572018940886077e+19,289253296475.49884,5.1442745184e+19,1.5897826316358718e+24,7.860271346494331e+16,3.179676461317108e+24,6.355382413999992e+19
1021,16.8962,30302.3,0.49997600000000003,6.18949e-09,9.9997,3.178708857e+19,159009999998976.0,2.409068720635134e+18,29823245027.12921,4.81836872296897e+18,1.590332081938814e+24,7.860910006949974e+16,3.1807754135378776e+24,6.358864684999991e+19
1051,16.8962,28252.4,0.499975,6.73059e-09,9.9997,3.17918588e+19,159009999998976.0,2.2460947516324357e+18,30236597578.65844,4.49241412397107e+18,1.5904018268962652e+24,7.861000104477814e+16,3.180914910294987e+24,6.359341707999989e+19
1081,16.8962,26202.5,0.49997299999999995,7.36872e-09,9.9997,3.179662903e+19,159000000000000.0,2.0829862626674995e+18,30699542842.2,4.1661975e+18,1.5904666825881318e+24,7.861091519147598e+16,3.181044628421346e+24,6.3598187309999866e+19
1111,16.8962,24152.5,0.499971,8.13177e-09,9.9997,3.180011131e+19,15910000001024.0,1.9212199379039037e+17,3124764967.257867,3.8426627502473216e+17,1.5905109202565393e+24,7.861159188163331e+16,3.18113310861629e+24,6.3601669589999845e+19
1141,15.9212,22102.6,0.49996899999999994,8.90199e-09,9.9997,3.180058833e+19,15899999997952.0,1.7570477560582832e+17,3128438273.963641,3.514313399547338e+17,1.5905164279339787e+24,7.861168658227485e+16,3.181144124624492e+24,6.360214660999984e+19
1171,15.9212,20052.7,0.49996599999999997,1.0033700000000001e-08,9.9997,3.180106535e+19,15900000002048.0,1.5940812453091258e+17,3199124138.653064,3.1883793004106797e+17,1.590521446683311e+24,7.861178150524712e+16,3.181154162781918e+24,6.360262362999984e+19
1201,15.9212,18002.7,0.499963,1.14721e-08,9.9997,3.180141358e+19,1590000001024.0,1.4311087410375702e+16,328380751.9367855,2.8624293018434764e+16,1.590524799711174e+24,7.861185225483547e+16,3.181160869310985e+24,6.3602971859999834e+19
1231,15.9212,15952.8,0.499958,1.33584e-08,9.9997,3.180146128e+19,1590000001024.0,1.2681410680183148e+16,338835175.01501834,2.5364952016335668e+16,1.5905252037841954e+24,7.861186226237438e+16,3.1811616775208644e+24,6.36030195599998e+19
1261,15.9212,13902.9,0.499953,1.59361e-08,9.9997,3.180150898e+19,1589999996928.0,1.1051766514930154e+16,352277226.7764738,2.2105610957290292e+16,1.5905255589668993e+24,7.86118726264687e+16,3.181162387949083e+24,6.3603067259999764e+19
1291,15.9212,11852.9,0.499946,1.96692e-08,9.9997,3.180154381e+19,160000000000.0,948129590944000.0,37301929.7088,1896464000000000.0,1.5905257872376726e+24,7.86118804862957e+16,3.181162844535895e+24,6.3603102089999745e+19
1321,15.9212,9803.01,0.499935,2.5577400000000003e-08,9.9997,3.180154858e+19,160000000000.0,784138848696000.0,40117681.27584001,1568481600000000.0,1.5905258129742765e+24,7.86118816383997e+16,3.181162896015196e+24,6.360310685999974e+19
1351,15.9212,7753.08,0.49991899999999995,3.65219e-08,9.9997,3.180155335e+19,160000000000.0,620145920083199.9,45305153.99232001,1240492800000000.0,1.5905258338221777e+24,7.861188290492363e+16,3.181162937717004e+24,6.360311162999974e+19
1381,15.4337,5703.15,0.499891,6.540019999999999e-08,9.9997,3.180155683e+19,20000002048.0,57019072971752.47,7459743.776477682,114063011680051.19,1.5905258459280222e+24,7.861188397337498e+16,3.1811629619330413e+24,6.3603115109999755e+19
1411,15.4337,3653.21,0.49983299999999997,4.08291e-07,9.9997,3.180155731e+19,20000002048.0,36519902018237.586,29831458.336941022,73064207481774.08,1.5905258470402394e+24,7.861188429235216e+16,3.1811629641580695e+24,6.3603115589999804e+19
1441,10.0,1603.28,0.49918500000000005,5.5771899999999994e-05,9.9997,3.180155778e+19,9999998976.0,8003332448458.674,894179626.7559967,16032798358241.28,1.5905258476493307e+24,7.861190133245885e+16,3.181162965376946e+24,6.36031160599998e+19
