Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,165.791,100.0,1.31378e-05,6.13829e-09,10.0,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,86.0234,2149.93,0.000259535,8.30998e-08,10.0,-3.180155766e+19,9999998976.0,5579820254.126347,1786587.3471934367,21499297798471.68,96375169241.03558,31571553.432028197,569699804827271.1,619999997952.0
61,86.0233,4199.86,0.00050827,1.55637e-07,10.0,-3.180155718e+19,19999997952.0,42693252472.210495,13073070.877717406,83997191398686.72,710423127123.9633,222511078.0030986,2105266801398694.0,1099999997952.0
91,87.3123,6249.79,0.000764609,2.26309e-07,10.0,-3.18015567e+19,19999997952.0,95572903855.53363,28287671.605542127,124995787200430.08,2348963040713.304,714064407.0903054,4630950597900157.0,1579999997952.0
121,88.5996,8299.73,0.00119935,2.95977e-07,10.0,-3.180155208e+19,150000001024.0,1493142186518.184,368479380.44698584,1244959508498923.5,35704492095749.914,9697547993.947416,3.853758491230907e+16,6200000000000.0
151,89.6285,10349.7,0.00213918,3.6506500000000005e-07,10.0,-3.18015473e+19,160000000000.0,3542379399360.0005,604530116.8800001,1655952000000000.0,108434834753088.6,24597237477.928925,8.327224443154598e+16,10980000002048.0
181,90.3991,12399.6,0.00662509,4.3397199999999996e-07,10.0,-3.180154253e+19,160000000000.0,13143754554240.0,860972673.7919999,1983936000000000.0,314524392199342.0,46463888342.20854,1.3770139742297704e+17,15750000001024.0
211,79.6078,14449.5,0.345831,6.501609999999999e-07,10.0,-3.180149626e+19,1590000001024.0,7945365209972016.0,14937257187.124968,2.297470501479629e+16,1.6048315479070515e+17,400077993596.6689,7.618587114398723e+17,62020000002048.0
241,76.4829,16499.5,0.39295599999999997,7.93217e-07,10.0,-3.180144856e+19,1590000001024.0,1.0308888266619182e+16,20809417400.886787,2.623420501689549e+16,4.367188832412108e+17,937048175274.2296,1.5016214754103493e+18,109720000000000.0
271,74.013,18549.4,0.41964300000000004,9.35308e-07,10.0,-3.180140086e+19,1589999996928.0,1.2376760100165168e+16,27585549468.87064,2.9493545943016244e+16,7.784908713978765e+17,1663635420129.0742,2.339165900372151e+18,157419999997952.0
301,67.8009,20599.3,0.46583800000000003,1.25893e-06,10.0,-3.180093815e+19,15899999997952.0,1.5257539372340752e+17,412335920255.9891,3.275288699578126e+17,4.882944450685434e+18,11799327411306.395,1.1426397134389189e+19,620129999998976.0
331,65.083,22649.2,0.477551,1.55126e-06,10.0,-3.180046112e+19,15900000002048.0,1.719767549584315e+17,558643288144.7561,3.601222800463856e+17,9.767669937639434e+18,26387251138003.965,2.175812424041014e+19,1097160000000000.0
361,63.1126,24699.2,0.483439,1.8633900000000002e-06,10.0,-3.17999841e+19,15900000002048.0,1.8985484915037427e+17,731785452473.4578,3.92717280050584e+17,1.520635081023308e+19,45757230245019.38,3.306749703546079e+19,1574180000002048.0
391,55.1056,26749.1,0.49403100000000005,3.6847199999999998e-06,10.0,-3.179535697e+19,159010000003072.0,2.1012988038007173e+18,15672493686308.305,4.253374391082173e+18,7.377065582076219e+19,377299307890396.8,1.523963394384381e+20,6201310000001024.0
