Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,638.001,1000.0,1.54934e-09,1.84453e-12,100000.0,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,638.001,1000.0,1.5493499999999998e-09,1.84454e-12,100000.0,-3.180155766e+19,9999998976.0,15493.498413465599,18.44539811119104,9999998976000.0,960591.5968269514,1143.6126962223925,619999997952000.0,619999997952.0
61,638.001,1000.0,1.5493499999999998e-09,1.84454e-12,100000.0,-3.180155718e+19,19999997952.0,30986.996826931198,36.89079622238208,19999997952000.0,1704279.5968269524,2028.9918962223928,1099999997952000.0,1099999997952.0
91,638.0,1000.0,1.5493499999999998e-09,1.84454e-12,100000.0,-3.18015567e+19,19999997952.0,30986.996826931198,36.89079622238208,19999997952000.0,2447967.596826953,2914.3710962223904,1579999997952000.0,1579999997952.0
121,637.998,1000.0,1.54937e-09,1.84456e-12,100000.0,-3.180155208e+19,150000001024.0,232405.5015865549,276.6840018888294,150000001024000.0,9606013.800000016,11436.201500000006,6200000000000000.0,6200000000000.0
151,637.997,1000.0,1.5493900000000002e-09,1.84458e-12,100000.0,-3.18015473e+19,160000000000.0,247902.40000000002,295.1328,160000000000000.0,17012059.703173164,20253.254003777693,1.0980000002048e+16,10980000002048.0
181,637.995,1000.0,1.54941e-09,1.8446e-12,100000.0,-3.180154253e+19,160000000000.0,247905.6,295.136,160000000000000.0,24402716.90158664,29051.953201888835,1.5750000001024e+16,15750000001024.0
211,637.976,1000.0,1.5496300000000002e-09,1.8447900000000003e-12,100000.0,-3.180149626e+19,1590000001024.0,2463911.7015868216,2933.2161018890656,1590000001024000.0,96099230.30317365,114406.07950377814,6.2020000002048e+16,62020000002048.0
241,637.957,1000.0,1.5498499999999998e-09,1.84498e-12,100000.0,-3.180144856e+19,1590000001024.0,2464261.501587046,2933.5182018892597,1590000001024000.0,170021860.10000005,202407.06220000016,1.0972e+17,109720000000000.0
271,637.938,1000.0,1.55007e-09,1.8451599999999998e-12,100000.0,-3.180140086e+19,1589999996928.0,2464611.295238185,2933.804394331668,1589999996928000.0,243954952.0968254,290417.0442962213,1.57419999997952e+17,157419999997952.0
301,637.752,1000.0,1.55219e-09,1.84699e-12,100000.0,-3.180093815e+19,15899999997952.0,24679820.996821117,29367.140996217364,1.5899999997952e+16,961695227.6984106,1144629.262398109,6.20129999998976e+17,620129999998976.0
331,637.56,1000.0,1.5543900000000003e-09,1.84886e-12,100000.0,-3.180046112e+19,15900000002048.0,24714801.003183395,29396.874003786463,1.5900000002048e+16,1702680235.7,2026159.2344000002,1.09716e+18,1097160000000000.0
361,637.368,1000.0,1.5565899999999999e-09,1.8507299999999997e-12,100000.0,-3.17999841e+19,15900000002048.0,24749781.003187895,29426.60700379029,1.5900000002048e+16,2444697885.703188,2908563.870203791,1.574180000002048e+18,1574180000002048.0
391,636.379,1000.0,1.5765e-09,1.86805e-12,100000.0,-3.179535697e+19,159010000003072.0,250679265.004843,297038.63050573866,1.59010000003072e+17,9697579005.10162,11515171.97280192,6.201310000001024e+18,6201310000001024.0
421,635.3330000000001,1000.0,1.5973499999999999e-09,1.88608e-12,100000.0,-3.179058674e+19,159010000003072.0,253994623.50490704,299905.58080579404,1.59010000003072e+17,17269773744.503273,20470951.251003873,1.0971540000002048e+19,1.0971540000002048e+16
451,633.4259999999999,1000.0,1.6200999999999998e-09,1.90524e-12,100000.0,-3.178581651e+19,159000000000000.0,257595899.99999997,302933.16,1.59e+17,24945455368.39833,29515148.26909805,1.5741769999998976e+19,1.5741769999998976e+16
481,620.245,1000.0,1.8470899999999999e-09,2.0951299999999998e-12,100000.0,-3.173954524e+19,1590080000000000.0,2937020867.2,3331424.3104,1.59008e+18,105194508410.80003,122128697.31010005,6.201304e+19,6.201304e+16
511,607.566,1000.0,2.1127e-09,2.30984e-12,100000.0,-3.16918429e+19,1590080000000000.0,3359362016.0,3672830.3872,1.59008e+18,199684543485.90433,227265083.78110477,1.0971538000000205e+20,1.0971538000000205e+17
541,595.096,1000.0,2.4164699999999996e-09,2.54665e-12,100000.0,-3.164414056e+19,1590080000000000.0,3842380617.5999994,4049377.232,1.59008e+18,307805665979.1,343202807.0251002,1.5741772e+20,1.5741772e+17
571,488.325,1000.0,8.686459999999999e-09,6.5592399999999994e-12,100000.0,-3.118142789e+19,1.5900780000002048e+16,138121489438.81778,104297032.20721343,1.5900780000002048e+19,2627890792990.6094,2336788012.6327066,6.201303900000012e+20,6.20130390000001e+17
601,400.43199999999996,1000.0,3.39239e-08,1.73785e-11,100000.0,-3.070440452e+19,1.5900769999998976e+16,539416131402.96533,276331531.44498223,1.5900769999998976e+19,11632471329119.002,7718989555.130803,1.0971537600000005e+21,1.09715376e+18
631,332.621,1000.0,1.44169e-07,4.58478e-11,100000.0,-3.022738114e+19,1.5900780000002048e+16,2292399551820.2954,729015781.2840939,1.5900780000002048e+19,48314411637018.32,21947952981.6429,1.574177140000003e+21,1.574177140000002e+18
661,47.2313,1000.0,0.485857,5.28749e-06,100000.0,-2.560025441e+19,1.5900779000000102e+17,7.72550478260305e+19,840752099547105.4,1.5900779000000102e+20,1.0437661640834675e+21,2659268804978085.0,6.201303870000005e+21,6.201303870000001e+18
691,13.8882,1000.0,0.46564099999999997,9.49717e-05,100000.0,-2.083002067e+19,1.5900779000000102e+17,7.404054634339048e+19,1.5101240129543098e+16,1.5900779000000102e+20,3.2752352363358863e+21,3.3703627159014426e+17,1.0971537610000015e+22,1.097153761e+19
721,13.1286,1000.0,0.463463,9.33802e-05,100000.0,-1.605978693e+19,1.5900779000000102e+17,7.369422737677048e+19,1.4848179231758096e+16,1.5900779000000102e+20,5.491867132625836e+21,7.880934029522793e+17,1.574177135000003e+22,1.574177135e+19
