Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,1380.17,316228.0,2.32989e-07,2.12977e-10,100000.0,-1.005653573e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1380.16,316228.0,2.32989e-07,2.1297900000000001e-10,100000.0,-1.005653553e+17,100000000.0,7367764.5492,6734.9923212,31622800000000.0,147355290.984,134699.3404592,632456000000000.0,2000000000.0
61,1380.16,316228.0,2.3299e-07,2.1297900000000001e-10,100000.0,-1.005653538e+17,100000000.0,7367796.172,6734.9923212,31622800000000.0,257872012.2043999,235724.2252772,1106798000000000.0,3500000000.0
91,1380.16,316228.0,2.3299e-07,2.1297999999999997e-10,100000.0,-1.005653523e+17,100000000.0,7367796.172,6735.023944,31622800000000.0,368388954.7843998,336749.5528144001,1581140000000000.0,5000000000.0
121,1380.16,316228.0,2.3299499999999998e-07,2.1298500000000001e-10,100000.0,-1.005653377e+17,500000000.0,36839771.43,33675.91029,158114000000000.0,1444099560.4112003,1320074.7806972011,6198068800000000.0,19600000000.0
151,1380.16,316228.0,2.33e-07,2.12988e-10,100000.0,-1.005653226e+17,500000000.0,36840562.0,33676.384631999994,158114000000000.0,2556672263.1648006,2337094.89255,1.09731116e+16,34700000000.0
181,1380.15,316228.0,2.33005e-07,2.12992e-10,100000.0,-1.005653075e+17,500000000.0,36841352.57,33677.017088,158114000000000.0,3669268240.2992,3354132.207206002,1.57481544e+16,49800000000.0
211,1380.11,316228.0,2.33052e-07,2.1302e-10,100000.0,-1.005651612e+17,5000000000.0,368487839.28,336814.44279999996,1581140000000000.0,14450159353.964401,13208717.416650804,6.20123108e+16,196100000000.0
241,1380.07,316228.0,2.331e-07,2.13047e-10,100000.0,-1.005650103e+17,5100000000.0,375935008.68,343594.2762516,1612762800000000.0,25572310886.372807,23374464.621912807,1.09731116e+17,347000000000.0
271,1380.03,316228.0,2.3314900000000002e-07,2.1307299999999997e-10,100000.0,-1.005648595e+17,5000000000.0,368641209.86,336898.24321999995,1581140000000000.0,36689411024.33201,33534732.386504807,1.574182984e+17,497800000000.0
301,1379.63,316228.0,2.3362100000000002e-07,2.1331200000000003e-10,100000.0,-1.005633963e+17,50300000000.0,3716038329.8764005,3392997.9249408003,1.59062684e+16,144681564934.3988,132182290.14140919,6.20123108e+17,1961000000000.0
331,1382.76,316228.0,2.3341799999999998e-07,2.13233e-10,100000.0,-1.005618878e+17,50300000000.0,3712809357.3911996,3391741.3297372,1.59062684e+16,256114324546.95557,233936781.60850802,1.097153046e+18,3469500000000.0
361,1382.34,316228.0,2.33906e-07,2.1346900000000003e-10,100000.0,-1.005603793e+17,50300000000.0,3720571616.3704,3395495.209079601,1.59062684e+16,367581815006.4104,335713535.96952605,1.574182984e+18,4978000000000.0
391,1378.32,316228.0,2.38705e-07,2.15732e-10,100000.0,-1.005457471e+17,502800000000.0,37953960943.272,34301266.844908796,1.589994384e+17,1461325039593.7554,1328879196.9100866,6.2012943256e+18,19610200000000.0
421,1377.71,316228.0,2.43056e-07,2.17747e-10,100000.0,-1.005306622e+17,502900000000.0,38653453611.0272,34628536.483116396,1.590310612e+17,2610292199483.8965,2362763174.9977503,1.0971562082799997e+19,34695100000000.0
451,1373.57,316228.0,2.48253e-07,2.20099e-10,100000.0,-1.005155774e+17,502900000000.0,39479938036.083595,35002577.539058805,1.590310612e+17,3782480016420.4775,3407256816.8247533,1.5741798217199989e+19,49779900000000.0
481,1354.59,316228.0,3.01458e-07,2.42037e-10,100000.0,-1.003692548e+17,5028300000000.0,479345125849.9992,384860432.38313884,1.5900892524e+18,16475813714924.447,14103130893.525814,6.201310136999995e+19,196102500000000.0
511,1337.69,316228.0,3.7297800000000005e-07,2.66639e-10,100000.0,-1.002184068e+17,5028300000000.0,593068309181.6473,423979808.1706836,1.5900892524e+18,32534502639190.63,26245314019.405563,1.0971546271400005e+20,346950500000000.0
