Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,59.18899999999999,1000.0,0.0006883260000000001,3.6989000000000004e-07,1.7,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,59.18899999999999,1000.0,0.0006897930000000001,3.6994e-07,1.7,-3.180155766e+19,9999998976.0,6897929293.651968,3699399.6211814396,9999998976000.0,427256378587.0624,229354579.24236083,619999997952000.0,619999997952.0
61,59.1889,1000.0,0.000690933,3.69955e-07,1.7,-3.180155718e+19,19999997952.0,13818658584.969217,7399099.24233216,19999997952000.0,758640408585.2571,406929529.2423373,1099999997952000.0,1099999997952.0
91,59.1889,1000.0,0.000692076,3.69966e-07,1.7,-3.18015567e+19,19999997952.0,13841518582.628353,7399319.242309633,19999997952000.0,1090572458583.4536,584510669.2423228,1579999997952000.0,1579999997952.0
121,59.1885,1000.0,0.000703278,3.70033e-07,1.7,-3.180155208e+19,150000001024.0,105491700720.15668,55504950.3789138,150000001024000.0,4314592360009.2446,2293930900.000051,6200000000000000.0,6200000000000.0
151,59.1881,1000.0,0.000715256,3.70077e-07,1.7,-3.18015473e+19,160000000000.0,114440960000.00002,59212320.0,160000000000000.0,7705683021462.527,4062801750.757929,1.0980000002048e+16,10980000002048.0
181,59.1877,1000.0,0.00072762,3.70112e-07,1.7,-3.180154253e+19,160000000000.0,116419200000.0,59217920.00000001,160000000000000.0,11147757280742.293,5828156650.379006,1.5750000001024e+16,15750000001024.0
211,59.184,1000.0,0.00087412,3.70316e-07,1.7,-3.180149626e+19,1590000001024.0,1389850800895.0989,588802440.3792036,1590000001024000.0,48114037771791.64,22958683930.758427,6.2020000002048e+16,62020000002048.0
241,59.1802,1000.0,0.00110272,3.70425e-07,1.7,-3.180144856e+19,1590000001024.0,1753324801129.1853,588975750.3793153,1590000001024000.0,95023699650013.4,40625752690.00001,1.0972e+17,109720000000000.0
271,59.138000000000005,1000.0,0.00149223,3.7043399999999997e-07,1.7,-3.180140086e+19,1589999996928.0,2372645695415.869,588990058.8620267,1589999996928000.0,156293554646916.12,58295745459.24135,1.57419999997952e+17,157419999997952.0
301,58.3732,1000.0,0.152636,3.5086199999999996e-07,1.7,-3.180093815e+19,15899999997952.0,2426912399687401.5,5578705799.281434,1.5899999997952e+16,2.4629364500596276e+16,225150579069.63892,6.20129999998976e+17,620129999998976.0
331,58.1822,1000.0,0.22487,3.55824e-07,1.7,-3.180046112e+19,15900000002048.0,3575433000460533.5,5657601600.728728,1.5900000002048e+16,1.1951426944074661e+17,393808064649.9963,1.09716e+18,1097160000000000.0
361,58.1444,1000.0,0.25382,3.59928e-07,1.7,-3.17999841e+19,15900000002048.0,4035738000519823.0,5722855200.737133,1.5900000002048e+16,2.3444717378126678e+17,564572847890.7334,1.574180000002048e+18,1574180000002048.0
391,58.0448,1000.0,0.353502,3.89114e-07,1.7,-3.179535697e+19,159010000003072.0,5.621035302108595e+16,61873017141.195366,1.59010000003072e+17,1.7043330420311278e+18,2302193880430.405,6.201310000001024e+18,6201310000001024.0
421,57.8578,1000.0,0.38822,4.1464399999999996e-07,1.7,-3.179058674e+19,159010000003072.0,6.1730862201192616e+16,65932542441.27378,1.59010000003072e+17,3.486186016421564e+18,4222660665670.8574,1.0971540000002048e+19,1.0971540000002048e+16
451,57.5587,1000.0,0.407165,4.40036e-07,1.7,-3.178581651e+19,159000000000000.0,6.4739235e+16,69965724000.0,1.59e+17,5.388388639850344e+18,6263522723619.549,1.5741769999998976e+19,1.5741769999998976e+16
481,53.2956,1000.0,0.4603,6.961579999999999e-07,1.7,-3.173954524e+19,1590080000000000.0,7.31913824e+17,1106946912639.9998,1.59008e+18,2.5873272765570798e+19,32565821033080.035,6.201304e+19,6.201304e+16
511,48.8856,1000.0,0.475249,1.02975e-06,1.7,-3.16918429e+19,1590080000000000.0,7.5568392992e+17,1637384880000.0,1.59008e+18,4.824768324609176e+19,73633598431952.12,1.0971538000000205e+20,1.0971538000000205e+17
