Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,1294.94,1000.0,1.58347e-10,1.031e-13,100000.0,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1294.94,1000.0,1.58347e-10,1.03101e-13,100000.0,-3.180155789e+19,20000002048.0,3166.940324294656,2.062020211150848,20000002048000.0,61755.33016214735,40.20915010557542,390000001024000.0,390000001024.0
31,1294.94,1000.0,1.58347e-10,1.03101e-13,100000.0,-3.180155766e+19,9999998976.0,1583.4698378526718,1.0310098944245758,9999998976000.0,98175.13967570534,63.922379788849135,619999997952000.0,619999997952.0
46,1294.94,1000.0,1.58347e-10,1.03101e-13,100000.0,-3.180155742e+19,9999998976.0,1583.4698378526718,1.0310098944245758,9999998976000.0,136178.4196757053,88.66661978884913,859999997952000.0,859999997952.0
61,1294.94,1000.0,1.58347e-10,1.03101e-13,100000.0,-3.180155718e+19,19999997952.0,3166.9396757053437,2.0620197888491516,19999997952000.0,174181.69967570517,113.41085978884914,1099999997952000.0,1099999997952.0
76,1294.94,1000.0,1.58347e-10,1.03101e-13,100000.0,-3.180155694e+19,19999997952.0,3166.9396757053437,2.0620197888491516,19999997952000.0,212184.97967570502,138.15509978884913,1339999997952000.0,1339999997952.0
91,1294.94,1000.0,1.5834799999999998e-10,1.03101e-13,100000.0,-3.18015567e+19,19999997952.0,3166.959675703296,2.0620197888491516,19999997952000.0,250188.4696757039,162.8993397888491,1579999997952000.0,1579999997952.0
106,1294.94,1000.0,1.58349e-10,1.03101e-13,100000.0,-3.180155446e+19,160000000000.0,25335.839999999997,16.49616,160000000000000.0,604888.4696757038,393.84557978884897,3819999997952000.0,3819999997952.0
121,1294.94,1000.0,1.5834999999999998e-10,1.03102e-13,100000.0,-3.180155208e+19,150000001024.0,23752.500162150398,15.465300105576448,150000001024000.0,981760.0400000033,639.2275500000006,6200000000000000.0,6200000000000.0
136,1294.93,1000.0,1.58351e-10,1.03102e-13,100000.0,-3.180154969e+19,160000000000.0,25336.160000000003,16.49632,160000000000000.0,1360217.970162154,885.6413301055767,8590000001024000.0,8590000001024.0
151,1294.93,1000.0,1.5835200000000002e-10,1.03103e-13,100000.0,-3.18015473e+19,160000000000.0,25336.320000000003,16.496480000000002,160000000000000.0,1738678.6103243066,1132.0568602111541,1.0980000002048e+16,10980000002048.0
166,1294.93,1000.0,1.5835399999999998e-10,1.03103e-13,100000.0,-3.180154492e+19,160000000000.0,25336.64,16.496480000000002,160000000000000.0,2115558.7600000026,1377.4419999999993,1.336e+16,13360000000000.0
181,1294.93,1000.0,1.58355e-10,1.03104e-13,100000.0,-3.180154253e+19,160000000000.0,25336.8,16.49664,160000000000000.0,2494025.4601621577,1623.8600801055786,1.5750000001024e+16,15750000001024.0
196,1294.91,1000.0,1.5836600000000004e-10,1.0310899999999999e-13,100000.0,-3.180152011e+19,1589999996928.0,251801.9395134997,163.94330968324914,1589999996928000.0,6044474.999837834,3935.507439894413,3.8169999998976e+16,38169999998976.0
211,1294.89,1000.0,1.5837799999999998e-10,1.0311400000000001e-13,100000.0,-3.180149626e+19,1590000001024.0,251821.02016217905,163.95126010558874,1590000001024000.0,9821661.510324357,6394.7159202111725,6.2020000002048e+16,62020000002048.0
226,1294.87,1000.0,1.5838999999999998e-10,1.0311900000000001e-13,100000.0,-3.180147241e+19,1590000001024.0,251840.10016219135,163.95921010559385,1590000001024000.0,13599134.220162194,8854.048420105593,8.5870000001024e+16,85870000001024.0
241,1294.85,1000.0,1.5840200000000003e-10,1.03124e-13,100000.0,-3.180144856e+19,1590000001024.0,251859.1801622037,163.96716010559896,1590000001024000.0,17376896.310000002,11313.500170000001,1.0972e+17,109720000000000.0
256,1294.83,1000.0,1.5841399999999998e-10,1.03129e-13,100000.0,-3.180142471e+19,1590000001024.0,251878.26016221588,163.9751101056041,1590000001024000.0,21154946.189837787,13773.0727598944,1.33569999998976e+17,133569999998976.0
271,1294.81,1000.0,1.5842700000000002e-10,1.03134e-13,100000.0,-3.180140086e+19,1589999996928.0,251898.9295133123,163.98305968317234,1589999996928000.0,24933283.859675545,16232.77095978878,1.57419999997952e+17,157419999997952.0
286,1294.63,1000.0,1.5854e-10,1.0318199999999999e-13,100000.0,-3.180117666e+19,15900000002048.0,2520786.0003246902,1640.5938002113164,1.5900000002048e+16,60466148.5703247,39361.219030211316,3.81620000002048e+17,381620000002048.0
301,1294.43,1000.0,1.58661e-10,1.03233e-13,100000.0,-3.180093815e+19,15899999997952.0,2522709.8996750624,1641.4046997885787,1.5899999997952e+16,98294931.38983752,63977.67698989429,6.20129999998976e+17,620129999998976.0
