Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,58.7292,1000.0,0.000687318,2.7498699999999997e-07,1.7,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,58.7292,1000.0,0.000688237,2.75017e-07,1.7,-3.180155789e+19,20000002048.0,13764741409.509377,5500340.563234815,20000002048000.0,268268200704.56116,107254000.28161639,390000001024000.0,390000001024.0
31,58.7291,1000.0,0.00068878,2.7502400000000004e-07,1.7,-3.180155766e+19,9999998976.0,6887799294.689279,2750239.7183754244,9999998976000.0,426629848589.1359,170508779.4367488,619999997952000.0,619999997952.0
46,58.7291,1000.0,0.000689348,2.7503e-07,1.7,-3.180155742e+19,9999998976.0,6893479294.107648,2750299.71836928,9999998976000.0,592010228588.1426,236515329.43673757,859999997952000.0,859999997952.0
61,58.7291,1000.0,0.000689917,2.75035e-07,1.7,-3.180155718e+19,19999997952.0,13798338587.049984,5500699.436728319,19999997952000.0,757526988587.3439,302523219.43672836,1099999997952000.0,1099999997952.0
76,58.7291,1000.0,0.000690486,2.7504e-07,1.7,-3.180155694e+19,19999997952.0,13809718585.884672,5500799.43671808,19999997952000.0,923180318586.54,368532319.4367181,1339999997952000.0,1339999997952.0
91,58.7291,1000.0,0.000691057,2.75044e-07,1.7,-3.18015567e+19,19999997952.0,13821138584.715263,5500879.436709888,19999997952000.0,1088970488585.5396,434542499.43670785,1579999997952000.0,1579999997952.0
106,58.7289,1000.0,0.000696428,2.75075e-07,1.7,-3.180155446e+19,160000000000.0,111428480000.0,44012000.0,160000000000000.0,2643363978575.0366,1050680539.4366463,3819999997952000.0,3819999997952.0
121,58.7287,1000.0,0.000702226,2.75099e-07,1.7,-3.180155208e+19,150000001024.0,105333900719.07942,41264850.28170137,150000001024000.0,4308203260009.2183,1705389920.0000327,6200000000000000.0,6200000000000.0
136,58.7285,1000.0,0.000708147,2.75119e-07,1.7,-3.180154969e+19,160000000000.0,113303520000.0,44019040.0,160000000000000.0,5994051020732.727,2362901510.2817483,8590000001024000.0,8590000001024.0
151,58.7283,1000.0,0.000714168,2.75136e-07,1.7,-3.18015473e+19,160000000000.0,114266880000.00002,44021760.0,160000000000000.0,7694176941460.308,3020457770.5634775,1.0980000002048e+16,10980000002048.0
166,58.7281,1000.0,0.000720266,2.75152e-07,1.7,-3.180154492e+19,160000000000.0,115242560000.0,44024319.99999999,160000000000000.0,9401616970001.076,3675302440.000008,1.336e+16,13360000000000.0
