Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,108.131,100000.0,0.0123081,2.9913799999999997e-06,9.9997,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,71.7187,100000.0,0.436295,4.50474e-06,9.9997,-3.180155766e+19,9999998976.0,436294955323392.0,4504739538.714623,999999897600000.0,2.249735990419128e+16,254550719053.2137,6.19999997952e+16,619999997952.0
61,67.9723,100000.0,0.451962,4.68212e-06,9.9997,-3.180155718e+19,19999997952.0,903923907438182.2,9364239041.101826,1999999795200000.0,4.390648590166056e+16,475720249027.16626,1.099999997952e+17,1099999997952.0
91,66.3012,100000.0,0.458064,4.77108e-06,9.9997,-3.18015567e+19,19999997952.0,916127906188492.8,9542159022.882816,1999999795200000.0,6.576825490071512e+16,702885189016.9241,1.579999997952e+17,1579999997952.0
121,10.0,1000.0,0.031150900000000002,1.37147e-07,9.9997,-3.180155208e+19,150000001024.0,4672635031898.522,20572050.140438527,150000001024000.0,1.2556933461543e+17,1329613076342.6406,2.90330000101376e+17,6200000000000.0
151,10.0,1000.0,0.0311625,1.3715e-07,9.9997,-3.18015473e+19,160000000000.0,4986000000000.0,21944000.0,160000000000000.0,1.2571826448249381e+17,1330268646652.9214,2.95110000103424e+17,10980000002048.0
181,10.0,1000.0,0.0311741,1.3715299999999998e-07,9.9997,-3.180154253e+19,160000000000.0,4987856000000.0,21944479.999999996,160000000000000.0,1.2586693810446192e+17,1330922860922.7808,2.998800001024e+17,15750000001024.0
211,58.6147,100000.0,0.482946,5.45336e-06,9.9997,-3.180149626e+19,1590000001024.0,7.678841404945368e+16,867084240558.4241,1.590000001024e+17,9.623580469868786e+17,10507225864580.754,2.077660000407552e+18,62020000002048.0
241,54.7688,100000.0,0.490155,6.080419999999999e-06,9.9997,-3.180144856e+19,1590000001024.0,7.793464505019187e+16,966786780622.6349,1.590000001024e+17,3.2884304208879534e+18,38269816773460.266,6.847660000202752e+18,109720000000000.0
271,53.4176,100000.0,0.49236,6.4659400000000005e-06,9.9997,-3.180140086e+19,1589999996928.0,7.8285239848747e+16,1028084458013.6632,1.589999996928e+17,5.632563604787083e+18,68270043302139.06,1.1617659999997952e+19,157419999997952.0
301,10.0,1000.0,0.228256,2.01223e-07,9.9997,-3.180093815e+19,15899999997952.0,3629270399532531.5,3199445699.5878954,1.5899999997952e+16,2.776646771933833e+19,412791387930063.5,5.63145600003031e+19,620129999998976.0
331,10.0,1000.0,0.228623,2.01507e-07,9.9997,-3.180046112e+19,15900000002048.0,3635105700468219.5,3203961300.4126863,1.5900000002048e+16,2.7875443091788562e+19,412887447349623.7,5.679159000030413e+19,1097160000000000.0
361,10.0,1000.0,0.228989,2.0179099999999998e-07,9.9997,-3.17999841e+19,15900000002048.0,3640925100468969.0,3208476900.4132676,1.5900000002048e+16,2.7984591039979033e+19,412983640277294.1,5.726861000030618e+19,1574180000002048.0
391,10.0,1000.0,0.23251999999999998,2.04567e-07,9.9997,-3.179535697e+19,159010000003072.0,3.6973005200714296e+16,32528198670.628433,1.59010000003072e+17,2.9052617572738793e+19,413923983303764.25,6.189574000030515e+19,6201310000001024.0
421,42.0136,100000.0,0.49905,2.3629499999999998e-05,9.9997,-3.179058674e+19,159010000003072.0,7.935394050153308e+18,375732679507258.94,1.59010000003072e+19,1.9580171404691204e+20,5828136493391658.0,3.972428100007117e+20,1.0971540000002048e+16
451,30.6908,100000.0,0.499604,4.5159799999999994e-05,9.9997,-3.178581651e+19,159000000000000.0,7.9437036e+18,718040819999999.9,1.59e+19,4.340217051567586e+20,2.297965987448129e+16,8.742658100004045e+20,1.5741769999998976e+16
481,10.0,100000.0,0.499993,1.59606e-06,9.9997,-3.173954524e+19,1590080000000000.0,7.9502886944e+19,253786308480000.03,1.59008e+20,2.747424352706809e+21,5.60087150285186e+16,5.501392810000506e+21,6.201304e+16
511,10.0,1000.0,0.495433,8.652450000000001e-05,9.9997,-3.16918429e+19,1590080000000000.0,7.8777810464e+17,137580876960000.0,1.59008e+18,4.266639891773191e+21,5.881463038126928e+16,8.540031670000505e+21,1.0971538000000205e+17
541,10.0,1000.0,0.495433,8.646620000000001e-05,9.9997,-3.164414056e+19,1590080000000000.0,7.8777810464e+17,137488175296000.0,1.59008e+18,4.290273205186413e+21,6.2940604368534104e+16,8.587734010000496e+21,1.5741772e+17
571,10.0,1000.0,0.49543400000000004,8.600540000000002e-05,9.9997,-3.118142789e+19,1.5900780000002048e+16,7.877787038521015e+18,1367552944212176.2,1.5900780000002048e+19,4.519516458628752e+21,1.028324777047042e+17,9.050446680000492e+21,6.20130390000001e+17
601,10.0,100000.0,0.499988,2.5621e-09,9.9997,-3.070440452e+19,1.5900769999998976e+16,7.950194190759488e+20,4073936281699.738,1.5900769999998975e+21,5.542991691913101e+21,1.4241731689643288e+17,1.1101646280000386e+22,1.09715376e+18
631,11.1221,100000.0,0.499988,1.3847499999999998e-09,9.9997,-3.022738114e+19,1.5900780000002048e+16,7.950199190641023e+20,2201860510500.283,1.5900780000002048e+21,2.9393588263857196e+22,1.424833758096411e+17,5.880398428000062e+22,1.574177140000002e+18
661,13.0038,100000.0,0.499989,1.44776e-09,9.9997,-2.560025441e+19,1.5900779000000102e+17,7.950214591431051e+21,23020511805040.15,1.5900779000000103e+22,2.607444517156772e+23,1.4313322530889197e+17,5.215166572800004e+23,6.201303870000001e+18
691,13.1714,100000.0,0.499989,1.44776e-09,9.9997,-2.083002067e+19,1.5900779000000102e+17,7.950214591431051e+21,23020511805040.15,1.5900779000000103e+22,4.992508914585635e+23,1.4382387119832989e+17,9.985400312800012e+23,1.097153761e+19
721,10.0,1000.0,0.495436,8.511209999999999e-05,9.9997,-1.605978693e+19,1.5900779000000102e+17,7.877818344644051e+19,1.3533486923259086e+16,1.5900779000000102e+20,5.724571651486702e+23,4.282342837478249e+17,1.1449862069000023e+24,1.574177135e+19
751,10.0,1000.0,0.495436,8.511209999999999e-05,9.9997,1.733184926e+19,1.5900778999999898e+17,7.87781834464395e+19,1.353348692325891e+16,1.5900778999999896e+20,5.8900058381609905e+23,3.270266562314723e+18,1.1783778430900032e+24,4.913340753999998e+19
781,10.0,1000.0,0.495436,8.511209999999999e-05,9.9997,2.2102083e+19,1.5900779000000102e+17,7.877818344644051e+19,1.3533486923259086e+16,1.5900779000000102e+20,5.9136392933930996e+23,3.676271173416974e+18,1.1831480768300043e+24,5.390364127999992e+19
811,13.2933,100000.0,0.499989,1.4548599999999997e-09,9.9997,2.687231674e+19,1.5900778999999693e+17,7.950214591430847e+21,23133407335939.547,1.5900778999999692e+22,6.803130758453854e+23,3.9336618949944064e+18,1.3610777948700045e+24,5.8673875019999855e+19
841,13.3466,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.035458737e+19,1.5900769999998976e+16,7.950210091529488e+20,2313339424219.8506,1.5900769999998975e+21,8.544227768476926e+23,3.93416842677988e+18,1.709304857870003e+24,6.215614564999982e+19
871,13.3428,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.083161075e+19,1.5900780000002048e+16,7.950215091421024e+20,2313340879080.2974,1.5900780000002048e+21,8.782734211219747e+23,3.934237827003336e+18,1.7570071958700013e+24,6.263316902999987e+19
901,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.130863412e+19,1.5900779999997952e+16,7.879854139918986e+18,1349111219567826.2,1.5900779999997952e+19,9.013369232412657e+23,3.9356540251040266e+18,1.80313535565e+24,6.311019239999991e+19
931,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.165686119e+19,1590080000000000.0,7.879864051200001e+17,134911291647999.98,1.59008e+18,9.015094920409823e+23,3.9651995597944166e+18,1.8034835827200006e+24,6.345841946999994e+19
961,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.170456352e+19,1590070000001024.0,7.879814494805075e+17,134910443192086.88,1.590070000001024e+18,9.015331315984474e+23,3.969246892604666e+18,1.8035312850500022e+24,6.350612179999993e+19
991,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.175226586e+19,1590080000000000.0,7.879864051200001e+17,134911291647999.98,1.59008e+18,9.015567711608681e+23,3.973294226263371e+18,1.8035789873900038e+24,6.355382413999992e+19
1021,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.178708857e+19,159009999998976.0,7.950325088948802e+18,23133728859.851017,1.59009999998976e+19,9.025894409653924e+23,3.974511410401579e+18,1.8056444990900042e+24,6.358864684999991e+19
1051,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.17918588e+19,159009999998976.0,7.950325088948802e+18,23133728859.851017,1.59009999998976e+19,9.028279472181391e+23,3.97451210440326e+18,1.806121522090003e+24,6.359341707999989e+19
1081,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.179662903e+19,159000000000000.0,7.9498251e+18,23132273999.999996,1.59e+19,9.030664534708861e+23,3.974512798404941e+18,1.8065985450900014e+24,6.3598187309999866e+19
1111,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.180011131e+19,15910000001024.0,7884423240507458.0,1349893496086.8818,1.5910000001024e+16,9.032177361670474e+23,3.9745523627914967e+18,1.8069011212200005e+24,6.3601669589999845e+19
1141,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.180058833e+19,15899999997952.0,7879467598985086.0,1349045039826.236,1.5899999997952e+16,9.032179725609852e+23,3.974592835839605e+18,1.8069015982400026e+24,6.360214660999984e+19
1171,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.180106535e+19,15900000002048.0,7879467601014916.0,1349045040173.7637,1.5900000002048e+16,9.03218208954923e+23,3.9746333088877143e+18,1.8069020752600047e+24,6.360262362999984e+19
1201,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.180141358e+19,1590000001024.0,7.949825105119888e+16,231322740.1489776,1.590000001024e+17,9.032184602354782e+23,3.9746627199978204e+18,1.8069025809000073e+24,6.3602971859999834e+19
1231,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.180146128e+19,1590000001024.0,7.949825105119888e+16,231322740.1489776,1.590000001024e+17,9.032208451830085e+23,3.974662726937499e+18,1.8069073509000074e+24,6.36030195599998e+19
1261,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.180150898e+19,1589999996928.0,7.949825084640338e+16,231322739.55306697,1.589999996928e+17,9.032232301305388e+23,3.974662733877178e+18,1.8069121209000075e+24,6.3603067259999764e+19
1291,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.180154381e+19,160000000000.0,7999824000000000.0,23277759.999999996,1.6e+16,9.032249715922257e+23,3.9746627389444516e+18,1.8069156039000084e+24,6.3603102089999745e+19
1321,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.180154858e+19,160000000000.0,79290240000000.02,13575295999.999998,160000000000000.0,9.032250447458353e+23,3.974663022536799e+18,1.806915750240007e+24,6.360310685999974e+19
1351,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.180155335e+19,160000000000.0,79290240000000.02,13575295999.999998,160000000000000.0,9.032250471096744e+23,3.974663427250312e+18,1.806915755010004e+24,6.360311162999974e+19
1381,10.0029,1000.0,0.49556400000000006,8.484559999999999e-05,9.9997,3.180155683e+19,20000002048.0,9911281014915.074,1696912173.7637887,20000002048000.0,9.032250488342363e+23,3.9746637225130004e+18,1.8069157584900024e+24,6.3603115109999755e+19
1411,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.180155731e+19,20000002048.0,999978102397747.2,2909720.297955327,2000000204800000.0,9.032250579827072e+23,3.9746637479928684e+18,1.806915776790003e+24,6.3603115589999804e+19
1441,13.3542,100000.0,0.499989,1.4548599999999997e-09,9.9997,3.180155778e+19,9999998976.0,499988948801126.4,1454859.8510223357,999999897600000.0,9.032250814821895e+23,3.9746637480612495e+18,1.8069158237900023e+24,6.36031160599998e+19
