Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 4.33356E-14 1.38327E-05 3.86255E-08 2.41207E-23 4.55667E-12 1.59354E-12 4.32898E-24 1.84691E-09 8.40087E-11 4.96137E-06 9.92182E-05 2.15863E-21 2.74671E-13 2.30900E-16 4.01822E-14 1.03203E-13 5.36888E-16 1.00954E-12 2.03831E-04 3.16814E-16 8.85008E-13 1.45385E-17 8.86249E-16 7.40392E-14 7.81595E-07 9.99862E-02 1.99351E-12 1.81905E-10 4.62376E-10 2.99997E-04 6.88192E-04 9.98420E-01 3.21845E-04
2 4.33830E-14 1.38326E-05 3.86255E-08 2.41604E-23 4.55678E-12 1.59441E-12 4.33611E-24 1.84690E-09 8.40498E-11 4.96137E-06 9.92182E-05 2.16219E-21 2.74949E-13 2.31261E-16 4.01830E-14 1.03248E-13 5.37441E-16 1.00959E-12 2.03831E-04 3.17162E-16 8.85286E-13 1.45544E-17 8.86487E-16 7.40797E-14 7.81652E-07 9.99862E-02 1.99351E-12 1.81909E-10 4.62387E-10 2.99997E-04 6.88570E-04 9.98419E-01 3.21845E-04
3 4.33890E-14 1.38326E-05 3.86255E-08 2.41654E-23 4.55679E-12 1.59452E-12 4.33700E-24 1.84690E-09 8.40549E-11 4.96137E-06 9.92182E-05 2.16263E-21 2.74984E-13 2.31306E-16 4.01832E-14 1.03254E-13 5.37510E-16 1.00960E-12 2.03831E-04 3.17205E-16 8.85318E-13 1.45564E-17 8.86517E-16 7.40848E-14 7.81655E-07 9.99862E-02 1.99351E-12 1.81909E-10 4.62388E-10 2.99997E-04 6.88617E-04 9.98419E-01 3.21845E-04
4 4.33919E-14 1.38326E-05 3.86255E-08 2.41679E-23 4.55680E-12 1.59457E-12 4.33745E-24 1.84690E-09 8.40575E-11 4.96137E-06 9.92182E-05 2.16286E-21 2.75001E-13 2.31329E-16 4.01832E-14 1.03257E-13 5.37544E-16 1.00960E-12 2.03831E-04 3.17227E-16 8.85334E-13 1.45574E-17 8.86532E-16 7.40873E-14 7.81656E-07 9.99862E-02 1.99351E-12 1.81910E-10 4.62389E-10 2.99997E-04 6.88641E-04 9.98419E-01 3.21845E-04
5 4.33979E-14 1.38326E-05 3.86255E-08 2.41729E-23 4.55681E-12 1.59468E-12 4.33834E-24 1.84690E-09 8.40626E-11 4.96137E-06 9.92182E-05 2.16330E-21 2.75036E-13 2.31374E-16 4.01833E-14 1.03262E-13 5.37613E-16 1.00960E-12 2.03831E-04 3.17270E-16 8.85367E-13 1.45594E-17 8.86561E-16 7.40924E-14 7.81659E-07 9.99862E-02 1.99351E-12 1.81910E-10 4.62390E-10 2.99997E-04 6.88688E-04 9.98419E-01 3.21845E-04
6 4.34038E-14 1.38326E-05 3.86255E-08 2.41779E-23 4.55682E-12 1.59479E-12 4.33924E-24 1.84690E-09 8.40677E-11 4.96137E-06 9.92182E-05 2.16375E-21 2.75071E-13 2.31419E-16 4.01834E-14 1.03268E-13 5.37682E-16 1.00961E-12 2.03831E-04 3.17314E-16 8.85399E-13 1.45614E-17 8.86591E-16 7.40975E-14 7.81662E-07 9.99862E-02 1.99351E-12 1.81911E-10 4.62391E-10 2.99997E-04 6.88735E-04 9.98419E-01 3.21845E-04
7 4.34068E-14 1.38326E-05 3.86255E-08 2.41803E-23 4.55683E-12 1.59485E-12 4.33968E-24 1.84690E-09 8.40703E-11 4.96137E-06 9.92182E-05 2.16397E-21 2.75089E-13 2.31442E-16 4.01835E-14 1.03271E-13 5.37716E-16 1.00961E-12 2.03831E-04 3.17336E-16 8.85415E-13 1.45624E-17 8.86606E-16 7.41000E-14 7.81663E-07 9.99862E-02 1.99351E-12 1.81911E-10 4.62392E-10 2.99997E-04 6.88759E-04 9.98419E-01 3.21845E-04
8 4.34127E-14 1.38326E-05 3.86255E-08 2.41853E-23 4.55684E-12 1.59495E-12 4.34058E-24 1.84690E-09 8.40755E-11 4.96137E-06 9.92181E-05 2.16442E-21 2.75123E-13 2.31487E-16 4.01836E-14 1.03276E-13 5.37785E-16 1.00962E-12 2.03831E-04 3.17379E-16 8.85448E-13 1.45644E-17 8.86636E-16 7.41051E-14 7.81666E-07 9.99862E-02 1.99351E-12 1.81912E-10 4.62393E-10 2.99997E-04 6.88806E-04 9.98419E-01 3.21845E-04
9 4.34157E-14 1.38326E-05 3.86255E-08 2.41878E-23 4.55685E-12 1.59501E-12 4.34102E-24 1.84690E-09 8.40780E-11 4.96137E-06 9.92181E-05 2.16464E-21 2.75141E-13 2.31509E-16 4.01837E-14 1.03279E-13 5.37819E-16 1.00962E-12 2.03831E-04 3.17401E-16 8.85464E-13 1.45654E-17 8.86651E-16 7.41076E-14 7.81667E-07 9.99862E-02 1.99351E-12 1.81912E-10 4.62394E-10 2.99997E-04 6.88830E-04 9.98419E-01 3.21845E-04
10 4.34217E-14 1.38326E-05 3.86255E-08 2.41928E-23 4.55686E-12 1.59512E-12 4.34192E-24 1.84690E-09 8.40832E-11 4.96137E-06 9.92181E-05 2.16509E-21 2.75176E-13 2.31555E-16 4.01838E-14 1.03285E-13 5.37888E-16 1.00963E-12 2.03831E-04 3.17445E-16 8.85496E-13 1.45674E-17 8.86680E-16 7.41127E-14 7.81669E-07 9.99862E-02 1.99351E-12 1.81912E-10 4.62395E-10 2.99997E-04 6.88877E-04 9.98418E-01 3.21845E-04
11 4.34276E-14 1.38326E-05 3.86255E-08 2.41978E-23 4.55688E-12 1.59523E-12 4.34281E-24 1.84690E-09 8.40883E-11 4.96137E-06 9.92181E-05 2.16553E-21 2.75211E-13 2.31600E-16 4.01839E-14 1.03290E-13 5.37957E-16 1.00963E-12 2.03831E-04 3.17488E-16 8.85528E-13 1.45694E-17 8.86710E-16 7.41178E-14 7.81671E-07 9.99862E-02 1.99351E-12 1.81913E-10 4.62397E-10 2.99997E-04 6.88925E-04 9.98418E-01 3.21845E-04
12 4.34306E-14 1.38326E-05 3.86255E-08 2.42003E-23 4.55688E-12 1.59528E-12 4.34326E-24 1.84690E-09 8.40909E-11 4.96137E-06 9.92181E-05 2.16575E-21 2.75228E-13 2.31622E-16 4.01839E-14 1.03293E-13 5.37991E-16 1.00964E-12 2.03831E-04 3.17510E-16 8.85544E-13 1.45704E-17 8.86725E-16 7.41203E-14 7.81673E-07 9.99862E-02 1.99351E-12 1.81913E-10 4.62397E-10 2.99997E-04 6.88948E-04 9.98418E-01 3.21845E-04
