Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
1 0.00000E+00 2.99528E-22 4.53828E-23 3.51054E-25 9.40715E-32 1.70580E-27 2.23217E-29 3.45263E-22
2 0.00000E+00 2.99527E-22 4.53828E-23 3.51080E-25 9.41253E-32 1.70673E-27 2.23339E-29 3.45263E-22
3 0.00000E+00 2.99527E-22 4.53827E-23 3.51081E-25 9.41320E-32 1.70685E-27 2.23355E-29 3.45263E-22
4 0.00000E+00 2.99527E-22 4.53827E-23 3.51082E-25 9.41354E-32 1.70691E-27 2.23362E-29 3.45263E-22
5 0.00000E+00 2.99527E-22 4.53827E-23 3.51083E-25 9.41421E-32 1.70702E-27 2.23378E-29 3.45263E-22
6 0.00000E+00 2.99527E-22 4.53827E-23 3.51084E-25 9.41489E-32 1.70714E-27 2.23393E-29 3.45263E-22
7 0.00000E+00 2.99527E-22 4.53827E-23 3.51085E-25 9.41522E-32 1.70720E-27 2.23401E-29 3.45263E-22
8 0.00000E+00 2.99527E-22 4.53827E-23 3.51086E-25 9.41590E-32 1.70732E-27 2.23416E-29 3.45263E-22
9 0.00000E+00 2.99527E-22 4.53827E-23 3.51086E-25 9.41623E-32 1.70738E-27 2.23424E-29 3.45263E-22
10 0.00000E+00 2.99527E-22 4.53827E-23 3.51087E-25 9.41691E-32 1.70749E-27 2.23439E-29 3.45263E-22
11 0.00000E+00 2.99527E-22 4.53827E-23 3.51088E-25 9.41758E-32 1.70761E-27 2.23454E-29 3.45263E-22
12 0.00000E+00 2.99527E-22 4.53827E-23 3.51089E-25 9.41792E-32 1.70767E-27 2.23462E-29 3.45263E-22
13 0.00000E+00 2.99527E-22 4.53827E-23 3.51090E-25 9.41859E-32 1.70779E-27 2.23477E-29 3.45263E-22
14 0.00000E+00 2.99527E-22 4.53827E-23 3.51090E-25 9.41893E-32 1.70784E-27 2.23485E-29 3.45263E-22
15 0.00000E+00 2.99527E-22 4.53827E-23 3.51091E-25 9.41960E-32 1.70796E-27 2.23500E-29 3.45263E-22
16 0.00000E+00 2.99527E-22 4.53827E-23 3.51092E-25 9.42028E-32 1.70808E-27 2.23516E-29 3.45262E-22
17 0.00000E+00 2.99527E-22 4.53827E-23 3.51092E-25 9.42061E-32 1.70814E-27 2.23523E-29 3.45262E-22
18 0.00000E+00 2.99527E-22 4.53826E-23 3.51093E-25 9.42129E-32 1.70825E-27 2.23539E-29 3.45262E-22
19 0.00000E+00 2.99527E-22 4.53826E-23 3.51094E-25 9.42163E-32 1.70831E-27 2.23546E-29 3.45262E-22
20 0.00000E+00 2.99527E-22 4.53826E-23 3.51095E-25 9.42230E-32 1.70843E-27 2.23561E-29 3.45262E-22
21 0.00000E+00 2.99527E-22 4.53826E-23 3.51095E-25 9.42264E-32 1.70849E-27 2.23571E-29 3.45262E-22
22 0.00000E+00 2.99527E-22 4.53826E-23 3.51096E-25 9.42331E-32 1.70861E-27 2.23586E-29 3.45262E-22
23 0.00000E+00 2.99527E-22 4.53826E-23 3.51096E-25 9.42399E-32 1.70872E-27 2.23600E-29 3.45262E-22
24 0.00000E+00 2.99527E-22 4.53826E-23 3.51097E-25 9.42432E-32 1.70878E-27 2.23608E-29 3.45262E-22
25 0.00000E+00 2.99527E-22 4.53826E-23 3.51098E-25 9.42500E-32 1.70890E-27 2.23625E-29 3.45262E-22
26 0.00000E+00 2.99527E-22 4.53826E-23 3.51098E-25 9.42534E-32 1.70896E-27 2.23631E-29 3.45262E-22
27 0.00000E+00 2.99527E-22 4.53826E-23 3.51099E-25 9.42601E-32 1.70907E-27 2.23647E-29 3.45262E-22
28 0.00000E+00 2.99527E-22 4.53826E-23 3.51099E-25 9.42669E-32 1.70919E-27 2.23662E-29 3.45262E-22
29 0.00000E+00 2.99527E-22 4.53826E-23 3.51100E-25 9.42702E-32 1.70925E-27 2.23669E-29 3.45262E-22
30 0.00000E+00 2.99527E-22 4.53826E-23 3.51100E-25 9.42770E-32 1.70937E-27 2.23685E-29 3.45262E-22
31 0.00000E+00 2.99527E-22 4.53826E-23 3.51101E-25 9.42804E-32 1.70943E-27 2.23692E-29 3.45262E-22
32 0.00000E+00 2.99527E-22 4.53826E-23 3.51101E-25 9.42871E-32 1.70954E-27 2.23707E-29 3.45262E-22
33 0.00000E+00 2.99527E-22 4.53826E-23 3.51102E-25 9.42939E-32 1.70966E-27 2.23723E-29 3.45262E-22
34 0.00000E+00 2.99527E-22 4.53825E-23 3.51102E-25 9.42973E-32 1.70972E-27 2.23730E-29 3.45262E-22
35 0.00000E+00 2.99527E-22 4.53825E-23 3.51103E-25 9.43040E-32 1.70984E-27 2.23746E-29 3.45262E-22
36 0.00000E+00 2.99527E-22 4.53825E-23 3.51103E-25 9.43074E-32 1.70990E-27 2.23754E-29 3.45262E-22
37 0.00000E+00 2.99527E-22 4.53825E-23 3.51104E-25 9.43142E-32 1.71001E-27 2.23770E-29 3.45262E-22
38 0.00000E+00 2.99526E-22 4.53825E-23 3.51105E-25 9.43209E-32 1.71013E-27 2.23784E-29 3.45262E-22
39 0.00000E+00 2.99526E-22 4.53825E-23 3.51105E-25 9.43243E-32 1.71019E-27 2.23792E-29 3.45262E-22
40 0.00000E+00 2.99526E-22 4.53825E-23 3.51105E-25 9.43311E-32 1.71031E-27 2.23808E-29 3.45262E-22
41 0.00000E+00 2.99526E-22 4.53825E-23 3.51106E-25 9.43344E-32 1.71037E-27 2.23815E-29 3.45262E-22
42 0.00000E+00 2.99526E-22 4.53825E-23 3.51106E-25 9.43412E-32 1.71048E-27 2.23830E-29 3.45262E-22
43 0.00000E+00 2.99526E-22 4.53825E-23 3.51107E-25 9.43446E-32 1.71054E-27 2.23839E-29 3.45262E-22
44 0.00000E+00 2.99526E-22 4.53825E-23 3.51107E-25 9.43513E-32 1.71066E-27 2.23853E-29 3.45262E-22
45 0.00000E+00 2.99526E-22 4.53825E-23 3.51108E-25 9.43581E-32 1.71078E-27 2.23870E-29 3.45262E-22
46 0.00000E+00 2.99526E-22 4.53825E-23 3.51108E-25 9.43615E-32 1.71084E-27 2.23878E-29 3.45262E-22
47 0.00000E+00 2.99526E-22 4.53825E-23 3.51109E-25 9.43683E-32 1.71095E-27 2.23892E-29 3.45262E-22
48 0.00000E+00 2.99526E-22 4.53825E-23 3.51109E-25 9.43717E-32 1.71101E-27 2.23900E-29 3.45262E-22
49 0.00000E+00 2.99526E-22 4.53825E-23 3.51109E-25 9.43784E-32 1.71113E-27 2.23915E-29 3.45262E-22
50 0.00000E+00 2.99526E-22 4.53824E-23 3.51110E-25 9.43852E-32 1.71125E-27 2.23931E-29 3.45261E-22
51 0.00000E+00 2.99526E-22 4.53824E-23 3.51110E-25 9.43886E-32 1.71131E-27 2.23938E-29 3.45261E-22
52 0.00000E+00 2.99526E-22 4.53824E-23 3.51111E-25 9.43953E-32 1.71142E-27 2.23954E-29 3.45261E-22
53 0.00000E+00 2.99526E-22 4.53824E-23 3.51111E-25 9.43987E-32 1.71148E-27 2.23962E-29 3.45261E-22
54 0.00000E+00 2.99526E-22 4.53824E-23 3.51112E-25 9.44055E-32 1.71160E-27 2.23978E-29 3.45261E-22
55 0.00000E+00 2.99526E-22 4.53824E-23 3.51112E-25 9.44123E-32 1.71172E-27 2.23992E-29 3.45261E-22
56 0.00000E+00 2.99526E-22 4.53824E-23 3.51112E-25 9.44157E-32 1.71178E-27 2.24000E-29 3.45261E-22
57 0.00000E+00 2.99526E-22 4.53824E-23 3.51113E-25 9.44224E-32 1.71189E-27 2.24017E-29 3.45261E-22
58 0.00000E+00 2.99526E-22 4.53824E-23 3.51113E-25 9.44258E-32 1.71195E-27 2.24024E-29 3.45261E-22
59 0.00000E+00 2.99526E-22 4.53824E-23 3.51114E-25 9.44326E-32 1.71207E-27 2.24039E-29 3.45261E-22
60 0.00000E+00 2.99526E-22 4.53824E-23 3.51114E-25 9.44360E-32 1.71213E-27 2.24048E-29 3.45261E-22
61 0.00000E+00 2.99526E-22 4.53824E-23 3.51114E-25 9.44428E-32 1.71225E-27 2.24061E-29 3.45261E-22
62 0.00000E+00 2.99526E-22 4.53824E-23 3.51115E-25 9.44495E-32 1.71237E-27 2.24078E-29 3.45261E-22
63 0.00000E+00 2.99526E-22 4.53824E-23 3.51115E-25 9.44529E-32 1.71242E-27 2.24085E-29 3.45261E-22
64 0.00000E+00 2.99526E-22 4.53824E-23 3.51116E-25 9.44597E-32 1.71254E-27 2.24102E-29 3.45261E-22
65 0.00000E+00 2.99526E-22 4.53823E-23 3.51116E-25 9.44631E-32 1.71260E-27 2.24109E-29 3.45261E-22
66 0.00000E+00 2.99526E-22 4.53823E-23 3.51116E-25 9.44699E-32 1.71272E-27 2.24124E-29 3.45261E-22
67 0.00000E+00 2.99526E-22 4.53823E-23 3.51117E-25 9.44767E-32 1.71284E-27 2.24138E-29 3.45261E-22
68 0.00000E+00 2.99526E-22 4.53823E-23 3.51117E-25 9.44801E-32 1.71289E-27 2.24146E-29 3.45261E-22
69 0.00000E+00 2.99526E-22 4.53823E-23 3.51118E-25 9.44869E-32 1.71301E-27 2.24162E-29 3.45261E-22
70 0.00000E+00 2.99526E-22 4.53823E-23 3.51118E-25 9.44902E-32 1.71307E-27 2.24169E-29 3.45261E-22
71 0.00000E+00 2.99526E-22 4.53823E-23 3.51118E-25 9.44970E-32 1.71319E-27 2.24184E-29 3.45261E-22
72 0.00000E+00 2.99526E-22 4.53823E-23 3.51119E-25 9.45038E-32 1.71331E-27 2.24201E-29 3.45261E-22
73 0.00000E+00 2.99526E-22 4.53823E-23 3.51119E-25 9.45072E-32 1.71337E-27 2.24209E-29 3.45261E-22
74 0.00000E+00 2.99526E-22 4.53823E-23 3.51119E-25 9.45140E-32 1.71348E-27 2.24223E-29 3.45261E-22
75 0.00000E+00 2.99526E-22 4.53823E-23 3.51120E-25 9.45174E-32 1.71354E-27 2.24231E-29 3.45261E-22
76 0.00000E+00 2.99526E-22 4.53823E-23 3.51120E-25 9.45242E-32 1.71366E-27 2.24246E-29 3.45261E-22
77 0.00000E+00 2.99526E-22 4.53823E-23 3.51120E-25 9.45310E-32 1.71378E-27 2.24263E-29 3.45261E-22
78 0.00000E+00 2.99526E-22 4.53823E-23 3.51121E-25 9.45344E-32 1.71384E-27 2.24269E-29 3.45261E-22
79 0.00000E+00 2.99526E-22 4.53823E-23 3.51121E-25 9.45412E-32 1.71396E-27 2.24286E-29 3.45261E-22
80 0.00000E+00 2.99526E-22 4.53822E-23 3.51121E-25 9.45446E-32 1.71402E-27 2.24293E-29 3.45261E-22
81 0.00000E+00 2.99525E-22 4.53822E-23 3.51122E-25 9.45514E-32 1.71413E-27 2.24308E-29 3.45261E-22
82 0.00000E+00 2.99525E-22 4.53822E-23 3.51122E-25 9.45548E-32 1.71419E-27 2.24316E-29 3.45261E-22
83 0.00000E+00 2.99525E-22 4.53822E-23 3.51122E-25 9.45615E-32 1.71431E-27 2.24332E-29 3.45261E-22
84 0.00000E+00 2.99525E-22 4.53822E-23 3.51123E-25 9.45683E-32 1.71443E-27 2.24346E-29 3.45261E-22
85 0.00000E+00 2.99525E-22 4.53822E-23 3.51123E-25 9.45717E-32 1.71449E-27 2.24355E-29 3.45260E-22
