Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
1 1.60141E-22 1.45861E-22 8.13978E-33 3.89103E-23 6.38649E-25 3.52834E-26 7.00000E-26 4.59952E-27 -2.45702E-25 0.00000E+00 3.45415E-22
2 1.60141E-22 1.45861E-22 8.14424E-33 3.89103E-23 6.38649E-25 3.53027E-26 7.00000E-26 4.60205E-27 -2.45702E-25 0.00000E+00 3.45415E-22
3 1.60141E-22 1.45861E-22 8.14479E-33 3.89103E-23 6.38649E-25 3.53052E-26 7.00000E-26 4.60236E-27 -2.45702E-25 0.00000E+00 3.45415E-22
4 1.60141E-22 1.45861E-22 8.14507E-33 3.89103E-23 6.38649E-25 3.53064E-26 7.00000E-26 4.60252E-27 -2.45702E-25 0.00000E+00 3.45415E-22
5 1.60141E-22 1.45861E-22 8.14563E-33 3.89103E-23 6.38648E-25 3.53088E-26 7.00000E-26 4.60284E-27 -2.45702E-25 0.00000E+00 3.45415E-22
6 1.60141E-22 1.45861E-22 8.14619E-33 3.89103E-23 6.38648E-25 3.53112E-26 7.00000E-26 4.60315E-27 -2.45702E-25 0.00000E+00 3.45415E-22
7 1.60141E-22 1.45861E-22 8.14647E-33 3.89103E-23 6.38648E-25 3.53124E-26 7.00000E-26 4.60331E-27 -2.45702E-25 0.00000E+00 3.45415E-22
8 1.60141E-22 1.45861E-22 8.14703E-33 3.89103E-23 6.38648E-25 3.53149E-26 7.00000E-26 4.60363E-27 -2.45702E-25 0.00000E+00 3.45415E-22
9 1.60141E-22 1.45861E-22 8.14731E-33 3.89103E-23 6.38648E-25 3.53161E-26 7.00000E-26 4.60379E-27 -2.45702E-25 0.00000E+00 3.45415E-22
10 1.60141E-22 1.45861E-22 8.14786E-33 3.89103E-23 6.38648E-25 3.53185E-26 7.00000E-26 4.60410E-27 -2.45702E-25 0.00000E+00 3.45415E-22
11 1.60140E-22 1.45861E-22 8.14842E-33 3.89102E-23 6.38648E-25 3.53209E-26 7.00000E-26 4.60442E-27 -2.45702E-25 0.00000E+00 3.45415E-22
12 1.60140E-22 1.45861E-22 8.14870E-33 3.89102E-23 6.38648E-25 3.53221E-26 7.00000E-26 4.60458E-27 -2.45702E-25 0.00000E+00 3.45415E-22
13 1.60140E-22 1.45861E-22 8.14926E-33 3.89102E-23 6.38648E-25 3.53246E-26 7.00000E-26 4.60490E-27 -2.45702E-25 0.00000E+00 3.45415E-22
14 1.60140E-22 1.45861E-22 8.14954E-33 3.89102E-23 6.38648E-25 3.53258E-26 7.00000E-26 4.60505E-27 -2.45702E-25 0.00000E+00 3.45415E-22
15 1.60140E-22 1.45861E-22 8.15010E-33 3.89102E-23 6.38648E-25 3.53282E-26 7.00000E-26 4.60537E-27 -2.45702E-25 0.00000E+00 3.45414E-22
16 1.60140E-22 1.45861E-22 8.15065E-33 3.89102E-23 6.38648E-25 3.53306E-26 7.00000E-26 4.60569E-27 -2.45702E-25 0.00000E+00 3.45414E-22
17 1.60140E-22 1.45861E-22 8.15093E-33 3.89102E-23 6.38648E-25 3.53318E-26 7.00000E-26 4.60585E-27 -2.45702E-25 0.00000E+00 3.45414E-22
18 1.60140E-22 1.45861E-22 8.15149E-33 3.89102E-23 6.38648E-25 3.53343E-26 7.00000E-26 4.60616E-27 -2.45702E-25 0.00000E+00 3.45414E-22
19 1.60140E-22 1.45861E-22 8.15177E-33 3.89102E-23 6.38648E-25 3.53355E-26 7.00000E-26 4.60632E-27 -2.45702E-25 0.00000E+00 3.45414E-22
20 1.60140E-22 1.45861E-22 8.15233E-33 3.89102E-23 6.38648E-25 3.53379E-26 7.00000E-26 4.60664E-27 -2.45702E-25 0.00000E+00 3.45414E-22
21 1.60140E-22 1.45861E-22 8.15261E-33 3.89102E-23 6.38648E-25 3.53391E-26 7.00000E-26 4.60680E-27 -2.45702E-25 0.00000E+00 3.45414E-22
22 1.60140E-22 1.45861E-22 8.15317E-33 3.89102E-23 6.38648E-25 3.53415E-26 7.00000E-26 4.60711E-27 -2.45702E-25 0.00000E+00 3.45414E-22
23 1.60140E-22 1.45861E-22 8.15373E-33 3.89102E-23 6.38648E-25 3.53440E-26 7.00000E-26 4.60743E-27 -2.45702E-25 0.00000E+00 3.45414E-22
24 1.60140E-22 1.45861E-22 8.15401E-33 3.89102E-23 6.38648E-25 3.53452E-26 7.00000E-26 4.60759E-27 -2.45702E-25 0.00000E+00 3.45414E-22
25 1.60140E-22 1.45861E-22 8.15457E-33 3.89102E-23 6.38648E-25 3.53476E-26 7.00000E-26 4.60791E-27 -2.45702E-25 0.00000E+00 3.45414E-22
