Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 9.98420E+02 9.09368E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57813E-05 4.92197E-06 2.53523E-18 0.00000E+00 2.34113E-04 3.66768E-04 1.80715E-04 0.00000E+00 1.90625E-20 1.29057E-07 5.13186E-08 1.51986E-09 8.62547E-12 5.77011E-13 1.00923E-13 1.78165E-14 3.27115E-15 5.44132E-16 8.83646E-17 1.30221E-17 1.87164E-18 2.46006E-19 3.40858E-20 4.91818E-21 3.93176E-22 6.29627E-23 1.85308E-23 7.06012E-24 8.08440E-24 9.63536E-24 9.37041E-24 5.72403E-24 4.14560E-24 5.08102E-24 1.00021E-23 1.01879E-23 6.78385E-24 0.00000E+00 1.18746E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.70141E-24 1.73474E-24 7.99312E-25 0.00000E+00 1.44595E-25 1.74524E-24 4.57743E-01 8.23657E-04 2.04738E-12 7.40944E-16 1.11537E-16 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.96715E-17 1.80960E-17 7.38202E-24 0.00000E+00 7.23783E-22 0.00000E+00 9.88487E-19 0.00000E+00 0.00000E+00 2.70136E-17 1.24331E-25 1.58753E-20 1.93547E-23 0.00000E+00 1.11324E-26 0.00000E+00 0.00000E+00 5.25001E-77 6.69969E-17 2.29625E-01 4.02143E-07 0.00000E+00 1.08420E-19 1.32719E-19 4.03188E-19 2.12775E-18 2.43810E-17 0.00000E+00 1.90074E-17 0.00000E+00 4.82915E-19 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.01195E-26 0.00000E+00 0.00000E+00 6.54313E-25 0.00000E+00 0.00000E+00 0.00000E+00
2 9.98419E+02 9.09367E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92196E-06 2.27791E-17 9.18797E-20 2.34130E-04 3.66794E-04 1.80728E-04 0.00000E+00 5.35474E-20 1.29060E-07 5.13199E-08 1.51992E-09 8.62780E-12 5.77340E-13 1.00981E-13 1.78267E-14 3.27303E-15 5.44443E-16 8.84151E-17 1.30296E-17 1.87271E-18 2.46149E-19 3.41067E-20 4.92350E-21 3.89660E-22 5.88655E-23 4.98570E-24 3.58014E-24 3.25056E-24 1.83531E-24 1.77553E-24 0.00000E+00 5.37506E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.07128E-25 0.00000E+00 5.79753E-24 0.00000E+00 9.56428E-25 6.62391E-26 0.00000E+00 0.00000E+00 1.42212E-24 6.49830E-24 1.72173E-23 3.45614E-23 5.17925E-23 4.57994E-01 8.24109E-04 2.04592E-12 0.00000E+00 4.79624E-17 0.00000E+00 7.28184E-19 1.39600E-17 0.00000E+00 0.00000E+00 0.00000E+00 3.58378E-24 5.24035E-20 0.00000E+00 3.95035E-19 0.00000E+00 2.15824E-18 3.02438E-24 0.00000E+00 0.00000E+00 0.00000E+00 1.10603E-23 0.00000E+00 1.13209E-26 1.16467E-18 1.86030E-18 7.40737E-77 7.18962E-18 2.29751E-01 4.02364E-07 0.00000E+00 0.00000E+00 2.12341E-19 0.00000E+00 0.00000E+00 2.54381E-17 0.00000E+00 0.00000E+00 0.00000E+00 4.24469E-19 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.76705E-28 0.00000E+00 0.00000E+00 2.15519E-24 3.76506E-19 0.00000E+00 0.00000E+00
3 9.98419E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92196E-06 0.00000E+00 0.00000E+00 2.34130E-04 3.66795E-04 1.80729E-04 6.73603E-19 0.00000E+00 1.29060E-07 5.13201E-08 1.51993E-09 8.62809E-12 5.77381E-13 1.00988E-13 1.78280E-14 3.27326E-15 5.44482E-16 8.84214E-17 1.30305E-17 1.87284E-18 2.46160E-19 3.41045E-20 4.92207E-21 3.82338E-22 5.54599E-23 1.00490E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.20371E-24 0.00000E+00 3.44928E-25 0.00000E+00 6.33310E-24 4.49376E-24 5.81611E-26 0.00000E+00 0.00000E+00 6.72730E-24 8.61875E-24 1.25773E-24 0.00000E+00 9.43988E-24 4.58026E-01 8.24165E-04 2.04956E-12 6.99961E-16 3.48029E-17 0.00000E+00 5.51101E-20 0.00000E+00 8.87182E-18 0.00000E+00 2.61157E-17 0.00000E+00 3.88444E-20 0.00000E+00 0.00000E+00 3.96073E-18 2.08412E-17 2.69790E-22 2.16976E-17 1.25795E-25 4.62394E-20 0.00000E+00 0.00000E+00 3.47272E-26 1.96258E-18 0.00000E+00 7.87123E-77 4.62040E-17 2.29767E-01 4.02391E-07 0.00000E+00 0.00000E+00 0.00000E+00 1.79740E-18 1.51111E-18 3.47893E-17 3.00061E-19 0.00000E+00 0.00000E+00 0.00000E+00 6.98887E-18 1.99144E-22 2.57837E-18 6.38186E-20 7.07781E-18 1.60912E-24 1.20412E-26 0.00000E+00 3.44700E-18 8.23303E-24 0.00000E+00 7.79588E-35 9.21572E-19
4 9.98419E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92196E-06 0.00000E+00 0.00000E+00 2.34131E-04 3.66796E-04 1.80729E-04 0.00000E+00 4.11145E-20 1.29060E-07 5.13202E-08 1.51993E-09 8.62824E-12 5.77402E-13 1.00992E-13 1.78286E-14 3.27338E-15 5.44501E-16 8.84245E-17 1.30310E-17 1.87291E-18 2.46171E-19 3.41034E-20 4.91564E-21 3.76820E-22 4.81380E-23 0.00000E+00 0.00000E+00 3.06315E-24 0.00000E+00 2.37007E-24 0.00000E+00 1.58328E-25 3.33619E-24 6.26848E-25 2.26021E-24 4.57777E-24 0.00000E+00 0.00000E+00 0.00000E+00 1.25208E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.17150E-23 4.58042E-01 8.24194E-04 2.04994E-12 5.10226E-16 6.65294E-17 0.00000E+00 0.00000E+00 0.00000E+00 2.49451E-18 5.71307E-17 7.11406E-17 0.00000E+00 0.00000E+00 0.00000E+00 1.03857E-18 2.19805E-19 1.71355E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.60050E-19 0.00000E+00 0.00000E+00 0.00000E+00 2.29775E-01 4.02405E-07 0.00000E+00 0.00000E+00 0.00000E+00 4.52146E-18 0.00000E+00 1.19669E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.40960E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
5 9.98419E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92196E-06 0.00000E+00 0.00000E+00 2.34132E-04 3.66797E-04 1.80730E-04 1.87988E-19 0.00000E+00 1.29061E-07 5.13203E-08 1.51994E-09 8.62853E-12 5.77443E-13 1.00999E-13 1.78299E-14 3.27361E-15 5.44540E-16 8.84309E-17 1.30319E-17 1.87305E-18 2.46192E-19 3.41038E-20 4.92142E-21 3.95728E-22 5.93696E-23 1.34417E-24 2.85636E-24 1.65113E-24 3.52198E-25 1.62043E-24 5.60609E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.84338E-24 1.23916E-24 5.15211E-24 0.00000E+00 9.31548E-24 3.55187E-24 5.37748E-24 6.13115E-24 4.30837E-24 0.00000E+00 1.00498E-23 0.00000E+00 0.00000E+00 4.58073E-01 8.24250E-04 2.05087E-12 1.99927E-16 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.46076E-16 0.00000E+00 0.00000E+00 0.00000E+00 4.03251E-22 0.00000E+00 0.00000E+00 0.00000E+00 9.45700E-23 1.25666E-17 9.46128E-26 1.39893E-20 0.00000E+00 0.00000E+00 1.22747E-27 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.29791E-01 4.02433E-07 1.59768E-15 1.40838E-16 2.87462E-20 1.30341E-17 8.84980E-18 0.00000E+00 1.06461E-19 2.00781E-17 1.05466E-23 9.53971E-20 0.00000E+00 1.33176E-21 1.63240E-17 1.19802E-19 0.00000E+00 0.00000E+00 1.26943E-26 0.00000E+00 2.42251E-18 3.39112E-24 0.00000E+00 0.00000E+00 0.00000E+00
6 9.98419E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92195E-06 0.00000E+00 0.00000E+00 2.34133E-04 3.66799E-04 1.80731E-04 0.00000E+00 3.53615E-20 1.29061E-07 5.13205E-08 1.51995E-09 8.62882E-12 5.77484E-13 1.01007E-13 1.78312E-14 3.27384E-15 5.44579E-16 8.84372E-17 1.30328E-17 1.87318E-18 2.46207E-19 3.41143E-20 4.92315E-21 3.83211E-22 6.16120E-23 0.00000E+00 0.00000E+00 0.00000E+00 2.63664E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.25227E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.75534E-24 4.76841E-24 1.48674E-23 6.76608E-24 1.97853E-23 1.34861E-23 0.00000E+00 2.00838E-23 2.44656E-23 5.92654E-23 4.58104E-01 8.24307E-04 2.05212E-12 7.95588E-16 4.27311E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.25091E-18 1.93444E-22 0.00000E+00 0.00000E+00 6.61480E-20 0.00000E+00 1.69241E-21 3.29428E-27 4.48716E-19 2.44835E-18 6.08496E-77 2.62546E-17 2.29806E-01 4.02460E-07 0.00000E+00 6.70037E-17 0.00000E+00 0.00000E+00 6.13591E-18 7.80626E-18 0.00000E+00 2.87246E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.65818E-19 0.00000E+00 1.25019E-26 0.00000E+00 0.00000E+00 7.93415E-24 6.40780E-19 0.00000E+00 1.14654E-17
7 9.98419E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92195E-06 2.01990E-17 2.75021E-19 2.34133E-04 3.66799E-04 1.80731E-04 1.38119E-19 0.00000E+00 1.29061E-07 5.13206E-08 1.51995E-09 8.62897E-12 5.77505E-13 1.01010E-13 1.78318E-14 3.27396E-15 5.44599E-16 8.84404E-17 1.30333E-17 1.87325E-18 2.46216E-19 3.41072E-20 4.91965E-21 3.86390E-22 5.83550E-23 6.84040E-24 4.42348E-24 9.11191E-25 1.92901E-24 0.00000E+00 1.60589E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.05659E-24 1.39910E-24 0.00000E+00 8.31220E-25 0.00000E+00 0.00000E+00 0.00000E+00 3.53167E-24 5.86377E-24 2.18888E-23 2.73995E-23 2.13787E-23 0.00000E+00 4.58120E-01 8.24335E-04 2.04997E-12 1.81712E-16 1.07878E-17 0.00000E+00 0.00000E+00 0.00000E+00 9.74511E-18 0.00000E+00 0.00000E+00 6.70307E-24 1.83601E-19 8.98360E-21 0.00000E+00 6.58145E-18 1.29579E-17 5.03197E-22 3.89059E-17 1.38297E-25 1.32554E-19 0.00000E+00 0.00000E+00 9.27227E-27 5.62091E-18 0.00000E+00 7.91255E-77 3.89974E-18 2.29814E-01 4.02474E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.07682E-19 0.00000E+00 0.00000E+00 1.83171E-20 2.25395E-18 0.00000E+00 4.43845E-19 5.04779E-20 0.00000E+00 0.00000E+00 2.96075E-26 0.00000E+00 0.00000E+00 1.00990E-23 0.00000E+00 4.60794E-35 1.56938E-17
8 9.98419E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92195E-06 3.76739E-17 9.89991E-20 2.34134E-04 3.66800E-04 1.80731E-04 0.00000E+00 0.00000E+00 1.29062E-07 5.13207E-08 1.51996E-09 8.62926E-12 5.77546E-13 1.01017E-13 1.78331E-14 3.27420E-15 5.44638E-16 8.84467E-17 1.30342E-17 1.87338E-18 2.46236E-19 3.41158E-20 4.92211E-21 3.84678E-22 5.31011E-23 6.24263E-24 0.00000E+00 0.00000E+00 2.52032E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.23592E-24 0.00000E+00 0.00000E+00 1.92659E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.29501E-23 4.58152E-01 8.24391E-04 2.04604E-12 0.00000E+00 9.26993E-17 8.17544E-21 0.00000E+00 2.75777E-17 9.18777E-18 0.00000E+00 3.31461E-17 0.00000E+00 9.52515E-20 5.53301E-21 0.00000E+00 6.20579E-18 4.99495E-17 1.80817E-23 0.00000E+00 0.00000E+00 1.71028E-20 0.00000E+00 7.92389E-20 1.54483E-26 1.35335E-18 4.20679E-18 5.21038E-77 1.02582E-16 2.29830E-01 4.02502E-07 0.00000E+00 8.95551E-17 0.00000E+00 0.00000E+00 0.00000E+00 4.62141E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.32426E-18 0.00000E+00 2.17992E-17 4.94774E-25 0.00000E+00 0.00000E+00 0.00000E+00 1.08616E-23 0.00000E+00 9.65786E-35 4.27582E-18
9 9.98419E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92195E-06 4.56911E-17 4.44414E-19 2.34134E-04 3.66801E-04 1.80732E-04 0.00000E+00 2.29637E-20 1.29062E-07 5.13208E-08 1.51996E-09 8.62940E-12 5.77566E-13 1.01021E-13 1.78337E-14 3.27431E-15 5.44657E-16 8.84498E-17 1.30347E-17 1.87345E-18 2.46239E-19 3.41068E-20 4.91842E-21 3.90216E-22 5.43484E-23 8.66278E-24 0.00000E+00 2.17135E-24 8.85342E-24 6.13923E-24 4.94854E-24 0.00000E+00 3.83702E-24 1.50088E-24 2.95652E-24 6.05522E-24 6.40257E-24 0.00000E+00 5.75957E-25 1.37083E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.58167E-01 8.24420E-04 2.04743E-12 2.17708E-16 0.00000E+00 0.00000E+00 7.30884E-19 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 9.11353E-24 0.00000E+00 1.12662E-21 8.37027E-19 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.59356E-20 0.00000E+00 0.00000E+00 3.27103E-18 0.00000E+00 4.11285E-17 2.29838E-01 4.02515E-07 6.83481E-16 1.49620E-17 0.00000E+00 0.00000E+00 0.00000E+00 7.88757E-18 0.00000E+00 0.00000E+00 9.21272E-22 0.00000E+00 0.00000E+00 8.63990E-22 7.65040E-18 9.62441E-20 9.38174E-18 1.20927E-24 0.00000E+00 0.00000E+00 3.26362E-18 0.00000E+00 0.00000E+00 1.46984E-34 0.00000E+00
10 9.98418E+02 9.09366E-67 8.89704E-02 1.02478E-02 2.99977E-01 1.57812E-05 4.92195E-06 0.00000E+00 0.00000E+00 2.34135E-04 3.66802E-04 1.80732E-04 0.00000E+00 4.21777E-20 1.29062E-07 5.13210E-08 1.51997E-09 8.62970E-12 5.77608E-13 1.01028E-13 1.78350E-14 3.27455E-15 5.44696E-16 8.84562E-17 1.30356E-17 1.87358E-18 2.46256E-19 3.41089E-20 4.91962E-21 3.87037E-22 5.58605E-23 8.16841E-24 0.00000E+00 3.13424E-24 2.01625E-24 2.36684E-24 4.64481E-24 4.72075E-24 4.54788E-24 3.71100E-24 2.70611E-24 1.37729E-24 5.46795E-24 0.00000E+00 0.00000E+00 5.08668E-24 0.00000E+00 4.58988E-24 5.46957E-24 8.35339E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.58199E-01 8.24476E-04 2.04809E-12 8.10766E-16 1.90982E-16 8.38803E-21 0.00000E+00 0.00000E+00 1.43149E-18 0.00000E+00 4.77117E-17 1.81535E-23 0.00000E+00 1.84540E-20 0.00000E+00 8.42798E-20 0.00000E+00 5.72176E-23 9.59688E-18 1.83931E-25 4.81485E-20 7.91185E-23 5.63988E-20 2.47466E-27 1.49014E-18 1.04374E-17 6.76387E-77 8.13490E-18 2.29854E-01 4.02543E-07 1.31319E-15 0.00000E+00 9.55030E-20 8.79220E-19 1.66357E-18 0.00000E+00 0.00000E+00 3.88280E-18 9.34714E-22 0.00000E+00 0.00000E+00 6.58022E-22 2.12097E-18 1.09611E-19 8.87691E-19 0.00000E+00 3.28608E-26 0.00000E+00 3.38432E-18 2.87413E-24 2.41193E-19 4.90886E-35 3.05271E-17
