Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
1 1.52e-289 7.19888E-22 9.70558E-22 3.21931E-28 2.26001E-38 4.50286E-28 1.96290E-27 1.69045E-21
2 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26003E-38 4.50287E-28 1.96290E-27 1.69045E-21
3 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26002E-38 4.50287E-28 1.96290E-27 1.69045E-21
4 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26005E-38 4.50287E-28 1.96290E-27 1.69045E-21
5 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26004E-38 4.50287E-28 1.96290E-27 1.69045E-21
6 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26007E-38 4.50287E-28 1.96290E-27 1.69045E-21
7 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26005E-38 4.50287E-28 1.96290E-27 1.69045E-21
8 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26002E-38 4.50287E-28 1.96290E-27 1.69045E-21
9 1.52e-289 7.19888E-22 9.70557E-22 3.21934E-28 2.26002E-38 4.50287E-28 1.96290E-27 1.69045E-21
10 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26002E-38 4.50287E-28 1.96290E-27 1.69045E-21
11 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26002E-38 4.50287E-28 1.96290E-27 1.69045E-21
12 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26002E-38 4.50288E-28 1.96290E-27 1.69045E-21
13 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26003E-38 4.50288E-28 1.96290E-27 1.69045E-21
14 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26002E-38 4.50288E-28 1.96290E-27 1.69045E-21
15 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26002E-38 4.50288E-28 1.96291E-27 1.69045E-21
16 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26002E-38 4.50288E-28 1.96291E-27 1.69045E-21
17 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26009E-38 4.50288E-28 1.96291E-27 1.69045E-21
18 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26005E-38 4.50288E-28 1.96291E-27 1.69045E-21
19 1.52e-289 7.19888E-22 9.70557E-22 3.21935E-28 2.26003E-38 4.50288E-28 1.96291E-27 1.69045E-21
20 1.52e-289 7.19888E-22 9.70556E-22 3.21935E-28 2.26004E-38 4.50288E-28 1.96291E-27 1.69045E-21
21 1.52e-289 7.19888E-22 9.70556E-22 3.21935E-28 2.26002E-38 4.50288E-28 1.96291E-27 1.69045E-21
22 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26004E-38 4.50288E-28 1.96291E-27 1.69045E-21
23 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26009E-38 4.50289E-28 1.96291E-27 1.69045E-21
24 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26006E-38 4.50289E-28 1.96291E-27 1.69045E-21
25 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26004E-38 4.50289E-28 1.96291E-27 1.69045E-21
26 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26003E-38 4.50289E-28 1.96291E-27 1.69045E-21
27 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26005E-38 4.50289E-28 1.96291E-27 1.69045E-21
28 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26006E-38 4.50289E-28 1.96291E-27 1.69045E-21
29 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26007E-38 4.50289E-28 1.96291E-27 1.69045E-21
30 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26004E-38 4.50289E-28 1.96291E-27 1.69045E-21
31 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26008E-38 4.50289E-28 1.96291E-27 1.69045E-21
32 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26006E-38 4.50289E-28 1.96291E-27 1.69045E-21
33 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26003E-38 4.50289E-28 1.96291E-27 1.69045E-21
34 1.52e-289 7.19888E-22 9.70556E-22 3.21936E-28 2.26004E-38 4.50290E-28 1.96291E-27 1.69045E-21
35 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26006E-38 4.50290E-28 1.96291E-27 1.69045E-21
36 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26003E-38 4.50290E-28 1.96291E-27 1.69045E-21
37 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26004E-38 4.50290E-28 1.96291E-27 1.69045E-21
38 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26006E-38 4.50290E-28 1.96291E-27 1.69045E-21
39 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26009E-38 4.50290E-28 1.96291E-27 1.69045E-21
40 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26004E-38 4.50290E-28 1.96291E-27 1.69045E-21
41 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26004E-38 4.50290E-28 1.96291E-27 1.69045E-21
42 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26004E-38 4.50290E-28 1.96291E-27 1.69045E-21
43 1.52e-289 7.19888E-22 9.70556E-22 3.21937E-28 2.26005E-38 4.50290E-28 1.96291E-27 1.69045E-21
