Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 1.79649E-17 0.00000E+00 8.84782E-08 2.16784E-07 1.87334E-07 0.00000E+00 0.00000E+00 4.03509E-12 1.59559E-12 4.62082E-14 1.48977E-16 2.43281E-19 5.62880E-20 1.70778E-20 6.15091E-21 2.04820E-21 7.47883E-22 2.60114E-22 9.56831E-23 3.38181E-23 1.25355E-23 4.17988E-24 1.27998E-24 4.27197E-25 1.31827E-25 3.97638E-26 1.15947E-26 3.26056E-27 9.87851E-28 9.55015E-29 1.74881E-28 0.00000E+00 1.41502E-29 2.29115E-28 2.35623E-28 2.38926E-28 1.41477E-28 4.41023E-29 0.00000E+00 2.55813E-28 8.29537E-29 2.45829E-28 3.14558E-29 4.58772E-29 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.71389E-04 1.68110E-04 2.29195E-07 1.90999E-12 3.80365E-18 8.64995E-20 5.63989E-20 0.00000E+00 9.61680E-21 3.18961E-20 4.80360E-20 1.50578E-26 7.26239E-23 5.53015E-24 1.19631E-22 7.69278E-23 0.00000E+00 4.77532E-25 0.00000E+00 1.27233E-27 1.30888E-22 2.11983E-26 3.28223E-23 4.10978E-29 6.13603E-21 0.00000E+00 7.48320E-53 0.00000E+00 1.19576E-03 3.52646E-05 2.70941E-09 7.41415E-15 4.06345E-19 2.80580E-21 7.06214E-20 0.00000E+00 1.30695E-22 1.20649E-19 4.69974E-24 1.46287E-21 6.27334E-21 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.05987E-26 2.53520E-28 5.57054E-24 6.27334E-21 0.00000E+00 4.98624E-21 3.88041E-27 7.85094E-20
2 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 5.97680E-17 3.55317E-19 8.84789E-08 2.16785E-07 1.87335E-07 1.33233E-21 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48977E-16 2.43282E-19 5.62881E-20 1.70778E-20 6.15093E-21 2.04820E-21 7.47885E-22 2.60115E-22 9.56835E-23 3.38185E-23 1.25356E-23 4.18009E-24 1.28029E-24 4.27546E-25 1.32217E-25 3.99765E-26 1.18657E-26 3.25888E-27 7.92214E-28 2.29854E-28 1.40762E-28 0.00000E+00 3.89007E-29 0.00000E+00 0.00000E+00 0.00000E+00 1.11772E-28 2.16813E-28 1.71158E-28 1.28116E-28 2.44867E-28 0.00000E+00 2.10897E-28 1.37521E-28 6.48715E-29 0.00000E+00 6.90229E-28 0.00000E+00 2.71390E-04 1.68111E-04 2.29195E-07 1.90999E-12 3.51643E-18 8.65052E-20 5.72271E-20 2.74525E-20 2.37566E-21 0.00000E+00 0.00000E+00 2.38173E-26 7.08790E-23 9.01821E-24 1.24284E-21 1.98192E-21 0.00000E+00 2.87145E-25 0.00000E+00 5.11971E-28 8.88379E-23 9.08578E-26 2.10996E-23 3.45743E-29 4.14335E-21 5.81343E-21 3.13673E-53 4.87573E-20 1.19577E-03 3.52646E-05 2.70941E-09 7.41372E-15 4.06419E-19 9.28030E-20 5.56130E-20 7.70800E-20 0.00000E+00 1.02544E-19 0.00000E+00 4.58672E-22 0.00000E+00 9.54812E-25 1.02332E-19 6.05910E-23 0.00000E+00 0.00000E+00 2.64761E-28 0.00000E+00 1.38470E-20 0.00000E+00 0.00000E+00 1.30162E-27 0.00000E+00
3 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 0.00000E+00 0.00000E+00 8.84789E-08 2.16785E-07 1.87335E-07 0.00000E+00 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48977E-16 2.43282E-19 5.62882E-20 1.70778E-20 6.15093E-21 2.04820E-21 7.47884E-22 2.60115E-22 9.56834E-23 3.38180E-23 1.25353E-23 4.17987E-24 1.27981E-24 4.27317E-25 1.31565E-25 3.94070E-26 1.15176E-26 3.31075E-27 8.14943E-28 2.44547E-28 5.48751E-29 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.23679E-29 6.88281E-29 2.44793E-29 0.00000E+00 0.00000E+00 2.55911E-28 0.00000E+00 0.00000E+00 1.34378E-28 8.70459E-29 0.00000E+00 0.00000E+00 2.71390E-04 1.68111E-04 2.29195E-07 1.90999E-12 3.80286E-18 8.65068E-20 5.67254E-20 1.56205E-20 6.49999E-21 0.00000E+00 7.76491E-20 3.91591E-26 0.00000E+00 2.43978E-23 5.81198E-22 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.40869E-27 0.00000E+00 8.90403E-26 2.04307E-23 0.00000E+00 0.00000E+00 6.49337E-21 0.00000E+00 1.30754E-19 1.19577E-03 3.52646E-05 2.70941E-09 7.41364E-15 4.06032E-19 3.18034E-20 7.63918E-20 9.42324E-21 5.33945E-22 1.90635E-19 0.00000E+00 1.82972E-21 0.00000E+00 1.68021E-25 2.73698E-20 0.00000E+00 2.73433E-20 3.42176E-26 0.00000E+00 0.00000E+00 0.00000E+00 5.74038E-26 4.62394E-22 1.73865E-27 0.00000E+00
4 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 4.00538E-17 8.80910E-20 8.84789E-08 2.16785E-07 1.87335E-07 3.72955E-22 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48977E-16 2.43282E-19 5.62882E-20 1.70778E-20 6.15093E-21 2.04820E-21 7.47885E-22 2.60115E-22 9.56838E-23 3.38185E-23 1.25360E-23 4.18041E-24 1.28050E-24 4.27508E-25 1.31984E-25 3.99590E-26 1.17510E-26 3.33708E-27 1.04539E-27 3.28856E-28 0.00000E+00 9.32828E-29 0.00000E+00 0.00000E+00 4.75782E-29 5.85483E-29 2.03625E-28 2.68435E-28 1.44953E-29 2.35574E-28 1.30754E-28 2.53249E-28 1.56614E-28 6.17703E-28 4.58267E-28 6.01568E-28 5.28093E-28 2.97216E-28 2.71390E-04 1.68111E-04 2.29195E-07 1.90999E-12 3.85612E-18 8.65012E-20 5.55145E-20 7.12864E-21 1.06276E-20 0.00000E+00 4.86250E-20 3.99542E-26 1.29428E-22 2.03265E-23 0.00000E+00 3.34595E-21 1.97713E-20 2.40470E-25 1.91674E-20 1.66627E-27 8.22011E-23 4.68583E-26 2.02885E-23 9.36464E-30 2.27681E-21 4.78400E-21 4.00389E-53 0.00000E+00 1.19577E-03 3.52646E-05 2.70941E-09 7.41412E-15 4.06251E-19 0.00000E+00 4.21134E-20 0.00000E+00 0.00000E+00 7.30566E-20 0.00000E+00 0.00000E+00 0.00000E+00 1.42333E-24 0.00000E+00 4.03664E-22 4.00223E-20 5.41474E-27 2.52337E-28 0.00000E+00 1.09651E-20 2.42149E-26 3.32775E-21 1.53197E-27 0.00000E+00
5 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 2.31820E-17 0.00000E+00 8.84790E-08 2.16785E-07 1.87335E-07 6.03273E-22 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48977E-16 2.43282E-19 5.62882E-20 1.70778E-20 6.15093E-21 2.04820E-21 7.47885E-22 2.60115E-22 9.56835E-23 3.38182E-23 1.25357E-23 4.17993E-24 1.27985E-24 4.27376E-25 1.31898E-25 3.95587E-26 1.16398E-26 3.19203E-27 8.79777E-28 1.64132E-28 2.27882E-28 2.08752E-28 2.29854E-28 8.82045E-29 2.37225E-28 1.58487E-28 1.96500E-28 2.89463E-28 4.49454E-28 2.79799E-28 1.59670E-28 1.47665E-29 3.95786E-28 7.66428E-29 7.59772E-29 2.43105E-28 0.00000E+00 2.66672E-28 2.71390E-04 1.68111E-04 2.29195E-07 1.90999E-12 3.51400E-18 8.65008E-20 5.71096E-20 4.38571E-21 2.01170E-21 0.00000E+00 1.41746E-20 6.52230E-27 0.00000E+00 6.77658E-24 1.25949E-21 0.00000E+00 1.90169E-20 8.30765E-26 0.00000E+00 9.26912E-28 3.02309E-23 9.64304E-27 5.36278E-23 7.00422E-30 0.00000E+00 7.48474E-21 1.14040E-53 0.00000E+00 1.19577E-03 3.52647E-05 2.70941E-09 7.41244E-15 4.04426E-19 2.87197E-21 0.00000E+00 1.63689E-19 0.00000E+00 0.00000E+00 4.55111E-24 0.00000E+00 0.00000E+00 0.00000E+00 2.58610E-20 0.00000E+00 3.66474E-20 0.00000E+00 1.50771E-28 0.00000E+00 0.00000E+00 4.45044E-26 6.12114E-23 0.00000E+00 0.00000E+00
6 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 2.26697E-17 2.29894E-20 8.84790E-08 2.16786E-07 1.87336E-07 1.62815E-21 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48978E-16 2.43282E-19 5.62882E-20 1.70778E-20 6.15094E-21 2.04820E-21 7.47886E-22 2.60115E-22 9.56836E-23 3.38182E-23 1.25359E-23 4.18028E-24 1.28003E-24 4.27599E-25 1.32028E-25 3.97689E-26 1.18371E-26 3.62708E-27 1.09479E-27 4.79430E-28 3.63763E-28 2.34686E-28 3.34231E-28 2.46420E-28 5.54446E-28 2.16912E-28 4.58427E-28 4.28475E-28 5.46902E-28 4.73736E-28 2.26452E-28 4.44425E-28 2.95133E-28 5.62495E-28 2.19895E-29 6.51944E-28 4.98005E-28 1.01068E-27 2.71390E-04 1.68111E-04 2.29196E-07 1.90999E-12 3.85231E-18 8.64981E-20 5.42208E-20 2.06580E-20 8.79955E-21 0.00000E+00 1.36319E-20 2.50542E-27 1.43231E-22 1.17453E-23 0.00000E+00 6.98885E-21 3.71536E-20 3.60730E-25 3.64009E-20 9.67637E-28 1.15954E-22 0.00000E+00 1.40491E-23 7.23348E-29 5.90648E-21 0.00000E+00 4.56771E-53 0.00000E+00 1.19577E-03 3.52647E-05 2.70941E-09 7.41431E-15 4.06202E-19 1.39231E-20 1.27876E-19 0.00000E+00 1.93560E-21 1.96194E-19 2.79497E-25 4.52054E-22 2.86668E-20 9.36717E-24 1.04079E-19 1.13282E-21 6.94964E-20 5.94612E-26 5.39975E-28 3.11970E-23 1.98027E-20 0.00000E+00 5.37502E-21 3.93563E-27 0.00000E+00
7 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 0.00000E+00 5.88336E-20 8.84790E-08 2.16786E-07 1.87336E-07 9.97373E-22 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48978E-16 2.43282E-19 5.62882E-20 1.70778E-20 6.15094E-21 2.04820E-21 7.47886E-22 2.60115E-22 9.56836E-23 3.38184E-23 1.25357E-23 4.18029E-24 1.28035E-24 4.27455E-25 1.31849E-25 3.96571E-26 1.15762E-26 3.33777E-27 9.95000E-28 3.94874E-28 1.37607E-28 2.67473E-28 1.85826E-28 7.92805E-29 0.00000E+00 1.07236E-29 1.83287E-28 3.20968E-29 1.04573E-28 4.68904E-28 1.61002E-28 1.71972E-28 3.01296E-28 5.62963E-28 3.21350E-28 8.39286E-28 2.24973E-28 2.09221E-28 2.71390E-04 1.68111E-04 2.29196E-07 1.90999E-12 3.57268E-18 8.65058E-20 5.63128E-20 6.20716E-21 2.86039E-21 2.71051E-20 2.91829E-20 3.80799E-26 1.01200E-22 1.24206E-23 1.08723E-21 4.63056E-21 0.00000E+00 1.50376E-25 0.00000E+00 5.90167E-28 2.48994E-23 7.40330E-26 4.33559E-23 2.22206E-29 2.97413E-21 7.74986E-21 4.67273E-53 5.25094E-20 1.19577E-03 3.52647E-05 2.70941E-09 7.41341E-15 4.05579E-19 0.00000E+00 4.69574E-20 1.32878E-19 1.00502E-22 0.00000E+00 4.99216E-25 1.51788E-22 8.35122E-21 4.95985E-25 0.00000E+00 3.97047E-23 0.00000E+00 0.00000E+00 0.00000E+00 1.84306E-23 0.00000E+00 0.00000E+00 0.00000E+00 9.78188E-28 8.36445E-20
8 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 0.00000E+00 0.00000E+00 8.84791E-08 2.16786E-07 1.87336E-07 4.97808E-22 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48978E-16 2.43282E-19 5.62882E-20 1.70778E-20 6.15094E-21 2.04820E-21 7.47886E-22 2.60115E-22 9.56835E-23 3.38183E-23 1.25353E-23 4.17965E-24 1.27991E-24 4.27185E-25 1.31800E-25 3.97026E-26 1.14503E-26 3.22329E-27 7.48580E-28 1.06644E-28 4.21055E-29 4.28943E-30 1.55751E-28 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.67919E-28 2.71390E-04 1.68111E-04 2.29196E-07 1.90999E-12 3.62562E-18 8.64975E-20 5.51234E-20 0.00000E+00 8.55966E-21 0.00000E+00 4.44692E-20 1.83741E-26 1.93121E-22 1.39700E-23 0.00000E+00 1.17518E-20 0.00000E+00 6.24525E-26 0.00000E+00 4.53003E-28 0.00000E+00 1.64967E-26 3.40404E-23 2.85654E-30 0.00000E+00 4.94985E-21 0.00000E+00 4.79169E-20 1.19577E-03 3.52647E-05 2.70941E-09 7.41371E-15 4.07904E-19 1.07944E-19 3.65283E-20 1.75759E-20 0.00000E+00 1.35155E-19 6.57544E-25 2.55640E-21 0.00000E+00 0.00000E+00 1.11173E-21 0.00000E+00 5.32307E-20 0.00000E+00 3.82598E-29 1.53158E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
9 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 1.67840E-17 1.46883E-19 8.84791E-08 2.16786E-07 1.87336E-07 3.49846E-22 5.61669E-24 4.03510E-12 1.59559E-12 4.62083E-14 1.48978E-16 2.43282E-19 5.62883E-20 1.70778E-20 6.15094E-21 2.04820E-21 7.47886E-22 2.60115E-22 9.56837E-23 3.38184E-23 1.25356E-23 4.17989E-24 1.27980E-24 4.27273E-25 1.31776E-25 3.94809E-26 1.15572E-26 3.34852E-27 8.94272E-28 3.41774E-28 2.46470E-28 2.44596E-28 0.00000E+00 1.50672E-28 1.19858E-28 0.00000E+00 1.61963E-28 0.00000E+00 1.57674E-28 0.00000E+00 0.00000E+00 0.00000E+00 2.49428E-28 1.35709E-28 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.71390E-04 1.68111E-04 2.29196E-07 1.90999E-12 3.49864E-18 8.64963E-20 5.49658E-20 2.73069E-20 0.00000E+00 5.33234E-20 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.93484E-21 0.00000E+00 0.00000E+00 2.89019E-28 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.41803E-22 0.00000E+00 0.00000E+00 1.19577E-03 3.52647E-05 2.70941E-09 7.41286E-15 4.06816E-19 0.00000E+00 0.00000E+00 5.14573E-20 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.20385E-24 0.00000E+00 1.91977E-26 0.00000E+00 0.00000E+00 2.56704E-19
10 9.99983E+02 3.37521E-67 7.53699E-02 2.46296E-02 2.99436E-01 3.26332E-04 2.36198E-04 1.24821E-17 1.52492E-19 8.84791E-08 2.16786E-07 1.87336E-07 6.68362E-22 0.00000E+00 4.03510E-12 1.59559E-12 4.62083E-14 1.48978E-16 2.43282E-19 5.62883E-20 1.70778E-20 6.15094E-21 2.04821E-21 7.47887E-22 2.60116E-22 9.56839E-23 3.38185E-23 1.25358E-23 4.18046E-24 1.28046E-24 4.27657E-25 1.32251E-25 3.99584E-26 1.18786E-26 3.59425E-27 1.06511E-27 3.19883E-28 1.61716E-28 6.18763E-29 0.00000E+00 0.00000E+00 7.75795E-29 2.99521E-29 0.00000E+00 8.82538E-30 1.25478E-28 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.71390E-04 1.68111E-04 2.29196E-07 1.90999E-12 3.42900E-18 8.64991E-20 5.71327E-20 0.00000E+00 0.00000E+00 3.38284E-20 0.00000E+00 4.03676E-26 0.00000E+00 4.06724E-24 2.43088E-21 0.00000E+00 8.74826E-21 0.00000E+00 0.00000E+00 1.79564E-28 2.32192E-23 1.27543E-26 1.16031E-23 0.00000E+00 0.00000E+00 0.00000E+00 1.57678E-53 2.75550E-20 1.19577E-03 3.52647E-05 2.70941E-09 7.41305E-15 4.05564E-19 7.34007E-20 5.47130E-20 0.00000E+00 1.15929E-21 1.06938E-20 2.19558E-24 0.00000E+00 1.48363E-20 2.43631E-24 0.00000E+00 4.68391E-22 2.23140E-20 3.90770E-26 2.80834E-28 5.39606E-25 1.99086E-20 3.94557E-26 3.52793E-21 0.00000E+00 0.00000E+00
