Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 1.29329E-15 1.82863E-07 2.50298E-08 5.34416E-22 9.02352E-12 1.65743E-14 1.10957E-22 5.32314E-11 7.08797E-12 4.97497E-06 9.97247E-05 2.18038E-20 6.94048E-14 1.68868E-16 6.86144E-14 3.66276E-14 1.32497E-15 3.33975E-12 6.00176E-06 2.56646E-15 6.17588E-13 6.82195E-17 6.98505E-15 2.12839E-13 2.74987E-07 9.99998E-02 2.16321E-12 3.13163E-10 7.05322E-10 2.99999E-04 6.87318E-04 9.98619E-01 1.10884E-04
2 1.29469E-15 1.82863E-07 2.50298E-08 5.35294E-22 9.02354E-12 1.65832E-14 1.11139E-22 5.32311E-11 7.09098E-12 4.97497E-06 9.97247E-05 2.18397E-20 6.94680E-14 1.69115E-16 6.86145E-14 3.66371E-14 1.32641E-15 3.33977E-12 6.00174E-06 2.56927E-15 6.17855E-13 6.82942E-17 6.98627E-15 2.12955E-13 2.75007E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87695E-04 9.98619E-01 1.10884E-04
3 1.29487E-15 1.82863E-07 2.50298E-08 5.35404E-22 9.02354E-12 1.65844E-14 1.11162E-22 5.32310E-11 7.09136E-12 4.97497E-06 9.97247E-05 2.18441E-20 6.94759E-14 1.69145E-16 6.86145E-14 3.66383E-14 1.32659E-15 3.33977E-12 6.00174E-06 2.56962E-15 6.17887E-13 6.83036E-17 6.98642E-15 2.12970E-13 2.75008E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87742E-04 9.98619E-01 1.10884E-04
4 1.29496E-15 1.82863E-07 2.50298E-08 5.35459E-22 9.02355E-12 1.65849E-14 1.11174E-22 5.32310E-11 7.09155E-12 4.97497E-06 9.97247E-05 2.18464E-20 6.94798E-14 1.69161E-16 6.86145E-14 3.66389E-14 1.32668E-15 3.33977E-12 6.00174E-06 2.56980E-15 6.17904E-13 6.83082E-17 6.98650E-15 2.12977E-13 2.75008E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87766E-04 9.98618E-01 1.10884E-04
5 1.29513E-15 1.82863E-07 2.50298E-08 5.35569E-22 9.02355E-12 1.65860E-14 1.11196E-22 5.32310E-11 7.09193E-12 4.97497E-06 9.97247E-05 2.18509E-20 6.94878E-14 1.69192E-16 6.86145E-14 3.66401E-14 1.32686E-15 3.33977E-12 6.00173E-06 2.57015E-15 6.17936E-13 6.83176E-17 6.98665E-15 2.12992E-13 2.75009E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87813E-04 9.98618E-01 1.10884E-04
6 1.29531E-15 1.82863E-07 2.50298E-08 5.35679E-22 9.02355E-12 1.65872E-14 1.11219E-22 5.32309E-11 7.09230E-12 4.97497E-06 9.97247E-05 2.18554E-20 6.94957E-14 1.69223E-16 6.86145E-14 3.66413E-14 1.32704E-15 3.33978E-12 6.00173E-06 2.57050E-15 6.17969E-13 6.83269E-17 6.98680E-15 2.13006E-13 2.75010E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87860E-04 9.98618E-01 1.10884E-04
7 1.29540E-15 1.82863E-07 2.50298E-08 5.35734E-22 9.02355E-12 1.65877E-14 1.11231E-22 5.32309E-11 7.09249E-12 4.97497E-06 9.97247E-05 2.18576E-20 6.94996E-14 1.69238E-16 6.86145E-14 3.66419E-14 1.32713E-15 3.33978E-12 6.00173E-06 2.57067E-15 6.17985E-13 6.83316E-17 6.98688E-15 2.13013E-13 2.75011E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87883E-04 9.98618E-01 1.10884E-04
8 1.29557E-15 1.82862E-07 2.50298E-08 5.35844E-22 9.02355E-12 1.65888E-14 1.11253E-22 5.32309E-11 7.09287E-12 4.97497E-06 9.97247E-05 2.18621E-20 6.95075E-14 1.69269E-16 6.86145E-14 3.66430E-14 1.32731E-15 3.33978E-12 6.00173E-06 2.57103E-15 6.18017E-13 6.83410E-17 6.98703E-15 2.13028E-13 2.75012E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87931E-04 9.98618E-01 1.10884E-04
9 1.29566E-15 1.82862E-07 2.50298E-08 5.35899E-22 9.02356E-12 1.65894E-14 1.11265E-22 5.32308E-11 7.09306E-12 4.97497E-06 9.97247E-05 2.18643E-20 6.95115E-14 1.69284E-16 6.86146E-14 3.66436E-14 1.32740E-15 3.33978E-12 6.00172E-06 2.57120E-15 6.18034E-13 6.83456E-17 6.98710E-15 2.13035E-13 2.75012E-07 9.99998E-02 2.16321E-12 3.13164E-10 7.05324E-10 2.99999E-04 6.87954E-04 9.98618E-01 1.10884E-04
10 1.29584E-15 1.82862E-07 2.50298E-08 5.36009E-22 9.02356E-12 1.65905E-14 1.11288E-22 5.32308E-11 7.09343E-12 4.97497E-06 9.97247E-05 2.18688E-20 6.95194E-14 1.69315E-16 6.86146E-14 3.66448E-14 1.32758E-15 3.33978E-12 6.00172E-06 2.57155E-15 6.18066E-13 6.83550E-17 6.98726E-15 2.13050E-13 2.75013E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88001E-04 9.98618E-01 1.10884E-04
