Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 9.98619E+02 3.13365E-67 9.02530E-02 9.47173E-03 2.99979E-01 1.54670E-05 4.79954E-06 1.01088E-17 1.71668E-20 8.26893E-05 1.29047E-04 6.32506E-05 1.85077E-19 0.00000E+00 2.22183E-07 8.83476E-08 2.61623E-09 1.48011E-11 9.83598E-13 1.71539E-13 3.01985E-14 5.52856E-15 9.17164E-16 1.48549E-16 2.18409E-17 3.13268E-18 4.10959E-19 5.67882E-20 8.18086E-21 6.31281E-22 9.01175E-23 8.81464E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.58660E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.40984E-24 8.40913E-24 4.83222E-24 3.99559E-23 4.59474E-01 8.02202E-04 1.94189E-12 3.44993E-16 0.00000E+00 9.67595E-22 0.00000E+00 0.00000E+00 3.07304E-18 1.21803E-16 0.00000E+00 2.44721E-24 0.00000E+00 0.00000E+00 0.00000E+00 8.32210E-19 0.00000E+00 0.00000E+00 1.76268E-18 8.64465E-26 0.00000E+00 5.52240E-23 0.00000E+00 0.00000E+00 0.00000E+00 7.60847E-19 3.01760E-77 0.00000E+00 2.27042E-01 3.84426E-07 7.73687E-16 3.36645E-16 9.12149E-20 5.21095E-18 2.75252E-17 0.00000E+00 7.08172E-19 1.94208E-17 1.29454E-22 2.84815E-20 1.19694E-17 2.62857E-21 0.00000E+00 2.99347E-19 0.00000E+00 1.01499E-24 1.54270E-26 2.71894E-21 6.81692E-18 9.77915E-24 0.00000E+00 3.47570E-34 6.72883E-18
2 9.98619E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 0.00000E+00 0.00000E+00 8.26953E-05 1.29056E-04 6.32551E-05 3.31402E-20 4.42920E-21 2.22184E-07 8.83480E-08 2.61627E-09 1.48048E-11 9.84138E-13 1.71634E-13 3.02151E-14 5.53160E-15 9.17669E-16 1.48631E-16 2.18529E-17 3.13443E-18 4.11170E-19 5.68148E-20 8.18963E-21 6.29833E-22 8.48248E-23 4.88554E-24 5.40899E-24 1.04044E-23 6.92118E-24 1.12445E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 8.44467E-24 4.06805E-24 5.71595E-24 1.69168E-23 2.79497E-25 0.00000E+00 7.33719E-24 1.18923E-23 4.63997E-24 1.19166E-23 2.05721E-23 1.05716E-23 1.60929E-23 4.59726E-01 8.02641E-04 1.93488E-12 0.00000E+00 1.38900E-16 4.30279E-21 1.51090E-19 3.97834E-17 2.14765E-18 0.00000E+00 4.41169E-17 1.08507E-23 0.00000E+00 1.80226E-20 1.53551E-18 0.00000E+00 4.28819E-17 0.00000E+00 0.00000E+00 3.94494E-26 0.00000E+00 1.96908E-23 6.58436E-21 0.00000E+00 0.00000E+00 4.27455E-18 0.00000E+00 0.00000E+00 2.27166E-01 3.84637E-07 0.00000E+00 0.00000E+00 2.30287E-20 1.08166E-17 1.54838E-18 5.01444E-18 0.00000E+00 0.00000E+00 7.52941E-22 3.28225E-21 0.00000E+00 1.23043E-22 6.43745E-20 0.00000E+00 0.00000E+00 0.00000E+00 9.01510E-27 0.00000E+00 0.00000E+00 2.67380E-24 0.00000E+00 0.00000E+00 3.82723E-17
3 9.98619E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 3.13483E-18 0.00000E+00 8.26956E-05 1.29057E-04 6.32554E-05 1.31793E-19 0.00000E+00 2.22184E-07 8.83480E-08 2.61628E-09 1.48053E-11 9.84206E-13 1.71645E-13 3.02172E-14 5.53198E-15 9.17732E-16 1.48641E-16 2.18544E-17 3.13463E-18 4.11208E-19 5.68139E-20 8.19070E-21 6.34318E-22 9.19398E-23 1.27373E-23 0.00000E+00 1.54450E-24 0.00000E+00 4.81445E-25 1.26016E-25 0.00000E+00 0.00000E+00 0.00000E+00 3.41535E-24 0.00000E+00 7.22329E-24 0.00000E+00 1.00102E-23 0.00000E+00 4.75629E-24 1.39506E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.59757E-01 8.02696E-04 1.93779E-12 5.86120E-16 1.23016E-16 1.30798E-21 4.46651E-19 8.55080E-18 4.22458E-18 0.00000E+00 5.36240E-17 0.00000E+00 1.07533E-20 0.00000E+00 3.26319E-19 2.18958E-18 2.20195E-17 4.13332E-23 0.00000E+00 0.00000E+00 1.88763E-20 5.40866E-23 1.44343E-20 0.00000E+00 3.00697E-18 1.22544E-18 0.00000E+00 6.47269E-17 2.27182E-01 3.84663E-07 7.56339E-16 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.15196E-17 0.00000E+00 6.35614E-18 0.00000E+00 0.00000E+00 0.00000E+00 4.41508E-22 0.00000E+00 6.04040E-20 0.00000E+00 0.00000E+00 1.19970E-26 0.00000E+00 6.11134E-19 3.88226E-24 0.00000E+00 0.00000E+00 0.00000E+00
4 9.98618E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 1.25098E-17 1.81064E-19 8.26958E-05 1.29057E-04 6.32555E-05 0.00000E+00 4.55561E-20 2.22184E-07 8.83480E-08 2.61628E-09 1.48055E-11 9.84239E-13 1.71651E-13 3.02183E-14 5.53217E-15 9.17763E-16 1.48646E-16 2.18552E-17 3.13474E-18 4.11225E-19 5.68314E-20 8.18973E-21 6.30751E-22 8.35259E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.87408E-25 0.00000E+00 0.00000E+00 0.00000E+00 1.61559E-26 3.70131E-24 0.00000E+00 0.00000E+00 6.33310E-25 4.49133E-25 0.00000E+00 0.00000E+00 2.26538E-23 0.00000E+00 3.75705E-24 1.31363E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.59773E-01 8.02724E-04 1.93924E-12 9.16368E-16 2.10742E-17 0.00000E+00 0.00000E+00 4.88060E-18 2.21160E-18 0.00000E+00 6.23958E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.61961E-17 0.00000E+00 1.30265E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.27189E-01 3.84676E-07 1.37217E-15 1.26310E-17 1.42196E-19 0.00000E+00 3.53382E-18 1.97325E-17 2.08952E-19 4.53332E-18 0.00000E+00 3.61577E-20 1.99137E-18 1.10408E-21 0.00000E+00 1.24487E-19 0.00000E+00 1.88377E-24 3.28482E-27 0.00000E+00 3.29750E-18 0.00000E+00 1.58776E-18 5.17312E-34 0.00000E+00
5 9.98618E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 3.96603E-18 3.53976E-20 8.26961E-05 1.29057E-04 6.32557E-05 3.71186E-19 0.00000E+00 2.22184E-07 8.83481E-08 2.61629E-09 1.48060E-11 9.84307E-13 1.71663E-13 3.02203E-14 5.53255E-15 9.17826E-16 1.48657E-16 2.18567E-17 3.13495E-18 4.11251E-19 5.68486E-20 8.19598E-21 6.45330E-22 8.99559E-23 9.79046E-24 0.00000E+00 0.00000E+00 1.89347E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.44781E-24 7.19098E-24 6.66268E-24 9.04083E-24 0.00000E+00 0.00000E+00 0.00000E+00 1.70776E-23 9.57478E-24 0.00000E+00 2.89182E-23 9.06991E-24 1.83935E-23 5.89269E-23 4.59805E-01 8.02779E-04 1.94426E-12 7.81493E-16 1.94872E-16 0.00000E+00 0.00000E+00 0.00000E+00 5.56924E-18 0.00000E+00 6.13591E-17 0.00000E+00 5.27807E-20 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.04210E-22 1.09377E-17 0.00000E+00 8.73073E-20 0.00000E+00 1.13704E-20 2.27910E-26 2.76323E-18 1.04863E-18 2.09832E-77 0.00000E+00 2.27205E-01 3.84703E-07 0.00000E+00 3.79471E-19 0.00000E+00 0.00000E+00 0.00000E+00 3.77031E-17 0.00000E+00 7.65040E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
6 9.98618E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 9.96593E-18 8.03974E-20 8.26964E-05 1.29058E-04 6.32560E-05 1.44790E-19 4.46096E-21 2.22184E-07 8.83481E-08 2.61629E-09 1.48064E-11 9.84374E-13 1.71675E-13 3.02224E-14 5.53293E-15 9.17890E-16 1.48667E-16 2.18582E-17 3.13518E-18 4.11286E-19 5.68505E-20 8.20484E-21 6.35184E-22 1.13582E-22 2.44988E-23 1.25370E-23 6.61744E-24 9.40272E-25 6.23940E-24 0.00000E+00 2.01625E-24 0.00000E+00 4.68197E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.20143E-24 1.66567E-24 1.44062E-23 1.90930E-23 1.37858E-23 0.00000E+00 2.71847E-23 3.55114E-23 4.59836E-01 8.02834E-04 1.94582E-12 1.19934E-15 1.11158E-16 0.00000E+00 7.54389E-19 0.00000E+00 1.38392E-17 2.19551E-17 5.60939E-17 2.57201E-24 1.44651E-19 7.42684E-21 8.49892E-19 6.04316E-18 0.00000E+00 4.23271E-22 9.78747E-18 3.05302E-25 1.22916E-19 4.12023E-23 0.00000E+00 3.24395E-26 5.42482E-18 7.27220E-18 1.63016E-76 7.33598E-17 2.27221E-01 3.84729E-07 2.52055E-15 1.82688E-16 4.49086E-19 0.00000E+00 1.10521E-17 7.76560E-18 5.08220E-21 5.06458E-17 4.41714E-22 6.59574E-19 0.00000E+00 1.00978E-21 0.00000E+00 1.41957E-19 1.21193E-17 2.92462E-24 1.34769E-26 3.95227E-21 3.81165E-19 2.25698E-24 1.77665E-18 7.55232E-34 5.15674E-18
7 9.98618E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 5.77436E-18 0.00000E+00 8.26965E-05 1.29058E-04 6.32561E-05 0.00000E+00 1.02384E-20 2.22184E-07 8.83482E-08 2.61629E-09 1.48067E-11 9.84408E-13 1.71681E-13 3.02235E-14 5.53313E-15 9.17921E-16 1.48672E-16 2.18589E-17 3.13527E-18 4.11287E-19 5.68391E-20 8.18507E-21 6.22712E-22 8.49799E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.12768E-24 0.00000E+00 7.28307E-24 1.30539E-24 1.56227E-24 1.36194E-24 6.28463E-24 0.00000E+00 3.87902E-24 1.47552E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.56565E-24 4.59852E-01 8.02861E-04 1.94197E-12 1.43483E-15 1.82973E-16 2.09297E-21 0.00000E+00 0.00000E+00 1.46278E-17 0.00000E+00 9.70395E-17 0.00000E+00 8.26188E-20 7.21715E-22 0.00000E+00 3.21957E-18 0.00000E+00 0.00000E+00 0.00000E+00 1.42942E-25 0.00000E+00 0.00000E+00 1.02637E-20 1.29492E-26 0.00000E+00 0.00000E+00 7.95219E-77 0.00000E+00 2.27228E-01 3.84742E-07 0.00000E+00 0.00000E+00 0.00000E+00 5.74966E-18 2.74439E-18 0.00000E+00 1.11120E-19 0.00000E+00 0.00000E+00 0.00000E+00 2.86805E-18 3.39971E-22 2.30054E-18 0.00000E+00 0.00000E+00 2.45852E-24 8.51970E-27 0.00000E+00 9.06325E-19 2.56878E-25 0.00000E+00 0.00000E+00 1.59581E-17
8 9.98618E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 0.00000E+00 0.00000E+00 8.26968E-05 1.29058E-04 6.32563E-05 0.00000E+00 1.27882E-20 2.22184E-07 8.83482E-08 2.61630E-09 1.48071E-11 9.84476E-13 1.71693E-13 3.02255E-14 5.53351E-15 9.17984E-16 1.48682E-16 2.18604E-17 3.13550E-18 4.11328E-19 5.68488E-20 8.20047E-21 6.43947E-22 9.14035E-23 0.00000E+00 0.00000E+00 1.04690E-24 0.00000E+00 4.20376E-24 9.45118E-24 1.31929E-23 7.41231E-24 8.67570E-24 6.51082E-24 7.11666E-24 6.43004E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.59883E-01 8.02916E-04 1.94014E-12 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.52196E-18 1.25784E-19 1.02586E-16 0.00000E+00 0.00000E+00 6.90332E-20 0.00000E+00 0.00000E+00 3.30343E-19 0.00000E+00 1.60486E-22 6.19350E-18 5.11813E-27 8.80881E-20 0.00000E+00 0.00000E+00 3.71080E-27 4.40288E-18 0.00000E+00 1.77328E-76 0.00000E+00 2.27244E-01 3.84769E-07 0.00000E+00 5.24212E-17 0.00000E+00 0.00000E+00 3.12047E-18 3.89229E-17 5.05573E-20 0.00000E+00 0.00000E+00 5.97158E-20 1.74319E-18 1.35451E-22 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 8.25113E-22 7.28025E-19 0.00000E+00 2.06888E-19 9.72369E-35 0.00000E+00
9 9.98618E+02 3.13364E-67 9.02530E-02 9.47172E-03 2.99979E-01 1.54670E-05 4.79953E-06 0.00000E+00 3.34532E-19 8.26970E-05 1.29059E-04 6.32564E-05 1.16546E-19 3.61116E-23 2.22184E-07 8.83482E-08 2.61630E-09 1.48073E-11 9.84510E-13 1.71699E-13 3.02266E-14 5.53370E-15 9.18016E-16 1.48687E-16 2.18612E-17 3.13560E-18 4.11343E-19 5.68425E-20 8.18759E-21 6.44968E-22 8.93161E-23 1.10506E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 7.44786E-24 0.00000E+00 0.00000E+00 1.59943E-23 0.00000E+00 4.59899E-01 8.02944E-04 1.94353E-12 0.00000E+00 1.25632E-17 0.00000E+00 0.00000E+00 0.00000E+00 2.80071E-18 2.61022E-17 0.00000E+00 0.00000E+00 1.07699E-19 0.00000E+00 0.00000E+00 3.61768E-18 0.00000E+00 0.00000E+00 1.50179E-17 9.22652E-26 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 8.74816E-18 2.27252E-01 3.84782E-07 0.00000E+00 0.00000E+00 0.00000E+00 5.09406E-18 2.46317E-18 4.66749E-17 0.00000E+00 0.00000E+00 8.86531E-22 3.86459E-20 0.00000E+00 0.00000E+00 1.27868E-17 1.37378E-20 1.83230E-17 1.44514E-24 3.17122E-27 2.70860E-21 0.00000E+00 3.64800E-24 7.82658E-19 7.70372E-34 0.00000E+00
10 9.98618E+02 3.13364E-67 9.02530E-02 9.47171E-03 2.99979E-01 1.54670E-05 4.79952E-06 0.00000E+00 0.00000E+00 8.26972E-05 1.29059E-04 6.32566E-05 4.07661E-19 0.00000E+00 2.22184E-07 8.83483E-08 2.61631E-09 1.48078E-11 9.84577E-13 1.71710E-13 3.02287E-14 5.53408E-15 9.18079E-16 1.48698E-16 2.18627E-17 3.13581E-18 4.11374E-19 5.68548E-20 8.19732E-21 6.45266E-22 9.82342E-23 1.73773E-23 4.91138E-25 7.55449E-24 1.21298E-23 9.40272E-25 3.39596E-24 6.22324E-24 1.10183E-23 8.82111E-24 1.54305E-23 0.00000E+00 4.54949E-24 1.08228E-23 1.14836E-23 0.00000E+00 4.51072E-24 5.06244E-24 2.34591E-23 1.99662E-23 1.32785E-23 1.45686E-23 0.00000E+00 1.10926E-23 0.00000E+00 4.59931E-01 8.02999E-04 1.94317E-12 1.55583E-15 1.60638E-16 1.65353E-21 0.00000E+00 0.00000E+00 8.11881E-19 7.87199E-17 3.17705E-17 1.21977E-25 0.00000E+00 5.44947E-21 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.22078E-25 0.00000E+00 1.67423E-23 0.00000E+00 0.00000E+00 0.00000E+00 2.57710E-18 0.00000E+00 4.39678E-17 2.27267E-01 3.84808E-07 0.00000E+00 0.00000E+00 8.62385E-20 0.00000E+00 0.00000E+00 3.77980E-17 0.00000E+00 1.18856E-17 0.00000E+00 5.71271E-19 0.00000E+00 0.00000E+00 1.64324E-18 0.00000E+00 0.00000E+00 3.11808E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.28437E-19 0.00000E+00 2.34933E-17
