Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
1 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
2 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
3 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
4 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
5 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
6 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
7 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
8 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
9 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
10 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
11 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
12 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
13 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
14 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
15 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
16 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
17 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
18 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
19 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
20 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
21 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
22 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
23 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
24 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
25 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
26 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
27 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
28 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
29 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
30 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
31 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
32 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
33 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
34 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
35 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
36 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
37 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
38 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
39 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
40 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
41 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
42 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
43 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
44 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
45 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
