Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
1 1.11900E-15 1.84109E-07 2.86663E-08 4.58834E-22 9.52441E-12 1.57130E-14 8.89521E-23 2.40864E-11 3.38976E-12 4.97133E-06 9.96982E-05 1.95547E-20 3.47595E-14 7.71445E-17 7.26151E-14 2.29833E-14 1.14365E-15 6.33987E-12 5.36232E-06 2.04611E-15 6.54635E-13 5.87655E-17 9.61645E-15 1.91624E-13 3.01438E-07 9.99998E-02 2.15691E-12 3.32956E-10 7.50304E-10 2.99999E-04 6.54244E-04 9.98686E-01 1.10216E-04
2 1.12016E-15 1.84108E-07 2.86663E-08 4.59551E-22 9.52442E-12 1.57211E-14 8.90912E-23 2.40863E-11 3.39092E-12 4.97133E-06 9.96982E-05 1.95853E-20 3.47832E-14 7.72374E-17 7.26151E-14 2.29865E-14 1.14483E-15 6.33988E-12 5.36231E-06 2.04824E-15 6.54897E-13 5.88267E-17 9.61739E-15 1.91724E-13 3.01458E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50304E-10 2.99999E-04 6.54586E-04 9.98685E-01 1.10216E-04
3 1.12030E-15 1.84108E-07 2.86663E-08 4.59641E-22 9.52442E-12 1.57221E-14 8.91086E-23 2.40863E-11 3.39107E-12 4.97133E-06 9.96982E-05 1.95891E-20 3.47862E-14 7.72490E-17 7.26151E-14 2.29870E-14 1.14498E-15 6.33988E-12 5.36231E-06 2.04851E-15 6.54929E-13 5.88344E-17 9.61751E-15 1.91736E-13 3.01459E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50304E-10 2.99999E-04 6.54628E-04 9.98685E-01 1.10216E-04
4 1.12038E-15 1.84108E-07 2.86663E-08 4.59686E-22 9.52442E-12 1.57226E-14 8.91173E-23 2.40863E-11 3.39114E-12 4.97133E-06 9.96982E-05 1.95910E-20 3.47876E-14 7.72548E-17 7.26151E-14 2.29872E-14 1.14505E-15 6.33988E-12 5.36231E-06 2.04864E-15 6.54944E-13 5.88382E-17 9.61757E-15 1.91743E-13 3.01460E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50304E-10 2.99999E-04 6.54650E-04 9.98685E-01 1.10216E-04
5 1.12052E-15 1.84108E-07 2.86663E-08 4.59776E-22 9.52442E-12 1.57236E-14 8.91347E-23 2.40863E-11 3.39128E-12 4.97133E-06 9.96982E-05 1.95949E-20 3.47906E-14 7.72665E-17 7.26151E-14 2.29876E-14 1.14520E-15 6.33988E-12 5.36231E-06 2.04891E-15 6.54976E-13 5.88459E-17 9.61769E-15 1.91755E-13 3.01461E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54693E-04 9.98685E-01 1.10216E-04
6 1.12067E-15 1.84108E-07 2.86663E-08 4.59866E-22 9.52442E-12 1.57246E-14 8.91521E-23 2.40863E-11 3.39143E-12 4.97133E-06 9.96982E-05 1.95987E-20 3.47936E-14 7.72781E-17 7.26151E-14 2.29880E-14 1.14534E-15 6.33988E-12 5.36231E-06 2.04918E-15 6.55008E-13 5.88536E-17 9.61781E-15 1.91768E-13 3.01462E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54735E-04 9.98685E-01 1.10216E-04
7 1.12074E-15 1.84108E-07 2.86663E-08 4.59911E-22 9.52442E-12 1.57251E-14 8.91608E-23 2.40863E-11 3.39150E-12 4.97133E-06 9.96982E-05 1.96006E-20 3.47951E-14 7.72839E-17 7.26151E-14 2.29882E-14 1.14542E-15 6.33988E-12 5.36231E-06 2.04931E-15 6.55024E-13 5.88574E-17 9.61787E-15 1.91774E-13 3.01463E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54757E-04 9.98685E-01 1.10216E-04
8 1.12089E-15 1.84108E-07 2.86663E-08 4.60001E-22 9.52443E-12 1.57262E-14 8.91783E-23 2.40863E-11 3.39165E-12 4.97133E-06 9.96982E-05 1.96045E-20 3.47980E-14 7.72955E-17 7.26152E-14 2.29886E-14 1.14557E-15 6.33988E-12 5.36231E-06 2.04958E-15 6.55056E-13 5.88651E-17 9.61798E-15 1.91786E-13 3.01463E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54799E-04 9.98685E-01 1.10216E-04
9 1.12096E-15 1.84108E-07 2.86663E-08 4.60046E-22 9.52443E-12 1.57267E-14 8.91870E-23 2.40863E-11 3.39172E-12 4.97133E-06 9.96982E-05 1.96064E-20 3.47995E-14 7.73013E-17 7.26152E-14 2.29888E-14 1.14564E-15 6.33988E-12 5.36231E-06 2.04971E-15 6.55072E-13 5.88689E-17 9.61804E-15 1.91792E-13 3.01464E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54821E-04 9.98685E-01 1.10216E-04
10 1.12110E-15 1.84108E-07 2.86663E-08 4.60136E-22 9.52443E-12 1.57277E-14 8.92044E-23 2.40863E-11 3.39186E-12 4.97133E-06 9.96982E-05 1.96102E-20 3.48025E-14 7.73130E-17 7.26152E-14 2.29892E-14 1.14579E-15 6.33988E-12 5.36231E-06 2.04998E-15 6.55103E-13 5.88766E-17 9.61816E-15 1.91805E-13 3.01465E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54863E-04 9.98685E-01 1.10216E-04
11 1.12125E-15 1.84108E-07 2.86663E-08 4.60226E-22 9.52443E-12 1.57287E-14 8.92219E-23 2.40863E-11 3.39201E-12 4.97133E-06 9.96982E-05 1.96140E-20 3.48054E-14 7.73246E-17 7.26152E-14 2.29896E-14 1.14593E-15 6.33988E-12 5.36231E-06 2.05025E-15 6.55135E-13 5.88842E-17 9.61828E-15 1.91817E-13 3.01466E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54906E-04 9.98685E-01 1.10216E-04
12 1.12132E-15 1.84108E-07 2.86663E-08 4.60271E-22 9.52443E-12 1.57292E-14 8.92306E-23 2.40863E-11 3.39208E-12 4.97133E-06 9.96982E-05 1.96160E-20 3.48069E-14 7.73304E-17 7.26152E-14 2.29898E-14 1.14601E-15 6.33988E-12 5.36231E-06 2.05038E-15 6.55151E-13 5.88881E-17 9.61834E-15 1.91824E-13 3.01466E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54928E-04 9.98685E-01 1.10216E-04
13 1.12147E-15 1.84108E-07 2.86663E-08 4.60361E-22 9.52443E-12 1.57302E-14 8.92480E-23 2.40863E-11 3.39223E-12 4.97133E-06 9.96982E-05 1.96198E-20 3.48099E-14 7.73421E-17 7.26152E-14 2.29902E-14 1.14616E-15 6.33988E-12 5.36231E-06 2.05065E-15 6.55183E-13 5.88958E-17 9.61846E-15 1.91836E-13 3.01467E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54970E-04 9.98685E-01 1.10216E-04
14 1.12154E-15 1.84108E-07 2.86663E-08 4.60406E-22 9.52443E-12 1.57307E-14 8.92567E-23 2.40862E-11 3.39230E-12 4.97133E-06 9.96982E-05 1.96217E-20 3.48114E-14 7.73479E-17 7.26152E-14 2.29904E-14 1.14623E-15 6.33988E-12 5.36230E-06 2.05078E-15 6.55199E-13 5.88996E-17 9.61852E-15 1.91842E-13 3.01467E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.54992E-04 9.98685E-01 1.10216E-04
15 1.12169E-15 1.84108E-07 2.86663E-08 4.60496E-22 9.52443E-12 1.57317E-14 8.92742E-23 2.40862E-11 3.39244E-12 4.97133E-06 9.96982E-05 1.96256E-20 3.48143E-14 7.73595E-17 7.26152E-14 2.29909E-14 1.14638E-15 6.33988E-12 5.36230E-06 2.05105E-15 6.55230E-13 5.89073E-17 9.61863E-15 1.91855E-13 3.01468E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.55034E-04 9.98685E-01 1.10216E-04
16 1.12183E-15 1.84108E-07 2.86663E-08 4.60586E-22 9.52443E-12 1.57328E-14 8.92917E-23 2.40862E-11 3.39259E-12 4.97133E-06 9.96982E-05 1.96294E-20 3.48173E-14 7.73712E-17 7.26152E-14 2.29913E-14 1.14653E-15 6.33989E-12 5.36230E-06 2.05131E-15 6.55262E-13 5.89150E-17 9.61875E-15 1.91867E-13 3.01469E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.55077E-04 9.98684E-01 1.10216E-04
17 1.12190E-15 1.84108E-07 2.86663E-08 4.60631E-22 9.52443E-12 1.57333E-14 8.93004E-23 2.40862E-11 3.39266E-12 4.97133E-06 9.96982E-05 1.96313E-20 3.48188E-14 7.73770E-17 7.26152E-14 2.29915E-14 1.14660E-15 6.33989E-12 5.36230E-06 2.05145E-15 6.55278E-13 5.89188E-17 9.61881E-15 1.91873E-13 3.01469E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.55099E-04 9.98684E-01 1.10216E-04
18 1.12205E-15 1.84108E-07 2.86663E-08 4.60721E-22 9.52443E-12 1.57343E-14 8.93178E-23 2.40862E-11 3.39281E-12 4.97133E-06 9.96982E-05 1.96352E-20 3.48217E-14 7.73887E-17 7.26152E-14 2.29919E-14 1.14675E-15 6.33989E-12 5.36230E-06 2.05172E-15 6.55310E-13 5.89265E-17 9.61893E-15 1.91886E-13 3.01470E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.55141E-04 9.98684E-01 1.10216E-04
19 1.12212E-15 1.84108E-07 2.86663E-08 4.60766E-22 9.52443E-12 1.57348E-14 8.93266E-23 2.40862E-11 3.39288E-12 4.97133E-06 9.96982E-05 1.96371E-20 3.48232E-14 7.73945E-17 7.26152E-14 2.29921E-14 1.14682E-15 6.33989E-12 5.36230E-06 2.05185E-15 6.55326E-13 5.89303E-17 9.61899E-15 1.91892E-13 3.01470E-07 9.99998E-02 2.15691E-12 3.32957E-10 7.50305E-10 2.99999E-04 6.55163E-04 9.98684E-01 1.10216E-04
20 1.12227E-15 1.84108E-07 2.86663E-08 4.60856E-22 9.52444E-12 1.57358E-14 8.93440E-23 2.40862E-11 3.39302E-12 4.97133E-06 9.96982E-05 1.96409E-20 3.48262E-14 7.74061E-17 7.26152E-14 2.29925E-14 1.14697E-15 6.33989E-12 5.36230E-06 2.05212E-15 6.55357E-13 5.89380E-17 9.61911E-15 1.91905E-13 3.01471E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55206E-04 9.98684E-01 1.10216E-04
21 1.12234E-15 1.84108E-07 2.86663E-08 4.60901E-22 9.52444E-12 1.57363E-14 8.93528E-23 2.40862E-11 3.39310E-12 4.97133E-06 9.96982E-05 1.96428E-20 3.48277E-14 7.74120E-17 7.26152E-14 2.29927E-14 1.14704E-15 6.33989E-12 5.36230E-06 2.05225E-15 6.55373E-13 5.89419E-17 9.61916E-15 1.91911E-13 3.01471E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55227E-04 9.98684E-01 1.10216E-04
22 1.12249E-15 1.84108E-07 2.86663E-08 4.60992E-22 9.52444E-12 1.57373E-14 8.93703E-23 2.40862E-11 3.39324E-12 4.97133E-06 9.96982E-05 1.96467E-20 3.48307E-14 7.74236E-17 7.26152E-14 2.29931E-14 1.14719E-15 6.33989E-12 5.36230E-06 2.05252E-15 6.55405E-13 5.89495E-17 9.61928E-15 1.91923E-13 3.01472E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55270E-04 9.98684E-01 1.10216E-04
23 1.12263E-15 1.84108E-07 2.86663E-08 4.61082E-22 9.52444E-12 1.57383E-14 8.93877E-23 2.40862E-11 3.39339E-12 4.97133E-06 9.96982E-05 1.96505E-20 3.48336E-14 7.74353E-17 7.26152E-14 2.29935E-14 1.14734E-15 6.33989E-12 5.36230E-06 2.05279E-15 6.55436E-13 5.89572E-17 9.61940E-15 1.91936E-13 3.01472E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55313E-04 9.98684E-01 1.10216E-04
24 1.12271E-15 1.84108E-07 2.86663E-08 4.61127E-22 9.52444E-12 1.57389E-14 8.93965E-23 2.40862E-11 3.39346E-12 4.97133E-06 9.96982E-05 1.96525E-20 3.48351E-14 7.74411E-17 7.26152E-14 2.29937E-14 1.14741E-15 6.33989E-12 5.36230E-06 2.05292E-15 6.55452E-13 5.89611E-17 9.61946E-15 1.91942E-13 3.01473E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55334E-04 9.98684E-01 1.10216E-04
25 1.12285E-15 1.84108E-07 2.86663E-08 4.61217E-22 9.52444E-12 1.57399E-14 8.94140E-23 2.40862E-11 3.39360E-12 4.97133E-06 9.96982E-05 1.96563E-20 3.48381E-14 7.74528E-17 7.26152E-14 2.29941E-14 1.14756E-15 6.33989E-12 5.36229E-06 2.05319E-15 6.55484E-13 5.89688E-17 9.61958E-15 1.91954E-13 3.01473E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55377E-04 9.98684E-01 1.10216E-04
26 1.12293E-15 1.84108E-07 2.86663E-08 4.61262E-22 9.52444E-12 1.57404E-14 8.94227E-23 2.40862E-11 3.39368E-12 4.97133E-06 9.96982E-05 1.96582E-20 3.48396E-14 7.74586E-17 7.26152E-14 2.29943E-14 1.14763E-15 6.33989E-12 5.36229E-06 2.05332E-15 6.55500E-13 5.89726E-17 9.61964E-15 1.91961E-13 3.01474E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55398E-04 9.98684E-01 1.10216E-04
27 1.12307E-15 1.84108E-07 2.86663E-08 4.61353E-22 9.52444E-12 1.57414E-14 8.94402E-23 2.40862E-11 3.39382E-12 4.97133E-06 9.96982E-05 1.96621E-20 3.48425E-14 7.74703E-17 7.26152E-14 2.29948E-14 1.14778E-15 6.33989E-12 5.36229E-06 2.05359E-15 6.55531E-13 5.89803E-17 9.61976E-15 1.91973E-13 3.01474E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55441E-04 9.98684E-01 1.10216E-04
28 1.12322E-15 1.84108E-07 2.86663E-08 4.61443E-22 9.52444E-12 1.57424E-14 8.94577E-23 2.40862E-11 3.39397E-12 4.97133E-06 9.96982E-05 1.96659E-20 3.48455E-14 7.74819E-17 7.26152E-14 2.29952E-14 1.14793E-15 6.33989E-12 5.36229E-06 2.05386E-15 6.55563E-13 5.89880E-17 9.61987E-15 1.91986E-13 3.01475E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55484E-04 9.98684E-01 1.10216E-04
29 1.12329E-15 1.84108E-07 2.86663E-08 4.61488E-22 9.52444E-12 1.57429E-14 8.94665E-23 2.40862E-11 3.39404E-12 4.97133E-06 9.96982E-05 1.96678E-20 3.48470E-14 7.74878E-17 7.26152E-14 2.29954E-14 1.14800E-15 6.33989E-12 5.36229E-06 2.05399E-15 6.55579E-13 5.89919E-17 9.61993E-15 1.91992E-13 3.01475E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55505E-04 9.98684E-01 1.10216E-04
30 1.12344E-15 1.84108E-07 2.86663E-08 4.61578E-22 9.52444E-12 1.57439E-14 8.94840E-23 2.40861E-11 3.39419E-12 4.97133E-06 9.96982E-05 1.96717E-20 3.48500E-14 7.74995E-17 7.26152E-14 2.29958E-14 1.14815E-15 6.33989E-12 5.36229E-06 2.05426E-15 6.55611E-13 5.89996E-17 9.62005E-15 1.92004E-13 3.01476E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55548E-04 9.98684E-01 1.10216E-04
31 1.12351E-15 1.84108E-07 2.86663E-08 4.61623E-22 9.52444E-12 1.57444E-14 8.94927E-23 2.40861E-11 3.39426E-12 4.97133E-06 9.96982E-05 1.96736E-20 3.48515E-14 7.75053E-17 7.26152E-14 2.29960E-14 1.14823E-15 6.33989E-12 5.36229E-06 2.05439E-15 6.55626E-13 5.90034E-17 9.62011E-15 1.92011E-13 3.01476E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55569E-04 9.98683E-01 1.10216E-04
32 1.12366E-15 1.84108E-07 2.86663E-08 4.61714E-22 9.52445E-12 1.57455E-14 8.95102E-23 2.40861E-11 3.39440E-12 4.97133E-06 9.96982E-05 1.96775E-20 3.48544E-14 7.75170E-17 7.26152E-14 2.29964E-14 1.14837E-15 6.33989E-12 5.36229E-06 2.05466E-15 6.55658E-13 5.90111E-17 9.62023E-15 1.92023E-13 3.01477E-07 9.99998E-02 2.15691E-12 3.32958E-10 7.50305E-10 2.99999E-04 6.55612E-04 9.98683E-01 1.10216E-04
