Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
1 0.00000E+00 2.15102E-22 1.89379E-23 1.22486E-25 1.37595E-31 1.45410E-28 1.19372E-31 2.34163E-22
2 0.00000E+00 2.15102E-22 1.89379E-23 1.22494E-25 1.37666E-31 1.45486E-28 1.19520E-31 2.34163E-22
3 0.00000E+00 2.15102E-22 1.89379E-23 1.22495E-25 1.37675E-31 1.45496E-28 1.19332E-31 2.34163E-22
4 0.00000E+00 2.15102E-22 1.89379E-23 1.22495E-25 1.37680E-31 1.45500E-28 1.19393E-31 2.34163E-22
5 0.00000E+00 2.15102E-22 1.89379E-23 1.22495E-25 1.37689E-31 1.45510E-28 1.19451E-31 2.34163E-22
6 0.00000E+00 2.15102E-22 1.89379E-23 1.22496E-25 1.37698E-31 1.45519E-28 1.19354E-31 2.34163E-22
7 0.00000E+00 2.15102E-22 1.89379E-23 1.22496E-25 1.37703E-31 1.45524E-28 1.19415E-31 2.34163E-22
8 0.00000E+00 2.15102E-22 1.89379E-23 1.22496E-25 1.37712E-31 1.45534E-28 1.19371E-31 2.34163E-22
9 0.00000E+00 2.15102E-22 1.89379E-23 1.22497E-25 1.37716E-31 1.45538E-28 1.19358E-31 2.34163E-22
10 0.00000E+00 2.15102E-22 1.89379E-23 1.22497E-25 1.37725E-31 1.45548E-28 1.19375E-31 2.34163E-22
11 0.00000E+00 2.15102E-22 1.89379E-23 1.22497E-25 1.37734E-31 1.45557E-28 1.19428E-31 2.34163E-22
12 0.00000E+00 2.15102E-22 1.89379E-23 1.22497E-25 1.37739E-31 1.45562E-28 1.19385E-31 2.34163E-22
13 0.00000E+00 2.15102E-22 1.89379E-23 1.22498E-25 1.37748E-31 1.45571E-28 1.19407E-31 2.34163E-22
14 0.00000E+00 2.15102E-22 1.89379E-23 1.22498E-25 1.37752E-31 1.45576E-28 1.19386E-31 2.34163E-22
15 0.00000E+00 2.15102E-22 1.89379E-23 1.22498E-25 1.37761E-31 1.45586E-28 1.19408E-31 2.34163E-22
16 0.00000E+00 2.15102E-22 1.89379E-23 1.22498E-25 1.37770E-31 1.45595E-28 1.19414E-31 2.34163E-22
17 0.00000E+00 2.15102E-22 1.89379E-23 1.22499E-25 1.37775E-31 1.45600E-28 1.19445E-31 2.34163E-22
18 0.00000E+00 2.15102E-22 1.89379E-23 1.22499E-25 1.37784E-31 1.45610E-28 1.19450E-31 2.34163E-22
19 0.00000E+00 2.15102E-22 1.89379E-23 1.22499E-25 1.37788E-31 1.45615E-28 1.19427E-31 2.34163E-22
20 0.00000E+00 2.15102E-22 1.89379E-23 1.22499E-25 1.37797E-31 1.45624E-28 1.19440E-31 2.34163E-22
