Particle Photoelectic H2Form H2*Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total
1 1.38660E-22 1.38712E-22 6.10195E-33 3.69909E-23 2.46308E-25 3.35429E-28 7.00000E-26 5.70762E-29 -1.90718E-25 0.00000E+00 3.14489E-22
2 1.38660E-22 1.38712E-22 6.10513E-33 3.69909E-23 2.46308E-25 3.35604E-28 7.00000E-26 5.71025E-29 -1.90718E-25 0.00000E+00 3.14489E-22
3 1.38660E-22 1.38712E-22 6.10553E-33 3.69909E-23 2.46308E-25 3.35626E-28 7.00000E-26 5.71058E-29 -1.90718E-25 0.00000E+00 3.14489E-22
4 1.38660E-22 1.38712E-22 6.10573E-33 3.69909E-23 2.46308E-25 3.35637E-28 7.00000E-26 5.71074E-29 -1.90718E-25 0.00000E+00 3.14489E-22
5 1.38660E-22 1.38712E-22 6.10613E-33 3.69909E-23 2.46308E-25 3.35659E-28 7.00000E-26 5.71107E-29 -1.90718E-25 0.00000E+00 3.14489E-22
6 1.38660E-22 1.38712E-22 6.10653E-33 3.69909E-23 2.46308E-25 3.35680E-28 7.00000E-26 5.71140E-29 -1.90718E-25 0.00000E+00 3.14489E-22
7 1.38660E-22 1.38712E-22 6.10673E-33 3.69909E-23 2.46308E-25 3.35691E-28 7.00000E-26 5.71156E-29 -1.90718E-25 0.00000E+00 3.14489E-22
8 1.38660E-22 1.38712E-22 6.10712E-33 3.69908E-23 2.46308E-25 3.35713E-28 7.00000E-26 5.71189E-29 -1.90718E-25 0.00000E+00 3.14489E-22
9 1.38660E-22 1.38712E-22 6.10732E-33 3.69908E-23 2.46308E-25 3.35724E-28 7.00000E-26 5.71206E-29 -1.90718E-25 0.00000E+00 3.14489E-22
10 1.38660E-22 1.38712E-22 6.10772E-33 3.69908E-23 2.46308E-25 3.35746E-28 7.00000E-26 5.71239E-29 -1.90718E-25 0.00000E+00 3.14489E-22
11 1.38660E-22 1.38712E-22 6.10812E-33 3.69908E-23 2.46308E-25 3.35768E-28 7.00000E-26 5.71272E-29 -1.90718E-25 0.00000E+00 3.14489E-22
12 1.38660E-22 1.38712E-22 6.10832E-33 3.69908E-23 2.46308E-25 3.35779E-28 7.00000E-26 5.71288E-29 -1.90718E-25 0.00000E+00 3.14489E-22
13 1.38660E-22 1.38712E-22 6.10872E-33 3.69908E-23 2.46308E-25 3.35801E-28 7.00000E-26 5.71321E-29 -1.90718E-25 0.00000E+00 3.14489E-22
14 1.38660E-22 1.38712E-22 6.10891E-33 3.69908E-23 2.46308E-25 3.35812E-28 7.00000E-26 5.71337E-29 -1.90718E-25 0.00000E+00 3.14489E-22
15 1.38660E-22 1.38712E-22 6.10931E-33 3.69908E-23 2.46308E-25 3.35834E-28 7.00000E-26 5.71370E-29 -1.90718E-25 0.00000E+00 3.14488E-22
16 1.38660E-22 1.38712E-22 6.10971E-33 3.69908E-23 2.46308E-25 3.35856E-28 7.00000E-26 5.71403E-29 -1.90718E-25 0.00000E+00 3.14488E-22
17 1.38660E-22 1.38712E-22 6.10991E-33 3.69908E-23 2.46308E-25 3.35867E-28 7.00000E-26 5.71420E-29 -1.90718E-25 0.00000E+00 3.14488E-22
18 1.38660E-22 1.38712E-22 6.11031E-33 3.69908E-23 2.46308E-25 3.35889E-28 7.00000E-26 5.71453E-29 -1.90718E-25 0.00000E+00 3.14488E-22
19 1.38660E-22 1.38712E-22 6.11051E-33 3.69908E-23 2.46308E-25 3.35900E-28 7.00000E-26 5.71469E-29 -1.90718E-25 0.00000E+00 3.14488E-22
20 1.38660E-22 1.38712E-22 6.11091E-33 3.69908E-23 2.46308E-25 3.35922E-28 7.00000E-26 5.71502E-29 -1.90718E-25 0.00000E+00 3.14488E-22
21 1.38660E-22 1.38712E-22 6.11111E-33 3.69908E-23 2.46308E-25 3.35933E-28 7.00000E-26 5.71518E-29 -1.90718E-25 0.00000E+00 3.14488E-22
22 1.38660E-22 1.38712E-22 6.11150E-33 3.69908E-23 2.46308E-25 3.35954E-28 7.00000E-26 5.71551E-29 -1.90718E-25 0.00000E+00 3.14488E-22
23 1.38660E-22 1.38712E-22 6.11190E-33 3.69908E-23 2.46308E-25 3.35976E-28 7.00000E-26 5.71584E-29 -1.90718E-25 0.00000E+00 3.14488E-22
24 1.38660E-22 1.38712E-22 6.11210E-33 3.69908E-23 2.46308E-25 3.35987E-28 7.00000E-26 5.71601E-29 -1.90718E-25 0.00000E+00 3.14488E-22
25 1.38660E-22 1.38712E-22 6.11250E-33 3.69908E-23 2.46308E-25 3.36009E-28 7.00000E-26 5.71634E-29 -1.90718E-25 0.00000E+00 3.14488E-22
26 1.38660E-22 1.38712E-22 6.11270E-33 3.69908E-23 2.46308E-25 3.36020E-28 7.00000E-26 5.71650E-29 -1.90718E-25 0.00000E+00 3.14488E-22
27 1.38660E-22 1.38712E-22 6.11310E-33 3.69908E-23 2.46308E-25 3.36042E-28 7.00000E-26 5.71683E-29 -1.90718E-25 0.00000E+00 3.14488E-22
28 1.38660E-22 1.38712E-22 6.11350E-33 3.69908E-23 2.46308E-25 3.36064E-28 7.00000E-26 5.71716E-29 -1.90718E-25 0.00000E+00 3.14488E-22
29 1.38660E-22 1.38712E-22 6.11370E-33 3.69908E-23 2.46308E-25 3.36075E-28 7.00000E-26 5.71732E-29 -1.90718E-25 0.00000E+00 3.14488E-22
30 1.38660E-22 1.38712E-22 6.11410E-33 3.69908E-23 2.46308E-25 3.36097E-28 7.00000E-26 5.71765E-29 -1.90718E-25 0.00000E+00 3.14488E-22
31 1.38660E-22 1.38712E-22 6.11430E-33 3.69908E-23 2.46308E-25 3.36108E-28 7.00000E-26 5.71782E-29 -1.90718E-25 0.00000E+00 3.14488E-22
32 1.38660E-22 1.38712E-22 6.11470E-33 3.69908E-23 2.46308E-25 3.36130E-28 7.00000E-26 5.71815E-29 -1.90718E-25 0.00000E+00 3.14488E-22
33 1.38660E-22 1.38712E-22 6.11509E-33 3.69908E-23 2.46308E-25 3.36152E-28 7.00000E-26 5.71848E-29 -1.90718E-25 0.00000E+00 3.14488E-22
34 1.38660E-22 1.38712E-22 6.11529E-33 3.69908E-23 2.46308E-25 3.36163E-28 7.00000E-26 5.71864E-29 -1.90718E-25 0.00000E+00 3.14488E-22
35 1.38660E-22 1.38712E-22 6.11569E-33 3.69908E-23 2.46308E-25 3.36185E-28 7.00000E-26 5.71897E-29 -1.90718E-25 0.00000E+00 3.14488E-22
36 1.38660E-22 1.38712E-22 6.11589E-33 3.69908E-23 2.46308E-25 3.36196E-28 7.00000E-26 5.71914E-29 -1.90718E-25 0.00000E+00 3.14488E-22
37 1.38660E-22 1.38712E-22 6.11629E-33 3.69908E-23 2.46308E-25 3.36218E-28 7.00000E-26 5.71947E-29 -1.90718E-25 0.00000E+00 3.14488E-22
38 1.38660E-22 1.38712E-22 6.11669E-33 3.69908E-23 2.46308E-25 3.36240E-28 7.00000E-26 5.71980E-29 -1.90718E-25 0.00000E+00 3.14488E-22
39 1.38660E-22 1.38712E-22 6.11689E-33 3.69908E-23 2.46308E-25 3.36251E-28 7.00000E-26 5.71996E-29 -1.90718E-25 0.00000E+00 3.14488E-22
40 1.38660E-22 1.38712E-22 6.11729E-33 3.69908E-23 2.46308E-25 3.36273E-28 7.00000E-26 5.72029E-29 -1.90718E-25 0.00000E+00 3.14488E-22
41 1.38660E-22 1.38712E-22 6.11749E-33 3.69908E-23 2.46308E-25 3.36284E-28 7.00000E-26 5.72046E-29 -1.90718E-25 0.00000E+00 3.14488E-22
42 1.38660E-22 1.38712E-22 6.11789E-33 3.69908E-23 2.46308E-25 3.36306E-28 7.00000E-26 5.72079E-29 -1.90718E-25 0.00000E+00 3.14488E-22
43 1.38660E-22 1.38712E-22 6.11809E-33 3.69908E-23 2.46308E-25 3.36317E-28 7.00000E-26 5.72095E-29 -1.90718E-25 0.00000E+00 3.14488E-22
44 1.38660E-22 1.38712E-22 6.11849E-33 3.69908E-23 2.46308E-25 3.36339E-28 7.00000E-26 5.72128E-29 -1.90718E-25 0.00000E+00 3.14488E-22
45 1.38660E-22 1.38712E-22 6.11889E-33 3.69908E-23 2.46308E-25 3.36361E-28 7.00000E-26 5.72161E-29 -1.90718E-25 0.00000E+00 3.14488E-22
46 1.38660E-22 1.38712E-22 6.11909E-33 3.69908E-23 2.46308E-25 3.36372E-28 7.00000E-26 5.72178E-29 -1.90718E-25 0.00000E+00 3.14488E-22
47 1.38660E-22 1.38712E-22 6.11949E-33 3.69908E-23 2.46308E-25 3.36394E-28 7.00000E-26 5.72211E-29 -1.90718E-25 0.00000E+00 3.14488E-22
48 1.38660E-22 1.38712E-22 6.11969E-33 3.69908E-23 2.46308E-25 3.36405E-28 7.00000E-26 5.72227E-29 -1.90718E-25 0.00000E+00 3.14488E-22
49 1.38660E-22 1.38712E-22 6.12009E-33 3.69907E-23 2.46308E-25 3.36427E-28 7.00000E-26 5.72260E-29 -1.90718E-25 0.00000E+00 3.14488E-22
50 1.38659E-22 1.38712E-22 6.12049E-33 3.69907E-23 2.46308E-25 3.36449E-28 7.00000E-26 5.72293E-29 -1.90718E-25 0.00000E+00 3.14488E-22
51 1.38659E-22 1.38712E-22 6.12069E-33 3.69907E-23 2.46308E-25 3.36460E-28 7.00000E-26 5.72310E-29 -1.90718E-25 0.00000E+00 3.14488E-22
52 1.38659E-22 1.38712E-22 6.12109E-33 3.69907E-23 2.46308E-25 3.36482E-28 7.00000E-26 5.72343E-29 -1.90718E-25 0.00000E+00 3.14488E-22
53 1.38659E-22 1.38712E-22 6.12129E-33 3.69907E-23 2.46308E-25 3.36493E-28 7.00000E-26 5.72359E-29 -1.90718E-25 0.00000E+00 3.14488E-22
