Particle n(H,0) n(H,1) n(C+,0) n(C+,1) n(O,0) n(O,1) n(O,2) n(O,3) n(O,4) n(C,0) n(C,1) n(C,2) n(C,3) n(C,4) n(CO,0) n(CO,1) n(CO,2) n(CO,3) n(CO,4) n(CO,5) n(CO,6) n(CO,7) n(CO,8) n(CO,9) n(CO,10) n(CO,11) n(CO,12) n(CO,13) n(CO,14) n(CO,15) n(CO,16) n(CO,17) n(CO,18) n(CO,19) n(CO,20) n(CO,21) n(CO,22) n(CO,23) n(CO,24) n(CO,25) n(CO,26) n(CO,27) n(CO,28) n(CO,29) n(CO,30) n(CO,31) n(CO,32) n(CO,33) n(CO,34) n(CO,35) n(CO,36) n(CO,37) n(CO,38) n(CO,39) n(CO,40) n(p-H2,0) n(p-H2,1) n(p-H2,2) n(p-H2,3) n(p-H2,4) n(p-H2,5) n(p-H2,6) n(p-H2,7) n(p-H2,8) n(p-H2,9) n(p-H2,10) n(p-H2,11) n(p-H2,12) n(p-H2,13) n(p-H2,14) n(p-H2,15) n(p-H2,16) n(p-H2,17) n(p-H2,18) n(p-H2,19) n(p-H2,20) n(p-H2,21) n(p-H2,22) n(p-H2,23) n(p-H2,24) n(p-H2,25) n(p-H2,26) n(p-H2,27) n(o-H2,0) n(o-H2,1) n(o-H2,2) n(o-H2,3) n(o-H2,4) n(o-H2,5) n(o-H2,6) n(o-H2,7) n(o-H2,8) n(o-H2,9) n(o-H2,10) n(o-H2,11) n(o-H2,12) n(o-H2,13) n(o-H2,14) n(o-H2,15) n(o-H2,16) n(o-H2,17) n(o-H2,18) n(o-H2,19) n(o-H2,20) n(o-H2,21) n(o-H2,22) n(o-H2,23) n(o-H2,24) 
1 9.98686E+02 3.11497E-67 9.23389E-02 7.35933E-03 2.99991E-01 6.64515E-06 1.35318E-06 0.00000E+00 0.00000E+00 9.99702E-05 1.40719E-04 6.07490E-05 2.31319E-19 0.00000E+00 2.36285E-07 9.38854E-08 2.77088E-09 1.42486E-11 7.52636E-13 1.17232E-13 1.83121E-14 2.90849E-15 4.14302E-16 5.62151E-17 6.83403E-18 7.86791E-19 8.15737E-20 8.46807E-21 9.57500E-22 6.60581E-23 6.59160E-24 3.92265E-24 5.67394E-24 2.19720E-25 0.00000E+00 1.00263E-23 1.67052E-24 1.38844E-23 0.00000E+00 1.26985E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.49721E-23 0.00000E+00 1.46946E-23 5.04224E-01 7.02123E-05 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.46816E-19 3.54500E-17 1.19008E-18 4.11997E-17 1.63037E-17 5.01115E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.70838E-17 1.97102E-23 0.00000E+00 0.00000E+00 5.98879E-21 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.49950E-01 2.14824E-09 2.60209E-17 6.95516E-17 0.00000E+00 0.00000E+00 1.98036E-18 4.74745E-17 1.47860E-19 0.00000E+00 0.00000E+00 0.00000E+00 1.30867E-18 4.86072E-22 4.98055E-18 5.90938E-20 6.84403E-18 2.24567E-25 2.71368E-27 0.00000E+00 2.21160E-18 0.00000E+00 0.00000E+00 0.00000E+00 2.60209E-17
2 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 0.00000E+00 0.00000E+00 9.99771E-05 1.40728E-04 6.07531E-05 2.41881E-19 0.00000E+00 2.36285E-07 9.38857E-08 2.77092E-09 1.42516E-11 7.53028E-13 1.17294E-13 1.83216E-14 2.91001E-15 4.14519E-16 5.62446E-17 6.83762E-18 7.87203E-19 8.16435E-20 8.47400E-21 9.60292E-22 5.91693E-23 1.19618E-23 2.24890E-24 1.11799E-24 6.03583E-24 7.86468E-24 6.44619E-24 1.01620E-23 2.87025E-23 1.24142E-23 2.78107E-23 1.27082E-23 0.00000E+00 3.15686E-24 2.23323E-23 1.81027E-23 9.14745E-24 1.90639E-23 4.35562E-24 7.08435E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.04487E-01 7.02490E-05 0.00000E+00 0.00000E+00 0.00000E+00 6.86725E-21 1.98269E-18 4.81894E-17 0.00000E+00 0.00000E+00 5.61075E-18 8.11833E-24 0.00000E+00 6.66129E-21 2.58816E-18 0.00000E+00 3.57710E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.92119E-23 0.00000E+00 0.00000E+00 0.00000E+00 4.36222E-18 0.00000E+00 8.88944E-17 1.50028E-01 2.14936E-09 8.69096E-16 2.00794E-16 5.76512E-20 4.75863E-18 1.20499E-17 0.00000E+00 3.04244E-19 1.59005E-17 0.00000E+00 1.87724E-19 4.33511E-18 1.34293E-21 5.98005E-18 1.58514E-19 1.31104E-17 3.53612E-25 6.80314E-27 3.68509E-22 3.36950E-18 0.00000E+00 1.96829E-19 5.86384E-39 5.64598E-17
3 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 0.00000E+00 0.00000E+00 9.99774E-05 1.40729E-04 6.07533E-05 6.42898E-19 0.00000E+00 2.36285E-07 9.38857E-08 2.77092E-09 1.42519E-11 7.53077E-13 1.17301E-13 1.83228E-14 2.91020E-15 4.14546E-16 5.62483E-17 6.83804E-18 7.87260E-19 8.16397E-20 8.46919E-21 9.67659E-22 6.80744E-23 1.97683E-23 1.58134E-23 9.88739E-24 4.85969E-24 8.06501E-24 1.07146E-23 5.71595E-24 1.99040E-24 1.54127E-24 2.97591E-24 1.44223E-23 1.40766E-23 1.24045E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.76921E-24 0.00000E+00 0.00000E+00 6.17154E-25 1.77577E-23 9.76380E-24 0.00000E+00 0.00000E+00 5.04520E-01 7.02536E-05 1.19696E-15 8.35486E-16 1.99168E-16 3.52358E-21 0.00000E+00 0.00000E+00 1.48620E-17 0.00000E+00 2.09183E-17 0.00000E+00 2.35257E-19 7.49757E-21 0.00000E+00 1.12118E-17 9.63415E-18 7.36126E-22 6.03511E-18 0.00000E+00 2.16735E-19 0.00000E+00 0.00000E+00 3.78085E-26 4.34486E-18 8.68209E-20 2.12489E-76 8.45000E-17 1.50038E-01 2.14950E-09 6.96491E-16 0.00000E+00 0.00000E+00 5.48708E-18 1.01644E-20 0.00000E+00 0.00000E+00 1.01644E-17 0.00000E+00 0.00000E+00 0.00000E+00 1.85702E-22 5.10083E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.06057E-23 2.79097E-19 6.54070E-24 1.03444E-19 9.63555E-40 0.00000E+00
4 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 8.11908E-18 5.12354E-20 9.99776E-05 1.40729E-04 6.07535E-05 0.00000E+00 3.10382E-20 2.36285E-07 9.38857E-08 2.77092E-09 1.42521E-11 7.53102E-13 1.17305E-13 1.83234E-14 2.91030E-15 4.14560E-16 5.62501E-17 6.83829E-18 7.87281E-19 8.16453E-20 8.47241E-21 9.62864E-22 6.24004E-23 1.33124E-24 2.11319E-24 0.00000E+00 0.00000E+00 1.96455E-24 0.00000E+00 0.00000E+00 5.04063E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.04537E-01 7.02559E-05 0.00000E+00 3.37837E-16 1.00885E-16 0.00000E+00 0.00000E+00 1.64053E-17 2.77827E-19 1.39591E-18 6.42390E-18 2.80991E-24 0.00000E+00 1.00941E-20 2.78621E-19 0.00000E+00 3.71000E-17 1.19670E-22 0.00000E+00 4.04591E-26 9.45997E-20 7.90991E-24 2.04975E-21 1.44724E-26 0.00000E+00 0.00000E+00 4.25820E-77 8.08679E-17 1.50043E-01 2.14957E-09 0.00000E+00 9.12356E-17 6.96685E-20 1.14688E-18 6.26296E-18 1.81265E-17 1.01379E-19 0.00000E+00 9.98821E-23 1.85765E-19 2.57752E-18 0.00000E+00 2.75963E-18 1.76950E-20 1.06387E-18 1.97485E-24 1.23788E-26 0.00000E+00 1.36796E-19 7.63365E-25 0.00000E+00 2.65964E-39 1.93733E-17
5 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 0.00000E+00 5.19455E-21 9.99780E-05 1.40729E-04 6.07537E-05 8.41739E-20 3.26791E-20 2.36285E-07 9.38857E-08 2.77093E-09 1.42525E-11 7.53151E-13 1.17313E-13 1.83246E-14 2.91049E-15 4.14587E-16 5.62538E-17 6.83873E-18 7.87337E-19 8.16428E-20 8.48523E-21 9.70554E-22 4.87003E-23 4.97601E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.65113E-24 2.24567E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 7.30730E-24 0.00000E+00 0.00000E+00 1.87335E-23 3.84106E-23 5.08902E-23 3.24434E-23 6.90558E-23 5.04570E-01 7.02604E-05 0.00000E+00 2.01011E-15 5.96311E-18 4.72403E-21 1.62000E-18 0.00000E+00 5.59635E-18 0.00000E+00 0.00000E+00 1.27215E-23 1.50216E-19 1.06880E-20 1.42243E-18 5.16394E-18 9.62229E-19 2.10660E-22 4.47801E-17 8.69956E-26 5.57156E-20 7.27483E-23 5.73468E-20 3.13612E-26 3.28945E-18 3.71636E-18 9.47448E-77 1.05022E-16 1.50053E-01 2.14970E-09 0.00000E+00 3.31224E-17 0.00000E+00 7.89943E-18 2.61564E-18 3.38813E-19 0.00000E+00 2.13452E-18 0.00000E+00 1.12761E-20 1.99815E-18 0.00000E+00 2.53263E-18 0.00000E+00 8.10441E-18 4.71751E-25 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.29869E-20 3.25586E-39 3.63208E-17
6 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 2.08350E-17 9.48800E-20 9.99783E-05 1.40730E-04 6.07539E-05 0.00000E+00 1.05279E-20 2.36285E-07 9.38858E-08 2.77093E-09 1.42528E-11 7.53200E-13 1.17321E-13 1.83258E-14 2.91068E-15 4.14614E-16 5.62575E-17 6.83916E-18 7.87371E-19 8.16471E-20 8.47037E-21 9.56079E-22 5.40511E-23 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.00666E-25 4.06805E-24 5.13110E-24 2.14227E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.05013E-25 0.00000E+00 0.00000E+00 0.00000E+00 1.86520E-24 0.00000E+00 1.35919E-23 8.81190E-23 5.04603E-01 7.02650E-05 2.59515E-15 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.08420E-18 5.85876E-17 2.96902E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.36154E-23 0.00000E+00 0.00000E+00 2.15365E-20 0.00000E+00 0.00000E+00 0.00000E+00 4.45264E-18 0.00000E+00 0.00000E+00 1.07133E-17 1.50062E-01 2.14985E-09 0.00000E+00 0.00000E+00 9.70912E-20 5.40915E-18 0.00000E+00 1.37694E-17 0.00000E+00 0.00000E+00 0.00000E+00 2.96091E-19 0.00000E+00 0.00000E+00 5.79371E-18 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.70373E-24 0.00000E+00 0.00000E+00 0.00000E+00
7 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 1.39479E-17 0.00000E+00 9.99784E-05 1.40730E-04 6.07540E-05 0.00000E+00 1.16682E-20 2.36285E-07 9.38858E-08 2.77093E-09 1.42530E-11 7.53224E-13 1.17325E-13 1.83264E-14 2.91077E-15 4.14628E-16 5.62593E-17 6.83939E-18 7.87397E-19 8.16537E-20 8.48742E-21 9.70451E-22 6.11726E-23 0.00000E+00 2.66249E-24 3.31518E-24 5.60286E-24 8.58846E-24 1.50573E-23 7.63526E-24 5.42837E-24 1.73805E-23 1.86762E-24 7.31861E-24 0.00000E+00 4.84191E-24 2.74973E-24 0.00000E+00 0.00000E+00 7.70797E-24 0.00000E+00 1.14456E-23 1.44070E-23 9.06667E-24 1.97150E-23 1.94517E-23 2.49043E-24 8.09167E-24 5.04619E-01 7.02673E-05 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 8.70326E-19 1.29850E-18 9.05478E-19 0.00000E+00 0.00000E+00 1.12485E-24 1.47159E-19 0.00000E+00 8.73397E-19 6.99946E-18 0.00000E+00 5.12464E-23 0.00000E+00 7.85705E-27 4.30895E-20 1.66341E-23 0.00000E+00 5.91172E-27 2.74163E-18 8.07011E-19 5.41616E-77 4.53569E-17 1.50067E-01 2.14991E-09 0.00000E+00 8.51641E-17 1.80709E-19 1.11724E-17 4.27413E-18 0.00000E+00 1.43254E-19 0.00000E+00 1.16012E-22 2.20334E-19 2.59785E-18 1.05848E-21 0.00000E+00 1.31939E-19 1.68221E-18 0.00000E+00 2.41107E-26 1.23705E-21 3.29792E-18 0.00000E+00 0.00000E+00 0.00000E+00 2.21313E-17
8 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 0.00000E+00 8.05616E-20 9.99788E-05 1.40731E-04 6.07541E-05 0.00000E+00 0.00000E+00 2.36285E-07 9.38858E-08 2.77094E-09 1.42534E-11 7.53273E-13 1.17332E-13 1.83276E-14 2.91096E-15 4.14655E-16 5.62630E-17 6.83983E-18 7.87461E-19 8.16449E-20 8.46401E-21 9.58198E-22 4.22250E-23 7.10858E-25 0.00000E+00 0.00000E+00 7.09566E-24 2.07312E-23 1.62140E-23 1.32478E-23 7.71928E-24 4.31039E-24 7.66435E-24 5.97767E-24 1.47374E-23 1.20345E-23 1.59588E-23 1.59879E-23 5.81127E-24 3.17140E-24 4.47356E-24 7.01892E-24 0.00000E+00 2.13072E-23 5.70545E-24 5.02092E-23 4.87681E-23 4.19915E-23 5.04652E-01 7.02719E-05 3.32026E-15 7.18392E-16 6.89282E-17 0.00000E+00 0.00000E+00 0.00000E+00 2.37508E-18 0.00000E+00 9.23063E-17 0.00000E+00 0.00000E+00 0.00000E+00 2.15252E-19 0.00000E+00 0.00000E+00 0.00000E+00 2.33823E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.34848E-28 0.00000E+00 0.00000E+00 0.00000E+00 1.72422E-16 1.50077E-01 2.15006E-09 0.00000E+00 0.00000E+00 6.76832E-20 7.86047E-18 0.00000E+00 1.76386E-17 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.69768E-25 4.25354E-27 3.17224E-22 0.00000E+00 0.00000E+00 0.00000E+00 9.27682E-40 3.83537E-18
9 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 6.23283E-18 0.00000E+00 9.99789E-05 1.40731E-04 6.07542E-05 1.79756E-19 0.00000E+00 2.36285E-07 9.38859E-08 2.77094E-09 1.42536E-11 7.53298E-13 1.17336E-13 1.83282E-14 2.91106E-15 4.14668E-16 5.62648E-17 6.84006E-18 7.87490E-19 8.16717E-20 8.48815E-21 9.76151E-22 5.92856E-23 1.13673E-23 4.51072E-24 0.00000E+00 6.36541E-24 5.92597E-24 4.18437E-24 0.00000E+00 2.98561E-24 5.35082E-24 5.72887E-24 1.35095E-23 2.07377E-23 1.63691E-23 2.42047E-23 6.98257E-24 0.00000E+00 0.00000E+00 2.92260E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 5.04668E-01 7.02742E-05 1.33574E-15 2.34838E-16 6.62448E-17 0.00000E+00 1.89841E-19 5.44727E-18 2.88754E-18 0.00000E+00 4.55026E-18 2.18912E-24 1.60341E-19 0.00000E+00 0.00000E+00 7.16886E-18 0.00000E+00 1.45610E-22 2.50137E-17 0.00000E+00 0.00000E+00 1.41170E-23 0.00000E+00 2.35073E-26 1.72498E-18 0.00000E+00 1.26633E-76 6.99344E-17 1.50082E-01 2.15013E-09 0.00000E+00 0.00000E+00 7.22360E-20 0.00000E+00 0.00000E+00 3.79471E-18 0.00000E+00 7.79270E-20 3.87948E-22 6.35804E-20 0.00000E+00 3.64580E-22 0.00000E+00 6.89935E-20 2.74269E-18 4.28534E-25 0.00000E+00 1.27138E-21 1.19135E-18 0.00000E+00 7.00284E-19 7.53769E-39 0.00000E+00
10 9.98685E+02 3.11496E-67 9.23389E-02 7.35932E-03 2.99991E-01 6.64515E-06 1.35318E-06 0.00000E+00 0.00000E+00 9.99792E-05 1.40731E-04 6.07544E-05 2.66815E-20 0.00000E+00 2.36285E-07 9.38859E-08 2.77094E-09 1.42539E-11 7.53347E-13 1.17344E-13 1.83294E-14 2.91125E-15 4.14696E-16 5.62685E-17 6.84049E-18 7.87526E-19 8.16484E-20 8.46874E-21 9.72635E-22 6.49078E-23 1.75259E-23 1.77198E-23 1.17227E-23 1.45920E-23 2.10479E-23 1.49119E-23 2.24728E-23 5.90659E-24 4.54626E-24 4.20053E-25 1.63384E-23 5.97606E-24 1.21428E-23 3.99696E-24 2.13096E-24 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.31977E-23 1.03616E-23 1.09020E-23 1.64855E-23 1.75049E-24 5.04701E-01 7.02788E-05 0.00000E+00 4.92445E-16 6.89824E-18 4.51186E-21 3.76347E-19 0.00000E+00 8.70072E-18 0.00000E+00 3.82249E-17 1.37010E-23 3.67334E-20 6.67121E-21 7.67412E-19 6.76779E-19 4.84503E-17 3.24539E-22 0.00000E+00 3.64896E-26 7.73381E-20 3.38013E-23 2.73780E-20 1.01061E-26 3.06817E-18 8.39410E-19 7.21761E-77 8.04342E-18 1.50092E-01 2.15027E-09 5.58581E-16 1.08962E-16 0.00000E+00 8.09933E-18 9.28687E-18 0.00000E+00 1.46219E-19 1.19838E-17 1.06189E-22 0.00000E+00 3.01628E-18 2.38642E-22 0.00000E+00 4.56604E-20 0.00000E+00 0.00000E+00 3.19015E-27 0.00000E+00 1.58056E-18 4.09067E-24 0.00000E+00 0.00000E+00 0.00000E+00
