model,cloud_size,av,h2col,coldens
0,0.0,0.0,0.0,0.0
1,2.009073227323396e-07,9.919999967232e-06,103608269657.65327,6199999979520000.0
2,3.5644847632922876e-07,1.7599999967232e-05,183859049657.54065,1.099999997952e+16
3,5.11989629926118e-07,2.5279999967232e-05,264144179657.4331,1.579999997952e+16
4,2.0090732339598185e-06,4.645280001622016e-05,480116562659.5631,2.90330000101376e+16
5,3.558003889192482e-06,4.721760001654784e-05,480148332491.3765,2.95110000103424e+16
6,5.103694102729748e-06,4.7980800016384e-05,480180035954.5698,2.998800001024e+16
7,2.00972132216617e-05,0.0003324256000652083,3433138062735.098,2.077660000407552e+17
8,3.5554115359688916e-05,0.0010956256000324404,11730201672387.14,6.847660000202752e+17
9,5.1011017497716136e-05,0.0018588255999996725,20409418602005.24,1.1617659999997952e+18
10,0.00020094944912474918,0.009010329600048496,130718829785880.48,5.63145600003031e+18
11,0.00035552819183408944,0.00908665440004866,130725141185355.48,5.679159000030413e+18
12,0.0005101036941030615,0.009162977600048989,130731454419443.52,5.726861000030618e+18
13,0.002009497731691842,0.009903318400048825,130792798267892.56,6.189574000030515e+18
14,0.0035552624756973582,0.06355884960011388,2.1045537070256867e+17,3.972428100007117e+19
15,0.005101027219701548,0.13988252960006473,1.4928499834017792e+18,8.742658100004045e+19
16,0.020094957874270902,0.8802228496000811,1.3698158901760311e+20,5.5013928100005066e+20
17,0.03555261827608621,1.3664050672000816,2.8349890546120317e+20,8.540031670000509e+20
18,0.051010278677900193,1.374037441600081,2.8447624785835907e+20,8.587734010000506e+20
19,0.20094957550226863,1.44807146880008,2.9471343367862708e+20,9.0504466800005e+20
20,0.3555261697990927,1.776263404800063,3.8526472399807886e+20,1.1101646280000392e+21
21,0.5101027673363584,9.408637484800089,2.76978470872209e+21,5.880398428000055e+21
22,2.0094957453013613,83.44266516480006,2.590405264080169e+22,5.215166572800003e+22
23,3.555261701231367,159.7664050048,4.975389839597787e+22,9.9854003128e+22
24,5.101027657161374,183.1977931040001,5.702944013928001e+22,1.1449862069000006e+23
25,15.921389351911854,188.54045489440006,5.8235215461264484e+22,1.1783778430900003e+23
26,17.46715530784184,189.30369229280012,5.840746907863927e+22,1.1831480768300008e+23
27,19.01292126377183,217.77244717920016,6.7261519283339424e+22,1.3610777948700009e+23
28,20.14133041153591,273.4887772592005,8.467193222026929e+22,1.7093048578700032e+23
29,20.295907009073193,281.12115133920105,8.705692032395674e+22,1.7570071958700066e+23
30,20.450483603370028,288.5016569040016,8.936298294961337e+22,1.80313535565001e+23
31,20.563324520414756,288.5573732352019,8.93755574639339e+22,1.803483582720012e+23
32,20.578782177576127,288.5650056080017,8.937727999984055e+22,1.8035312850500104e+23
33,20.594239837977938,288.57263798240143,8.93790025361083e+22,1.8035789873900088e+23
34,20.60552393065454,288.90311985440104,8.948207380867373e+22,1.8056444990900065e+23
35,20.60706969539854,288.9794435344008,8.95059236707116e+22,1.806121522090005e+23
36,20.608615460142534,289.0557672144004,8.952977353274946e+22,1.8065985450900025e+23
37,20.609743872326586,289.10417939520045,8.954489511848934e+22,1.8069011212200028e+23
38,20.609898447828854,289.104255718401,8.954491234372925e+22,1.8069015982400063e+23
39,20.610053023331123,289.10433204160165,8.954492956896916e+22,1.80690207526001e+23
40,20.61016586519762,289.1044129440019,8.95449500357449e+22,1.806902580900012e+23
41,20.61018132209974,289.1051761440016,8.954518852286592e+22,1.8069073509000097e+23
42,20.610196779001864,289.10593934400123,8.954542700998695e+22,1.8069121209000077e+23
43,20.61020806545682,289.10649662400107,8.95456011505829e+22,1.8069156039000065e+23
44,20.61020961114703,289.106520038401,8.95456084208046e+22,1.8069157502400063e+23
45,20.610211156837245,289.1065208016008,8.954560859304987e+22,1.806915755010005e+23
46,20.610212284510613,289.10652135840064,8.95456087187131e+22,1.806915758490004e+23
47,20.610212440051782,289.1065242864008,8.954560962949757e+22,1.806915776790005e+23
