,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,90.14,20.95,1e-50,4.56358675373598e-22,1.872649799894191e-22,2.2406767358302465e-26,1.3387338217599951e-33,1.770982383923192e-27,2.6212007744442554e-28,4.595279998103223e-22,1.521181380009529e-22,1.002874753551841e-31,4.0565808866999815e-23,1.9812953916371896e-25,1.9510533973943435e-28,7.000000000000001e-26,3.187766976929981e-29,-4.357391996007386e-25,0.9997340000000001,0.00012197297999999999,2.2524153999999994e-05,9.995879999999998e-05,4.1217383000000004e-08,0.00012802545000000003
1,3.899179987120128e-07,1000.0,90.14,20.95,1e-50,4.563491287116382e-22,1.8727508163184253e-22,2.240838611146906e-26,1.339219895167569e-33,1.7715175482431087e-27,2.6218147836930837e-28,4.595291178041082e-22,1.5211739618886004e-22,1.0019863544319463e-31,4.056561107964693e-23,1.9813170048243347e-25,1.9517842361770815e-28,7.000000000000001e-26,3.188949771389914e-29,-4.357258591910052e-25,0.999733,0.00012201866000000002,2.2523781000000008e-05,9.995879999999998e-05,4.1220712999999994e-08,0.00012802507000000003
2,6.917899987120128e-07,1000.0,90.14,20.95,1e-50,4.5634174113662015e-22,1.8728267461516474e-22,2.240890043161737e-26,1.3395964748041722e-33,1.7719320995091893e-27,2.6222907082800396e-28,4.595299866483584e-22,1.5211682179030738e-22,1.001299117634512e-31,4.0565457992568364e-23,1.9813337679717913e-25,1.9523504218154539e-28,7.000000000000001e-26,3.189866075163463e-29,-4.357155301524115e-25,0.999733,0.00012205407000000003,2.2523493000000003e-05,9.995879999999998e-05,4.1221935999999996e-08,0.00012802479
3,9.936619987120128e-07,1000.0,90.14,20.95,1e-50,4.563343584919459e-22,1.8728994024459074e-22,2.240931526320287e-26,1.3399732756726096e-33,1.77234693308096e-27,2.6227670770064726e-28,4.595308608922032e-22,1.5211624763773505e-22,1.0006125425332667e-31,4.0565304764087125e-23,1.9813505942259625e-25,1.9529169322871305e-28,7.000000000000001e-26,3.190782878913324e-29,-4.357052047105704e-25,0.999733,0.00012208947999999998,2.2523207999999997e-05,9.995879999999998e-05,4.1222973000000006e-08,0.00012802450000000003
4,3.89918e-06,1000.0,90.12,20.95,1e-50,4.562633308064389e-22,1.8736191574701459e-22,2.2411904909966498e-26,1.3436116067681175e-33,1.7763525330926798e-27,2.627367728867019e-28,4.595392297062396e-22,1.521107203785763e-22,9.94029610385997e-32,4.0563830571574715e-23,1.981512262811393e-25,1.9583868842160274e-28,7.000000000000001e-26,3.19963547873278e-29,-4.356058462050437e-25,0.999733,0.00012243144,2.2520440999999994e-05,9.995879999999998e-05,4.123037e-08,0.00012802173
5,6.905322001287987e-06,1000.0,90.11,20.95,1e-50,4.561899164512075e-22,1.874362420502524e-22,2.2413795793696022e-26,1.347397877078888e-33,1.7805213618002692e-27,2.6321588371324306e-28,4.59547885011439e-22,1.5210500465646971e-22,9.872701988242775e-32,4.056230618070012e-23,1.9816794673901667e-25,1.964078963177023e-28,7.000000000000001e-26,3.208847638614005e-29,-4.3550314516246835e-25,0.9997319999999997,0.00012278727999999998,2.2517584000000006e-05,9.995876899999998e-05,4.123657300000001e-08,0.00012801887000000003
6,9.905175000643994e-06,1000.0,90.09,20.95,1e-50,4.561167201098158e-22,1.8750825229128552e-22,2.2415401771944275e-26,1.3511986544439806e-33,1.7847064481558863e-27,2.6369709519570523e-28,4.595565108742936e-22,1.5209930381901524e-22,9.805766571245722e-32,4.056078565666188e-23,1.9818461720340437e-25,1.9697925526461003e-28,7.000000000000001e-26,3.218094742450066e-29,-4.354007576524121e-25,0.9997309999999999,0.00012314449999999998,2.2514732e-05,9.9958703e-05,4.1242244000000005e-08,0.00012801601999999998
7,3.900437800128799e-05,1000.0,90.14,20.95,1e-50,4.563395948003951e-22,1.8724771390064966e-22,2.2421007589570753e-26,1.3918642324286494e-33,1.8406491842209434e-27,2.7240658037204783e-28,4.594919227009334e-22,1.521168185955305e-22,1.0027493539741098e-31,4.0565452931485665e-23,1.981257902501365e-25,2.028004580095542e-28,7.000000000000001e-26,3.313448283144824e-29,-4.357208687520747e-25,0.9997240000000001,0.00012678368999999998,2.2518980999999997e-05,9.995870000000002e-05,4.1244143000000004e-08,0.00012802024999999996
8,6.9002908e-05,1000.0,90.14,20.95,1e-50,4.563246350436853e-22,1.8723426534902129e-22,2.2426150799220408e-26,1.4356712314938909e-33,1.898075413142445e-27,2.8088552753045296e-28,4.594638290340067e-22,1.5211570714101374e-22,1.0026992942538111e-31,4.0565153062081796e-23,1.9812261554087896e-25,2.091437941819524e-28,7.000000000000001e-26,3.4170643432428995e-29,-4.357064863677314e-25,0.999716,0.00013074932,2.2514741000000002e-05,9.995870000000002e-05,4.1254048e-08,0.00012801598
9,9.900143799871202e-05,1000.0,90.13,20.95,1e-50,4.563093763198611e-22,1.8722065734551687e-22,2.2430497842641856e-26,1.4823064291791925e-33,1.9591938032095965e-27,2.899092722770998e-28,4.594353879426189e-22,1.5211450453638442e-22,1.0026954459838971e-31,4.056482854437447e-23,1.981191225620008e-25,2.1589520594187065e-28,7.000000000000001e-26,3.5273592067908153e-29,-4.356918539638107e-25,0.9997079999999999,0.00013497006999999998,2.2510249999999993e-05,9.995870000000002e-05,4.1262497999999996e-08,0.00012801148
10,0.000389999756999356,1000.0,90.11,20.94,1e-50,4.561379210337382e-22,1.870715192562992e-22,2.2459759182435752e-26,2.166980039094828e-33,2.8545084860079433e-27,4.220726072160597e-28,4.591305588825779e-22,1.5209549628892363e-22,1.006587122025638e-31,4.0559705721947716e-23,1.9805862557034047e-25,3.148183949818507e-28,7.000000000000001e-26,5.145183573357845e-29,-4.35531888125493e-25,0.9995840000000003,0.00019681335000000004,2.2446060000000002e-05,9.995870000000002e-05,4.1321434999999986e-08,0.00012794709
