,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,316230.0,1149.71,20.95,1e-50,1.6647762674001495e-19,5.825406799106914e-17,7.770555746280095e-21,1.0656167698333915e-18,3.868465481980317e-18,1.264962679245166e-17,3.071539076960894e-19,5.7732395791507204e-18,6.914868175640558e-17,1.491444116864165e-18,4.303994507888623e-20,7.173250558794653e-24,2.2135960000000003e-23,1.3926769501504832e-19,-8.926707942383946e-19,0.9716187199999999,0.014183016000000001,5.9100132e-06,2.7867038999999996e-05,2.8316092000000006e-05,3.8855774000000004e-05
1,3.977515784e-07,316230.0,1145.27,20.95,1e-50,1.5873111934735275e-19,5.789237278947218e-17,7.885119363759731e-21,1.132927642197283e-18,3.977300285946704e-18,1.3002896362699523e-17,3.0722248466557224e-19,5.788204963371814e-18,6.925954697764206e-17,1.4943108483602742e-18,4.364699496408856e-20,7.524926226298106e-24,2.2135960000000003e-23,1.473434729376043e-19,-8.878411356054134e-19,0.97022419,0.014880142,5.3788079e-06,2.6572549000000004e-05,2.8749251e-05,3.7036767e-05
2,6.960652622e-07,316230.0,1141.88,20.95,1e-50,1.527731292339578e-19,5.760229674366415e-17,7.969189569556067e-21,1.1879826575073095e-18,4.0653650971225356e-18,1.3288746783816308e-17,3.072171920117137e-19,5.801613755913451e-18,6.936956889285599e-17,1.4969815295187487e-18,4.411491984485321e-20,7.814028749323406e-24,2.2135960000000003e-23,1.5373604655950766e-19,-8.84365772641294e-19,0.9690876999999999,0.015448209000000001,4.986384500000001e-06,2.5579244999999994e-05,2.9068279e-05,3.5656817999999996e-05
3,9.94378946e-07,316230.0,1138.2649999999999,20.95,1e-50,1.4667564460844916e-19,5.729211724110781e-17,8.053899660633893e-21,1.24750471229808e-18,4.152861102153681e-18,1.357225336599748e-17,3.0716689988364397e-19,5.8146832824581485e-18,6.946737196499422e-17,1.4994954454344063e-18,4.45894485690511e-20,8.124700463587888e-24,2.2135960000000003e-23,1.6041648271099316e-19,-8.805095276639684e-19,0.9678631600000002,0.016060268,4.59895e-06,2.4560895e-05,2.9389566e-05,3.4257599000000006e-05
4,3.89796546832e-06,316230.0,126.79,20.95,1e-50,4.1333763971683764e-19,1.3937765710178698e-17,2.004864322683189e-21,1.2452148447622295e-21,2.824682395906601e-20,7.972410117714432e-20,,1.1153837938074148e-17,,2.9741034495810034e-18,1.271311429457545e-20,7.774615430868364e-23,2.2135960000000003e-23,3.9835719788312124e-22,,0.6926564499999999,0.15367179,3.0775546e-08,9.150770100000002e-05,8.400989200000001e-06,9.6512188e-05
5,6.90098988524e-06,316230.0,94.455,20.95,1e-50,3.525748073820977e-19,5.303069502374078e-18,2.3941380226119377e-21,8.296077010547416e-22,2.371191199458665e-21,1.5140966044684122e-21,3.3574461632021974e-19,4.21681485465771e-18,7.511838983862357e-23,1.1245387940083004e-18,1.5934791824241656e-20,1.8342737580183613e-22,2.2135960000000003e-23,3.1155607874564904e-22,-4.259239212041238e-20,0.27466493999999997,0.3626676100000001,1.1058869e-08,8.9419254e-05,1.0524801000000002e-05,9.439602400000001e-05
6,9.90401430216e-06,316230.0,80.3,20.95,1e-50,3.129361375262591e-19,2.831264868370555e-18,2.530558972178317e-21,6.732636574288092e-22,1.4417166549707906e-21,5.191691156511128e-22,3.360267959603324e-19,2.2361373024303288e-18,3.6336686102923794e-23,5.955935194220868e-19,1.7435902025253926e-20,2.1478113100784843e-22,2.2135960000000003e-23,2.597058085090397e-22,-3.426441546217508e-20,0.15081259000000002,0.42459362999999994,8.361352600000001e-09,8.837086500000001e-05,1.1572107999999999e-05,9.333969900000001e-05
7,3.8999542262120003e-05,316230.0,60.47,20.95,1e-50,2.3758839417921637e-19,8.105108258367585e-19,2.6842829838509527e-21,9.993999104484665e-22,5.290436017810793e-22,3.9350818479548546e-23,3.3638598622803713e-19,5.734841172367391e-19,7.219350556009502e-24,1.5182250001203314e-19,2.000948750591579e-20,2.423759620703044e-22,2.2135960000000003e-23,2.5009108464301677e-22,-2.2092644040769386e-20,0.041678380999999994,0.47916085,5.8862850000000004e-09,8.643217599999999e-05,1.3430083000000002e-05,9.1387463e-05
8,6.90098988524e-05,316230.0,57.11,20.95,1e-50,2.2205688514619513e-19,6.601163064775147e-19,2.7017350966848966e-21,1.1273857342190965e-21,4.017387041905392e-22,2.4634216496330846e-23,3.3641969951475653e-19,4.387494357316848e-19,5.197512942777049e-24,1.160792393404581e-19,2.0597231260708118e-20,2.44692143908365e-22,2.2135960000000003e-23,2.6142088239787635e-22,-1.998570025206509e-20,0.032491137,0.48375444,5.7215127999999984e-09,8.598079199999999e-05,1.384779e-05,9.0933364e-05
9,9.900036786376001e-05,316230.0,55.53,20.95,1e-50,2.1493402606333847e-19,6.012079428432656e-19,2.7126771163907315e-21,1.2024667093008057e-21,3.366690004451711e-22,1.862015457627087e-23,3.3641331714983617e-19,3.837221005412497e-19,4.4200135238563495e-24,1.013117428049029e-19,2.0849358460216426e-20,2.456702536891196e-22,2.2135960000000003e-23,2.6927639776476373e-22,-1.910014205613519e-20,0.028647206,0.48567637999999996,5.638243799999999e-09,8.5733756e-05,1.4074871e-05,9.0684941e-05
