,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,100000.0,108.125,20.95,1e-50,1.2873745576382897e-19,1.919680216373633e-18,2.199521225930598e-22,3.0206227336902475e-24,2.2083984288234516e-22,6.168397184083598e-22,1.0347517561878422e-19,1.5354162181848804e-18,3.3230989812680206e-23,4.094480658250834e-19,1.4385899097699687e-21,1.9693407541163207e-24,7.000000000000001e-24,3.717911890821561e-24,-5.0335791769688486e-21,0.9753709700000001,0.012314341999999999,3.3944825000000004e-07,9.699012800000001e-05,2.9904708000000004e-06,0.00010230495999999999
1,3.867251048882536e-05,97950.0,71.32,20.95,1e-50,9.25207905259394e-20,2.267049458217118e-19,2.8899071507446657e-22,3.2747885243794587e-23,2.3693051458730015e-22,2.7713226027985524e-23,1.0162688578545644e-19,1.7221082465760688e-19,7.571800043811872e-25,4.5769634732524236e-20,2.0393382370642518e-21,6.859619983387446e-23,6.856507000000001e-24,4.475292929530326e-23,-2.7521100394719814e-21,0.12451277,0.43774362000000006,1.7087864000000004e-08,9.553580299999998e-05,4.438275e-06,0.00010051261
2,6.792417960468188e-05,95900.0,68.01,20.95,1e-50,8.65292994609766e-20,1.7448627428806107e-19,2.8268586350547917e-22,3.262891249509216e-23,2.172879208717815e-22,2.253922648722993e-23,9.946052396018191e-20,1.2896037206012306e-19,5.392873113172513e-25,3.4304864076959655e-20,2.022063601797102e-21,6.913792103565497e-23,6.713007e-24,4.305933077087995e-23,-2.4605948911569915e-21,0.09867516200000001,0.4506623799999999,1.6255373e-08,9.5467493e-05,4.502855100000001e-06,0.00010044183
3,9.655316476818195e-05,93850.0,66.64,20.95,1e-50,8.284039458880462e-20,1.5174703958484715e-19,2.736719627777522e-22,3.1851655776409704e-23,2.043738217891271e-22,2.0004313085740942e-23,9.727223054249087e-20,1.1052969075856261e-19,4.457019103579578e-25,2.93590721031189e-20,1.962879837404241e-21,6.840279122955039e-23,6.569514e-24,4.1802717045706794e-23,-2.2874412484700862e-21,0.08870878500000001,0.45564558999999993,1.6030993999999998e-08,9.548276800000001e-05,4.485694199999999e-06,0.00010045621000000002
4,0.00036607163016314783,91800.0,62.644999999999996,20.95,1e-50,7.588695501889391e-20,1.0605183111397763e-19,2.722974234794662e-22,3.6513231053563825e-23,1.7354861707182333e-22,1.4310490849462806e-23,9.505276251865108e-20,6.907324181285211e-20,2.596870210545485e-25,1.830555145935162e-20,1.9478169290288914e-21,6.909250090446558e-23,6.426021000000001e-24,4.0982849222089345e-23,-1.980621061066969e-21,0.058966618,0.47051675,1.4453666000000001e-08,9.528573100000001e-05,4.6717e-06,0.00010025519
5,0.0006388528124036773,89750.0,61.254999999999995,20.94,1e-50,7.205415866357777e-20,8.743925140559316e-20,2.6648241569856135e-22,3.797219771924596e-23,1.5609777431494216e-22,1.1885848381574054e-23,9.280210863835537e-20,5.478204309889155e-20,1.980134728981515e-25,1.4481756252441656e-20,1.8882356605559063e-21,6.825266481676527e-23,6.282521000000001e-24,4.026593846522545e-23,-1.8317385510358634e-21,0.04917952200000001,0.4754102,1.389913e-08,9.524598899999999e-05,4.705563899999999e-06,0.00010021422
6,0.0009049076033229026,87700.0,60.555,20.94,1e-50,6.968893145493762e-20,7.827276404713399e-20,2.5840091357530007e-22,3.8573698729816864e-23,1.4863045467334218e-22,1.1033496885603056e-23,9.054660091988765e-20,4.6321278098109895e-20,1.6275728178702504e-25,1.2255302850240597e-20,1.8195496585474854e-21,6.707462014099373e-23,6.139028e-24,3.9391381760498713e-23,-1.72139559591299e-21,0.04378311899999999,0.4781084,1.3637551000000002e-08,9.5253653e-05,4.6940506e-06,0.00010022132000000001
7,0.0034252052889021424,85650.0,56.355000000000004,20.91,1e-50,6.160570635693822e-20,5.488482597030678e-20,2.6224913585297193e-22,1.2296013826653552e-21,1.0130960757954435e-22,5.8449332090958915e-24,8.773528595759757e-20,2.4810731317701165e-20,7.915288209346243e-26,6.496471493582949e-21,1.7963766932334207e-21,6.678618603308515e-23,5.9955350000000006e-24,4.003088308555333e-23,-1.4613883863001007e-21,0.025082634000000003,0.48745867,1.2145392000000001e-08,9.381475799999999e-05,5.019150199999999e-06,9.877780699999998e-05
8,0.00596282133951218,83600.0,55.010000000000005,20.87,1e-50,5.805864166130219e-20,4.816341855062575e-20,2.6063243144855496e-22,1.583887597746012e-21,8.483275336171149e-23,4.483235677225056e-24,8.494361755128636e-20,1.850742580604923e-20,5.587359000136387e-26,4.811800533736659e-21,1.7195960547525447e-21,6.554314250266798e-23,5.8520350000000004e-24,3.9652910542781707e-23,-1.3329445289787657e-21,0.019766060999999998,0.49011692,1.1749665000000002e-08,9.323251300000001e-05,5.1621893e-06,9.819422800000003e-05
9,0.008438942503524779,81551.0,54.385000000000005,20.84,1e-50,5.530771777985467e-20,4.2851890654821424e-20,2.5783638885686594e-22,1.642641723629809e-21,7.152088879190421e-23,3.500615597216536e-24,8.220824441469159e-20,1.518500720586115e-20,4.5497966672905347e-26,3.927472361171532e-21,1.6438160562392441e-21,6.410963489251604e-23,5.708542000000001e-24,3.901691394592856e-23,-1.3077356605396876e-21,0.017102285,0.49144886,1.1658554000000002e-08,9.2995874e-05,5.254806000000001e-06,9.795709099999999e-05
