,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,486.25,132.82,1e-50,1.8922325915139964e-22,6.514398652842267e-22,2.031153973844167e-31,4.0446080960247795e-46,3.950493309136032e-30,1.7423516084797184e-29,8.126541791972938e-22,2.3097202235027028e-23,2.4299780901292e-23,6.15925239731658e-24,1.3297777565363427e-26,2.9623544188637127e-33,7.000000000000001e-26,1.9916057171795463e-30,-3.265187220292767e-23,0.9999069999999999,1.8517939000000003e-09,9.2547281e-05,2e-05,2.7665221999999997e-13,0.00011400629000000003
1,2.452710006439936e-07,1000.0,486.25,132.82,1e-50,1.8922288217837604e-22,6.514421259332491e-22,2.0311591965861395e-31,4.0446167002641896e-46,3.950439278461452e-30,1.742341095232836e-29,8.126557977903603e-22,2.3097336946505785e-23,2.4299797148334757e-23,6.1592883394145304e-24,1.329781167404387e-26,2.96237404414448e-33,7.000000000000001e-26,1.991561221814543e-30,-3.2651374207486854e-23,0.9999069999999999,1.8518061999999997e-09,9.2546893e-05,2e-05,2.766532e-13,0.00011400589000000003
2,3.899179987120128e-07,1000.0,486.245,132.82,1e-50,1.8922265813070958e-22,6.514435509291821e-22,2.031162147149671e-31,4.044621580289995e-46,3.9504072423254736e-30,1.7423348544326586e-29,8.126567446261486e-22,2.3097416084707367e-23,2.4299807061522215e-23,6.1593094882070446e-24,1.3297831664134925e-26,2.962385595037609e-33,7.000000000000001e-26,1.991534871763706e-30,-3.2651080322304096e-23,0.9999069999999999,1.8518134e-09,9.254666099999999e-05,2e-05,2.7665375e-13,0.00011400565000000005
3,5.408539987120128e-07,1000.0,486.24,132.82,1e-50,1.8922242558852681e-22,6.514449603683507e-22,2.031165188779161e-31,4.044626904706284e-46,3.950373988258142e-30,1.7423283800692493e-29,8.1265773358749935e-22,2.3097498935697755e-23,2.4299817256704662e-23,6.159331531646743e-24,1.3297852535790545e-26,2.9623976361949354e-33,7.000000000000001e-26,1.991507537662827e-30,-3.26507750823505e-23,0.9999069999999999,1.8518209000000006e-09,9.2546417e-05,2e-05,2.7665432e-13,0.00011400544000000003
4,6.917899987120128e-07,1000.0,486.24,132.82,1e-50,1.8922219413831203e-22,6.514463639884702e-22,2.0311682303459274e-31,4.044632003406327e-46,3.950340736989271e-30,1.7423219123362213e-29,8.126587239891641e-22,2.3097581554244805e-23,2.429982731354734e-23,6.159353572772691e-24,1.329787335261561e-26,2.962409676250437e-33,7.000000000000001e-26,1.9914801032372144e-30,-3.2650468739211645e-23,0.9999069999999999,1.8518285000000004e-09,9.254618999999999e-05,2e-05,2.7665489000000005e-13,0.00011400519000000002
5,8.427259987120128e-07,1000.0,486.24,132.82,1e-50,1.892219605254392e-22,6.514477581327606e-22,2.0311712584833415e-31,4.04463746308125e-46,3.950307381610594e-30,1.7423154167626938e-29,8.126597157017408e-22,2.3097664473924424e-23,2.4299837459738255e-23,6.1593756778416936e-24,1.3297894247390902e-26,2.9624217470710763e-33,7.000000000000001e-26,1.9914526464967885e-30,-3.265016205095696e-23,0.9999069999999999,1.8518360999999999e-09,9.254594400000001e-05,2e-05,2.7665547e-13,0.00011400495
6,9.936619987120128e-07,1000.0,486.23,132.82,1e-50,1.8922172846924587e-22,6.514491011803342e-22,2.0311742753232833e-31,4.044642651512325e-46,3.9502741201714726e-30,1.742308943191082e-29,8.12660706923584e-22,2.309774722297604e-23,2.4299847560139075e-23,6.159397740346496e-24,1.3297915101930926e-26,2.962433797431001e-33,7.000000000000001e-26,1.9914252578102944e-30,-3.264985564407088e-23,0.9999069999999999,1.8518435000000002e-09,9.254570300000001e-05,2e-05,2.7665601e-13,0.00011400470999999998
7,2.4023979987120127e-06,1000.0,486.205,132.82,1e-50,1.892195592443744e-22,6.514610979609352e-22,2.031202376288328e-31,4.044691680250893e-46,3.949963390656468e-30,1.742248452239348e-29,8.12669959166507e-22,2.309851990214269e-23,2.4299942016401886e-23,6.1596037720315765e-24,1.3298110154517183e-26,2.962546323285999e-33,7.000000000000001e-26,1.9911694848565145e-30,-3.264699775520838e-23,0.9999069999999999,1.8519137999999996e-09,9.254348400000002e-05,2e-05,2.7666129000000006e-13,0.00011400250000000002
8,3.89918e-06,1000.0,486.175,132.82,1e-50,1.8921725438896785e-22,6.514740865410447e-22,2.0312321109539157e-31,4.0447434089823624e-46,3.9496332250098544e-30,1.7421841641539758e-29,8.126797901291903e-22,2.3099340693008575e-23,2.430004233439042e-23,6.159822655717559e-24,1.3298317374259635e-26,2.962665871044076e-33,7.000000000000001e-26,1.990897787559126e-30,-3.26439615124165e-23,0.9999069999999999,1.8519886000000001e-09,9.254110899999999e-05,2e-05,2.7666689e-13,0.00011400013
9,5.402251000643994e-06,1000.0,486.145,132.82,1e-50,1.8921494011384518e-22,6.514881783452637e-22,2.0312619012867472e-31,4.0447957459750925e-46,3.949301673664507e-30,1.7421195938594316e-29,8.126896575615852e-22,2.310016493691977e-23,2.4300142966610188e-23,6.160042452929011e-24,1.3298525387479696e-26,2.9627859192337966e-33,7.000000000000001e-26,1.9906249693042107e-30,-3.2640912890647974e-23,0.9999069999999999,1.8520637000000005e-09,9.253873599999999e-05,2e-05,2.766725e-13,0.00011399775000000001
