,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,58.48,14.69,1e-50,2.7509784413934126e-22,4.3731846182583216e-23,1.2312385071112937e-25,1.6023597938873538e-31,1.6233551821201595e-27,2.0524042389195788e-29,1.3639941937636453e-22,1.45500311627278e-22,8.300060099466003e-33,3.8801084189703986e-23,2.2540317899747167e-25,3.5162345918499797e-28,7.000000000000001e-26,5.885375652313434e-29,-2.5361957478375972e-25,0.9986212999999995,0.0006862685699999999,5.9756467000000004e-06,9.972380799999996e-05,2.7584374000000003e-07,0.00011085707000000003
1,6.240000016384e-07,1000.0,58.48,14.69,1e-50,2.7509497308370645e-22,4.3733885321623286e-23,1.2313725061118763e-25,1.6045058963860653e-31,1.6254752750420615e-27,2.0550441341751935e-29,1.3639925878439198e-22,1.4549977164138213e-22,8.31106991557228e-33,3.8800940256663443e-23,2.2540385406451264e-25,3.5209394782808207e-28,7.000000000000001e-26,5.892775619972294e-29,-2.5361718092183523e-25,0.9986200000000003,0.00068718682,5.9755632999999994e-06,9.972379999999998e-05,2.7587488e-07,0.00011085700000000004
2,9.919999967232e-07,1000.0,58.48,14.69,1e-50,2.7509329209257492e-22,4.373508006598285e-23,1.2314042706403653e-25,1.6057741755324965e-31,1.626727727044518e-27,2.0565966060012875e-29,1.3639916692982736e-22,1.454994504972678e-22,8.317575370700888e-33,3.8800854625190206e-23,2.254043023030464e-25,3.5237197084954274e-28,7.000000000000001e-26,5.897148471959347e-29,-2.5361575390963103e-25,0.998619,0.0006877294300000003,5.9755152e-06,9.972379999999998e-05,2.7588265000000004e-07,0.00011085700000000004
3,1.3759999967232001e-06,1000.0,58.48,14.69,1e-50,2.7509154017659775e-22,4.3736326384382007e-23,1.2314311722319945e-25,1.6070997525279225e-31,1.628036769910689e-27,2.0582266667826146e-29,1.3639907141849268e-22,1.454991150643945e-22,8.324374523443824e-33,3.880076509564305e-23,2.2540477624556543e-25,3.526625487265647e-28,7.000000000000001e-26,5.901718860877314e-29,-2.5361426265382165e-25,0.9986169999999998,0.0006882965899999998,5.975463299999999e-06,9.972379999999998e-05,2.7588939000000003e-07,0.00011085700000000004
4,1.7599999967232e-06,1000.0,58.48,14.69,1e-50,2.7508978722609954e-22,4.373756932669594e-23,1.2314544208706694e-25,1.6084275189125602e-31,1.629347829548735e-27,2.0598572851412402e-29,1.3639897618245847e-22,1.4549877916182612e-22,8.331184775812269e-33,3.88006754435164e-23,2.2540525470152087e-25,3.52953604891077e-28,7.000000000000001e-26,5.906296837748369e-29,-2.5361276890412795e-25,0.998616,0.0006888646300000003,5.9754133e-06,9.972379999999998e-05,2.7589529999999997e-07,0.00011085700000000004
5,2.1439999967232002e-06,1000.0,58.48,14.69,1e-50,2.7508803750064227e-22,4.373878670575518e-23,1.2314751759041025e-25,1.6097574965881434e-31,1.630661333829047e-27,2.0614861262895267e-29,1.3639888103791055e-22,1.4549844232096235e-22,8.338006242408924e-33,3.8800585415491006e-23,2.254057348886813e-25,3.5324513815882503e-28,7.000000000000001e-26,5.910882355115061e-29,-2.536112756130327e-25,0.9986149999999998,0.0006894336299999998,5.975361399999999e-06,9.972379999999998e-05,2.7590062000000005e-07,0.00011085700000000004
6,2.5279999967232003e-06,1000.0,58.48,14.69,1e-50,2.750862870543524e-22,4.373999979426031e-23,1.231493940700117e-25,1.6110896769229766e-31,1.6319766187851023e-27,2.0631240019742365e-29,1.3639878595640231e-22,1.4549810547574182e-22,8.344838906065012e-33,3.8800495583074967e-23,2.2540621732645235e-25,3.535371549973307e-28,7.000000000000001e-26,5.915475568008052e-29,-2.5360978100713404e-25,0.998614,0.0006900035800000001,5.97531e-06,9.972379999999998e-05,2.7590554e-07,0.00011085693
7,6.111999996723201e-06,1000.0,58.48,14.69,1e-50,2.750699456460591e-22,4.3751315014223215e-23,1.2316257063984949e-25,1.6236337225696575e-31,1.6443627707167165e-27,2.0785266942723632e-29,1.3639790085950468e-22,1.4549494836119122e-22,8.409172890583419e-33,3.8799653141505866e-23,2.254107668981304e-25,3.5628673373431725e-28,7.000000000000001e-26,5.958727779258633e-29,-2.5359581689194055e-25,0.9986029999999999,0.0006953699199999997,5.9748269000000005e-06,9.9723717e-05,2.7594154e-07,0.00011085617999999996
8,9.92e-06,1000.0,58.47,14.69,1e-50,2.7505257099944346e-22,4.376355329691192e-23,1.2317270806118353e-25,1.6371778334939747e-31,1.6577347843042553e-27,2.0951531744477532e-29,1.3639696148452145e-22,1.45491565519471e-22,8.478629094345512e-33,3.879875083389614e-23,2.254156387061808e-25,3.592553220433995e-28,7.000000000000001e-26,6.005431899245737e-29,-2.535809659884238e-25,0.9985920000000003,0.00070116383,5.9743099999999996e-06,9.972370000000002e-05,2.7597116e-07,0.00011085581999999997
9,1.3744000001638401e-05,1000.0,58.47,14.69,1e-50,2.7503510293294644e-22,4.377563696139619e-23,1.2318114662674107e-25,1.6510084041128445e-31,1.6713885327287275e-27,2.1121207729101212e-29,1.363960178313927e-22,1.4548813893997933e-22,8.549547498078784e-33,3.8797836570724444e-23,2.2542054705054883e-25,3.6228648492888724e-28,7.000000000000001e-26,6.053127821697322e-29,-2.5356604385458424e-25,0.9985800000000001,0.0007070797299999998,5.9737833e-06,9.972370000000002e-05,2.7599701000000004e-07,0.00011085502000000001
