,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,2.56e-07,1000.0,50.0,14.69,1e-50,1.6578587898385044e-22,1.8855767266332933e-23,3.118679592492386e-26,1e-50,8.329785575233965e-29,1e-50,1.388846729709899e-22,1.387249943097754e-22,6.106277851314264e-33,3.699431082165632e-23,1.0710685646336207e-25,3.3542566156737824e-28,7.000000000000001e-26,1.3635163476067199e-28,-1.2611221964419523e-25,0.9986999999999999,0.0006546000000000002,8.622e-06,9.986999999999998e-05,1.3109999999999995e-07,0.00011410000000000002
1,1.024e-06,1000.0,50.0,14.69,1e-50,1.657857353694907e-22,1.885573893494524e-23,3.1188743318950236e-26,1e-50,4.1714400328523435e-29,1e-50,1.388843990374446e-22,1.38724713858139e-22,6.115858701428522e-33,3.699423592141079e-23,1.0710702099903594e-25,3.359526301164974e-28,7.000000000000001e-26,1.3654850999216059e-28,-1.2611224387043725e-25,0.9986999999999999,0.0006557000000000001,8.622e-06,9.986999999999998e-05,1.3109999999999995e-07,0.00011410000000000002
2,1.7920000000000002e-06,1000.0,50.0,14.69,1e-50,1.6578560384201614e-22,1.885571175397599e-23,3.118999450539689e-26,1e-50,1e-50,1e-50,1.3888412674795774e-22,1.3872443251616446e-22,6.12546956577764e-33,3.699416078322952e-23,1.0710720064254598e-25,3.364812516906515e-28,7.000000000000001e-26,1.3674599694399613e-28,-1.2611226809666781e-25,0.9986999999999999,0.0006566999999999996,8.622e-06,9.986999999999998e-05,1.3109999999999995e-07,0.00011410000000000002
3,2.5440000016384003e-06,1000.0,50.0,14.69,1e-50,1.657854617970831e-22,1.8855683231679464e-23,3.1190976340534957e-26,1e-50,4.184457754922415e-29,1e-50,1.3888385819929826e-22,1.3872415616358635e-22,6.134909417144779e-33,3.699408697839806e-23,1.071073611439147e-25,3.3700046924664054e-28,7.000000000000001e-26,1.3693997367561665e-28,-1.2611229181817419e-25,0.9986999999999999,0.0006576999999999998,8.622e-06,9.986999999999998e-05,1.3109999999999995e-07,0.00011410000000000002
4,1.0176e-05,1000.0,50.0,14.69,1e-50,1.657840795468094e-22,1.885539393084304e-23,3.119734278583911e-26,1e-50,1e-50,1e-50,1.3888114253766816e-22,1.3872130111377616e-22,6.232403414354998e-33,3.6993324480307306e-23,1.0710911970745403e-25,3.4236302832532037e-28,7.000000000000001e-26,1.3894327270936507e-28,-1.2611253256560605e-25,0.9986999999999999,0.0006681999999999998,8.622e-06,9.986999999999998e-05,1.3109999999999995e-07,0.00011410000000000002
5,1.78079999983616e-05,1000.0,50.0,14.69,1e-50,1.657826593689635e-22,1.8855096061362462e-23,3.120177452156548e-26,1e-50,1e-50,1e-50,1.3887842392836067e-22,1.3871835230209421e-22,6.333035389566461e-33,3.6992536941739355e-23,1.07110937628449e-25,3.478984252655802e-28,7.000000000000001e-26,1.4101095926355386e-28,-1.261127733119061e-25,0.9985999999999997,0.000679,8.621e-06,9.986999999999998e-05,1.3119999999999996e-07,0.00011410000000000002
6,2.5439999996723203e-05,1000.0,50.0,14.69,1e-50,1.6578120749081193e-22,1.8854788444100316e-23,3.120554880386602e-26,1e-50,8.78175613986877e-29,1e-50,1.388757031895489e-22,1.3871530516206e-22,6.436959130011552e-33,3.69917231422888e-23,1.0711282650151848e-25,3.5361514233393393e-28,7.000000000000001e-26,1.431461832309027e-28,-1.2611301405707437e-25,0.9985999999999997,0.0006901,8.621e-06,9.986999999999998e-05,1.3119999999999996e-07,0.00011410000000000002
7,0.0001017759999983616,1000.0,50.0,14.69,1e-50,1.657638666460396e-22,1.8851039862923976e-23,3.123472665473905e-26,1e-50,1e-50,1e-50,1.3884827037064325e-22,1.3867803803968218e-22,7.703672727116512e-33,3.69817702215109e-23,1.071359441526555e-25,4.233161063553795e-28,7.000000000000001e-26,1.691648126054496e-28,-1.261154219511927e-25,0.9983000000000003,0.0008262,8.616000000000002e-06,9.986999999999998e-05,1.313e-07,0.00011410000000000002
8,0.0001780960000016384,1000.0,50.0,14.69,1e-50,1.657387089121756e-22,1.8845462604593356e-23,3.1262329159220906e-26,1e-50,1e-50,1e-50,1.3882022420004778e-22,1.3862232693743607e-22,9.58728669389302e-33,3.696689142925854e-23,1.0717035960115677e-25,5.2703256005118795e-28,7.000000000000001e-26,2.078328955569258e-28,-1.2611782922743283e-25,0.9978999999999998,0.0010290000000000004,8.609e-06,9.986999999999998e-05,1.3139999999999997e-07,0.00011399999999999995
9,0.0002544159999983616,1000.0,50.0,14.69,1e-50,1.6569805627713102e-22,1.8836286804756894e-23,3.129506257479472e-26,1e-50,1e-50,1e-50,1.387909482297892e-22,1.3853030878109965e-22,1.2683647006352599e-32,3.694231587565018e-23,1.0722693946239774e-25,6.9770959200189805e-28,7.000000000000001e-26,2.713537575936008e-28,-1.2612023639050482e-25,0.9972999999999996,0.0013620000000000001,8.597000000000003e-06,9.986999999999998e-05,1.3160000000000001e-07,0.00011399999999999995
10,0.0010176480000016383,1000.0,50.0,14.68,1e-50,1.4189988712634758e-22,1.3856245570969098e-23,4.045682907618784e-26,1e-50,2.4991787882362856e-26,1e-50,1.3752567695758265e-22,8.838845178604336e-23,1.0800194292474353e-30,2.3553863567284304e-23,1.4030897168228846e-25,9.318029432050296e-26,7.000000000000001e-26,3.952110644537205e-26,-1.2614430280684695e-25,0.6363,0.18189999999999995,4.651e-06,9.982000000000003e-05,1.7640000000000007e-07,0.00010970000000000001
11,0.0017808960000032768,1000.0,50.0,14.68,1e-50,1.3468231990101289e-22,1.2546049281228962e-23,4.3243599239550326e-26,1e-50,3.1786455076808825e-26,6.154969352086235e-29,1.3708936468788358e-22,7.523433107057085e-23,1.1583283947982906e-30,2.004256247254387e-23,1.4903750866807944e-25,1.1744461846004629e-25,7.000000000000001e-26,5.033860884034808e-26,-1.2616835841490873e-25,0.5416000000000001,0.2292,3.936999999999999e-06,9.981000000000004e-05,1.9080000000000004e-07,0.00010889999999999996
12,0.002544128,1000.0,50.0,14.67,1e-50,1.3061214329844803e-22,1.1843258610309817e-23,4.491579447319353e-26,1e-50,3.544946398063438e-26,7.072522241904898e-29,1.3674147731869134e-22,6.81855030606662e-23,1.165798242782186e-30,1.8160974862204337e-23,1.5370055436836758e-25,1.3044844420928336e-25,7.000000000000001e-26,5.613469674132705e-26,-1.2619240221094391e-25,0.49080000000000007,0.2546,3.573e-06,9.980000000000003e-05,1.9960000000000007e-07,0.00010849999999999998
13,0.010176512,1000.0,50.0,14.6,1e-50,1.1345647282198019e-22,9.141448547959993e-24,5.330991535662012e-26,1e-50,4.9600279557608497e-26,5.453158128433608e-29,1.3386681905642046e-22,4.114548320630355e-23,9.710023290478613e-31,1.0941614572318669e-23,1.7153228031338857e-25,1.8034060582635407e-25,7.000000000000001e-26,7.820862075161321e-26,-1.2643222131429022e-25,0.2961,0.3519999999999998,2.2420000000000003e-06,9.970999999999999e-05,2.4440000000000004e-07,0.00010709999999999999
14,0.01780888000000164,1000.0,50.0,14.54,1e-50,1.0668600220899893e-22,8.188465996538788e-24,5.830699618860627e-26,1e-50,5.45916408440752e-26,1.2354855667231561e-28,1.3124496632315775e-22,3.166158658608105e-23,8.185671016196066e-31,8.407854534552888e-24,1.7768192397477323e-25,1.9784440000499265e-25,7.000000000000001e-26,8.575967575447618e-26,-1.2667091440717338e-25,0.22769999999999996,0.38609999999999994,1.7900000000000002e-06,9.958000000000002e-05,2.708e-07,0.00010650000000000005
15,0.025441247999996724,1000.0,50.0,14.47,1e-50,1.0279310816768364e-22,7.653482118518383e-24,6.261604133279608e-26,1e-50,5.739539963355023e-26,1e-50,1.287426938955637e-22,2.6344059888256096e-23,7.139092298126226e-31,6.98624702479458e-24,1.8145238062716324e-25,2.0766041817419747e-25,7.000000000000001e-26,9.010636153408893e-26,-1.2690848675629362e-25,0.18939999999999999,0.4052999999999999,1.5427499999999998e-06,9.957000000000001e-05,2.930999999999999e-07,0.00010620000000000005
16,0.101764992,1000.0,50.0,13.82,1e-50,9.031141286214763e-23,6.0773267705472726e-24,1.0099197556066984e-25,1e-50,6.55963322770025e-26,1.5696615283695683e-28,1.0622900783056543e-22,1.0821647055488905e-23,3.2897852272437835e-31,2.8289638154693613e-24,1.9360982202393066e-25,2.3631692058332337e-25,7.000000000000001e-26,1.0295546706047505e-25,-1.292235980280177e-25,0.077564,0.46119999999999983,8.28415e-07,9.933999999999998e-05,4.849000000000001e-07,0.00010519999999999997
