,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,52570.0,100.91499999999999,20.95,1e-50,6.560694811424233e-20,5.270129890003413e-19,6.40164393098088e-23,1.8419802920908346e-25,1.4417081616419303e-23,2.7043336811955554e-23,5.2841195564191044e-20,4.24949002287646e-19,8.474769674874531e-25,1.133213996321192e-19,4.2173410826488674e-22,5.4503939529188535e-25,3.679935e-24,4.19400024899359e-25,-1.2883886732618145e-21,0.9870528100000001,0.0064733182,5.9191133e-07,9.831576500000003e-05,1.675919e-06,0.00010388812999999999
1,1.4947548706884026e-05,75088.0,102.595,20.95,1e-50,9.425431937359167e-20,9.644993839600823e-19,1.3187886201929012e-22,6.835250802195679e-24,2.77117148665009e-22,6.804173091687287e-22,7.683747346708604e-20,7.805409651180848e-19,3.271588938712444e-24,2.0808362024693093e-19,8.632404783743784e-22,6.820331739583285e-24,5.2561390000000005e-24,1.4262792310046475e-23,-2.6647696992855134e-21,0.8864817100000001,0.05675904999999999,1.6188104000000003e-07,9.757413799999997e-05,2.4060737e-06,0.00010271111
2,2.7240335469220037e-05,92354.0,85.69,20.95,1e-50,1.0217734956067163e-19,5.328749775589335e-19,2.3633020133342657e-22,3.219085129182287e-23,4.66360128668497e-22,2.2806246631362804e-22,9.547218849336299e-20,4.237946452944364e-19,1.725116333326087e-24,1.1296968985345889e-19,1.6106350526263504e-21,4.946459047734552e-23,6.4647800000000006e-24,4.517020490615712e-23,-3.1722558705959676e-21,0.33025916,0.33487039999999996,2.9658491999999998e-08,9.632030299999998e-05,3.6589805000000004e-06,0.00010131621999999999
3,4.195557538366675e-05,100610.0,74.2,20.95,1e-50,9.8286994176768e-20,2.8899570239257204e-19,2.9950978977850063e-22,3.411264410525514e-23,2.495790494010067e-22,3.1834702995328737e-23,1.0444080790997422e-19,2.2737242929623332e-19,1.0435869232389786e-24,6.046083756929058e-20,2.101145599321777e-21,6.804991122671016e-23,7.04242e-24,4.6986223308002354e-23,-3.0745849865568784e-21,0.15427062999999996,0.42286465999999995,1.8283418e-08,9.5553832e-05,4.422466500000001e-06,0.00010053309999999997
4,5.7072740269587266e-05,98044.0,70.955,20.95,1e-50,9.197910309056799e-20,2.1896113638290595e-19,2.9038501979628817e-22,3.295691703946838e-23,2.3501928811967694e-22,2.6994866682168294e-23,1.017285512287744e-19,1.6674714616480072e-19,7.308721055948496e-25,4.432166974350001e-20,2.0542980447166476e-21,6.896900254429923e-23,6.86308e-24,4.471084663297461e-23,-2.729981048584822e-21,0.12054422000000001,0.43972792,1.6868160999999998e-08,9.5512992e-05,4.460580499999999e-06,0.00010048935999999999
5,7.09541852162908e-05,85227.0,70.44,20.95,1e-50,7.933976477947749e-20,1.6300486573590646e-19,2.226322159936203e-22,2.283712405017549e-23,2.0184173667879572e-22,2.270101985403207e-23,8.799714789250539e-20,1.2364291110073937e-19,4.71144758119975e-25,3.293227669614021e-20,1.5829266719375864e-21,6.006638804595708e-23,5.9659180000000004e-24,3.7059849128765055e-23,-2.0535554822100562e-21,0.11874813,0.4406259399999999,1.8545698e-08,9.603555199999999e-05,3.9401032e-06,0.00010101406999999998
6,8.223622924731974e-05,64950.0,71.97,20.95,1e-50,6.143931317790709e-20,1.112821723240207e-19,1.2998941051593781e-22,1.0872752061726932e-23,1.5670693180457164e-22,1.8533962446682894e-23,6.630071673761686e-20,8.45329584478328e-20,2.456300481117975e-25,2.2491763127800535e-20,9.157891531404857e-22,4.473905415351303e-23,4.546472e-24,2.6311871263149418e-23,-1.2271228994998102e-21,0.13884232999999999,0.43057884,2.408645e-08,9.696756900000001e-05,3.0136733000000006e-06,0.00010195399
7,0.00015526736881217712,41631.0,73.04,20.95,1e-50,3.905340333794689e-20,5.2447164219807173e-20,5.418229291305643e-23,3.2728826671322526e-24,1.0040993681193184e-22,1.2114148779092433e-23,4.1472719651336946e-20,3.998505156437589e-20,7.433504786763722e-26,1.0631841363986353e-20,3.7783879906330395e-22,2.80001951263735e-23,2.9141630000000002e-24,1.519446314844428e-23,-5.173245686459605e-22,0.15910044,0.42044976000000006,3.5875172e-08,9.8023553e-05,1.9630120999999995e-06,0.00010302604999999999
8,0.0002000649516455218,20355.0,77.595,20.95,1e-50,1.8989335008085903e-20,1.9654232012863997e-20,1.2581896355171936e-23,4.8718648999266e-25,6.333899521472923e-23,1.5886688581438585e-23,1.9083500634976682e-20,1.574184272632331e-20,1.3710697540892238e-26,4.190567899609148e-21,8.730394444034349e-23,1.2075288885251045e-23,1.424822e-24,6.286192864586993e-24,-1.3517569393615052e-22,0.25823621999999996,0.37088185,8.271133199999998e-08,9.9062543e-05,9.3012682e-07,0.00010412364000000001
9,0.00021790344205061842,5758.6,82.99,20.95,1e-50,4.641723111718462e-21,3.087114398651421e-21,8.957561663886963e-25,1.2578830300347857e-26,1.6794890310193363e-23,5.3785333715033495e-24,4.41140687195421e-21,2.6855567199409714e-21,4.9178901645872495e-28,7.152599671696516e-22,6.38762860164504e-24,2.1116349252183007e-24,4.031055e-25,1.1152448010404914e-24,-1.2919974186922066e-23,0.54155994,0.22921976000000005,4.6320342e-07,9.9756558e-05,2.4088991e-07,0.00010524607
10,0.000221414374662234,1024.7,89.42,20.95,1e-50,4.430709558331448e-22,1.7269085318751827e-22,2.1743927551395646e-26,1.7129809980163696e-29,1.0189254528968713e-24,1.6382114723356054e-25,4.479357695330025e-22,1.3827801489279291e-22,1.5097912317543324e-30,3.6845665579032125e-23,1.870937799339954e-25,1.0901245255621544e-25,7.172690000000001e-26,6.489034379077116e-26,-4.424530731232931e-25,0.86697541,0.06650942099999999,5.7581482999999994e-06,9.995999999999998e-05,3.9712302e-08,0.00011111343000000002
11,0.00022655075843957658,7184.7,82.375,20.95,1e-50,6.036194181768267e-21,4.351959567883916e-21,1.4318564367595218e-24,2.5604788974172633e-26,2.2745819904956643e-23,7.503084750056107e-24,5.765268382734208e-21,3.739465674557274e-21,9.565700983476919e-28,9.958000936642466e-22,1.0101726919699069e-23,2.9579171001690406e-24,5.029269000000001e-25,1.5470175902994133e-24,-2.008410220452937e-23,0.48525746999999997,0.25737108000000003,3.3560719999999993e-07,9.9691407e-05,3.054596e-07,0.00010504017000000001
12,0.00024894122113539,22896.0,76.41,20.95,1e-50,2.1241530551830532e-20,2.1978978274348186e-20,1.619004581298153e-23,6.589056581618598e-25,6.350860036881368e-23,1.2434744480814523e-23,2.1729260415046313e-20,1.738828229925607e-20,1.742835128791279e-26,4.628835315725092e-21,1.1217755360831166e-22,1.4167598268601564e-23,1.602706e-24,7.324732535696925e-24,-1.6757006182771402e-22,0.22635171000000004,0.38682413000000004,6.934381200000001e-08,9.892820199999998e-05,1.0635843e-06,0.00010397335999999999
13,0.0007404961532146892,44733.0,67.065,20.94,1e-50,3.861263728161863e-20,3.817718836283728e-20,6.675797156582112e-23,4.430035027336547e-24,9.913854910526148e-23,9.738267953398038e-24,4.475128826883495e-20,2.566942738453544e-20,4.977104887694606e-26,6.817120222687239e-21,4.606636414437068e-22,3.253913703340504e-23,3.1313310000000006e-24,1.6715525965967832e-23,-5.268378383697587e-22,0.09054874600000001,0.45472565000000004,2.7640378000000006e-08,9.766590900000002e-05,2.3141181e-06,0.00010265641
