,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,90.94,20.95,1e-50,4.601438125962111e-22,1.9168502736608981e-22,2.238266955013442e-26,1e-50,1e-50,1e-50,4.589426707580972e-22,1.52402732193742e-22,1.241367962859353e-31,4.0641661975236996e-23,1.9725816607909994e-25,1.9547016289633058e-28,7.000000000000001e-26,3.399682171412992e-29,-4.0333632774773023e-25,0.999733,0.000122198,2.2647270999999993e-05,9.99589e-05,4.103961099999998e-08,0.000128148
1,3.899179987120128e-07,1000.0,90.94,20.95,1e-50,4.601341373743186e-22,1.9169473836692754e-22,2.2384286467247555e-26,1e-50,1e-50,1e-50,4.589437865406156e-22,1.5240199663141701e-22,1.240275292570233e-31,4.064146585289057e-23,1.9726031374725879e-25,1.9554339322303474e-28,7.000000000000001e-26,3.4008574194793204e-29,-4.0332378282433432e-25,0.999733,0.00012224400000000006,2.2646900000000012e-05,9.99589e-05,4.104295000000001e-08,0.000128148
2,6.917899987120128e-07,1000.0,90.93,20.95,1e-50,4.601267815575769e-22,1.9170240509225206e-22,2.2384805826890803e-26,1e-50,1e-50,1e-50,4.589446523116343e-22,1.5240142780811094e-22,1.2394309893452933e-31,4.064131407703979e-23,1.9726198197689583e-25,1.9560012534797282e-28,7.000000000000001e-26,3.4017680159712367e-29,-4.033140821692549e-25,0.999733,0.00012228000000000003,2.26466e-05,9.99589e-05,4.104419900000001e-08,0.000128148
3,9.936619987120128e-07,1000.0,90.93,20.95,1e-50,4.601193542676717e-22,1.9170998533359135e-22,2.2385220517954654e-26,1e-50,1e-50,1e-50,4.589455173513931e-22,1.5240085841672074e-22,1.2385864394239472e-31,4.064116221206543e-23,1.972636496716852e-25,1.9565689027446057e-28,7.000000000000001e-26,3.402679057155899e-29,-4.0330437222204513e-25,0.999733,0.00012231499999999998,2.2646299999999997e-05,9.99589e-05,4.1045205000000004e-08,0.00012814699999999998
4,3.89918e-06,1000.0,90.92,20.95,1e-50,4.600479197410916e-22,1.917829192593284e-22,2.238781265402771e-26,1e-50,1e-50,1e-50,4.589538496131646e-22,1.5239538010715663e-22,1.230491175022787e-31,4.063970107544854e-23,1.9727970971739645e-25,1.9620498469488784e-28,7.000000000000001e-26,3.4114760669016026e-29,-4.0321097244138005e-25,0.9997319999999997,0.00012265799999999994,2.2643499999999987e-05,9.99589e-05,4.105258900000002e-08,0.000128145
5,6.905322001287987e-06,1000.0,90.9,20.95,1e-50,4.599740846809973e-22,1.9185830605887677e-22,2.2389704893830345e-26,1e-50,1e-50,1e-50,4.589624622852557e-22,1.523897147938435e-22,1.2221772823334142e-31,4.0638190057828796e-23,1.972963178351594e-25,1.9677533579722491e-28,7.000000000000001e-26,3.4206310432457094e-29,-4.031144279318192e-25,0.9997309999999999,0.00012301399999999998,2.2640600000000005e-05,9.99589e-05,4.1058704e-08,0.00012814199999999995
6,9.905175000643994e-06,1000.0,90.89,20.95,1e-50,4.599004677473082e-22,1.9193345819421474e-22,2.2391311809036817e-26,1e-50,1e-50,1e-50,4.589710459052605e-22,1.5238406399655523e-22,1.2139427633147432e-31,4.0636682913399044e-23,1.9731287862199543e-25,1.9734784243240465e-28,7.000000000000001e-26,3.429821354611916e-29,-4.030181749139199e-25,0.9997309999999999,0.00012337200000000004,2.2637800000000005e-05,9.99589e-05,4.10644e-08,0.00012813899999999996
7,3.900437800128799e-05,1000.0,90.94,20.95,1e-50,4.601240907567061e-22,1.9166685015260382e-22,2.239690044969393e-26,1e-50,1e-50,1e-50,4.589064757229686e-22,1.5240139061733888e-22,1.2407840715705874e-31,4.064129988750983e-23,1.972542807716224e-25,2.031796426681432e-28,7.000000000000001e-26,3.5257330456338666e-29,-4.0332062933174845e-25,0.9997229999999998,0.00012701799999999998,2.264190000000001e-05,9.99589e-05,4.1066301e-08,0.00012814300000000005
8,6.9002908e-05,1000.0,90.93,20.95,1e-50,4.601085651400086e-22,1.9165260863346268e-22,2.240202190935623e-26,1e-50,1e-50,1e-50,4.588782748461436e-22,1.5240026170070853e-22,1.240369385540811e-31,4.064099527182991e-23,1.9725098475267016e-25,2.0953481766660657e-28,7.000000000000001e-26,3.629654763539745e-29,-4.0330828343158725e-25,0.9997149999999998,0.00013099100000000003,2.26375e-05,9.99589e-05,4.1076126e-08,0.00012813899999999996
9,9.900143799871202e-05,1000.0,90.93,20.95,1e-50,4.6009286748303415e-22,1.9163835067445678e-22,2.2406354602944226e-26,1e-50,1e-50,1e-50,4.588497132282943e-22,1.5239904071458905e-22,1.2399894102881082e-31,4.0640665866876016e-23,1.9724736196633402e-25,2.1629882935030294e-28,7.000000000000001e-26,3.740276063849101e-29,-4.032956961615475e-25,0.9997070000000002,0.00013521912000000002,2.2632900000000008e-05,9.99589e-05,4.108452399999999e-08,0.00012813400000000002
