,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,316230.0,1182.99,20.95,1e-50,1.6546443999021224e-19,5.844468452844384e-17,7.801966806967755e-21,1.0713896760663456e-18,1e-50,1.4028762968103187e-17,3.06429291537904e-19,5.6042787619989406e-18,6.713738612772547e-17,1.446232788518717e-18,4.313313101361959e-20,6.95580212566146e-24,2.2135960000000003e-23,1.3869519903824157e-19,-9.269086314991537e-19,0.9724915199999999,0.013746577000000003,5.9295795000000005e-06,2.767573e-05,2.8378227999999995e-05,3.8686382999999996e-05
1,3.977515784e-07,316230.0,1178.645,20.95,1e-50,1.5774173213628252e-19,5.808366660760261e-17,7.915110808461262e-21,1.1390410768690035e-18,1e-50,1.447636109215248e-17,3.0651589170762467e-19,5.6167968007740404e-18,6.722620952109125e-17,1.448448541534432e-18,4.373510912736787e-20,7.293976637856717e-24,2.2135960000000003e-23,1.4670035792527752e-19,-9.224635824372889e-19,0.9711437100000001,0.014420332000000003,5.3963975999999995e-06,2.6386475999999996e-05,2.8808188e-05,3.6870818e-05
2,6.960652622e-07,316230.0,1175.28,20.95,1e-50,1.518154425624474e-19,5.779222746415995e-17,7.998176961321857e-21,1.1948464528479614e-18,1e-50,1.481902977181774e-17,3.0652428123332593e-19,5.626525016275823e-18,6.729151576345286e-17,1.4501353562548058e-18,4.420011611404871e-20,7.569498447872114e-24,2.2135960000000003e-23,1.5303183466813028e-19,-9.190498511579456e-19,0.97004364,0.014970211,5.0025501e-06,2.5397718e-05,2.9124404000000006e-05,3.5494135999999995e-05
3,9.94378946e-07,316230.0,1171.76,20.95,1e-50,1.45739638327533e-19,5.748396478557905e-17,8.081864046400895e-21,1.2547877318775938e-18,1e-50,1.5198216963635595e-17,3.064860976005867e-19,5.64027296929574e-18,6.740464154642974e-17,1.4528338269723779e-18,4.4669684910488687e-20,7.871874305092705e-24,2.2135960000000003e-23,1.5967406910804562e-19,-9.1541557477927e-19,0.9688594899999999,0.015562078,4.6139465e-06,2.4384288000000007e-05,2.9442639999999998e-05,3.4098846000000005e-05
4,3.89796546832e-06,316230.0,126.83,20.95,1e-50,4.132323583752038e-19,1.3919781454880085e-17,2.005478697701217e-21,1.2440908972910007e-21,1e-50,7.947508477340903e-20,3.3500000499506402e-19,1.1150893483960204e-17,2.7534720498416425e-20,2.9733903278814935e-18,1.2733235864035582e-20,7.772751256651467e-23,2.2135960000000003e-23,3.9823173514380444e-22,-6.177345797401001e-20,0.6926479400000001,0.15367599,3.0754722e-08,9.150914199999998e-05,8.399545899999997e-06,9.651362200000001e-05
5,6.90098988524e-06,316230.0,94.35,20.95,1e-50,3.5285736136169593e-19,5.315420914683229e-18,2.3938093046014864e-21,8.303025097931282e-22,1e-50,1e-50,3.357492128659924e-19,4.220061007726512e-18,7.447361177201803e-23,1.1247736387768966e-18,1.588800456045692e-20,1.8346568213671218e-22,2.2135960000000003e-23,3.1162638706832946e-22,-4.2349895051122175e-20,0.27470706000000006,0.36264650000000004,1.1090915999999996e-08,8.9414189e-05,1.0529859e-05,9.4390959e-05
6,9.90401430216e-06,316230.0,80.195,20.95,1e-50,3.124704324261269e-19,2.8149028177525092e-18,2.530978557540873e-21,6.712977017565379e-22,1.3845791006711434e-21,5.029095341595582e-22,3.3604028460162646e-19,2.234824927849163e-18,3.597507081684498e-23,5.95571276626663e-19,1.746153520257117e-20,2.147731098783329e-22,2.2135960000000003e-23,2.596041296609853e-22,-3.3914857871173556e-20,0.15082789,0.42458601,8.3737859e-09,8.8368367e-05,1.1574594999999999e-05,9.3337191e-05
7,3.8999542262120003e-05,316230.0,60.495000000000005,20.95,1e-50,2.385849908967342e-19,8.27551802497868e-19,2.6829717438998167e-21,1.006362767024775e-21,1e-50,1e-50,3.363886665120528e-19,5.732648181840177e-19,7.18800000242762e-24,1.5182909637917887e-19,1.9995189886964692e-20,2.423864927942287e-22,2.2135960000000003e-23,2.5017864378701973e-22,-2.1956390893893925e-20,0.041667709000000004,0.47916614,5.870633399999998e-09,8.643745799999999e-05,1.3424804e-05,9.1392768e-05
8,6.90098988524e-05,316230.0,57.195,20.95,1e-50,2.2303246305366557e-19,6.66789034447966e-19,2.702122739485912e-21,1.1345131906071084e-21,1e-50,1.0829190988310977e-23,3.364128793938253e-19,4.392227069230017e-19,5.205494232893456e-24,1.1608588985163523e-19,2.0500796377609428e-20,2.4470616302019984e-22,2.2135960000000003e-23,2.6206383582281086e-22,-2.0029696884214637e-20,0.03247536699999999,0.48376233,5.6960119e-09,8.5990514e-05,1.3838074999999999e-05,9.0943138e-05
9,9.900036786376001e-05,316230.0,55.59,20.95,1e-50,2.1481955714366184e-19,6.005738298577975e-19,2.7137152917888476e-21,1.2020556358640723e-21,1e-50,1e-50,3.3640619518090277e-19,3.837910914499928e-19,4.419344866861984e-24,1.0131382375946281e-19,2.076547822402793e-20,2.456752997836837e-22,2.2135960000000003e-23,2.6948380074111337e-22,-1.9095553741285692e-20,0.028632104000000002,0.48568392000000005,5.613824200000001e-09,8.5743681e-05,1.4064945999999999e-05,9.069492000000002e-05
