,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,637.11,132.82,1e-50,1.0023094254494323e-21,4.074645149869667e-21,1.3839283251087584e-30,1.6697704812730757e-44,1.5645033230556266e-29,4.7422160360034326e-29,5.076422828178888e-21,1.9458399686619962e-23,2.3254361366073346e-23,5.1889289364990875e-24,8.886456983535043e-26,2.495667586362394e-33,7.000000000000001e-26,2.6592183704239317e-30,-4.8049762542844784e-23,0.9999369999999999,1.5532837000000002e-09,6.3080758e-05,0.0002599999999999999,6.5330798000000006e-12,0.00037800865000000005
1,3.899179987120128e-07,1000.0,6475.245,132.82,1e-50,1.0022960845488814e-21,4.074805291868168e-21,1.383967029472021e-30,1.6698123242775892e-44,1.56415849947792e-29,4.7413040731171346e-29,5.0765662622635514e-21,1.945967568353359e-23,2.3254904736905655e-23,5.1892691564449256e-24,8.886746701269185e-26,2.495834361534171e-33,7.000000000000001e-26,2.6586612396709483e-30,-4.804348389169345e-23,0.98721798,1.1480817300000001e-10,0.012782024300000002,0.0002599999999999999,1.13214812e-10,0.013100730900000001
2,6.917899987120128e-07,1000.0,6959.835,132.82,1e-50,1.0022857613467255e-21,4.07492880884763e-21,1.3839965092023086e-30,1.6698446351916125e-44,1.5638916027388704e-29,4.740598240925503e-29,5.076677290869851e-21,1.9460663772967613e-23,2.325532518447064e-23,5.1895326498071774e-24,8.886971164564816e-26,2.4959635248675752e-33,7.000000000000001e-26,2.658229847954962e-30,-4.8038622961392693e-23,0.9861361200000001,1.0415564199999998e-10,0.013863859000000001,0.0002599999999999999,1.20293386e-10,0.014182976
3,9.936619987120128e-07,1000.0,6804.58,132.82,1e-50,1.0022754361925262e-21,4.0750553124913596e-21,1.3840259222013007e-30,1.6698768437315442e-44,1.5636246012847753e-29,4.7398921507007337e-29,5.076788303731036e-21,1.9461651355723158e-23,2.3255745803024813e-23,5.189796040858022e-24,8.887195508104429e-26,2.4960926392425995e-33,7.000000000000001e-26,2.6577986043831815e-30,-4.803376397694858e-23,0.98601041,1.02507138e-10,0.013989603,0.0002599999999999999,1.2119554000000002e-10,0.014308773000000004
4,3.89918e-06,1000.0,5834.42,132.82,1e-50,1.002176146161104e-21,4.07622516324775e-21,1.3843080187723333e-30,1.6701877131402127e-44,1.5610541881399723e-29,4.733095977329268e-29,5.077856384561768e-21,1.9471153446998188e-23,2.3259787019673195e-23,5.192329930068338e-24,8.889354310303369e-26,2.4973347768132617e-33,7.000000000000001e-26,2.6536540661529185e-30,-4.798704118189994e-23,0.9889899399999998,1.3527825399999998e-10,0.0110100587,0.0002599999999999999,1.0174545000000002e-10,0.011328117300000001
5,6.905322001287987e-06,1000.0,5957.51,132.82,1e-50,1.0020735606907783e-21,4.07742559378775e-21,1.384599226159697e-30,1.6705088978297598e-44,1.5583931270812266e-29,4.7260626215171015e-29,5.078960469723838e-21,1.9480974881496848e-23,2.326395766831578e-23,5.194948981893044e-24,8.891586625686488e-26,2.4986187101868298e-33,7.000000000000001e-26,2.6493765338654788e-30,-4.7938791472600455e-23,0.98813545,1.24605505e-10,0.0118645538,0.0002599999999999999,1.07178787e-10,0.012182936800000004
6,9.905175000643994e-06,1000.0,6282.75,132.82,1e-50,1.0019713365560323e-21,4.0786223909438445e-21,1.3848894952035563e-30,1.6708287200789456e-44,1.5557360256292231e-29,4.7190422493536747e-29,5.080061255632903e-21,1.9490765992765393e-23,2.3268108876301758e-23,5.197559935259623e-24,8.893813012093919e-26,2.4998987223218353e-33,7.000000000000001e-26,2.6451186211303913e-30,-4.7890734915078756e-23,0.98758068,1.17867361e-10,0.012419342899999998,0.0002599999999999999,1.1091792699999999e-10,0.012737922000000002
7,3.900437800128799e-05,1000.0,6517.635,132.82,1e-50,1.0023008575503553e-21,4.074564299162486e-21,1.3841091761414822e-30,1.6702332348667122e-44,1.564639075228505e-29,4.7426684598999417e-29,5.076325751058983e-21,1.945935427492495e-23,2.3254553541035606e-23,5.189183497479259e-24,8.886544818787397e-26,2.4961044324739167e-33,7.000000000000001e-26,2.659241046827721e-30,-4.804373254531599e-23,0.9846375099999999,9.338511500000002e-11,0.015362506000000003,0.0002599999999999999,1.301378e-10,0.01568217
8,6.9002908e-05,1000.0,8101.3150000000005,132.82,1e-50,1.0022941928683342e-21,4.074500476197612e-21,1.3842446677091103e-30,1.6705893805688085e-44,1.564741593438125e-29,4.743011432013386e-29,5.076251876457779e-21,1.9460095392174535e-23,2.3254704295928762e-23,5.1893811315078264e-24,8.886613950891605e-26,2.4964413515623365e-33,7.000000000000001e-26,2.6592554478390247e-30,-4.803906147673198e-23,0.98338821,8.776768099999998e-11,0.016611783999999997,0.0002599999999999999,1.3803453e-10,0.016931915999999998
9,9.900143799871202e-05,1000.0,6958.1849999999995,132.81,1e-50,1.00228746296038e-21,4.074436799924474e-21,1.3843798258261187e-30,1.670945648362614e-44,1.5648424691397776e-29,4.7433500671751664e-29,5.076178686842035e-21,1.9460842544557333e-23,2.3254857611509493e-23,5.189580373428841e-24,8.886684453728433e-26,2.4967790862157635e-33,7.000000000000001e-26,2.659267206258961e-30,-4.8034361420912305e-23,0.9831502700000001,8.4587932e-11,0.016849729999999997,0.0002599999999999999,1.3944604e-10,0.017169947
