,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,58.96,14.69,1e-50,2.989851131267408e-22,4.516801383460866e-23,3.509919138878431e-25,1e-50,1e-50,1e-50,1.5929313100817512e-22,1.4582230774027446e-22,8.117440907187001e-33,3.8885273223128325e-23,6.389928681197597e-25,3.523863976382994e-26,7.000000000000001e-26,4.606475919536844e-27,-2.4543111697310295e-25,0.9984209999999998,0.00068774996,0.00020351800000000003,9.921780000000004e-05,7.8201602e-07,0.00032152399999999995
1,9.919999967232e-07,1000.0,58.96,14.69,1e-50,2.989802622181154e-22,4.517137412654225e-23,3.510374475623652e-25,1e-50,1e-50,1e-50,1.5929267684557928e-22,1.4582145881342735e-22,8.134598557063555e-33,3.888504334770683e-23,6.389924964522843e-25,3.531374924328081e-26,7.000000000000001e-26,4.6162760174016675e-27,-2.4542754346196185e-25,0.9984180000000004,0.0006892149999999996,0.00020351600000000002,9.921769999999998e-05,7.821219999999999e-07,0.0003215219999999999
2,1.7599999967232e-06,1000.0,58.96,14.69,1e-50,2.9897655817329944e-22,4.517393431861625e-23,3.5105044482710184e-25,1e-50,1e-50,1e-50,1.592923267500952e-22,1.4582079042397826e-22,8.147927862700435e-33,3.8884862397752925e-23,6.389927339264871e-25,3.5372112265118553e-26,7.000000000000001e-26,4.623890867959669e-27,-2.4542469272828267e-25,0.9984160000000003,0.00069035486,0.00020351500000000006,9.921769999999998e-05,7.821550799999999e-07,0.00032152
3,2.5279999967232003e-06,1000.0,58.96,14.69,1e-50,2.989728619019916e-22,4.5176488257504635e-23,3.5106046664251763e-25,1e-50,1e-50,1e-50,1.5929197731683284e-22,1.4582011965820622e-22,8.161300700743415e-33,3.888468079785673e-23,6.389930544442642e-25,3.54306678285387e-26,7.000000000000001e-26,4.6315308964463394e-27,-2.4542183118131554e-25,0.9984129999999998,0.00069149702,0.00020351399,9.921759999999997e-05,7.821810300000003e-07,0.0003215190000000001
4,9.92e-06,1000.0,58.96,14.69,1e-50,2.989373355486904e-22,4.520097139527673e-23,3.5111470638476585e-25,1e-50,1e-50,1e-50,1.5928860968320993e-22,1.4581358676697598e-22,8.292333262997903e-33,3.8882912004205104e-23,6.38996896732315e-25,3.6004455920470744e-26,7.000000000000001e-26,4.706401615360492e-27,-2.4539413138969053e-25,0.9983909999999999,0.0007026959100000002,0.00020350099999999992,9.92175e-05,7.823399000000001e-07,0.000321506
5,1.75680000032768e-05,1000.0,58.95,14.69,1e-50,2.9890054957453167e-22,4.5226216059399875e-23,3.511471494830361e-25,1e-50,1e-50,1e-50,1.592851183303382e-22,1.4580670588926966e-22,8.432428214868347e-33,3.8881048528319786e-23,6.390011170177569e-25,3.661796807377095e-26,7.000000000000001e-26,4.7864681548813444e-27,-2.4536540120547573e-25,0.9983670000000001,0.00071466997,0.00020348800000000004,9.921740000000002e-05,7.824510299999998e-07,0.00032149200000000005
6,2.52000000016384e-05,1000.0,58.95,14.69,1e-50,2.9886369241811533e-22,4.5251313359346247e-23,3.5117081576562904e-25,1e-50,1e-50,1e-50,1.592816238330154e-22,1.4579971718213237e-22,8.577053842183965e-33,3.8879155372607743e-23,6.390051429575307e-25,3.7251355196890623e-26,7.000000000000001e-26,4.8691423110967745e-27,-2.453367189091517e-25,0.9983420000000001,0.0007270317700000001,0.00020347477999999998,9.921729999999996e-05,7.825431200000002e-07,0.000321478
7,9.92320000032768e-05,1000.0,58.96,14.69,1e-50,2.9890068239845404e-22,4.514301923915262e-23,3.5136624424986517e-25,1e-50,1e-50,1e-50,1.5924554038717975e-22,1.4576573040248762e-22,1.0313660921483615e-32,3.886973196814072e-23,6.3882750345575e-25,4.47940389806979e-26,7.000000000000001e-26,5.856294203184825e-27,-2.4541216268192004e-25,0.998048,0.0008742412,0.00020342400000000004,9.921690000000004e-05,7.829220599999998e-07,0.0003214220000000001
8,0.00017555200000000002,1000.0,58.96,14.69,1e-50,2.988127314913844e-22,4.511743052030839e-23,3.5144335252095687e-25,1e-50,1e-50,1e-50,1.5920668704049288e-22,1.4569689408381616e-22,1.3020659906352574e-32,3.8850810367680347e-23,6.386265753521279e-25,5.658197339339744e-26,7.000000000000001e-26,7.402634108602283e-27,-2.4539738141363138e-25,0.9975879999999999,0.0011043097000000002,0.0002033120000000001,9.921660000000004e-05,7.831689899999998e-07,0.0003212999999999999
9,0.0002518719999967232,1000.0,58.95,14.69,1e-50,2.986807599722767e-22,4.5080371187905824e-23,3.514173606957243e-25,1e-50,1e-50,1e-50,1.5916355825388255e-22,1.4558051165311894e-22,1.7641182320035374e-32,3.881879602365725e-23,6.382802265224818e-25,7.672836839907784e-26,7.000000000000001e-26,1.0057319173644522e-26,-2.4538337444442825e-25,0.9968020000000003,0.0014975000000000006,0.00020312299999999996,9.921660000000004e-05,7.8322221e-07,0.000321095
10,0.0009922079999983616,1000.0,59.57,14.69,1e-50,2.576338259430795e-22,3.528509983546491e-23,2.9021630850136066e-25,1e-50,1e-50,1e-50,1.5458813627768675e-22,1.013820818914712e-22,1.2547025911608118e-30,2.6538222729370143e-23,5.411487908082315e-25,7.885556261811845e-24,7.000000000000001e-26,2.453230773633276e-24,-2.4917176549235096e-25,0.6920566500000003,0.15390182999999996,0.00013977615000000004,9.927689000000001e-05,6.766905199999998e-07,0.00025325461
11,0.001755456,1000.0,60.25,14.68,1e-50,2.386457544362888e-22,3.1318657373576084e-23,2.6960241693128226e-25,1e-50,1e-50,1e-50,1.519906029664132e-22,8.140513285523996e-23,1.4602770676397944e-30,2.102693497568882e-23,5.03260851360493e-25,1.1427234866234086e-23,7.000000000000001e-26,4.08011581899828e-24,-2.5338924789932497e-25,0.55383736,0.22302437999999988,0.00011367129000000002,9.928683099999998e-05,6.430308199999998e-07,0.00022591340999999996
12,0.0025186880000032767,1000.0,60.61,14.67,1e-50,2.3061927034655087e-22,2.9783575759836316e-23,2.6245550145092093e-25,1e-50,1e-50,1e-50,1.5065521257528965e-22,7.328171446290233e-23,1.4798461830642925e-30,1.879548073840583e-23,4.871199772822012e-25,1.2865314822842938e-23,7.000000000000001e-26,4.769185806000226e-24,-2.5558440996019516e-25,0.49771384999999996,0.25109132999999995,0.00010322254,9.928957e-05,6.3226542e-07,0.00021505179
13,0.00992209600000164,1000.0,62.15,14.61,1e-50,2.0007812197198904e-22,2.4264384699501416e-23,2.3302133544462285e-25,1e-50,1e-50,1e-50,1.4363187436731882e-22,4.513105877135343e-23,1.249256097055625e-30,1.1112986747145868e-23,4.090386471628319e-25,1.7823083698301077e-23,7.000000000000001e-26,7.12244219191472e-24,-2.653617217093873e-25,0.3042289999999999,0.3478517600000001,6.7347198e-05,9.902153700000001e-05,5.845521799999999e-07,0.00017759057
14,0.017554464000003277,1000.0,62.6,14.54,1e-50,1.8794188320015554e-22,2.1974313486000554e-23,2.2588245647682766e-25,1e-50,1e-50,1e-50,1.3927941153483126e-22,3.5301481556224015e-23,1.0500964734619553e-30,8.44957215549578e-24,3.762716946327684e-25,1.9535271548537085e-23,7.000000000000001e-26,7.908341799831417e-24,-2.684409982228888e-25,0.23740786000000008,0.3812681499999999,5.5443946999999995e-05,9.898146099999998e-05,5.7713291e-07,0.00016537873999999999
15,0.02518683199999836,1000.0,62.68,14.47,1e-50,1.803195325344288e-22,2.0458127501914888e-23,2.2934950798500117e-25,1e-50,1e-50,1e-50,1.3574999665780572e-22,2.988423809729498e-23,9.113833248980426e-31,6.986927860287748e-24,3.6410722761912577e-25,2.047233120667164e-23,7.000000000000001e-26,8.319860799202303e-24,-2.6930353759388295e-25,0.20083612999999992,0.3995571799999999,4.920536400000001e-05,9.8981829e-05,5.9317357e-07,0.00015900522
