,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,35.19,14.69,1e-50,2.764625127337243e-22,4.43127090452317e-23,1.2313778290408754e-25,1e-50,1e-50,1e-50,1.3636469787252588e-22,1.4564287341462847e-22,8.056187984602694e-33,3.8839077658299865e-23,2.24972325624134e-25,3.521613853330364e-28,7.000000000000001e-26,5.917841888066209e-29,-2.4367293411374814e-25,0.99883713,0.00058032197,2.2501038999999996e-06,0.00025864691,1.3519799000000005e-06,0.00031386920999999996
1,6.240000016384e-07,1000.0,35.175,14.69,1e-50,2.764589886037795e-22,4.431518840300058e-23,1.23145679840442e-25,1e-50,1e-50,1e-50,1.3636450523575982e-22,1.4564220344656368e-22,8.069351104960463e-33,3.883889889159748e-23,2.249732438098205e-25,3.527417600353628e-28,7.000000000000001e-26,5.926978845960857e-29,-2.4367007054505732e-25,0.99883514,0.0005812963,2.2520550999999998e-06,0.0002586477600000001,1.3511947e-06,0.00031387217
2,9.919999967232e-07,1000.0,35.19,14.69,1e-50,2.7645547050001143e-22,4.431766370053773e-23,1.2315064047766793e-25,1e-50,1e-50,1e-50,1.3636431467954378e-22,1.4564153112958315e-22,8.08255715404947e-33,3.883871950053458e-23,2.2497419584655303e-25,3.533240441419676e-28,7.000000000000001e-26,5.936146078916216e-29,-2.436671963840395e-25,0.9988342200000001,0.00058176878,2.2520361e-06,0.00025864770999999996,1.3511504999999999e-06,0.00031387225999999997
3,1.3759999967232001e-06,1000.0,35.18,14.69,1e-50,2.7645202830910714e-22,4.432008447373063e-23,1.23154493414668e-25,1e-50,1e-50,1e-50,1.3636412821761952e-22,1.4564087140376897e-22,8.095530106341011e-33,3.883854346860073e-23,2.2497513510568564e-25,3.538960583943156e-28,7.000000000000001e-26,5.945151933243115e-29,-2.4366437912021665e-25,0.99883388,0.0005819592800000001,2.2499922999999997e-06,0.00025864629000000005,1.352597e-06,0.0003138682
4,1.7599999967232e-06,1000.0,35.26,14.69,1e-50,2.7641707798709156e-22,4.434460395126209e-23,1.231783573443775e-25,1e-50,1e-50,1e-50,1.3636224377278246e-22,1.4563410856510543e-22,8.229631373364048e-33,3.8836738949185164e-23,2.2498483591003204e-25,3.5980917496403834e-28,7.000000000000001e-26,6.038264074200213e-29,-2.4363573764917273e-25,0.9988325,0.0005826087,2.2508862000000003e-06,0.00025864708,1.3518028e-06,0.00031387014
5,2.1439999967232002e-06,1000.0,35.215,14.69,1e-50,2.7638205207289323e-22,4.4369057496811235e-23,1.2319404256380115e-25,1e-50,1e-50,1e-50,1.3636035847642702e-22,1.4562722838617238e-22,8.368273504762621e-33,3.88349031074706e-23,2.2499461043155075e-25,3.6592284420419926e-28,7.000000000000001e-26,6.134564636190639e-29,-2.4360707114504104e-25,0.9988315999999999,0.00058307212,2.2509696999999995e-06,0.00025864697000000004,1.3519161e-06,0.00031387001000000007
6,2.5279999967232003e-06,1000.0,35.195,14.69,1e-50,2.7634693074142787e-22,4.439345208779224e-23,1.232068338790371e-25,1e-50,1e-50,1e-50,1.3635846872907313e-22,1.4562022692709839e-22,8.511691453686092e-33,3.883303486842569e-23,2.2500440139354934e-25,3.72247435169639e-28,7.000000000000001e-26,6.234220698665689e-29,-2.435783960501721e-25,0.9988305299999999,0.00058362243,2.2517626e-06,0.00025864724,1.3516330000000002e-06,0.00031387117
7,6.111999996723201e-06,1000.0,35.144999999999996,14.69,1e-50,2.7638058666456943e-22,4.428475035665028e-23,1.2329446636284037e-25,1e-50,1e-50,1e-50,1.3632885273795487e-22,1.4558445297126614e-22,1.0298178543166081e-32,3.8823480347214394e-23,2.2497399254494157e-25,4.503866002377654e-28,7.000000000000001e-26,7.46891415895141e-29,-2.43650841614702e-25,0.99882135,0.0005882083100000001,2.2515461e-06,0.00025864743,1.3515247e-06,0.00031387070999999993
8,9.92e-06,1000.0,35.18,14.69,1e-50,2.762918860306118e-22,4.425632405427166e-23,1.2335881772725128e-25,1e-50,1e-50,1e-50,1.3630074878060644e-22,1.4551411224166573e-22,1.3019612774168827e-32,3.880469999154342e-23,2.249743582422048e-25,5.697291038156683e-28,7.000000000000001e-26,9.367574178658168e-29,-2.4362983894348974e-25,0.99881221,0.00059279776,2.2494031999999998e-06,0.00025864569999999997,1.3531705999999999e-06,0.00031386596000000004
9,1.3744000001638401e-05,1000.0,35.13,14.69,1e-50,2.7615340771902617e-22,4.4212843773359174e-23,1.23412247315683e-25,1e-50,1e-50,1e-50,1.3627040552750554e-22,1.4539433104018622e-22,1.7683686243038832e-32,3.877271839584332e-23,2.2497195650059675e-25,7.745435001951692e-28,7.000000000000001e-26,1.2668387118618742e-28,-2.4360219754748966e-25,0.99880202,0.00059785101,2.2497020000000003e-06,0.0002586458,1.3530831e-06,0.00031386596000000004
