H2+,E-,NAN,H,H,NAN,NAN,1.6e-08,-0.43,0.0,10,300,10.9
H,H2+,NAN,H2,H+,NAN,NAN,6.4e-10,0.0,0.0,10,41000,0.94
H3+,E-,NAN,H,H,H,NAN,4.36e-08,-0.52,0.0,10,1000,9.23
H3+,E-,NAN,H2,H,NAN,NAN,2.34e-08,-0.52,0.0,10,1000,4.76
H3O+,E-,NAN,OH,H,H,NAN,3.05e-07,-0.5,0.0,10,1000,1.16
H3O+,E-,NAN,OH,H2,NAN,NAN,5.37e-08,-0.5,0.0,10,1000,5.63
H3O+,E-,NAN,H2O,H,NAN,NAN,7.09e-08,-0.5,0.0,10,1000,6.27
HCO+,E-,NAN,CO,H,NAN,NAN,2.4e-07,-0.69,0.0,10,300,7.51
H2,HE+,NAN,HE,H+,H,NAN,3.7e-14,0.0,35.0,10,300,6.51
H2,HE+,NAN,HE,H2+,NAN,NAN,7.2e-15,0.0,0.0,10,300,6.51
HE+,CO,NAN,O,C+,HE,NAN,1.6e-09,0.0,0.0,10,41000,2.22
