C,CH2,,CH,CH,,,2.69E-12,0,23550,1000,4000
C,OH,,O,CH,,,2.25E-11,0.5,14800,493,41000
C,OH,,CO,H,,,1.10E-10,0.5,0,10,300
C,O2,,CO,O,,,3.30E-11,0,0,0,0
C,OH+,,O,CH+,,,1.20E-09,0,0,10,41000
C,CH5+,,CH4,CH+,,,1.20E-09,0,0,10,41000
C,H2O+,,OH,CH+,,,1.10E-09,0,0,10,41000
C,H3O+,,HCO+,H2,,,1.00E-11,0,0,10,41000
C,HCO+,,CO,CH+,,,1.10E-09,0,0,10,41000
C,O2+,,CO+,O,,,5.20E-11,0,0,10,41000
C,CO+,,CO,C+,,,1.10E-10,0,0,10,41000
C,O2+,,O2,C+,,,5.20E-11,0,0,10,41000
C,O+,,CO+,PHOTON,,,4.69E-11,-3.08,-2114,2000,10000
C,O,,CO,PHOTON,,,2.10E-19,0,0,10,300
C,O,,CO,PHOTON,,,1.58E-17,0.34,1297.4,300,13900
C,PHOTON,,C+,E-,,,3.00E-10,0,3,10,41000
C,CRP,,C+,E-,,,2.30E-17,0,0,10,41000
C,CRPHOT,,C+,E-,,,1.30E-17,0,510,10,41000
C+,OH,,CO+,H,,,7.70E-10,0,0,10,41000
C+,OH,,CO,H+,,,7.70E-10,0,0,0,0
C+,H2O,,HCO+,H,,,9.00E-10,0,0,10,41000
C+,O2,,CO+,O,,,3.80E-10,0,0,10,41000
C+,O2,,CO,O+,,,6.20E-10,0,0,10,41000
C+,CH,,CH+,C,,,3.80E-10,0,0,10,41000
C+,CH2,,CH2+,C,,,5.20E-10,0,0,10,41000
C+,MG,,MG+,C,,,1.10E-09,0,0,10,41000
C+,E-,,C,PHOTON,,,4.67E-12,-0.6,0,10,7950
C+,E-,,C,PHOTON,,,1.23E-17,2.49,-21845.6,7950,21140
C+,E-,,C,PHOTON,,,9.62E-08,-1.37,115786.2,21140,41000
C+,O,,CO+,PHOTON,,,2.50E-18,0,0,10,300
C+,O,,CO+,PHOTON,,,3.14E-18,-0.15,68,300,13900
CH,O,,OH,C,,,2.52E-11,0,2381,10,6000
CH,O,,CO,H,,,6.60E-11,0,0,10,2000
CH,O,,CO,H,,,1.02E-10,0,914,2000,6000
CH,CH4,,CH3,CH2,,,2.28E-11,0.7,3000,100,300
CH,O2,,CO,OH,,,2.60E-11,0,0,298,298
CH,O+,,CO+,H,,,3.50E-10,0,0,10,41000
CH,OH+,,O,CH2+,,,3.50E-10,0,0,10,41000
CH,CH5+,,CH4,CH2+,,,6.90E-10,0,0,10,41000
CH,H2O+,,OH,CH2+,,,3.40E-10,0,0,10,41000
CH,H3O+,,H2O,CH2+,,,6.80E-10,0,0,10,41000
CH,CO+,,HCO+,C,,,3.20E-10,0,0,10,41000
CH,HCO+,,CO,CH2+,,,6.30E-10,0,0,10,41000
CH,O2+,,HCO+,O,,,3.10E-10,0,0,10,41000
CH,O+,,O,CH+,,,3.50E-10,0,0,10,41000
CH,OH+,,OH,CH+,,,3.50E-10,0,0,10,41000
CH,H2O+,,H2O,CH+,,,3.40E-10,0,0,10,41000
CH,CO+,,CO,CH+,,,3.20E-10,0,0,10,41000
CH,O2+,,O2,CH+,,,3.10E-10,0,0,10,41000
CH,PHOTON,,CH+,E-,,,7.60E-10,0,2.8,10,41000
CH,PHOTON,,C,H,,,8.60E-10,0,1.2,10,41000
CH,CRPHOT,,C,H,,,1.30E-17,0,730,10,41000
CH,O,,HCO+,E-,,,2.00E-11,0.44,0,10,1750
CH+,O,,CO+,H,,,3.50E-10,0,0,10,41000
CH+,OH,,CO+,H2,,,7.50E-10,0,0,10,41000
CH+,H2O,,H3O+,C,,,5.80E-10,0,0,10,41000
CH+,H2O,,HCO+,H2,,,2.90E-09,0,0,10,41000
CH+,O2,,CO+,OH,,,1.00E-11,0,0,10,41000
CH+,O2,,HCO+,O,,,9.70E-10,0,0,10,41000
CH+,MG,,MG+,CH,,,3.60E-10,0,0,10,41000
CH+,E-,,C,H,,,1.50E-07,-0.42,0,10,300
CH+,PHOTON,,C,H+,,,2.50E-10,0,2.5,10,41000
CH+,CRPHOT,,C+,H,,,1.30E-17,0,176,10,41000
CH2,CH2,,CH3,CH,,,4.00E-10,0,5000,300,2500
CH2,O,,OH,CH,,,4.98E-10,0,6000,1900,2300
CH2,O,,CO,H,H,,1.33E-10,0,0,10,2500
CH2,O,,CO,H2,,,8.00E-11,0,0,1900,2600
CH2,CH4,,CH3,CH3,,,7.13E-12,0,5050,296,2500
CH2,OH,,O,CH3,,,1.44E-11,0.5,3000,100,300
CH2,OH,,H2O,CH,,,1.44E-11,0.5,3000,100,300
CH2,O2,,CO,H2O,,,2.48E-10,-3.3,1443,1000,1828
CH2,OH+,,O,CH3+,,,4.80E-10,0,0,10,41000
CH2,CH5+,,CH4,CH3+,,,9.60E-10,0,0,10,41000
CH2,H2O+,,OH,CH3+,,,4.70E-10,0,0,10,41000
CH2,H3O+,,H2O,CH3+,,,9.40E-10,0,0,10,41000
CH2,CO+,,HCO+,CH,,,4.30E-10,0,0,10,41000
CH2,HCO+,,CO,CH3+,,,8.60E-10,0,0,10,41000
CH2,O+,,O,CH2+,,,9.70E-10,0,0,10,41000
CH2,OH+,,OH,CH2+,,,4.80E-10,0,0,10,41000
CH2,H2O+,,H2O,CH2+,,,4.70E-10,0,0,10,41000
CH2,CO+,,CO,CH2+,,,4.30E-10,0,0,10,41000
CH2,O2+,,O2,CH2+,,,4.30E-10,0,0,10,41000
CH2,PHOTON,,CH2+,E-,,,1.00E-09,0,2.3,10,41000
CH2,PHOTON,,CH,H,,,7.20E-10,0,1.7,10,41000
CH2,CRPHOT,,CH2+,E-,,,1.30E-17,0,500,10,41000
CH2,CRPHOT,,CH,H,,,1.30E-17,0,500,10,41000
CH2+,O,,HCO+,H,,,7.50E-10,0,0,10,41000
CH2+,O2,,HCO+,OH,,,9.10E-10,0,0,10,41000
CH2+,E-,,CH,H,,,1.35E-07,-0.55,0,10,1000
CH2+,E-,,C,H,H,,4.03E-07,-0.6,0,100,1000
CH2+,E-,,C,H2,,,1.00E-07,-0.55,0,10,1000
CH2+,PHOTON,,CH+,H,,,1.70E-09,0,1.7,10,41000
CH3,CH3,,CH4,CH2,,,7.13E-12,0,5052,1950,2300
CH3,OH,,CH4,O,,,3.27E-14,2.2,2240,298,2500
CH3,OH,,H2O,CH2,,,1.20E-10,0,1400,300,1000
CH3,H2O,,OH,CH4,,,2.30E-15,3.47,6681,300,3000
CH3,PHOTON,,CH3+,E-,,,1.00E-10,0,2.1,10,41000
CH3,PHOTON,,CH2,H,,,2.50E-10,0,1.9,10,41000
CH3,PHOTON,,CH,H2,,,2.50E-10,0,1.9,10,41000
CH3,CRPHOT,,CH3+,E-,,,1.30E-17,0,500,10,41000
CH3,CRPHOT,,CH2,H,,,1.30E-17,0,500,10,41000
CH3,CRPHOT,,CH,H2,,,1.30E-17,0,500,10,41000
CH3+,O,,HCO+,H2,,,4.00E-10,0,0,10,41000
CH3+,MG,,MG+,CH3,,,3.50E-09,0,0,10,41000
CH3+,E-,,CH2,H,,,1.40E-07,-0.5,0,10,300
CH3+,E-,,CH,H2,,,4.90E-08,-0.5,0,10,300
CH3+,E-,,CH,H,H,,5.60E-08,-0.5,0,10,300
CH3+,E-,,C,H2,H,,1.05E-07,-0.5,0,10,300
CH3+,E-,,CH3,PHOTON,,,1.10E-10,-0.5,0,10,300
CH3+,PHOTON,,CH2+,H,,,1.00E-09,0,1.7,10,41000
CH3+,PHOTON,,CH+,H2,,,1.00E-09,0,1.7,10,41000
CH4,OH,,H2O,CH3,,,3.77E-13,2.42,1162,178,3000
CH4,OH+,,CH5+,O,,,1.95E-10,0,0,10,41000
